"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","individualCount","typeStatus"
"21","2020-11-04 11:08:11-03","ESALQ","ESA","32147","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Brandão, M.","Hatschbach, G.","60679.0","1994","06","04",NA,"Brasil","Mato Grosso","Aquidauana",NA,NA,NA,NA,NA,"ESA032147","ESA032147",NA,NA,"1994",NA,NA,"01",NA,NA,"01",NA,NA,NA,NA
"22","2020-11-04 11:08:11-03","ESALQ","ESA","40954","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Souza, V.C.","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.","17152.0","1997","05","24",NA,"Brasil","Mato Grosso","Nobres","Arredores do Lago Azul. Cerca de 42 Km ENE (em linha reta) de Nobres. Mata Estacional Semidecidual sobre terreno calcáreo.","-56.3274993896484","-14.7202997207642",NA,"Erva, ca. 1, 2 m alt.; frutos imaturos verdes.","ESA040954","ESA040954",NA,NA,"1997",NA,NA,"12",NA,NA,"26","176011","auto",NA,NA
"23","2020-11-04 11:08:11-03","ESALQ","ESA","40929","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Souza, V.C.","Souza, V.C.; Souza, J.P.; Duarte, A.R.; Miyagi, P.H.","17866.0","1997","06","12",NA,"Brasil","Mato Grosso","Tapurah","Estrada do Capixaba. Cerca de 20km NE de Tapurah. Savana arborizada com mata ciliar adjacente","-56.5416984558105","-12.7849998474121",NA,"Erva prostrada; flores alaranjadas. Mata ciliar.","ESA040929","ESA040929",NA,NA,"1997",NA,NA,"12",NA,NA,"26","190293","auto",NA,NA
"24","2021-01-14 15:28:17-03","MN","R","65339","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Harus,H.","Hoehne, F.C.","1871","1909","05",NA,NA,"Brasil","Mato Grosso","Juruena",NA,"-58.3588981628418","-10.3180999755859",NA,"Comissão Rondon.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65163","auto",NA,NA
"25","2021-01-14 15:28:17-03","MN","R","203797","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Lima,L.C.P.","Lima, L.C.P.; Pott, V.J.; Sartori, A.L.B. & Pott, A.","162","2002","04","22",NA,"Brasil","Mato Grosso do Sul","Bataguassu",NA,"-52.4221992492676","-21.7141990661621",NA,NA,NA,NA,NA,NA,"2002",NA,NA,"10",NA,NA,NA,"65610","auto",NA,NA
"26","2020-11-19 10:23:35-03","CPAP","CPAP","19403","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","L.C.P.Lima","Lima, L. C. P.","159","2002","04","21",NA,"Brasil","MS","Bataiporã","Rodovia MS-, 2km E de Porto Primavera.","-53.086861","-22.475111",NA,"Subarbusto, 1m de altura. FLOR: amarela. FRUTO: castanho clarol. INTERESSE: . FREQUÊNCIA: Esparsa. AMBIENTE: Campo secundário.. SUBSTRATO: solo siltoso. RELEVO: planície fluvial..",NA,NA,NA,NA,"2002","53°05'12.7W","22°28'30.4S","10",NA,NA,NA,NA,NA,NA,NA
"27","2020-11-19 10:23:35-03","CPAP","CPAP","19409","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","L.C.P.Lima","Lima, L. C. P.","178","2002","08","17",NA,"Brasil","MS","Sonora","Case (Companhia Agrícola Sonora Estância), beira do rio Correntes.","-54.888056","-17.618611",NA,"Erva ereta, 1-1,5m de altura. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Vegetação secundária de cerradão.. SUBSTRATO: solo arenoso. RELEVO: vale..",NA,NA,NA,NA,"2002","54°53'17W","17°37'07S","10",NA,NA,NA,NA,NA,NA,NA
"28","2020-11-19 10:23:35-03","CPAP","CPAP","16094","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","M. Brandao","Hatschbach, G.","60679","1994","06","04",NA,"Brasil","MS","Aquidauana","Piraputanga","-55.7872009277344","-20.4710998535156",NA,"Arbusto delgado, 2m de altura. FLOR: amarela, nervuras vinosas. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Campo cerrado. SUBSTRATO: . RELEVO: .",NA,NA,NA,NA,"1994",NA,NA,NA,NA,NA,NA,"212961","auto",NA,NA
"29","2020-11-19 10:23:35-03","CPAP","CPAP","19405","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","L.C.P.Lima","Lima, L. C. P.","162","2002","04","22",NA,"Brasil","MS","Batáguassu","Rodovia MS-276.","-52.4221992492676","-21.7141990661621",NA,"AMBIENTE: Vegetação secundária de Cerrado.",NA,NA,NA,NA,"2002",NA,NA,"10",NA,NA,NA,"65610","auto",NA,NA
"30","2019-02-22 11:46:09-03","IPA","IPA","58686","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Queiroz, L.P. de","Félix, L.P.","7533","1996","01","07","Southern America","Brasil","Bahia","Jacobina","Em vegetação de carrasco, próximo a estrada","-40.5182991027832","-11.1806001663208",NA,"Arbusto; flores amarelas","IPA0058686",NA,NA,NA,"2006",NA,NA,"05",NA,NA,NA,"62396","auto",NA,NA
"31","2021-04-07 11:43:35-03","UFMS","CGMS","7461","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","L.C.P. Lima","A. Amaral-Júnior; J.O. Mendonça; O. Dias","69","1998","10","13",NA,"Brasil","Mato Grosso do Sul","Três Lagoas","estrada de terra para o Porto de Areia Independência e Nossa Senhora da Aparecida. Cerca de 9,4km da MS-395.","-51.7238889","-20.8158333",NA,"Papilionoideae. Flor laranja. Habitat: Área marginal do cerrado. Margem de estrada. Habito: Arbusto.","CGMS1019083",NA,NA,NA,NA,"-51,7238889","-20,8158333",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-04-07 11:43:35-03","UFMS","CGMS","62080","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","L.C.P. Lima","V.J. Pott; A. Pott; A.C.M. Cristaldo; E.C. Arruda; J.F. Santos","5553","2002","05","28",NA,"Brasil","Mato Grosso do Sul","Aquidauana","2 Km leste da Estação Ferroviária Cachoeirão, cerca de 4 Km da BR-262.","-55.2788889","-20.4386111",NA,"Papilionoideae. Flor amarela. Estandarte com estrias vináceas. Habitat: Vegetação secundária de cerradão em beira de estrada. Solo argiloso. Relevo plano deprimido. Habito: Subarbusto ramificado no terço apical. 2,0-3,5 m de altura.","CGMS1095076",NA,"180","180",NA,"-55,2788889","-20,4386111",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-04-07 11:43:35-03","UFMS","CGMS","12576","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","L.C.P. Lima","L.C.P. Lima; V.J. Pott; A.L.B. Sartori; A. Pott","159","2002","04","21",NA,"Brasil","Mato Grosso do Sul","Bataiporã","Rodovia MS-, 2km E de Porto Primavera.","-53.0869444","-22.475",NA,"Papilionoideae. Flor amarela. Fruto castanho claro. Habitat: Campo secundário. Solo siltoso. Relevo planície fluvial. Habito: Subarbusto. 1 m de altura. Esparso.","CGMS1041960",NA,NA,NA,NA,"-53,0869444","-22,475",NA,NA,NA,NA,NA,NA,NA,NA
