"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber","sex"
"43","2013-01-17 14:35:00-02","MO","MOBOT","1199181","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Calaway H. Dodson|P.M. Dodson","Dodson 11348","1981","9","18","South America","Ecuador",NA,NA,"Capeira. Km 21 on the Guayaquil to Daule road. Tropical Dry Forest. El Matapalo on western slope along creek bed with occasional pockets of standing water.",NA,NA,"70.00000000","120.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"185","1",NA,NA
"44","2013-01-17 14:36:00-02","MO","MOBOT","1199182","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Calaway H. Dodson|F.M. Valverde B.","Dodson 6945","1978","8","3","South America","Ecuador","Los Ríos","Vinces","Jauneche Forest, between Mocachi and Palenque on Estero Peñafiel.","-79.7","-1.2666667","70.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"45","2013-01-17 14:36:00-02","MO","MOBOT","1199183","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Calaway H. Dodson|Alvin Embree","Dodson 13122","1982","7","1","South America","Ecuador","Guayas","Guayaquil","Capeira, km 21 Guayaquil-Daule. Along El Matapalo Creek.","-79.9666667","-2","150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"46","2013-01-17 14:35:00-02","MO","MOBOT","1199184","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Grady L. Webster","Webster 22614","1978","7","7","South America","Ecuador","Esmeraldas","Esmeraldas","2 km W of Atacames, near sea level.","-79.9333333","0.8666667","5.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"47","2020-07-11 04:38:00-03","MO","MOBOT","1371049","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Gwilym P. Lewis|Zhofre Aguirre|Bolívar Merino|N. Aguirre|Tania Delgado|H. Alejandro","Lewis 3393","1997","7","29","South America","Ecuador","El Oro",NA,"Bosque Petrificado de Puyango.","-80.0833333","-3.8666667","425.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"48","2020-07-11 04:38:00-03","MO","MOBOT","1371051","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Gwilym P. Lewis|Zhofre Aguirre|Bolívar Merino|N. Aguirre|Tania Delgado|H. Alejandro","Lewis 3402","1997","7","30","South America","Ecuador","Loja",NA,"Bosque Petrificado de Puyango, 1-3 km along track on Loja side of bridge.","-80.0833333","-3.8666667","450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"49","2013-02-13 05:33:00-02","MO","MOBOT","1573672","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","R. Liesner (MO)","Mario Saldias P.","Saldias Paz 388","1988","8","1","South America","Bolivia","Santa Cruz","Ichilo","Rio Saguayo","-63.71666","-17.63333","400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2012-09-07 05:07:00-03","MO","MOBOT","1773432","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","D. Sanchez S.","Sánchez","Sánchez 1678","1991","12","4","South America","Colombia","Antioquia","Jardín","Carretera Alto del Indio-Las Marfaritas","-75.81666","5.6","1620.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2018-09-26 04:37:00-03","MO","MOBOT","1773483","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","D. Sanchez S.","Dario A. Sánchez S.|L.E. Eusse","Sánchez S. 1641","1991","11","11","South America","Colombia","Antioquia","Támesis","Vereda El Encanto","-75.71666","5.66666","1320.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2009-11-04 15:53:00-02","MO","MOBOT","1773485","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","J. Belalcazar","Julio C. Betancur B.|Richard W. Pohl","Betancur B. 190","1986","9","10","South America","Colombia","Antioquia","Urrao","Coreegimiento de la Encarnacion, al lado de la carretera,",NA,NA,"1650.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2014-07-14 04:12:00-03","MO","MOBOT","1788340","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Hno. Daniel","Daniel 1461","1935","6",NA,"South America","Colombia","Antioquia","Medellín","San Cristobal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2019-10-01 06:18:00-03","MO","MOBOT","1846930","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P. Fantz","Gerrit Davidse|Ángel C. González","Davidse 19761","1981","11","27","South America","Venezuela","Anzoátegui","Libertad","Road from El Vigia to Buenos Aires, 8-15 airline km ENE of Bergantán.","-64.2166667","10.0166667","500.00000000","1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1436","1",NA,NA
"55","2008-05-27 22:02:00-03","MO","MOBOT","1880626","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Paul R. Fantz (NCSC), June","* ZAMBRANO C","ZAMBRANO C 144","1974","9","28","South America","Venezuela","Zulia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2014-09-18 05:38:00-03","MO","MOBOT","1951416","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","N. Raes","N. Raes|G. Iraipi","Raes 215","2003","6","10","South America","Bolivia","Santa Cruz","Guarayos","60 km east of Ascension de Guarayos.","-62.91666","-15.78333","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA
"57","2014-09-18 05:38:00-03","MO","MOBOT","1951895","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","N. Raes","N. Raes|G. Iraipi","Raes 250","2003","6","29","South America","Bolivia","Santa Cruz","Guarayos","60 km east of Ascension de Guarayos.","-62.91666","-15.78333","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA
"58","2011-11-08 05:06:00-02","MO","MOBOT","1954243","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","J. Belalcazar","Ricardo Callejas|et al.","Callejas Posada 5823","1987","11","23","South America","Colombia","Antioquia","Dabeiba","30 km S de Dabeiba en la via a Fuemia. bmh-T/bmh-P","-76.33333","6.75","1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2011-11-04 16:36:00-02","MO","MOBOT","3174753","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Fantz","Franciso Delascio C.|Reyes López","Delascio Chitty 12973","1987",NA,NA,"South America","Venezuela","Cojedes",NA,"Dto. San Carlos. Entre Los Chupones y Las Piedras, vía La Sierra.",NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2008-05-27 22:02:00-03","MO","MOBOT","3174955","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Fants","LISBOA","LISBOA 2309","1909",NA,NA,"South America","Brazil","Maranhão",NA,"Pedreiras.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2020-09-04 04:40:00-03","MO","MOBOT","3175108","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Fants","Herbert H. Smith","Smith 685","1898",NA,NA,"South America","Colombia",NA,NA,NA,NA,NA,"609.60000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2008-05-27 22:02:00-03","MO","MOBOT","3175178","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","R. Schultze-Kraft & J.Belacázar","SCHULTZE","SCHULTZE 48A","1987","3","17","South America","Colombia","Valle del Cauca",NA,"7 km SO de Sevilla vía a Paila Arriba, borde de un guadual, ocosistema bosque húmedo tropical, precipitación anual 1690 mm; suelo franco-arcilloso con pH 6.1 asociada con Desmodium axillare (Swartz) DeCandolle, Desmodium macrodesmum (S.F. Blake Standley & Steyermark, Calopogonium caeruleum (Bentham) Sauvalle, Centrosema pubescens Bentham.",NA,NA,"1690.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2011-11-03 16:53:00-02","MO","MOBOT","3175371","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Fants","Lourdes Cárdenas","Cárdenas de Guevara 347","1967",NA,NA,"South America","Venezuela","Aragua",NA,"Raudio Grande.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2010-10-07 15:19:00-03","MO","MOBOT","3175405","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Fantz","Howard S. Irwin|R. Souza|J.W. Grear, Jr.|R. Reis dos Santos","Irwin 17115","1966","6","13","South America","Brazil","Mato Grosso do Sul",NA,"Gallery forest, ca. 25 km. S. of Xavantina.",NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2013-07-28 05:59:00-03","MO","MOBOT","3175909","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Gunnar Wilhelm Harling|Lennart Andersson","Harling 14600","1974","5","14","South America","Ecuador","Guayas",NA,"Nobol, swamps and roadside vegetation.","-80.01667","-1.91667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2009-11-16 15:05:00-02","MO","MOBOT","3177212","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","N. Cuello","Nidia Cuello","Cuello A. 437","1989","1","20","South America","Venezuela","Amazonas",NA,"Dpto. Atures. Bosque Medio en peniplanicie en el sector El Porvenir a 54 Km al S de Pto. Ayacucho por la carretera hacia Samariapo. Hoja NB-19-11.","-67.75","5.33333","100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2013-01-17 14:36:00-02","MO","MOBOT","3177280","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Calaway H. Dodson|Alwyn H. Gentry","Dodson 12638","1982","2","18","South America","Ecuador","Guayas",NA,"Capeira, km 21, Guayaquil to Daule.",NA,NA,"20.00000000","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"68","2013-01-16 14:54:00-02","MO","MOBOT","3177444","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika RIdbäck (GB)","Calaway H. Dodson|Alwyn H. Gentry","Dodson 12592","1982","2","17","South America","Ecuador","Guayas",NA,"Capeira, km 21 Guayaquil to Daule.","-79.963","-2.0195","20.00000000","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"69","2013-08-23 04:12:00-03","MO","MOBOT","3177487","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Baltasar Trujillo","Trujillo 3259","1957","3","21","South America","Venezuela","Aragua",NA,"Pozo del Diablo, Maracay.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2008-05-27 22:02:00-03","MO","MOBOT","3178049","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","R. Fortunato","B.A.S. Pereira","Pereira 291","1982",NA,NA,"South America","Brazil","Distrito Federal",NA,"Adjacencias da Cachoeira do Pipiripau.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2008-05-27 22:02:00-03","MO","MOBOT","3178051","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Fants","Ezechias P. Heringer","Heringer 4929","1980",NA,NA,"South America","Brazil","Distrito Federal",NA,"Bacia do Rio São Barolomeu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2008-05-27 22:02:00-03","MO","MOBOT","3178053","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Fants","Albert C. Smith","Smith 2323","1937","11","1","South America","Guyana",NA,NA,"Basin of Rupununi River: near mouth of Charwair Creek. Edge of forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2010-03-21 18:20:00-03","MO","MOBOT","3178082","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","V. Perazzo Barbosa","Charles M. Belshaw","Belshaw 3266","1937","8","17","South America","Peru","San Martín","San Martín","Valley of San Martin. Along Río Shilcayo 1-4 km. northeast of Tarapoto.",NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2015-07-08 05:53:00-03","MO","MOBOT","75169","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Daniel Rubio|Galo A. Tipaz|W. Herzog|Tamara Núñez","Rubio 1974","1991","8","17","South America","Ecuador","Guayas","Guayaquil","Bosque Protector Cerro Blanco. Carretera a Salinas, km 15.","-79.9666667","-2.1666667","300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91-9","5",NA,NA
"75","2015-07-08 05:53:00-03","MO","MOBOT","765868","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Daniel Rubio|Galo A. Tipaz|W. Herzog|Tamara Núñez","Rubio 1985","1991","8","17","South America","Ecuador","Guayas","Guayaquil","Bosque Protector Cerro Blanco. Carretera a Salinas, km 15.","-79.9666667","-2.1666667","300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91-9","5",NA,NA
"76","2012-10-02 11:29:00-03","MO","MOBOT","791957","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridback (GOET)","Camilo Díaz S.|et al.","Díaz Santibáñez 4670","1992","7","6","South America","Peru","Tumbes","Zarumilla","Distrito Matapalo. Entre P.C. El caucho y P.C. Campoverde. Bosque Nacional de Tumbes. Reserva de Biósfera del Noroeste.","-80.25916","-3.84138","720.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"151","2",NA,NA
"77","2013-01-17 14:36:00-02","MO","MOBOT","79327","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Alwyn H. Gentry|Calaway H. Dodson","Gentry 54821","1986","7","14","South America","Ecuador","Guayas",NA,"Capeira, 22 km N of Guayaquil on road to Daule. disturbed dry forest.","-79.96666","-2","20.00000000","150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86-79","1",NA,NA
"78","2013-01-17 14:36:00-02","MO","MOBOT","83935","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ulrika Ridbäck (GB)","Calaway H. Dodson|T.A. Dodson|Alvin Embree|R. Perry","Dodson 7095","1978","8","15","South America","Ecuador","Los Ríos","Vinces","Jauneche forest, between Mocachi and Palenque on Estero Peñafiel.","-79.7","-1.2666667","70.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"79","2008-05-27 22:02:00-03","MO","MOBOT","935613","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","T. Killeen (MO)","Timothy J. Killeen|H. Gonzáles","Killeen 6414","1994","6","12","South America","Bolivia","Santa Cruz","Velasco","Parque Nacional Noel Kempff Mercado, Pampa Los Fierros; Cerrado hasta campo cerrado; suelos bien drenados, rojos; parcela permanente no. 1.","-60.85694","-14.60555","250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2008-05-27 22:02:00-03","MO","MOBOT","938609","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","T. Killeen (MO)","Timothy J. Killeen|Jean Wellens","Killeen 6260","1994","5","8","South America","Bolivia","Santa Cruz","Velasco","Reserva Forestal Bajo Paraguá. Bosque y matorral deciduo sobre laja.","-61.65944","-14.54666","450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2014-04-04 05:48:00-03","MO","MOBOT","915344","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum andinum","R.Schultze-Kraft & Belalc.","Ulrika Ridback (GOET)","Rodolfo Vásquez|et al.","Vásquez Martínez 18768","1994","7","18","South America","Peru","Amazonas","Bagua","Distrito Imaza: Región Nororiental del Marañon. Comunidad de Yamayakat, Río Marañon. Bosque primario.","-78.31666","-4.91666","320.00000000",NA,NA,NA,NA,NA,"andinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"523","5",NA,NA
"82","2020-08-31 09:15:35-03","INPA","INPA","256088","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Lewis, GP","1476","1987","03","12","Southern America","Brasil","Roraima","Alto Alegre","Ilha de Maracá, Estação.","-61.833333","3.583333",NA,NA,NA,NA,"INPA0256088","INPA0256088 INPA0256088_e",NA,NA,NA,"-61.833333","3.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2020-08-31 09:15:35-03","INPA","INPA","201431","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Grimes, JW","Hahn, WJ","4922","1988","12","30","Southern America","Venezuela","Portuguesa",NA,"5 km W of Merida-Barinas boudary on road to Barinas.","-70.416667","8.833333","1680","1680",NA,NA,"INPA0201431","INPA0201431 INPA0201431_1 INPA0201431_e",NA,NA,NA,"-70.416667","8.833333",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA
"84","2020-08-31 09:15:35-03","INPA","INPA","19759","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Irwin, HS","Prance, GT","4118","1967","01","26","Southern America","Brasil","Roraima","Mucajaí","Ipiranga, Rio Mucajaí, between Pratinha and Rio Apiaú.","-61.180201","2.678015",NA,NA,NA,NA,"INPA0019759","INPA0019759 INPA0019759_e",NA,NA,NA,"-61.180201","2.678015",NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA
"85","2020-06-15 15:30:35-03","UNESP-RC","HRCB","19234","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Queiroz, L.P.","Tamashiro, J.Y.",NA,NA,NA,NA,NA,"Brasil","São Paulo","Paulo de Farias","Estação Ecológica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2020-06-15 15:30:35-03","UNESP-RC","HRCB","42040","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Cabral, C.D. de O. & Santos-Silva, R.","Carniello, M.A.","56","2003","08",NA,NA,"Brasil","Mato Grosso","Cáceres","Porto Limão","-57.6789016723633","-16.0706005096436",NA,NA,NA,"Herbácea prostrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"172193","auto",NA,NA,NA,NA
"87","2019-12-19 11:18:50-03","UFG","UFG","50715","S","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Silva, M.J.","Projeto Biodiversidade, B.P.; et al.","63","2012","09","20",NA,"Brasil","Goiás","Edéia",NA,"-49.860833","-17.378889","473","473",NA,NA,"UFG0050715","UFG0050715",NA,NA,NA,"-49.860833","-17.378889",NA,"2012","01","01",NA,NA,NA,NA,NA,NA
"88","2021-01-26 13:54:36-03","IMA","MAC","43544","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","E.C.O.Chagas","Chagas-Mota","5048","2009","08","16",NA,"Brasil","Alagoas","Atalaia","Povoado Ouricuri.","-36.0228004455566","-9.50193977355957",NA,NA,NA,"Trepadeira. Flores brancas. Frutos verdes.; Mata Pluvial Atlântica.","MAC0043544",NA,NA,NA,NA,NA,NA,NA,"2009","08","16","22098","auto",NA,NA,NA,NA
"89","2021-01-26 13:54:36-03","IMA","MAC","31891","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","E.C.O.Chagas","Chagas-Mota","133","2007","11","16",NA,"Brasil","Alagoas","Viçosa","Serra Dois Irmãos.","-36.2407989501953","-9.3713903427124",NA,NA,NA,"Trepadeira. Erva com flores brancas e frutos verdes.; Floresta Pluvial Atlântica.","MAC0031891",NA,NA,NA,NA,NA,NA,NA,"2007","11","16","18701","auto",NA,NA,NA,NA
"90","2021-01-26 13:54:36-03","IMA","MAC","45060","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","E.C.O.Chagas","Chagas-Mota; S.Brasileiro","6564","2009","11","28",NA,"Brasil","Alagoas","Viçosa","Serra Dois Irmãos.","-36.2407989501953","-9.3713903427124",NA,NA,NA,"Trepadeira. Flores brancas com vermelho. Frutos verdes.; Mata Atlântica.","MAC0045060",NA,NA,NA,NA,NA,NA,NA,"2009","11","28","18701","auto",NA,NA,NA,NA
"91","2021-02-04 10:28:51-03","UFRPE","HST","6321","PreservedSpecimen","Plantae",NA,NA,"Leguminosae Papilionoideae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","L.P. de Queiroz","L.P.Félix","7741","1997","05","18",NA,"Brasil","Piauí","Monte Alegre",NA,NA,NA,NA,NA,NA,"Volúvel, flores liláses.","HST006321",NA,NA,NA,NA,NA,NA,NA,"1999","08",NA,NA,NA,NA,NA,NA,NA
"92","2021-02-04 10:28:51-03","UFRPE","HST","16407","PreservedSpecimen","Plantae",NA,NA,"Leguminosae Papilionoideae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","L.P.de Queiroz","A.M.Miranda; R. Costa et V.F. Silva","5985","2009","05","13",NA,"Brasil","Maranhão","Tasso Fragoso",NA,"-45.7428016662598","-8.47527980804443",NA,NA,NA,"Volúvel; caule verde; folhas membranáceas; flores vistosas róseas.","HST016407",NA,NA,NA,NA,NA,NA,NA,"2009",NA,NA,"76991","auto",NA,NA,NA,NA
"93","2021-03-01 11:54:08-03","UFPE","UFP","39990","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae-Papi.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Cano, O","Sobrinho, MS","378","2003","09","27",NA,"Brasil","Pernambuco","São Lourenço da Mata",NA,"-35.0182991027832","-8.00222015380859",NA,NA,NA,"Escandente lenhosa, flor rósea com centro amarelo, do tipo goela.; Escandente lenhosa, flor rósea com centro amarelo, do tipo goela.","UFP039990",NA,NA,NA,NA,NA,NA,NA,"2004","06","18","21764","auto",NA,NA,NA,NA
