"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"31","2021-01-14 15:29:34-03","MN","R","130523","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Smith, L.B.; Klein, R.M.","1964","12","02","Brasil","Santa Catarina","Caçador",NA,"-51.366667","-26.75","51°22'W","26°45'S","1000","1000",NA,NA,NA,"13364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-01-14 15:29:34-03","MN","R","130522","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Smith, L.B.; Klein, R.M.","1964","12","02","Brasil","Santa Catarina","Caçador",NA,"-51.366667","-26.75","51°22'W","26°45'S","1000","1000",NA,NA,NA,"13369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-01-14 15:29:34-03","MN","R","130130","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Bukart, A.",NA,NA,NA,"Smith, L.B.; et al.","1956","11","25","Brasil","Santa Catarina","Bom Retiro",NA,"-49.489200592041","-27.7971992492676",NA,NA,NA,NA,NA,NA,NA,"7931",NA,NA,NA,NA,NA,"35974","auto",NA,NA,NA,NA,NA
"34","2021-01-14 15:29:34-03","MN","R","130138","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Bukart, A.",NA,NA,NA,"Smith, L.B.; Klein, R.M.","1956","12","06","Brasil","Santa Catarina","Curitibanos","32 Km n. of C., north of Curitibanos on the Estrada de Rodagem Federal","-50.584400177002","-27.2828006744385",NA,NA,"850","850",NA,NA,NA,"8370",NA,NA,NA,NA,NA,"25987","auto",NA,NA,NA,NA,NA
"35","2021-01-14 15:29:34-03","MN","R","130139","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Garcia, F.C.P.","1999","02",NA,"Smith, L.B.; Reitz, R. & Klein, R.","1956","11","25","Brasil","Santa Catarina","Bom Retiro","Riozinho","-49.489200592041","-27.7971992492676",NA,NA,"1000","1000",NA,NA,NA,"7931",NA,NA,NA,NA,NA,"35974","auto",NA,NA,NA,NA,NA
"36","2019-08-27 13:29:46-03","IAP","PACA-AGP","36181","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Emrich-Rambo","1954","08","12","Rambo, B.","1948","03",NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"EM PERIGO&nf;Espécie confirmada por F. C. P. Garcia em 07/1997. Habitat: in silvula nebulari Fenofase: estéril","PACA036181",NA,NA,NA,NA,NA,"Magnoliophyta","Fagales","30776","auto","Magnoliatae",NA,NA,NA,NA
"37","2019-08-27 13:29:46-03","IAP","PACA-AGP","2545","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Emrich-Rambo","1954","08","12","Rambo, B.","1937","01","14","Brasil","RS","São Francisco de Paula","ad urbem","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"EM PERIGO&nf;Espécie confirmada por F. C. P. Garcia em 07/1997. Habitat: ad araucarietum Fenofase: flor","PACA002545",NA,NA,NA,NA,NA,"Magnoliophyta","Fagales","76715","auto","Magnoliatae",NA,NA,NA,NA
"38","2019-08-27 13:29:46-03","IAP","PACA-AGP","32152","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Emrich-Rambo","1954","08","12","Rambo, B.","1946","02","14","Brasil","RS","São Francisco de Paula","Serra do Faxinal","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"EM PERIGO&nf;Espécie confirmada por F. C. P. Garcia em 07/1997. Habitat: in silvula nebulari Fenofase: fruto submaturo","PACA032152",NA,NA,NA,NA,NA,"Magnoliophyta","Fagales","76715","auto","Magnoliatae",NA,NA,NA,NA
"39","2019-08-27 13:29:46-03","IAP","PACA-AGP","50119","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Emrich-Rambo","1954","08","12","Rambo, B.","1951","02","21","Brasil","RS","São Francisco de Paula","Serra do Faxinal","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"EM PERIGO&nf;Espécie confirmada por F. C. P. Garcia em 02/1999. Habitat: in silvula nebulari Fenofase: fruto submaturo","PACA050119",NA,NA,NA,NA,NA,"Magnoliophyta","Fagales","76715","auto","Magnoliatae",NA,NA,NA,NA
"40","2019-08-27 13:29:46-03","IAP","PACA-AGP","50958","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","B. Rambo",NA,NA,NA,"Sehnem, A.","1950","12","19","Brasil","RS","São Francisco de Paula","Taimbé","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"EM PERIGO Habitat: in silva Hábito: árvore","PACA050958",NA,"5150",NA,NA,NA,"Magnoliophyta","Fagales","76715","auto","Magnoliatae",NA,NA,NA,NA
"41","2019-08-27 13:29:46-03","IAP","PACA-AGP","48306","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Burkart","1949",NA,NA,"Reitz, R.","1948","12","24","Brasil","SC","Bom Retiro","Riozinho","-49.489200592041","-27.7971992492676",NA,NA,"100","100","EM PERIGO&nf;6m de altura com flores brancas e frutos amarelos.&nf;Espécie confirmada por F. C. P. Garcia em 07/1997. Habitat: in silvula montana Fenofase: flor Hábito: árvore","PACA048306",NA,"3378",NA,NA,NA,"Magnoliophyta","Fagales","35974","auto","Magnoliatae",NA,NA,NA,NA
"42","2019-08-27 13:29:46-03","IAP","PACA-AGP","35232","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Emrich-Rambo","1954","08","12","Rambo, B.","1947","02","14","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"EM PERIGO&nf;Espécie confirmada por F. C. P. Garcia em 07/1997. Habitat: in silvula nebulari Fenofase: fruto maturo","PACA035232",NA,NA,NA,NA,NA,"Magnoliophyta","Fagales","55856","auto","Magnoliatae",NA,NA,NA,NA
"43","2019-08-27 13:29:46-03","IAP","PACA-AGP","8725","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Emrich-Rambo","1954","08","12","Rambo, B.","1942","01","14","Brasil","RS","Bom Jesus","Serra da Rocinha, Aparados","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"&nf;EM PERIGO&nf;Espécie confirmada por F. C. P. Garcia em 07/1997. Habitat: in silvula nebulari Fenofase: estéril","PACA008725",NA,NA,NA,NA,NA,"Magnoliophyta","Fagales","55856","auto","Magnoliatae",NA,NA,NA,NA
"44","2019-08-27 13:29:46-03","IAP","PACA-AGP","96179","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","C. Mondin","2001","10",NA,"Mondin, C.","2001","10","30","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"HASU 14400&nf;c/ ca 4 m Habitat: Na beira dos Aparados Hábito: arvoreta","PACA096179",NA,"2407",NA,NA,NA,"Magnoliophyta","Fagales","76715","auto","Magnoliatae",NA,NA,NA,NA
"45","2019-08-27 13:29:46-03","IAP","PACA-AGP","114214","PreservedSpecimen","Plantae","Mimosaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","A. Sehnem",NA,NA,NA,"Sehnem, A.","1951","02","23","Brasil","RS","São Francisco de Paula","Serra do Faxinal.","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Habitat: arbor parva in silva nebulari","PACA114214",NA,"5657",NA,NA,NA,"Magnoliophyta","Fagales","76715","auto","Magnoliatae",NA,NA,NA,NA
