nome_aceito_correto,fontes,notas,nomes_originais,elegivel_originais,fontes_originais
Kielmeyera occhioniana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Kielmeyera occhioniana,examinar,sima-Portaria 443/2014
Kielmeyera rufotomentosa,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Kielmeyera rufotomentosa,examinar,sima-Portaria 443/2014
Kielmeyera rupestris,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Kielmeyera rupestris,examinar,sima-Portaria 443/2014
Kielmeyera sigillata,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Kielmeyera sigillata,examinar,sima-Portaria 443/2014
Caraipa odorata,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Caraipa odorata,examinar,sima
Acicarpha tribuloides,sima-SP_oficial-cncflora_web-mpoSP,NA,Acicarpha tribuloides,apta,sima-SP_oficial-cncflora_web-mpoSP
Boopis bupleuroides,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Boopis bupleuroides,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Boopis itatiaiae,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Boopis itatiaiae,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Lobelia hilaireana,sima-cncflora_web-Portaria 443/2014,NA,Lobelia hilaireana,apta,sima-cncflora_web-Portaria 443/2014
Lobelia langeana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Lobelia langeana,examinar,sima-Portaria 443/2014
Lobelia xalapensis,sima-SP_oficial-cncflora_web,NA,Lobelia xalapensis,apta,sima-SP_oficial-cncflora_web
Siphocampylus lycioides,sima-SP_oficial-cncflora_web,NA,Siphocampylus lycioides,apta,sima-SP_oficial-cncflora_web
Lobelia glazioviana,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Lobelia glazioviana,examinar,sima
Lobelia hederacea,sima-SP_oficial-cncflora_web-mpoSP,NA,Lobelia hederacea,apta,sima-SP_oficial-cncflora_web-mpoSP
Lobelia nummularioides,sima-SP_oficial-cncflora_web-mpoSP,NA,Lobelia nummularioides,apta,sima-SP_oficial-cncflora_web-mpoSP
Lobelia santos-limae,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Lobelia santos-limae,examinar,sima-Portaria 443/2014
Lobelia anceps,cncflora_web,NA,Lobelia anceps,apta,cncflora_web
Cinnamodendron occhionianum,cncflora_ckan,NA,Cinnamodendron occhionianum,apta,cncflora_ckan
Cinnamodendron dinisii,cncflora_ckan,NA,Cinnamodendron dinisii,apta,cncflora_ckan
Celtis iguanaea,cncflora_web-UICN_API,Nome original era sinônimo,Celtis ehrenbergiana-Celtis iguanaea,apta,cncflora_web-UICN_API-UICN_API
Celtis iguanaea,UICN_API,NA,Celtis ehrenbergiana-Celtis iguanaea,apta,cncflora_web-UICN_API-UICN_API
Celtis chichape,UICN_API,NA,Celtis chichape,apta,UICN_API
Capparidastrum frondosum,UICN_API,NA,Capparidastrum frondosum,apta,UICN_API
Cynophalla flexuosa,UICN_API,NA,Cynophalla flexuosa,apta,UICN_API
Valeriana glaziovii,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Valeriana glaziovii,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Valeriana glechomifolia,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Valeriana glechomifolia,examinar,sima-Portaria 443/2014
Valeriana organensis,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Valeriana organensis,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Valeriana reitziana,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Valeriana reitziana,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Valeriana tajuvensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Valeriana tajuvensis,examinar,sima-Portaria 443/2014
Citronella gongonha,UICN_API,NA,Citronella gongonha,apta,UICN_API
Jacaratia spinosa,sima-cncflora_web,NA,Jacaratia spinosa,apta,sima-cncflora_web
Caryocar brasiliense,sima-cncflora_web-UICN_API,NA,Caryocar brasiliense,apta,sima-cncflora_web-UICN_API
Anthodon decussatus,UICN_API,Nome original mal escrito,Anthodon decussatum,apta,UICN_API
Cheiloclinium cognatum,UICN_API,NA,Cheiloclinium cognatum,apta,UICN_API
Elachyptera festiva,sima-cncflora_web,NA,Elachyptera festiva,apta,sima-cncflora_web
Elachyptera micrantha,cncflora_web,NA,Elachyptera micrantha,apta,cncflora_web
Peritassa longifolia,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Peritassa longifolia,examinar,sima-Portaria 443/2014
Peritassa sadleri,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Peritassa sadleri,examinar,sima-Portaria 443/2014
Salacia arborea,cncflora_web,NA,Salacia arborea,apta,cncflora_web
Salacia elliptica,UICN_API,NA,Salacia elliptica,apta,UICN_API
Salacia grandifolia,UICN_API,NA,Salacia grandifolia,apta,UICN_API
Salacia mosenii,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Salacia mosenii,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Tontelea leptophylla,cncflora_web,NA,Tontelea leptophylla,apta,cncflora_web
Tontelea martiana,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Tontelea martiana,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Elachyptera coriacea,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Elachyptera coriacea,examinar,sima
Tontelea lanceolata,sima-cncflora_web-Portaria 443/2014,NA,Tontelea lanceolata,apta,sima-cncflora_web-Portaria 443/2014
Schaefferia argentinensis,sima-SP_oficial-UICN_API,NA,Schaefferia argentinensis,apta,sima-SP_oficial-UICN_API
Monteverdia acanthophylla,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Maytenus acanthophylla,examinar,sima-Portaria 443/2014
Monteverdia aquifolia,cncflora_web-UICN_API,Nome original era sinônimo,Maytenus aquifolia,apta,cncflora_web-UICN_API
Monteverdia ardisiifolia,cncflora_ckan-UICN_API,NA,Monteverdia ardisiifolia,apta,cncflora_ckan-UICN_API
Monteverdia basidentata,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Maytenus basidentata-Monteverdia basidentata,examinar,sima-Portaria 443/2014-sima
Monteverdia basidentata,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Maytenus basidentata-Monteverdia basidentata,examinar,sima-Portaria 443/2014-sima
Monteverdia brasiliensis,SP_oficial-cncflora_web,Nome original era sinônimo,Maytenus brasiliensis-Monteverdia brasiliensis,apta,SP_oficial-cncflora_web-sima
Monteverdia brasiliensis,sima,NA,Maytenus brasiliensis-Monteverdia brasiliensis,apta,SP_oficial-cncflora_web-sima
Monteverdia cestrifolia,cncflora_ckan-UICN_API,NA,Monteverdia cestrifolia,apta,cncflora_ckan-UICN_API
Monteverdia comocladiiformis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Monteverdia comocladiiformis,examinar,sima
Monteverdia floribunda,cncflora_web,Nome original era sinônimo,Maytenus floribunda,apta,cncflora_web
Monteverdia glaucescens,cncflora_web,Nome original era sinônimo,Maytenus glaucescens-Monteverdia glaucescens,apta,cncflora_web-cncflora_ckan-UICN_API
Monteverdia glaucescens,cncflora_ckan-UICN_API,NA,Maytenus glaucescens-Monteverdia glaucescens,apta,cncflora_web-cncflora_ckan-UICN_API
Monteverdia rupestris,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Maytenus rupestris,examinar,sima-Portaria 443/2014
Monteverdia radlkoferiana,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Monteverdia radlkoferiana,examinar,sima
Monteverdia quadrangulata,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Maytenus quadrangulata,examinar,sima-Portaria 443/2014
Monteverdia littoralis,cncflora_ckan-UICN_API,NA,Monteverdia littoralis,apta,cncflora_ckan-UICN_API
Monteverdia gonoclada,cncflora_web,Nome original era sinônimo,Maytenus robusta-Monteverdia gonoclada,apta,cncflora_web-UICN_API
Monteverdia gonoclada,UICN_API,NA,Maytenus robusta-Monteverdia gonoclada,apta,cncflora_web-UICN_API
Fuscocephaloziopsis crassifolia,cncflora_web,Nome original era sinônimo,Cephalozia crassifolia,apta,cncflora_web
Cylindrocolea rhizantha,cncflora_web,NA,Cylindrocolea rhizantha,apta,cncflora_web
Ceratophyllum demersum,UICN_API,NA,Ceratophyllum demersum,apta,UICN_API
Chrysobalanus icaco,UICN_API,NA,Chrysobalanus icaco,apta,UICN_API
Couepia belemii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia belemii,examinar,sima-Portaria 443/2014
Couepia monteclarensis,cncflora_web,NA,Couepia monteclarensis,apta,cncflora_web
Couepia pernambucensis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia pernambucensis,examinar,sima
Couepia schottii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia schottii,examinar,sima-Portaria 443/2014
Hirtella angustifolia,cncflora_ckan-UICN_API,NA,Hirtella angustifolia,apta,cncflora_ckan-UICN_API
Hirtella hebeclada,cncflora_ckan,NA,Hirtella hebeclada,apta,cncflora_ckan
Hirtella insignis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hirtella insignis,examinar,sima-Portaria 443/2014
Hirtella santosii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hirtella santosii,examinar,sima-Portaria 443/2014
Licania bahiensis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Licania bahiensis,examinar,sima
Licania belemii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Licania belemii,examinar,sima-Portaria 443/2014
Licania kunthiana,UICN_API,NA,Licania kunthiana,apta,UICN_API
Licania nitida,cncflora_ckan-UICN_API,NA,Licania nitida,apta,cncflora_ckan-UICN_API
Licania santosii,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Licania santosii,examinar,sima
Couepia carautae,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia carautae,examinar,sima-Portaria 443/2014
Couepia cidiana,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia cidiana,examinar,sima
Couepia joaquinae,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia joaquinae,examinar,sima-Portaria 443/2014
Couepia leitaofilhoi,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,NA,Couepia leitaofilhoi,apta,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014
Couepia marleneae,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia marleneae,examinar,sima
Couepia meridionalis,sima-SP_oficial-CR_Lac-cncflora_ckan-UICN_API-Portaria 443/2014,NA,Couepia meridionalis,apta,sima-SP_oficial-CR_Lac-cncflora_ckan-UICN_API-Portaria 443/2014
Couepia morii,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia morii,examinar,sima
Couepia reflexa,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia reflexa,examinar,sima
Couepia stipularis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Couepia stipularis,examinar,sima
Couepia venosa,cncflora_ckan-UICN_API,NA,Couepia venosa,apta,cncflora_ckan-UICN_API
Exellodendron gracile,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Exellodendron gracile,examinar,sima-Portaria 443/2014
Hirtella barrosoi,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hirtella barrosoi,examinar,sima
Hirtella glaziovii,cncflora_ckan,NA,Hirtella glaziovii,apta,cncflora_ckan
Hirtella parviunguis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hirtella parviunguis,examinar,sima-Portaria 443/2014
Licania arianeae,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Licania arianeae,examinar,sima-Portaria 443/2014
Licania bellingtonii,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Licania bellingtonii,examinar,sima
Licania glazioviana,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Licania glazioviana,examinar,sima
Licania indurata,sima-SP_oficial-cncflora_ckan-Portaria 443/2014,NA,Licania indurata,apta,sima-SP_oficial-cncflora_ckan-Portaria 443/2014
Licania nelsonii,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Licania nelsonii,examinar,sima
Licania teixeirae,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Licania teixeirae,examinar,sima
Parinari brasiliensis,sima-SP_oficial-cncflora_ckan-Portaria 443/2014,NA,Parinari brasiliensis,apta,sima-SP_oficial-cncflora_ckan-Portaria 443/2014
Moquilea tomentosa,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Licania tomentosa,examinar,sima
Microdesmia rigida,cncflora_ckan,Nome original era sinônimo,Licania rigida,apta,cncflora_ckan
Moquilea anneae,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Licania anneae,examinar,sima
Hymenopus miltonii,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Licania miltonii,examinar,sima
Hymenopus conferruminatus,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Licania conferruminata,examinar,sima-Portaria 443/2014
Leptobalanus gardneri,sima-SP_oficial-cncflora_web-UICN_API,Nome original era sinônimo,Licania gardneri,apta,sima-SP_oficial-cncflora_web-UICN_API
Leptobalanus octandrus,UICN_API,Nome original era sinônimo,Licania octandra,apta,UICN_API
Crocanthemum brasiliensis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Crocanthemum brasiliensis-Helianthemum brasiliense,examinar,sima-sima-Portaria 443/2014
Crocanthemum brasiliensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Crocanthemum brasiliensis-Helianthemum brasiliense,examinar,sima-sima-Portaria 443/2014
Tarenaya diffusa,SP_oficial,Nome original era sinônimo,Hemiscola diffusa-Tarenaya diffusa,apta,SP_oficial-sima
Tarenaya diffusa,sima,NA,Hemiscola diffusa-Tarenaya diffusa,apta,SP_oficial-sima
Clethra scabra,cncflora_web-UICN_API,NA,Clethra scabra,apta,cncflora_web-UICN_API
Clusia aemygdioi,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Clusia aemygdioi,examinar,sima-Portaria 443/2014
Clusia lanceolata,UICN_API,NA,Clusia lanceolata,apta,UICN_API
Garcinia brasiliensis,UICN_API,NA,Garcinia brasiliensis,apta,UICN_API
Garcinia gardneriana,UICN_API,NA,Garcinia gardneriana,apta,UICN_API
Tovomitopsis paniculata,UICN_API,NA,Tovomitopsis paniculata,apta,UICN_API
Moronobea coccinea,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Moronobea coccinea,examinar,sima
Combretum laxum,UICN_API,NA,Combretum laxum,apta,UICN_API
Conocarpus erectus,UICN_API,NA,Conocarpus erectus,apta,UICN_API
Laguncularia racemosa,UICN_API,NA,Laguncularia racemosa,apta,UICN_API
Terminalia acuminata,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Terminalia acuminata,examinar,sima-Portaria 443/2014
Terminalia januariensis,cncflora_web-UICN_API,NA,Terminalia januariensis,apta,cncflora_web-UICN_API
Terminalia triflora,cncflora_web-UICN_API,Nome original era sinônimo,Terminalia reitzii-Terminalia triflora,apta,cncflora_web-UICN_API-sima-UICN_API
Terminalia triflora,sima-UICN_API,NA,Terminalia reitzii-Terminalia triflora,apta,cncflora_web-UICN_API-sima-UICN_API
Combretum rupicola,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Combretum rupicola,examinar,sima-Portaria 443/2014
Terminalia argentea,sima-cncflora_web-UICN_API,NA,Terminalia argentea,apta,sima-cncflora_web-UICN_API
Terminalia phaeocarpa,cncflora_ckan-UICN_API,NA,Terminalia phaeocarpa,apta,cncflora_ckan-UICN_API
Terminalia hoehneana,sima-SP_oficial-cncflora_ckan,Nome original era sinônimo,Buchenavia hoehneana-Buchenavia pabstii-Terminalia hoehneana,apta,sima-SP_oficial-cncflora_ckan-cncflora_web-UICN_API
Terminalia hoehneana,cncflora_web,Nome original era sinônimo,Buchenavia hoehneana-Buchenavia pabstii-Terminalia hoehneana,apta,sima-SP_oficial-cncflora_ckan-cncflora_web-UICN_API
Terminalia hoehneana,UICN_API,NA,Buchenavia hoehneana-Buchenavia pabstii-Terminalia hoehneana,apta,sima-SP_oficial-cncflora_ckan-cncflora_web-UICN_API
Terminalia kleinii,cncflora_web,Nome original era sinônimo,Buchenavia iguaratensis-Buchenavia kleinii-Terminalia kleinii,apta,cncflora_web-sima-cncflora_web-UICN_API
Terminalia kleinii,sima-cncflora_web,Nome original era sinônimo,Buchenavia iguaratensis-Buchenavia kleinii-Terminalia kleinii,apta,cncflora_web-sima-cncflora_web-UICN_API
Terminalia kleinii,UICN_API,NA,Buchenavia iguaratensis-Buchenavia kleinii-Terminalia kleinii,apta,cncflora_web-sima-cncflora_web-UICN_API
Terminalia parvifolia,sima,Nome original era sinônimo,Buchenavia parvifolia-Buchenavia parvifolia subsp. rabelloana-Buchenavia rabelloana,apta,sima-SP_oficial-cncflora_web
Terminalia parvifolia,SP_oficial,Nome original era sinônimo,Buchenavia parvifolia-Buchenavia parvifolia subsp. rabelloana-Buchenavia rabelloana,apta,sima-SP_oficial-cncflora_web
Terminalia parvifolia,cncflora_web,Nome original era sinônimo,Buchenavia parvifolia-Buchenavia parvifolia subsp. rabelloana-Buchenavia rabelloana,apta,sima-SP_oficial-cncflora_web
Dichorisandra acaulis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Dichorisandra acaulis,examinar,sima-Portaria 443/2014
Dichorisandra glaziovii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Dichorisandra glaziovii,examinar,sima-Portaria 443/2014
Dichorisandra leucophthalmos,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Dichorisandra leucophthalmos,examinar,sima-Portaria 443/2014
Dichorisandra neglecta,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Dichorisandra neglecta,examinar,sima-Portaria 443/2014
Siderasis fuscata,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Siderasis fuscata,examinar,sima-Portaria 443/2014
Callisia monandra,cncflora_web,NA,Callisia monandra,apta,cncflora_web
Commelina diffusa,UICN_API,NA,Commelina diffusa,apta,UICN_API
Tinantia erecta,cncflora_web,NA,Tinantia erecta,apta,cncflora_web
Tripogandra warmingiana,cncflora_web,NA,Tripogandra warmingiana,apta,cncflora_web
Connarus rostratus,cncflora_web,NA,Connarus rostratus,apta,cncflora_web
Rourea cnestidifolia,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Rourea cnestidifolia,examinar,sima-Portaria 443/2014
Rourea gracilis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Rourea gracilis,examinar,sima
Rourea pseudospadicea,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Rourea pseudospadicea,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Connarus suberosus,UICN_API,NA,Connarus suberosus,apta,UICN_API
Rourea induta,cncflora_web,Nome original era sinônimo,Rourea psammophila,apta,cncflora_web
Aniseia martinicensis,UICN_API,NA,Aniseia martinicensis,apta,UICN_API
Bonamia agrostopolis,sima,NA,Bonamia agrostopolis-Bonamia burchellii,apta,sima-cncflora_web
Bonamia agrostopolis,cncflora_web,Nome original era sinônimo,Bonamia agrostopolis-Bonamia burchellii,apta,sima-cncflora_web
Convolvulus hasslerianus,sima-SP_oficial-cncflora_web,NA,Convolvulus hasslerianus,apta,sima-SP_oficial-cncflora_web
Cuscuta obtusiflora,cncflora_web,NA,Cuscuta obtusiflora,apta,cncflora_web
Evolvulus aurigenius,sima-cncflora_web,NA,Evolvulus aurigenius,apta,sima-cncflora_web
Evolvulus barbatus,sima-cncflora_web,NA,Evolvulus barbatus,apta,sima-cncflora_web
Evolvulus chrysotrichos,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Evolvulus chrysotrichos,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Evolvulus cressoides,sima-SP_oficial-cncflora_web,NA,Evolvulus cressoides,apta,sima-SP_oficial-cncflora_web
Evolvulus fuscus,sima-SP_oficial-cncflora_web,NA,Evolvulus fuscus,apta,sima-SP_oficial-cncflora_web
Evolvulus riedelii,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,NA,Evolvulus riedelii,apta,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014
Evolvulus stellariifolius,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Evolvulus stellariifolius,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Ipomoea aprica,sima-SP_oficial,NA,Ipomoea aprica,apta,sima-SP_oficial
Ipomoea argentea,sima-cncflora_web,NA,Ipomoea argentea,apta,sima-cncflora_web
Ipomoea campestris,sima-cncflora_web,NA,Ipomoea campestris,apta,sima-cncflora_web
Ipomoea daturiflora,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Ipomoea daturiflora,examinar,sima-Portaria 443/2014
Ipomoea fimbriosepala,cncflora_web,NA,Ipomoea fimbriosepala,apta,cncflora_web
Ipomoea hirsutissima,sima-SP_oficial-cncflora_web,NA,Ipomoea hirsutissima,apta,sima-SP_oficial-cncflora_web
Ipomoea ramosissima,UICN_API,NA,Ipomoea ramosissima,apta,UICN_API
Ipomoea rubens,UICN_API,NA,Ipomoea rubens,apta,UICN_API
Ipomoea sericophylla,sima-SP_oficial-cncflora_web,NA,Ipomoea sericophylla,apta,sima-SP_oficial-cncflora_web
Ipomoea subrevoluta,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Ipomoea subrevoluta,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Ipomoea tiliacea,UICN_API,NA,Ipomoea tiliacea,apta,UICN_API
Ipomoea triloba,UICN_API,Nome original era sinônimo,Ipomoea grandifolia,apta,UICN_API
Operculina macrocarpa,sima-SP_oficial-cncflora_web,NA,Operculina macrocarpa,apta,sima-SP_oficial-cncflora_web
Evolvulus filipes,sima-SP_oficial-cncflora_web,NA,Evolvulus filipes,apta,sima-SP_oficial-cncflora_web
Iseia luxurians,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Iseia luxurians,examinar,sima
Jacquemontia sphaerocephala,SP_oficial,Nome original era sinônimo,Jacquemontia acrocephala-Jacquemontia sphaerocephala,apta,SP_oficial-sima
Jacquemontia sphaerocephala,sima,NA,Jacquemontia acrocephala-Jacquemontia sphaerocephala,apta,SP_oficial-sima
Evolvulus glaziovii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Evolvulus glaziovii,examinar,sima-Portaria 443/2014
Evolvulus kramerioides,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Evolvulus kramerioides,examinar,sima-Portaria 443/2014
Evolvulus rariflorus,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Evolvulus rariflorus,examinar,sima-Portaria 443/2014
Ipomoea cynanchifolia,sima-cncflora_web-UICN_API,NA,Ipomoea cynanchifolia,apta,sima-cncflora_web-UICN_API
Ipomoea macedoi,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Ipomoea macedoi,examinar,sima-Portaria 443/2014
Ipomoea pinifolia,sima-SP_oficial,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Ipomoea pinifolia,examinar,sima-SP_oficial
Jacquemontia cephalantha,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Jacquemontia cephalantha,examinar,sima-Portaria 443/2014
Jacquemontia revoluta,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Jacquemontia revoluta,examinar,sima-Portaria 443/2014
Operculina hamiltonii,cncflora_web,Nome original era sinônimo,Operculina alata,apta,cncflora_web
Evolvulus elegans var. confertifolius,SP_oficial,NA,Evolvulus elegans var. confertifolius,apta,SP_oficial
Ipomoea carajasensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Ipomoea carajasensis,examinar,sima-Portaria 443/2014
Ipomoea cavalcantei,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Ipomoea cavalcantei,examinar,sima-Portaria 443/2014
Ipomoea acutisepala,sima-SP_oficial-cncflora_web,NA,Ipomoea acutisepala,apta,sima-SP_oficial-cncflora_web
Aniseia martinicensis var. ambigua,sima-cncflora_web,NA,Aniseia martinicensis var. ambigua,apta,sima-cncflora_web
Jacquemontia glabrescens,sima-SP_oficial,NA,Jacquemontia glabrescens,apta,sima-SP_oficial
Distimake repens,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Merremia repens,examinar,sima-Portaria 443/2014
Chamaecostus subsessilis,sima-SP_oficial,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Chamaecostus subsessilis,examinar,sima-SP_oficial
Crassula peduncularis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Crassula peduncularis,examinar,sima-Portaria 443/2014
Cayaponia espelina,sima-cncflora_web,NA,Cayaponia espelina,apta,sima-cncflora_web
Cayaponia pedata,sima-SP_oficial-cncflora_web,NA,Cayaponia pedata,apta,sima-SP_oficial-cncflora_web
Ceratosanthes hilariana,sima-cncflora_web,NA,Ceratosanthes hilariana,apta,sima-cncflora_web
Cayaponia trilobata,sima-SP_oficial-cncflora_web,NA,Cayaponia trilobata,apta,sima-SP_oficial-cncflora_web
Cayaponia bonariensis,sima-SP_oficial-cncflora_web,NA,Cayaponia bonariensis,apta,sima-SP_oficial-cncflora_web
Culcita coniifolia,cncflora_web,NA,Culcita coniifolia,apta,cncflora_web
Lamanonia cuneata,cncflora_web-UICN_API,NA,Lamanonia cuneata,apta,cncflora_web-UICN_API
Lamanonia ternata,UICN_API,NA,Lamanonia ternata,apta,UICN_API
Weinmannia discolor,cncflora_web,NA,Weinmannia discolor,apta,cncflora_web
Weinmannia humilis,UICN_API,NA,Weinmannia humilis,apta,UICN_API
