nome_aceito_correto,entra_revisado
Xyris rigida,SIM
Xyris wawrae,SIM
Hedychium coronarium,SIM
Renealmia brasiliensis,SIM
Aechmea recurvata var. ortgiesii,SIM
Tillandsia stricta var. stricta,SIM
Arthrocereus melanurus subsp. melanurus,SIM
Schlumbergera lutea subsp. bradei,SIM
Evolvulus elegans var. confertifolius,SIM
Aniseia martinicensis var. ambigua,SIM
Aeschynomene sensitiva var. hispidula,SIM
Trichilia lepidota subsp. schumanniana,SIM
Anomospermum reticulatum subsp. nitidum,SIM
Psidium rufum var. widgrenianum,SIM
Pimenta pseudocaryophyllus var. hoehnei,SIM
Campomanesia schlechtendaliana var. schlechtendaliana,SIM
Campomanesia sessiliflora var. sessiliflora,SIM
Comparettia falcata var. paulensis,SIM
Promenaea stapelioides subsp. xanthina,SIM
Piper corcovadensis var. longiracemosum,SIM
Setaria parviflora var. pilosissima,SIM
Declieuxia cordigera var. divergentiflora,SIM
Galium hypocarpium subsp. buxifolium,SIM
Rudgea jasminoides subsp. nervosa,SIM
Rudgea parquioides subsp. caprifolium,SIM
Rudgea parquioides subsp. hirsutissima,SIM
Galium noxium subsp. valantioides,SIM
