nome_aceito_correto,nomes_originais,elegivel_produto_1,splink_t20,gbif_t20,splink_rbcv,gbif_rbcv,sum,entra,notas_all,especialista
Masdevallia discoidea,Masdevallia discoidea,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Mesadenella atroviridis,Mesadenella atroviridis,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Miltonia clowesii,Miltonia clowesii,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Miltonia flavescens,Miltonia flavescens,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Miltonia regnellii,Miltonia regnellii,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Miltonia spectabilis,Miltonia spectabilis,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Myoxanthus ruschii,Myoxanthus ruschii,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Myoxanthus seidelii,Myoxanthus seidelii,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Octomeria alexandri,Octomeria alexandri,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Octomeria chamaeleptotes,Octomeria chamaeleptotes,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Octomeria decumbens,Octomeria decumbens,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Octomeria diaphana,Octomeria diaphana,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Octomeria estrellensis,Octomeria estrellensis,apta,TRUE,NA,TRUE,NA,2,entra,"NA",
Octomeria geraensis,Octomeria geraensis,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Octomeria hatschbachii,Octomeria hatschbachii,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Octomeria lichenicola,Octomeria lichenicola,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Octomeria praestans,Octomeria praestans,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Octomeria rotundiglossa,Octomeria rotundiglossa,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Octomeria truncicola,Octomeria truncicola,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Octomeria warmingii,Octomeria warmingii,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Octomeria wawrae,Octomeria wawrae,apta,TRUE,NA,TRUE,NA,2,entra,"NA",
Octomeria wilsoniana,Octomeria wilsoniana,apta,TRUE,NA,TRUE,NA,2,entra,"NA",
Oeceoclades maculata,Oeceoclades maculata,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Ornithocephalus myrticola,Ornithocephalus myrticola,apta,TRUE,TRUE,FALSE,FALSE,2,nao entra,"NA",
Phymatidium falcifolium,Phymatidium falcifolium,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Phymatidium vogelii,Phymatidium vogelii,apta,NA,NA,NA,NA,NA,entra,"NA",
Pogoniopsis schenckii,Pogoniopsis schenckii,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Pseudolaelia brejetubensis,Pseudolaelia brejetubensis,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Pseudolaelia canaanensis,Pseudolaelia canaanensis,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Pseudolaelia dutrae,Pseudolaelia dutrae,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Pteroglossa glazioviana,Pteroglossa glazioviana,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Pteroglossa hilariana,Pteroglossa hilariana,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
