sp,gbif_file,splink_file
Chusquea pinifolia,output/p2/occs/Chusquea pinifolia/gbif/Chusquea pinifolia_clean.csv,output/p2/occs/Chusquea pinifolia/splink/Chusquea pinifolia.csv
Chusquea pulchella,output/p2/occs/Chusquea pulchella/gbif/Chusquea pulchella_clean.csv,output/p2/occs/Chusquea pulchella/splink/Chusquea pulchella.csv
Chusquea tenuiglumis,output/p2/occs/Chusquea tenuiglumis/gbif/Chusquea tenuiglumis_clean.csv,output/p2/occs/Chusquea tenuiglumis/splink/Chusquea tenuiglumis.csv
Cinnamodendron occhionianum,output/p2/occs/Cinnamodendron occhionianum/gbif/Cinnamodendron occhionianum_clean.csv,output/p2/occs/Cinnamodendron occhionianum/splink/Cinnamodendron occhionianum.csv
Cinnamomum erythropus,output/p2/occs/Cinnamomum erythropus/gbif/Cinnamomum erythropus_clean.csv,output/p2/occs/Cinnamomum erythropus/splink/Cinnamomum erythropus.csv
Cirrhaea fuscolutea,output/p2/occs/Cirrhaea fuscolutea/gbif/Cirrhaea fuscolutea_clean.csv,output/p2/occs/Cirrhaea fuscolutea/splink/Cirrhaea fuscolutea.csv
Cirrhaea loddigesii,output/p2/occs/Cirrhaea loddigesii/gbif/Cirrhaea loddigesii_clean.csv,output/p2/occs/Cirrhaea loddigesii/splink/Cirrhaea loddigesii.csv
Cirrhaea longiracemosa,output/p2/occs/Cirrhaea longiracemosa/gbif/Cirrhaea longiracemosa_clean.csv,output/p2/occs/Cirrhaea longiracemosa/splink/Cirrhaea longiracemosa.csv
Cissus serroniana,output/p2/occs/Cissus serroniana/gbif/Cissus serroniana_clean.csv,output/p2/occs/Cissus serroniana/splink/Cissus serroniana.csv
Clematis campestris,output/p2/occs/Clematis campestris/gbif/Clematis campestris_clean.csv,output/p2/occs/Clematis campestris/splink/Clematis campestris.csv
Cnidoscolus froesii,output/p2/occs/Cnidoscolus froesii/gbif/Cnidoscolus froesii_clean.csv,output/p2/occs/Cnidoscolus froesii/splink/Cnidoscolus froesii.csv
Codonanthe carnosa,output/p2/occs/Codonanthe carnosa/gbif/Codonanthe carnosa_clean.csv,output/p2/occs/Codonanthe carnosa/splink/Codonanthe carnosa.csv
Coffea arabica,output/p2/occs/Coffea arabica/gbif/Coffea arabica_clean.csv,output/p2/occs/Coffea arabica/splink/Coffea arabica.csv
Colanthelia macrostachya,output/p2/occs/Colanthelia macrostachya/gbif/Colanthelia macrostachya_clean.csv,output/p2/occs/Colanthelia macrostachya/splink/Colanthelia macrostachya.csv
Comanthera elegans,output/p2/occs/Comanthera elegans/gbif/Comanthera elegans_clean.csv,output/p2/occs/Comanthera elegans/splink/Comanthera elegans.csv
Cordia silvestris,output/p2/occs/Cordia silvestris/gbif/Cordia silvestris_clean.csv,output/p2/occs/Cordia silvestris/splink/Cordia silvestris.csv
Cordia trichoclada,output/p2/occs/Cordia trichoclada/gbif/Cordia trichoclada_clean.csv,output/p2/occs/Cordia trichoclada/splink/Cordia trichoclada.csv
Couepia meridionalis,output/p2/occs/Couepia meridionalis/gbif/Couepia meridionalis_clean.csv,output/p2/occs/Couepia meridionalis/splink/Couepia meridionalis.csv
Coussarea accedens,output/p2/occs/Coussarea accedens/gbif/Coussarea accedens_clean.csv,output/p2/occs/Coussarea accedens/splink/Coussarea accedens.csv
Cratylia isopetala,output/p2/occs/Cratylia isopetala/gbif/Cratylia isopetala_clean.csv,output/p2/occs/Cratylia isopetala/splink/Cratylia isopetala.csv
Crinum americanum,output/p2/occs/Crinum americanum/gbif/Crinum americanum_clean.csv,output/p2/occs/Crinum americanum/splink/Crinum americanum.csv
Croton hemiargyreus,output/p2/occs/Croton hemiargyreus/gbif/Croton hemiargyreus_clean.csv,output/p2/occs/Croton hemiargyreus/splink/Croton hemiargyreus.csv
Croton priscus,output/p2/occs/Croton priscus/gbif/Croton priscus_clean.csv,output/p2/occs/Croton priscus/splink/Croton priscus.csv
Croton serratifolius,output/p2/occs/Croton serratifolius/gbif/Croton serratifolius_clean.csv,output/p2/occs/Croton serratifolius/splink/Croton serratifolius.csv
Croton sphaerogynus,output/p2/occs/Croton sphaerogynus/gbif/Croton sphaerogynus_clean.csv,output/p2/occs/Croton sphaerogynus/splink/Croton sphaerogynus.csv
Cryptanthus minarum,output/p2/occs/Cryptanthus minarum/gbif/Cryptanthus minarum_clean.csv,output/p2/occs/Cryptanthus minarum/splink/Cryptanthus minarum.csv
Cryptocarya botelhensis,output/p2/occs/Cryptocarya botelhensis/gbif/Cryptocarya botelhensis_clean.csv,output/p2/occs/Cryptocarya botelhensis/splink/Cryptocarya botelhensis.csv
Cryptocarya micrantha,output/p2/occs/Cryptocarya micrantha/gbif/Cryptocarya micrantha_clean.csv,output/p2/occs/Cryptocarya micrantha/splink/Cryptocarya micrantha.csv
Ctenium brevispicatum,output/p2/occs/Ctenium brevispicatum/gbif/Ctenium brevispicatum_clean.csv,output/p2/occs/Ctenium brevispicatum/splink/Ctenium brevispicatum.csv
Ctenium cirrosum,output/p2/occs/Ctenium cirrosum/gbif/Ctenium cirrosum_clean.csv,output/p2/occs/Ctenium cirrosum/splink/Ctenium cirrosum.csv
Cupania concolor,output/p2/occs/Cupania concolor/gbif/Cupania concolor_clean.csv,output/p2/occs/Cupania concolor/splink/Cupania concolor.csv
Cupania furfuracea,output/p2/occs/Cupania furfuracea/gbif/Cupania furfuracea_clean.csv,output/p2/occs/Cupania furfuracea/splink/Cupania furfuracea.csv
Cuphea arenarioides,output/p2/occs/Cuphea arenarioides/gbif/Cuphea arenarioides_clean.csv,output/p2/occs/Cuphea arenarioides/splink/Cuphea arenarioides.csv
Cuphea lindmaniana,output/p2/occs/Cuphea lindmaniana/gbif/Cuphea lindmaniana_clean.csv,output/p2/occs/Cuphea lindmaniana/splink/Cuphea lindmaniana.csv
Curtia tenuifolia,output/p2/occs/Curtia tenuifolia/gbif/Curtia tenuifolia_clean.csv,output/p2/occs/Curtia tenuifolia/splink/Curtia tenuifolia.csv
Cuscuta obtusiflora,output/p2/occs/Cuscuta obtusiflora/gbif/Cuscuta obtusiflora_clean.csv,output/p2/occs/Cuscuta obtusiflora/splink/Cuscuta obtusiflora.csv
Cyathea poeppigii,output/p2/occs/Cyathea poeppigii/gbif/Cyathea poeppigii_clean.csv,output/p2/occs/Cyathea poeppigii/splink/Cyathea poeppigii.csv
Cyrtopodium hatschbachii,output/p2/occs/Cyrtopodium hatschbachii/gbif/Cyrtopodium hatschbachii_clean.csv,output/p2/occs/Cyrtopodium hatschbachii/splink/Cyrtopodium hatschbachii.csv
Cyrtopodium lissochiloides,output/p2/occs/Cyrtopodium lissochiloides/gbif/Cyrtopodium lissochiloides_clean.csv,output/p2/occs/Cyrtopodium lissochiloides/splink/Cyrtopodium lissochiloides.csv
Cyrtopodium palmifrons,output/p2/occs/Cyrtopodium palmifrons/gbif/Cyrtopodium palmifrons_clean.csv,output/p2/occs/Cyrtopodium palmifrons/splink/Cyrtopodium palmifrons.csv
Cyrtopodium parviflorum,output/p2/occs/Cyrtopodium parviflorum/gbif/Cyrtopodium parviflorum_clean.csv,output/p2/occs/Cyrtopodium parviflorum/splink/Cyrtopodium parviflorum.csv
Dahlstedtia muehlbergiana,output/p2/occs/Dahlstedtia muehlbergiana/gbif/Dahlstedtia muehlbergiana_clean.csv,output/p2/occs/Dahlstedtia muehlbergiana/splink/Dahlstedtia muehlbergiana.csv
Dalbergia nigra,output/p2/occs/Dalbergia nigra/gbif/Dalbergia nigra_clean.csv,output/p2/occs/Dalbergia nigra/splink/Dalbergia nigra.csv
Dalechampia leandrii,output/p2/occs/Dalechampia leandrii/gbif/Dalechampia leandrii_clean.csv,output/p2/occs/Dalechampia leandrii/splink/Dalechampia leandrii.csv
Dasyphyllum lanceolatum,output/p2/occs/Dasyphyllum lanceolatum/gbif/Dasyphyllum lanceolatum_clean.csv,output/p2/occs/Dasyphyllum lanceolatum/splink/Dasyphyllum lanceolatum.csv
Declieuxia cordigera,output/p2/occs/Declieuxia cordigera/gbif/Declieuxia cordigera_clean.csv,output/p2/occs/Declieuxia cordigera/splink/Declieuxia cordigera.csv
Declieuxia oenanthoides,output/p2/occs/Declieuxia oenanthoides/gbif/Declieuxia oenanthoides_clean.csv,output/p2/occs/Declieuxia oenanthoides/splink/Declieuxia oenanthoides.csv
Dendropanax nebulosus,output/p2/occs/Dendropanax nebulosus/gbif/Dendropanax nebulosus_clean.csv,output/p2/occs/Dendropanax nebulosus/splink/Dendropanax nebulosus.csv
Desmodium subsecundum,output/p2/occs/Desmodium subsecundum/gbif/Desmodium subsecundum_clean.csv,output/p2/occs/Desmodium subsecundum/splink/Desmodium subsecundum.csv
Dichaea mosenii,output/p2/occs/Dichaea mosenii/gbif/Dichaea mosenii_clean.csv,output/p2/occs/Dichaea mosenii/splink/Dichaea mosenii.csv
Dicksonia sellowiana,output/p2/occs/Dicksonia sellowiana/gbif/Dicksonia sellowiana_clean.csv,output/p2/occs/Dicksonia sellowiana/splink/Dicksonia sellowiana.csv
Digitaria corynotricha,output/p2/occs/Digitaria corynotricha/gbif/Digitaria corynotricha_clean.csv,output/p2/occs/Digitaria corynotricha/splink/Digitaria corynotricha.csv
Dimorphandra wilsonii,output/p2/occs/Dimorphandra wilsonii/gbif/Dimorphandra wilsonii_clean.csv,output/p2/occs/Dimorphandra wilsonii/splink/Dimorphandra wilsonii.csv
Dioscorea asperula,output/p2/occs/Dioscorea asperula/gbif/Dioscorea asperula_clean.csv,output/p2/occs/Dioscorea asperula/splink/Dioscorea asperula.csv
Dioscorea sanpaulensis,output/p2/occs/Dioscorea sanpaulensis/gbif/Dioscorea sanpaulensis_clean.csv,output/p2/occs/Dioscorea sanpaulensis/splink/Dioscorea sanpaulensis.csv
Dioscorea trilinguis,output/p2/occs/Dioscorea trilinguis/gbif/Dioscorea trilinguis_clean.csv,output/p2/occs/Dioscorea trilinguis/splink/Dioscorea trilinguis.csv
Diplusodon villosissimus,output/p2/occs/Diplusodon villosissimus/gbif/Diplusodon villosissimus_clean.csv,output/p2/occs/Diplusodon villosissimus/splink/Diplusodon villosissimus.csv
Dipteryx alata,output/p2/occs/Dipteryx alata/gbif/Dipteryx alata_clean.csv,output/p2/occs/Dipteryx alata/splink/Dipteryx alata.csv
Doryopteris rediviva,output/p2/occs/Doryopteris rediviva/gbif/Doryopteris rediviva_clean.csv,output/p2/occs/Doryopteris rediviva/splink/Doryopteris rediviva.csv
Dryadella auriculigera,output/p2/occs/Dryadella auriculigera/gbif/Dryadella auriculigera_clean.csv,output/p2/occs/Dryadella auriculigera/splink/Dryadella auriculigera.csv
Duguetia salicifolia,output/p2/occs/Duguetia salicifolia/gbif/Duguetia salicifolia_clean.csv,output/p2/occs/Duguetia salicifolia/splink/Duguetia salicifolia.csv
Dyckia minarum,output/p2/occs/Dyckia minarum/gbif/Dyckia minarum_clean.csv,output/p2/occs/Dyckia minarum/splink/Dyckia minarum.csv
Dyckia tuberosa,output/p2/occs/Dyckia tuberosa/gbif/Dyckia tuberosa_clean.csv,output/p2/occs/Dyckia tuberosa/splink/Dyckia tuberosa.csv
Echinodorus paniculatus,output/p2/occs/Echinodorus paniculatus/gbif/Echinodorus paniculatus_clean.csv,output/p2/occs/Echinodorus paniculatus/splink/Echinodorus paniculatus.csv
Elaphoglossum herminieri,output/p2/occs/Elaphoglossum herminieri/gbif/Elaphoglossum herminieri_clean.csv,output/p2/occs/Elaphoglossum herminieri/splink/Elaphoglossum herminieri.csv
Elaphoglossum itatiayense,output/p2/occs/Elaphoglossum itatiayense/gbif/Elaphoglossum itatiayense_clean.csv,output/p2/occs/Elaphoglossum itatiayense/splink/Elaphoglossum itatiayense.csv
Elaphoglossum paulistanum,output/p2/occs/Elaphoglossum paulistanum/gbif/Elaphoglossum paulistanum_clean.csv,output/p2/occs/Elaphoglossum paulistanum/splink/Elaphoglossum paulistanum.csv
Elaphoglossum scolopendrifolium,output/p2/occs/Elaphoglossum scolopendrifolium/gbif/Elaphoglossum scolopendrifolium_clean.csv,output/p2/occs/Elaphoglossum scolopendrifolium/splink/Elaphoglossum scolopendrifolium.csv
Epidendrum geniculatum,NA,output/p2/occs/Epidendrum geniculatum/splink/Epidendrum geniculatum.csv
Epidendrum henschenii,NA,output/p2/occs/Epidendrum henschenii/splink/Epidendrum henschenii.csv
Epidendrum parahybunense,NA,output/p2/occs/Epidendrum parahybunense/splink/Epidendrum parahybunense.csv
Epidendrum saxatile,NA,output/p2/occs/Epidendrum saxatile/splink/Epidendrum saxatile.csv
Eragrostis neesii,NA,output/p2/occs/Eragrostis neesii/splink/Eragrostis neesii.csv
Eremanthus brasiliensis,NA,output/p2/occs/Eremanthus brasiliensis/splink/Eremanthus brasiliensis.csv
Eremanthus praetermissus,NA,output/p2/occs/Eremanthus praetermissus/splink/Eremanthus praetermissus.csv
Eriotheca pubescens,NA,output/p2/occs/Eriotheca pubescens/splink/Eriotheca pubescens.csv
Eryngium eurycephalum,NA,output/p2/occs/Eryngium eurycephalum/splink/Eryngium eurycephalum.csv
Eryngium koehneanum,NA,output/p2/occs/Eryngium koehneanum/splink/Eryngium koehneanum.csv
Eryngium scirpinum,NA,output/p2/occs/Eryngium scirpinum/splink/Eryngium scirpinum.csv
Erythroxylum catharinense,NA,output/p2/occs/Erythroxylum catharinense/splink/Erythroxylum catharinense.csv
Erythroxylum cuneifolium,NA,output/p2/occs/Erythroxylum cuneifolium/splink/Erythroxylum cuneifolium.csv
Erythroxylum myrsinites,NA,output/p2/occs/Erythroxylum myrsinites/splink/Erythroxylum myrsinites.csv
Escallonia chlorophylla,NA,output/p2/occs/Escallonia chlorophylla/splink/Escallonia chlorophylla.csv
Escallonia petrophila,NA,output/p2/occs/Escallonia petrophila/splink/Escallonia petrophila.csv
Escobedia grandiflora,NA,output/p2/occs/Escobedia grandiflora/splink/Escobedia grandiflora.csv
Esenbeckia hieronymi,NA,output/p2/occs/Esenbeckia hieronymi/splink/Esenbeckia hieronymi.csv
Esenbeckia leiocarpa,NA,output/p2/occs/Esenbeckia leiocarpa/splink/Esenbeckia leiocarpa.csv
Esterhazya caesarea,NA,output/p2/occs/Esterhazya caesarea/splink/Esterhazya caesarea.csv
Eubrachion ambiguum,NA,output/p2/occs/Eubrachion ambiguum/splink/Eubrachion ambiguum.csv
Eugenia arenosa,NA,output/p2/occs/Eugenia arenosa/splink/Eugenia arenosa.csv
Eugenia bahiensis,NA,output/p2/occs/Eugenia bahiensis/splink/Eugenia bahiensis.csv
Eugenia bunchosiifolia,NA,output/p2/occs/Eugenia bunchosiifolia/splink/Eugenia bunchosiifolia.csv
Eugenia disperma,NA,output/p2/occs/Eugenia disperma/splink/Eugenia disperma.csv
Eugenia handroi,NA,output/p2/occs/Eugenia handroi/splink/Eugenia handroi.csv
Eugenia hermesiana,NA,output/p2/occs/Eugenia hermesiana/splink/Eugenia hermesiana.csv
Eugenia lambertiana,NA,output/p2/occs/Eugenia lambertiana/splink/Eugenia lambertiana.csv
Eugenia longibracteata,NA,output/p2/occs/Eugenia longibracteata/splink/Eugenia longibracteata.csv
Eugenia longipetiolata,NA,output/p2/occs/Eugenia longipetiolata/splink/Eugenia longipetiolata.csv
Eugenia macrobracteolata,NA,output/p2/occs/Eugenia macrobracteolata/splink/Eugenia macrobracteolata.csv
Eugenia malacantha,NA,output/p2/occs/Eugenia malacantha/splink/Eugenia malacantha.csv
Eugenia nutans,NA,output/p2/occs/Eugenia nutans/splink/Eugenia nutans.csv
Eugenia peruibensis,NA,output/p2/occs/Eugenia peruibensis/splink/Eugenia peruibensis.csv
Eugenia pisiformis,NA,output/p2/occs/Eugenia pisiformis/splink/Eugenia pisiformis.csv
Eugenia pithecocephala,NA,output/p2/occs/Eugenia pithecocephala/splink/Eugenia pithecocephala.csv
Eugenia plicata,NA,output/p2/occs/Eugenia plicata/splink/Eugenia plicata.csv
Eugenia prasina,NA,output/p2/occs/Eugenia prasina/splink/Eugenia prasina.csv
Eugenia pruinosa,NA,output/p2/occs/Eugenia pruinosa/splink/Eugenia pruinosa.csv
Eugenia pseudomalacantha,NA,output/p2/occs/Eugenia pseudomalacantha/splink/Eugenia pseudomalacantha.csv
Eugenia squamiflora,NA,output/p2/occs/Eugenia squamiflora/splink/Eugenia squamiflora.csv
Eugenia subundulata,NA,output/p2/occs/Eugenia subundulata/splink/Eugenia subundulata.csv
Eugenia tenuipedunculata,NA,output/p2/occs/Eugenia tenuipedunculata/splink/Eugenia tenuipedunculata.csv
Eugenia vattimoana,NA,output/p2/occs/Eugenia vattimoana/splink/Eugenia vattimoana.csv
Eugenia zuccarinii,NA,output/p2/occs/Eugenia zuccarinii/splink/Eugenia zuccarinii.csv
Euphorbia attastoma,NA,output/p2/occs/Euphorbia attastoma/splink/Euphorbia attastoma.csv
Euplassa cantareirae,NA,output/p2/occs/Euplassa cantareirae/splink/Euplassa cantareirae.csv
Euplassa hoehnei,NA,output/p2/occs/Euplassa hoehnei/splink/Euplassa hoehnei.csv
Euplassa incana,NA,output/p2/occs/Euplassa incana/splink/Euplassa incana.csv
Euterpe edulis,NA,output/p2/occs/Euterpe edulis/splink/Euterpe edulis.csv
Evolvulus barbatus,NA,output/p2/occs/Evolvulus barbatus/splink/Evolvulus barbatus.csv
Evolvulus chrysotrichos,NA,output/p2/occs/Evolvulus chrysotrichos/splink/Evolvulus chrysotrichos.csv
Evolvulus riedelii,NA,output/p2/occs/Evolvulus riedelii/splink/Evolvulus riedelii.csv
Faramea stipulacea,NA,output/p2/occs/Faramea stipulacea/splink/Faramea stipulacea.csv
Ficus hirsuta,NA,output/p2/occs/Ficus hirsuta/splink/Ficus hirsuta.csv
Ficus pulchella,NA,output/p2/occs/Ficus pulchella/splink/Ficus pulchella.csv
Froelichia interrupta,NA,output/p2/occs/Froelichia interrupta/splink/Froelichia interrupta.csv
Froelichia procera,NA,output/p2/occs/Froelichia procera/splink/Froelichia procera.csv
Galianthe peruviana,NA,output/p2/occs/Galianthe peruviana/splink/Galianthe peruviana.csv
Galium equisetoides,NA,output/p2/occs/Galium equisetoides/splink/Galium equisetoides.csv
Galium humile,NA,output/p2/occs/Galium humile/splink/Galium humile.csv
Gaylussacia montana,NA,output/p2/occs/Gaylussacia montana/splink/Gaylussacia montana.csv
Gelasine coerulea,NA,output/p2/occs/Gelasine coerulea/splink/Gelasine coerulea.csv
Genlisea repens,output/p2/occs/Genlisea repens/gbif/Genlisea repens_clean.csv,output/p2/occs/Genlisea repens/splink/Genlisea repens.csv
Goeppertia zebrina,output/p2/occs/Goeppertia zebrina/gbif/Goeppertia zebrina_clean.csv,output/p2/occs/Goeppertia zebrina/splink/Goeppertia zebrina.csv
Gomesa ciliata,output/p2/occs/Gomesa ciliata/gbif/Gomesa ciliata_clean.csv,output/p2/occs/Gomesa ciliata/splink/Gomesa ciliata.csv
Gomesa concolor,output/p2/occs/Gomesa concolor/gbif/Gomesa concolor_clean.csv,output/p2/occs/Gomesa concolor/splink/Gomesa concolor.csv
Gomesa cuneata,output/p2/occs/Gomesa cuneata/gbif/Gomesa cuneata_clean.csv,output/p2/occs/Gomesa cuneata/splink/Gomesa cuneata.csv
Gomesa florida,output/p2/occs/Gomesa florida/gbif/Gomesa florida_clean.csv,output/p2/occs/Gomesa florida/splink/Gomesa florida.csv
Gomesa jucunda,output/p2/occs/Gomesa jucunda/gbif/Gomesa jucunda_clean.csv,output/p2/occs/Gomesa jucunda/splink/Gomesa jucunda.csv
Gomesa laxiflora,output/p2/occs/Gomesa laxiflora/gbif/Gomesa laxiflora_clean.csv,output/p2/occs/Gomesa laxiflora/splink/Gomesa laxiflora.csv
Gomesa majevskyae,output/p2/occs/Gomesa majevskyae/gbif/Gomesa majevskyae_clean.csv,output/p2/occs/Gomesa majevskyae/splink/Gomesa majevskyae.csv
Gomesa pectoralis,output/p2/occs/Gomesa pectoralis/gbif/Gomesa pectoralis_clean.csv,output/p2/occs/Gomesa pectoralis/splink/Gomesa pectoralis.csv
Gomesa praetexta,output/p2/occs/Gomesa praetexta/gbif/Gomesa praetexta_clean.csv,output/p2/occs/Gomesa praetexta/splink/Gomesa praetexta.csv
Gomesa sarcodes,output/p2/occs/Gomesa sarcodes/gbif/Gomesa sarcodes_clean.csv,output/p2/occs/Gomesa sarcodes/splink/Gomesa sarcodes.csv
Gomesa uniflora,output/p2/occs/Gomesa uniflora/gbif/Gomesa uniflora_clean.csv,output/p2/occs/Gomesa uniflora/splink/Gomesa uniflora.csv
Gonatogyne brasiliensis,output/p2/occs/Gonatogyne brasiliensis/gbif/Gonatogyne brasiliensis_clean.csv,output/p2/occs/Gonatogyne brasiliensis/splink/Gonatogyne brasiliensis.csv
Goniopteris littoralis,output/p2/occs/Goniopteris littoralis/gbif/Goniopteris littoralis_clean.csv,output/p2/occs/Goniopteris littoralis/splink/Goniopteris littoralis.csv
Gouania inornata,output/p2/occs/Gouania inornata/gbif/Gouania inornata_clean.csv,output/p2/occs/Gouania inornata/splink/Gouania inornata.csv
Gouania ulmifolia,output/p2/occs/Gouania ulmifolia/gbif/Gouania ulmifolia_clean.csv,output/p2/occs/Gouania ulmifolia/splink/Gouania ulmifolia.csv
Grandiphyllum auricula,output/p2/occs/Grandiphyllum auricula/gbif/Grandiphyllum auricula_clean.csv,output/p2/occs/Grandiphyllum auricula/splink/Grandiphyllum auricula.csv
Grandiphyllum hians,output/p2/occs/Grandiphyllum hians/gbif/Grandiphyllum hians_clean.csv,output/p2/occs/Grandiphyllum hians/splink/Grandiphyllum hians.csv
Griffinia espiritensis,output/p2/occs/Griffinia espiritensis/gbif/Griffinia espiritensis_clean.csv,output/p2/occs/Griffinia espiritensis/splink/Griffinia espiritensis.csv
Griffinia liboniana,output/p2/occs/Griffinia liboniana/gbif/Griffinia liboniana_clean.csv,output/p2/occs/Griffinia liboniana/splink/Griffinia liboniana.csv
Griselinia ruscifolia,output/p2/occs/Griselinia ruscifolia/gbif/Griselinia ruscifolia_clean.csv,output/p2/occs/Griselinia ruscifolia/splink/Griselinia ruscifolia.csv
Grobya fascifera,output/p2/occs/Grobya fascifera/gbif/Grobya fascifera_clean.csv,output/p2/occs/Grobya fascifera/splink/Grobya fascifera.csv
Guapira nitida,output/p2/occs/Guapira nitida/gbif/Guapira nitida_clean.csv,output/p2/occs/Guapira nitida/splink/Guapira nitida.csv
Guettarda platyphylla,output/p2/occs/Guettarda platyphylla/gbif/Guettarda platyphylla_clean.csv,output/p2/occs/Guettarda platyphylla/splink/Guettarda platyphylla.csv
Guzmania monostachia,output/p2/occs/Guzmania monostachia/gbif/Guzmania monostachia_clean.csv,output/p2/occs/Guzmania monostachia/splink/Guzmania monostachia.csv
Gymnopogon burchellii,output/p2/occs/Gymnopogon burchellii/gbif/Gymnopogon burchellii_clean.csv,output/p2/occs/Gymnopogon burchellii/splink/Gymnopogon burchellii.csv
Gymnopogon doellii,output/p2/occs/Gymnopogon doellii/gbif/Gymnopogon doellii_clean.csv,output/p2/occs/Gymnopogon doellii/splink/Gymnopogon doellii.csv
Gyptis lanigera,output/p2/occs/Gyptis lanigera/gbif/Gyptis lanigera_clean.csv,output/p2/occs/Gyptis lanigera/splink/Gyptis lanigera.csv
Habenaria armata,output/p2/occs/Habenaria armata/gbif/Habenaria armata_clean.csv,output/p2/occs/Habenaria armata/splink/Habenaria armata.csv
Habenaria brachyplectron,output/p2/occs/Habenaria brachyplectron/gbif/Habenaria brachyplectron_clean.csv,output/p2/occs/Habenaria brachyplectron/splink/Habenaria brachyplectron.csv
Habenaria crucifera,output/p2/occs/Habenaria crucifera/gbif/Habenaria crucifera_clean.csv,output/p2/occs/Habenaria crucifera/splink/Habenaria crucifera.csv
Habenaria hexaptera,output/p2/occs/Habenaria hexaptera/gbif/Habenaria hexaptera_clean.csv,output/p2/occs/Habenaria hexaptera/splink/Habenaria hexaptera.csv
Habenaria leucosantha,output/p2/occs/Habenaria leucosantha/gbif/Habenaria leucosantha_clean.csv,output/p2/occs/Habenaria leucosantha/splink/Habenaria leucosantha.csv
Habenaria novaesii,output/p2/occs/Habenaria novaesii/gbif/Habenaria novaesii_clean.csv,output/p2/occs/Habenaria novaesii/splink/Habenaria novaesii.csv
Habenaria regnellii,output/p2/occs/Habenaria regnellii/gbif/Habenaria regnellii_clean.csv,output/p2/occs/Habenaria regnellii/splink/Habenaria regnellii.csv
Habenaria santensis,output/p2/occs/Habenaria santensis/gbif/Habenaria santensis_clean.csv,output/p2/occs/Habenaria santensis/splink/Habenaria santensis.csv
Habenaria trifida,output/p2/occs/Habenaria trifida/gbif/Habenaria trifida_clean.csv,output/p2/occs/Habenaria trifida/splink/Habenaria trifida.csv
Handroanthus botelhensis,output/p2/occs/Handroanthus botelhensis/gbif/Handroanthus botelhensis_clean.csv,output/p2/occs/Handroanthus botelhensis/splink/Handroanthus botelhensis.csv
Handroanthus impetiginosus,output/p2/occs/Handroanthus impetiginosus/gbif/Handroanthus impetiginosus_clean.csv,output/p2/occs/Handroanthus impetiginosus/splink/Handroanthus impetiginosus.csv
Hatschbachiella tweedieana,output/p2/occs/Hatschbachiella tweedieana/gbif/Hatschbachiella tweedieana_clean.csv,output/p2/occs/Hatschbachiella tweedieana/splink/Hatschbachiella tweedieana.csv
Hedychium coronarium,output/p2/occs/Hedychium coronarium/gbif/Hedychium coronarium_clean.csv,output/p2/occs/Hedychium coronarium/splink/Hedychium coronarium.csv
Heisteria perianthomega,output/p2/occs/Heisteria perianthomega/gbif/Heisteria perianthomega_clean.csv,output/p2/occs/Heisteria perianthomega/splink/Heisteria perianthomega.csv
Herbstia brasiliana,output/p2/occs/Herbstia brasiliana/gbif/Herbstia brasiliana_clean.csv,output/p2/occs/Herbstia brasiliana/splink/Herbstia brasiliana.csv
Heteranthera reniformis,output/p2/occs/Heteranthera reniformis/gbif/Heteranthera reniformis_clean.csv,output/p2/occs/Heteranthera reniformis/splink/Heteranthera reniformis.csv
Heteranthera zosterifolia,output/p2/occs/Heteranthera zosterifolia/gbif/Heteranthera zosterifolia_clean.csv,output/p2/occs/Heteranthera zosterifolia/splink/Heteranthera zosterifolia.csv
Heterocondylus amphidyctius,output/p2/occs/Heterocondylus amphidyctius/gbif/Heterocondylus amphidyctius_clean.csv,output/p2/occs/Heterocondylus amphidyctius/splink/Heterocondylus amphidyctius.csv
Heteropterys brasiliensis,output/p2/occs/Heteropterys brasiliensis/gbif/Heteropterys brasiliensis_clean.csv,output/p2/occs/Heteropterys brasiliensis/splink/Heteropterys brasiliensis.csv
Heteropterys conformis,output/p2/occs/Heteropterys conformis/gbif/Heteropterys conformis_clean.csv,output/p2/occs/Heteropterys conformis/splink/Heteropterys conformis.csv
Heteropterys patens,output/p2/occs/Heteropterys patens/gbif/Heteropterys patens_clean.csv,output/p2/occs/Heteropterys patens/splink/Heteropterys patens.csv
Heteropterys thyrsoidea,output/p2/occs/Heteropterys thyrsoidea/gbif/Heteropterys thyrsoidea_clean.csv,output/p2/occs/Heteropterys thyrsoidea/splink/Heteropterys thyrsoidea.csv
Hibiscus diversifolius,output/p2/occs/Hibiscus diversifolius/gbif/Hibiscus diversifolius_clean.csv,output/p2/occs/Hibiscus diversifolius/splink/Hibiscus diversifolius.csv
Hippeastrum morelianum,output/p2/occs/Hippeastrum morelianum/gbif/Hippeastrum morelianum_clean.csv,output/p2/occs/Hippeastrum morelianum/splink/Hippeastrum morelianum.csv
Hippeastrum psittacinum,output/p2/occs/Hippeastrum psittacinum/gbif/Hippeastrum psittacinum_clean.csv,output/p2/occs/Hippeastrum psittacinum/splink/Hippeastrum psittacinum.csv
Hippeastrum reginae,output/p2/occs/Hippeastrum reginae/gbif/Hippeastrum reginae_clean.csv,output/p2/occs/Hippeastrum reginae/splink/Hippeastrum reginae.csv
