"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"32","2021-01-06 11:42:34-03","UFPI-MRV","HDELTA","6174","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","Araújo, L.S.; Lemos, J.R.","41","2015","11","02",NA,"Brasil",NA,NA,NA,"HDELTA006174",NA,NA,"A. Juss.","Piauí",NA,"Araújo, L.S.","Brasileira","Palmeira da Emília","-41.7811012268066","-4.13166999816895",NA,NA,"2016","05","18","51782","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-13 09:20:09-03","UFRJ","RFA","18473","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","anoptera","Heteropterys anoptera","G.G. Hatschbach","34995","1974","09","20",NA,"Brasil",NA,NA,"Trepadeira, flor amarela","RFA44769",NA,NA,"A.Juss.","Goiás",NA,"W.R. Anderson","Jataí","Rodovia BR-364","-51.7144012451172","-17.8813991546631",NA,NA,"1975",NA,NA,"75073","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-15 11:14:46-03","FUNED","FUNED-POL","3970","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","anoptera","Heteropterys anoptera","Sandra Matoso",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"POL003970",NA,NA,NA,"MG",NA,NA,NA,"Brasilandia de Minas","-46.009444","-17.009722",NA,NA,NA,NA,NA,NA,NA,"46W 00' 34","17S 00' 35",NA,NA,NA,NA,NA,NA
"35","2019-11-19 15:44:21-03","UNEB","HUNEB","7478","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","Santana, D.L.","724","2002","03","30",NA,"Brasil",NA,NA,NA,"HUNEB0007478","Angiospermae","Florideophycidae","A.Juss.","Bahia",NA,NA,"Barreiras","são Sebastião de Monte Verde, bairro Villa Rica","-44.983333","-12.15",NA,NA,NA,NA,NA,NA,NA,"44W59'0''","12S9'0''","Dicotyledoneae",NA,NA,NA,NA,NA
"36","2021-03-30 12:43:34-03","EAO","IAN","157537","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","anoptera","Heteropterys anoptera","Maciel, UN; Cordeiro, MR","140","1978","12","05","Southern America","Brasil",NA,NA,"Cipó, botões, fruto imaturo, quando maduro alado-ferrugíneo.","IAN157537","Dicotiledônea",NA,"A.Juss.","Pará",NA,"Silva, MG da","Santarém","Santa Terezinha, margem direita do Rio Tapajós. Praia de rio, arenosa.","-54.7083015441895","-2.44305992126465",NA,NA,"1979",NA,NA,"205258","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:43:34-03","EAO","IAN","157537","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","anoptera","Heteropterys anoptera","Maciel, UN; Cordeiro, MR","140","1978","12","05","Southern America","Brasil",NA,NA,"Cipó, botões, fruto imaturo, quando maduro alado-ferrugíneo.","IAN157537","Dicotiledônea",NA,"A.Juss.","Pará",NA,"Silva, MG da","Santarém","Santa Terezinha, margem direita do Rio Tapajós. Praia de rio, arenosa.","-54.7083015441895","-2.44305992126465",NA,NA,"1979",NA,NA,"205258","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:43:34-03","EAO","IAN","111617","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","Bockermann, W","225","1955","05","16","Southern America","Brasil",NA,NA,"Cipó.","IAN111617","Dicotiledônea",NA,"A.Juss.","Pará",NA,"Amorim, AMA","Serra do Cachimbo","Beirada da mata.","-54.883333","-9.333333",NA,NA,"1999",NA,NA,NA,NA,"-54.883333","-9.333333",NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:43:34-03","EAO","IAN","111615","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","Bockermann, W","223","1955","05","16","Southern America","Brasil",NA,NA,"Cipó.","IAN111615","Dicotiledônea",NA,"A.Juss.","Pará",NA,"Amorim, AMA","Serra do Cachimbo","Beirada da mata.","-54.883333","-9.333333",NA,NA,"1999",NA,NA,NA,NA,"-54.883333","-9.333333",NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:43:34-03","EAO","IAN","111615","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","Bockermann, W","223","1955","05","16","Southern America","Brasil",NA,NA,"Cipó.","IAN111615","Dicotiledônea",NA,"A.Juss.","Pará",NA,"Amorim, AMA","Serra do Cachimbo","Beirada da mata.","-54.883333","-9.333333",NA,NA,"1999",NA,NA,NA,NA,"-54.883333","-9.333333",NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:43:34-03","EAO","IAN","111617","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","Bockermann, W","225","1955","05","16","Southern America","Brasil",NA,NA,"Cipó.","IAN111617","Dicotiledônea",NA,"A.Juss.","Pará",NA,"Amorim, AMA","Serra do Cachimbo","Beirada da mata.","-54.883333","-9.333333",NA,NA,"1999",NA,NA,NA,NA,"-54.883333","-9.333333",NA,NA,NA,NA,NA,NA
