"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class"
"32","2020-12-11 11:39:03-03","UFMG","BHCB","171635","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Lima, HC de; et al.","2911","1987","05","10","Southern America","Brasil","Espírito Santo","Marataízes","Rodovia do Sol, Entroncamento para Marataízes","-40.8244018554688","-21.0433006286621",NA,"Arbusto, 2-3m alt. tronco com casca lisa, soltando em placas finas. frutos imaturos verdes e maduros amarelos. frequente.","BHCB016320",NA,NA,"2010","05","25","19311","auto",NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:39:03-03","UFMG","BHCB","20435","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Souza, VC de","228","1991","10","18","Southern America","Brasil","Espírito Santo","Itapemirim","Soto","-40.8339004516602","-21.011100769043",NA,"Árvore em floresta alta, +-26m de altura e fuste de +-12m, DAP 46,5cm, ° da copa +- 8 m. Com fruto maduro de cor amarelo e verde. Fuste achatado e casca escamosa.","BHCB000779","BHCB000779",NA,NA,NA,NA,"28626","auto",NA,NA,NA,NA,NA,NA
"34","2020-07-10 09:47:49-03","MBML","MBML-HERBARIO","28058",NA,"Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"A. M. Assis; K. F. O. Faria","1047","2004","04","24",NA,"Brasil","Espírito Santo","Águia Branca","Mata do Sr. Voiter, próximo ao centro da cidade","-40.740278","-18.983056",NA,"Arbusto de 2m, frutos verdes. Sub-bosque de mata ciliar preservada.","MBML028058","MBML028058","M. Sobral","2004","12","01",NA,NA,"40W44'25","18S58'59","140","140",NA,NA
"35","2020-07-10 09:47:49-03","MBML","MBML-HERBARIO","32540",NA,"Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"V. Demuner; T. A. Cruz, M.Belizário.","4845","2007","12","20",NA,"Brasil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.6625","-18.985",NA,"Arvoreta 7m botões florais, flores pétalas brancas, sépalas verdes. Interior de mata alterada.","MBML032540","MBML032540","J.E.Q.Faria/V-2011",NA,NA,NA,NA,NA,"40W39'45","18S59'6","150","150",NA,NA
"36","2020-07-10 09:47:49-03","MBML","MBML-HERBARIO","38031",NA,"Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"A. M. Assis; Valdir G. Demuner; Karla Fabiola O. Faria","1445","2008","03","15",NA,"Brasil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Porção oeste do Fragmento de 600 ha. Acesso pela Rodovia ES-490.","-41.047167","-20.938083",NA,"Arbusto 2 m. Frutos laranjas. Interior da Mata. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.","MBML038031","MBML038031","J.E.Q.Faria/V-2011",NA,NA,NA,NA,NA,"41W2'49,8","20S56'17,1","20","20",NA,NA
"37","2020-07-10 09:47:49-03","MBML","MBML-HERBARIO","41128",NA,"Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"A. M. Assis; Valdir G. Demuner; Karla Fabiola O. Faria","1295","2007","12","29",NA,"Brasil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Fragmento 125 ha (altitude 20-100 m). Acesso pela Rodovia ES-490, entrada à esquerda, 2,5 km após o trevo da SAFRA, em direção à Marataízes","-41.048889","-20.936111",NA,"Arbusto 4 m. Frutos verdes. Borda da Mata. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.","MBML041128","MBML041128","M. Sobral/Março-2016",NA,NA,NA,NA,NA,"41W2'56","20S56'10",NA,NA,NA,NA
"38","2021-04-07 16:08:49-03","UENF","HUENF","11935","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"D.R. Couto; A. Nascimento, F. del Penho R. Lopes & P.M. Santos","5070","2020","01","09",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Brejo do Cobiça, propiedade Sr. João Ricardo Moreira. Área em processo de restauração ecológica, com presença de gado.","-41.106389","-21.4125",NA,"Arbusto heliófilo, entre 2,8-4 m altura. Lâmina verde discolor; frutos verdes. Vegetando em uma encosta seca.","HUENF00012780",NA,"A. Tueller",NA,NA,NA,NA,NA,"41º6'23''W","21º24'45''S","13","13",NA,NA
"39","2021-02-25 10:13:02-03","CVRD","CVRD","12056","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Folli, D.A.","6281","2009","01","10","América do Sul","BRASIL","ES","Linhares",NA,"-40.040271","-19.157143",NA,"<ll>dwc_commonname:</ll> Gabiroba espinhuda","CVRD012056",NA,"Luber, J.","2015","10","16",NA,NA,"-40,040271","-19,157143","30","30",NA,"Magnoliopsida"
"40","2021-02-25 10:13:02-03","CVRD","CVRD","3511","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Souza, V.D.","228","1991","10","18","América do Sul","BRASIL","ES","Itapemirim","Lado direito do asfalto indo de Itaóca para Itapemirim, 5 km antes da Ponte.","-40.8339004516602","-21.011100769043",NA,"Projeto coleta de sementes. <ll>dwc_commonname:</ll> Gabiroba espinhuda","CVRD003511",NA,"Marcos Sobral","2006","08","25","28626","auto",NA,NA,NA,NA,NA,"Magnoliopsida"
"41","2021-02-25 10:13:02-03","CVRD","CVRD","11138","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Folli, D.A.","5996","2008","03","26","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"Linha do Valdinei dos Macacos. <ll>dwc_commonname:</ll> Gabiroba espinhuda","CVRD011138",NA,"Leslie Landrum","2010","04","21","48094","auto",NA,NA,NA,NA,NA,"Magnoliopsida"
