"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","sex"
"50","2019-10-07 09:11:55-03","UEFS","HUEFS","213440","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Neves, D.M.","1382","2013","06","29",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia.","-44.741389","-22.368333","2047","2047",NA,NA,"HUEFS0213440","HUEFS0213440",NA,NA,NA,"44W44'29''","22S22'6''",NA,NA,"Asteranae",NA,NA,NA
"51","2019-10-07 09:11:55-03","UEFS","HUEFS","14028","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Poliquesi, C.B.","139","1992","08","17",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"HUEFS0014028","HUEFS0014028",NA,NA,NA,NA,NA,"17116","auto","Asteranae",NA,NA,NA
"52","2019-09-04 18:25:10-03","F","FMNH-SEEDPLANTS","V0051001F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis",NA,NA,"A. Glaziou","16211",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0051001F","V0051001F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA,NA
"53","2019-01-25 15:38:46-02","IAC","IAC","20261","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","M. Monge & J. Semir","H.F. Leitão Filho","529","1968","09","26",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0711","-23.4339",NA,NA,NA,NA,NA,NA,"2010","06","26","-45.0711","-23.4339",NA,NA,NA,NA,NA,NA
"54","2020-11-12 16:58:26-03","UEL","FUEL","41556","PreservedSpecimen","Plantae","Tracheophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Vieira, FCS","Vieira, FCS","130","2005","09","07",NA,"Brasil","Santa Catarina","Campo Alegre","Serra Quiriri","-49.2655982971191","-26.1924991607666","900","900",NA,NA,NA,NA,"2007","03","07",NA,NA,"37493","auto",NA,NA,NA,NA
"55","2021-01-25 11:52:34-03","UFU","HUFU","80133","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Volet, D.P.","Marquete, R.; Marquet, N.; Giordano, L.C.S. & Valente, M.C.","3364","2002","08","24",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Pico da Caledônia, Lado direito nos primeiros degraus para as Torres.","-42.585278","-22.352778","2159","2159",NA,"Árvore com ca. 6 m de alto; Heliófita, rupícoloa; Tronco com casca lisa, cinza com liquens; Folhas coriáceas, verde adaxial e alva abaxialmente, opacas em ambas as faces; Flores passadas com papus alvo e brácteas morrons.; Relevo: í","HUFU00078305",NA,"2019","08",NA,"-42.585278","-22.352778",NA,NA,NA,NA,NA,NA
"56","2021-01-25 11:52:34-03","UFU","HUFU","80129","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Volet, D.P.","Martinelli, G.","13413","1989","08","01",NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, vertente NE, descida para a mata. Parque Estadual do Desengano","-42.0080986022949","-21.9552993774414","1300","1700",NA,"Arbusto, 2m de altura, heliófila, saxícola; folhas na face ventral verde, face dorsal, cinéreo infl. com receptáculo com brácteas verdes, capítulos de flores róseos e alvos, quando passados, castanhos","HUFU00078309",NA,"2019","08",NA,NA,NA,"30526","auto",NA,NA,NA,NA
"57","2021-03-04 15:42:38-03","IF","SPSF","17039","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","D.P.Volet","J.B.Baitello","571","1994","03","30","América do Sul","Brasil","SP","Cunha","P.E.Serra do Mar - Núcleo Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"2016","07","14",NA,NA,"38855","auto","Magnoliopsida",NA,NA,NA
"58","2021-03-04 15:42:38-03","IF","SPSF","11852","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","D.P.Volet","G.A.D.C. Franco & A.Custodio Filho","484","1988","02","04","América do Sul","Brasil","SP","Salesópolis","Reserva Florestal, Guaratuba","-45.8400001525879","-23.5300006866455",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"2016","07","14",NA,NA,"18032","auto","Magnoliopsida",NA,NA,NA
"59","2021-03-04 15:42:38-03","IF","SPSF","47484","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"T.E.Barreto","15","2013","02","17","América do Sul","Brasil","SP","Campos do Jordão","PEMCJ/PECJ","-45.816667","-23.416667",NA,NA,NA,"COLETA: Árvore.; GEOGRAFIA: FOM - Canhambora;",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"60","2021-03-04 15:42:38-03","IF","SPSF","21560","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","D.P.Volet","A.R.Ferretti","45","1996","12","13","América do Sul","Brasil","SP","Cunha","P.E.Serra do Mar - Núcleo Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: antiga pastagem&nf;;",NA,NA,"2016","07","14",NA,NA,"38855","auto","Magnoliopsida",NA,NA,NA
"61","2021-02-08 12:36:52-03","UFRGS","ICN","170890","S","Plantae","Dicotyledon",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabr.","Matzenbacher, NI","Santos, EP; Cândido, LC; Hassegawa, M","512","1998","09","04","América do Sul","Brasil","PR","Guaratuba","Serra de Araçatuba, Morro dos Perdidos.","-48.5746994018555","-25.8827991485596","1100","1100",NA,"Doação UPCB 34615; Árvore de 5m altura, corola e anteras violáceas e estigma alvo.; Interior de mata nebular.",NA,NA,"1999","12","12",NA,NA,"41937","auto",NA,NA,NA,NA
"62","2021-02-08 12:36:52-03","UFRGS","ICN","170887","S","Plantae","Dicotyledon",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabr.","Matzenbacher, NI","Santos, EP; Cândido, LC; Hassegawa, M","561","1998","10","02","América do Sul","Brasil","PR","Guaratuba","Serra de Araçatuba, Morro dos Perdidos.","-48.5746994018555","-25.8827991485596","1000","1000",NA,"Doação UPCB 34629; Árvore de 3m altura, capítulos alvos.; Interior de mata nebular.",NA,NA,"1999","12","12",NA,NA,"41937","auto",NA,NA,NA,NA
"63","2021-02-08 12:36:52-03","UFRGS","ICN","171298","S","Plantae","Dicotyledon",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabr.","Vieira, FCS","Vieira, FCS","1303","2005","09","07","América do Sul","Brasil","SC","Campo Alegre","Serra Quiriri","-49.2655982971191","-26.1924991607666","900","900",NA,"Arvoreta terrestre, 4 metros; Floresta Ombrófila Mista",NA,NA,"2007","03","07",NA,NA,"37493","auto",NA,NA,NA,NA
"64","2019-11-21 10:01:10-03","IBt","SP","310783","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Volet, DP","Ferretti, AR; Vanini, A; Nave, AG; Peneireiro, FM; Rodrigues, RR; Souza, VC; Tamashiro, JY; I","45","1996","12","13",NA,"Brasil","São Paulo","Cunha","Estação Experimental da Serra do Mar, Núcleo Cunha. Trilha da Pedreira","-45.004722","-23.239444",NA,NA,NA,NA,"SP033031","SP033031","2016","07",NA,"-45.004722","-23.239444",NA,NA,NA,NA,NA,NA
"65","2019-11-21 10:01:10-03","IBt","SP","278742","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Volet, DP","Baitello, JB","571","1994","03","30",NA,"Brasil","São Paulo","Cunha","Parque Estadual da Serra do Mar, Pedreira e arredores","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"SP033051","SP033051","2016","07",NA,NA,NA,"38855","auto",NA,NA,NA,NA
"66","1996-02-26 15:02:42-03","UM","RECOLNAT_UM_MPU","MPU009986","PreservedSpecimen",NA,NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Glaz.",NA,"Glaziou, A.",NA,"1887","1","21",NA,"Brésil",NA,NA,"Rio de Janeiro, haut des Orgaos",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu009986' target='other'> <mi>dwc_moreinfo</mi></a>","MPU009986",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA
"67","2010-08-16 16:37:49-03","GH","HU-HERB","GH 00011267","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"A. L. Cabrera","12262","1956","7","13","South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos, Campo das Antas",NA,NA,"2000",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","12262","undetermined"
"68","2014-09-23 10:56:53-03","G","G","G00301333","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Glaz.","Smith, G.","Glaziou, A. F. M.","16211","1887",NA,"00","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=229222&base=img&lang=en","G00301333","G00301333","1984","01","01","-42.9125","-22.48222222",NA,NA,NA,"ISOTYPUS of Piptocarpha organensis Glaz.",NA,NA
