"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"816","2021-03-04 11:17:48-03","UEFS","HUEFS","191186","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","M.L.Guedes","Lima, J.L.S.","438","1990","03","07",NA,"Brasil","Piauí","São Raimundo Nonato","30 Km Nordeste de São Raimundo Nonato, Sítio Grande da Serra da Capivara.","-42.533333","-8.833333",NA,NA,"HUEFS0191186","HUEFS0191186",NA,NA,"42W32'","8S50'",NA,NA,"2016","05",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"817","2019-10-07 09:36:54-03","UEFS","HUEFS","194781","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T.B.Flores","Carvalho, D.N.","237","2013","05","24",NA,"Brasil","Bahia","Lençóis","Fazenda Lago do Peixe.","-41.030833","-12.410833",NA,"Mata ciliar.","HUEFS0194781","HUEFS0194781","448","448","41W1'51''","12S24'39''",NA,NA,"2016","05",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"818","2019-10-07 09:36:54-03","UEFS","HUEFS","189302","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Guedes, M.L.","19437","2012","03","05",NA,"Brasil","Paraíba","Alagoa Nova","Sítio do Preguiçoso.","-35.754444","-7.076667",NA,NA,"HUEFS0189302","HUEFS0189302","470","470","35W45'16''","7S4'36''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"819","2019-10-07 09:36:54-03","UEFS","HUEFS","189502","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Guedes, M.L.","19442","2012","03","05",NA,"Brasil","Paraíba","Alagoa Nova","Sítio do Preguiçoso.","-35.754444","-7.076667",NA,NA,"HUEFS0189502","HUEFS0189502","470","470","35W45'16''","7S4'36''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"820","2019-10-07 09:36:54-03","UEFS","HUEFS","189892","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Melo, E.","11513","2012","09","08",NA,"Brasil","Bahia","Itatim","Inselbergue Morro do Letreiro ou Tyresoles.","-39.776389","-12.7275",NA,NA,"HUEFS0189892","HUEFS0189892","297","297","39W46'35''","12S43'39''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"821","2019-10-07 09:36:54-03","UEFS","HUEFS","190376","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Melo, E.","11758","2012","11","16",NA,"Brasil","Bahia","Itatim","Água Branca.","-39.7","-12.75",NA,"Caatinga, beira da lagoa.","HUEFS0190376","HUEFS0190376","420","420","39W42'","12S45'",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"822","2019-10-07 09:36:54-03","UEFS","HUEFS","190398","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","L.P.Queiroz","Melo, E.","11780","2012","11","16",NA,"Brasil","Bahia","Itatim","Fonte Capoeira Vicente.","-39.7","-12.75",NA,"Caatinga, beira da lagoa.","HUEFS0190398","HUEFS0190398","420","420","39W42'","12S45'",NA,NA,"2014","12",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"823","2019-10-07 09:36:54-03","UEFS","HUEFS","193284","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Melo, E.","11884","2012","12","15",NA,"Brasil","Bahia","Itatim","Inselbergue Morro do Letreiro ou Tyresoles.","-39.778333","-12.728889",NA,"Caatinga na base do inselbergue.","HUEFS0193284","HUEFS0193284","330","330","39W46'42''","12S43'44''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"824","2019-10-07 09:36:54-03","UEFS","HUEFS","195688","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Queiroz, A.S.","53","2013","05","28",NA,"Brasil","Bahia","Feira de Santana","Fazenda Cruzeiro do Mocó.","-39.045556","-12.22",NA,NA,"HUEFS0195688","HUEFS0195688","185","185","39W2'44''","12S13'12''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"825","2019-10-07 09:36:54-03","UEFS","HUEFS","205407","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Neves, D.M.","1585","2013","08","04",NA,"Brazil","Bahia","Itaberaba","Área TreeAtlan Baitbr","-40.378333","-12.476389",NA,"Mata do agreste","HUEFS0205407","HUEFS0205407 HUEFS0205407_01","384","384","40W22'42''","12S28'35''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"826","2019-10-07 09:36:54-03","UEFS","HUEFS","213634","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T.B.Flores","Lima, H.C.de","7856","2014","10","20",NA,"Brasil","Minas Gerais","Jequitinhonha","Itaobim, BR-367, Km 186, Mumbuca, estrada vicinal para plantação de Eucaliptos.","-41.2475","-16.532222",NA,NA,"HUEFS0213634","HUEFS0213634",NA,NA,"41W14'51''","16S31'56''",NA,NA,"2016","05",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"827","2019-10-07 09:36:54-03","UEFS","HUEFS","22207","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"França, F.","1539","1996","01","28",NA,"Brasil","Bahia","Itatim","Morro do Agenor.","-39.766667","-12.7",NA,"Interior da mata base do iselberg.","HUEFS0022207","HUEFS0022207","280","410","39W46'","12S42'",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"828","2019-10-07 09:36:54-03","UEFS","HUEFS","222162","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Queiroz, L.P.de","16196","2016","05",NA,NA,"Brasil","Bahia","Feira de Santana","Serra de São José.","-38.966667","-12.25",NA,NA,"HUEFS0222162","HUEFS0222162",NA,NA,"38W58'","12S15'",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"829","2019-10-07 09:36:54-03","UEFS","HUEFS","22596","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Melo, E.","1485","1996","02","25",NA,"Brasil","Bahia","Itatim","Morro do Agenor","-39.766667","-12.716667",NA,"Encosta do Inselberg.","HUEFS0022596","HUEFS0022596","310","430","39W46'","12S43'",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"830","2019-10-07 09:36:54-03","UEFS","HUEFS","227909","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Melo, E.","13361","2016","11","02",NA,"Brasil","Bahia","Feira de Santana","Ipuaçu. Rio Jacuípe, Fazenda Morro Branco.","-39.04","-12.244167",NA,"Mata ciliar do rio Jacuípe.","HUEFS0227909","HUEFS0227909","120","120","39W2'24''","12S14'39''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"831","2019-10-07 09:36:54-03","UEFS","HUEFS","247942","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Souza, D.P.","214","2018","11","09",NA,"Brasil","Pernambuco","Pedra","Serra das Lajes.","-36.916111","-8.4925",NA,"Savana estépica, Neossolo Litólico Eutrófico.","HUEFS0247942",NA,"810","810","36W54'58''","8S29'33''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"832","2019-10-07 09:36:54-03","UEFS","HUEFS","24828","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","F.França","Melo, E.","1392","1995","12","17",NA,"Brasil","Bahia","Itatim","Morro do Agenor ou da Madeira.","-39.7","-12.716667",NA,NA,"HUEFS0024828","HUEFS0024828","310","430","39W42'","12S43'",NA,NA,"1996","11",NA,"Rosanae",NA,NA,NA,NA,NA,NA
