"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","month","day","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem","dayIdentified"
"52","2020-07-23 12:21:21-03","CEPLAC","CEPEC","36156","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"F. S. Santos","1984",NA,"Brasil","Bahia","SANTA CRUZ CABRÁLIA","Área da Estação Ecológica do Pau-brasil (ESPAB). CEPLAC. Ca. 16Km a W de Porto Seguro, Rod. BR-367 (Porto Seguro/Eunápolis). Margem da antiga Rod. Para Cabrália.","-39.133333","-16.383333",NA,NA,NA,NA,"SpeciesLink/lacunas",NA,NA,"426","39W8'","16S23'",NA,NA,"10","08",NA,NA,NA,NA,NA,NA,"30/12/1986",NA
"53","2020-07-23 12:21:21-03","CEPLAC","CEPEC","96147","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"P. Fiaschi","2003",NA,"Brasil","Bahia","SANTA TEREsINHA","Estrada Santa Teresinha/Elísio Medrado, ca. 10,2Km a esq., estrad apara o alto da serra. Nos arredores da torre.","-39.466667","-12.833333",NA,NA,NA,NA,"SpeciesLink/lacunas",NA,NA,"1370","39W28'","12S50'",NA,NA,"02","25",NA,NA,NA,NA,NA,NA,"30/08/2006",NA
"54","2020-07-23 12:21:21-03","CEPLAC","CEPEC","94236","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"P. Fiaschi","1978",NA,"Brasil","Bahia","UNA","Estrada de Una/Sta. Luzia, ca. 1Km após a Vila de São João (ca. 20Km de Una), ramal a esquerda ESCAN/CEPLAC.","-39.2","-15.383333",NA,NA,NA,NA,"SpeciesLink/lacunas",NA,NA,"1237","39W12'","15S23'",NA,NA,"12","05",NA,NA,NA,NA,NA,NA,"30/08/2006",NA
"55","2020-11-12 17:00:12-03","UEL","FUEL","13452","PreservedSpecimen","Plantae","Tracheophyta","Gentianales","Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea","Müll.Arg.","Martins, FR; Mathes, LAF; Peixoto, AL","1981",NA,"Brasil","Minas Gerais","Poços de Caldas","Mata da Colina","-46.564722","-21.838889",NA,NA,NA,NA,"Tamashiro, JY","1983","10","1549","-46.564722","-21.838889",NA,NA,"12","02",NA,NA,NA,NA,NA,NA,NA,NA
"56","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea","Müll.Arg.","Regnell, AF",NA,"Southern America","Brazil","Minas Gerais",NA,"in prov. Minas Geraës ad Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"III111*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea","Müll.Arg.","Regnell, AF",NA,"Southern America","Brazil","Minas Gerais","Caldas",NA,"-46.3861","-21.9236",NA,NA,NA,NA,NA,NA,NA,"ser. III111*",NA,NA,NA,NA,NA,NA,"25710","auto",NA,NA,NA,NA,NA,NA
"58","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","clausseniana","Rudgea clausseniana","Benth.","Claussen, P",NA,"Southern America","Brazil",NA,NA,"in Brasilia meridionali ad Facienda da Galena, in prov. Mnas Geraës",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb. DC.s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Widgren, JF",NA,"Southern America","Brazil","Minas Gerais","Caldas",NA,"-46.3861","-21.9236",NA,NA,NA,NA,NA,NA,NA,"181",NA,NA,NA,NA,NA,NA,"25710","auto",NA,NA,NA,NA,NA,NA
"60","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Regnell, AF",NA,"Southern America","Brazil","Minas Gerais",NA,"in prov. Minas Geraës ad Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"III113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Widgren, JF",NA,"Southern America","Brazil","Minas Gerais",NA,"in prov. Minas Geraës ad Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Regnell, AF",NA,"Southern America","Brazil","Minas Gerais","Caldas",NA,"-46.3861","-21.9236",NA,NA,NA,NA,NA,NA,NA,"ser. III113",NA,NA,NA,NA,NA,NA,"25710","auto",NA,NA,NA,NA,NA,NA
"63","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","nettoana","Rudgea nettoana","Müll.Arg.","Netto, LSM",NA,"Southern America","Brazil","Minas Gerais",NA,"in prov. Minas Geraës prope Barbacena",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb. Mart.s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","nettoana","Rudgea nettoana","Müll.Arg.","Martius, CFP",NA,"Southern America","Brazil","São Paulo",NA,"in prov. S. Paulo in silvis Capoës prope Ytu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","nettoana","Rudgea nettoana","Müll.Arg.","Martius, CFP",NA,"Southern America","Brazil","São Paulo","Itú","In silvis Capões prope Ytú.","-47.29","-23.26",NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,"22309","auto",NA,NA,NA,NA,NA,NA
"66","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","ypanemensis","Rudgea ypanemensis","Müll.Arg.","Martius, CFP",NA,"Southern America","Brazil","São Paulo",NA,"in prov. S. Paulo, in silvis primaevis ad Ypanema",NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","ypanemensis","Rudgea ypanemensis","Müll.Arg.","Martius, CFP",NA,"Southern America","Brazil","São Paulo","São Paulo","In silvis primaevis ad Ypanema.","-46.63","-23.54",NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
"68","2019-11-21 10:18:35-03","IBt","SP","224053","S","Plantae",NA,NA,"Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea","Müll.Arg.","Santos, TS; Brito, TH; Judziewicz, EJ","1986",NA,"Brasil","Bahia","Una","Serra Javi, Rodovia BR-101, trecho São José/Camaca, 9 km S de São José (km 550), então 5.5 km E de BR-101 na estrada a Fazenda Cascavel 6-7 km por ar S de São José","-38.333333","-15.133333",NA,NA,NA,NA,"Zappi, DC","2002",NA,"4212","-38.333333","-15.133333","400","900","03","10",NA,NA,NA,NA,NA,NA,NA,NA
"69","2020-02-13 09:37:17-03","IBt","SP","40238","S","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Kuhlmann, M; Gehrt, A","1939",NA,"Brasil","Minas Gerais","Serraria da Serra","Fazenda Córrego Alegre",NA,NA,NA,NA,NA,NA,"Bruniera, CP","2014",NA,"s.n.",NA,NA,NA,NA,"04","21",NA,NA,NA,NA,NA,NA,NA,NA
"70","2020-02-13 09:37:17-03","IBt","SP","269395","S","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Folli, DA","1987",NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Aceiro início estrada Gávea, ant. X-2 lado direito","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"Bruniera, CP","2014",NA,"665",NA,NA,NA,NA,"10","24","48094","auto",NA,NA,NA,NA,NA,NA
"71","2020-11-19 09:30:07-03","IBt","SP","11644","S","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Campos Novaes, J","1898",NA,"Brasil","São Paulo","Jundiaí",NA,"-46.8800010681152","-23.1800003051758",NA,NA,"SP008227","SP008227","Zappi, DC","2004","07","CGG4137",NA,NA,NA,NA,"03",NA,"17840","auto",NA,NA,NA,NA,NA,NA
"72","2014-09-23 10:59:34-03","G","G","G00436624","S","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Netto, L. do S. M.",NA,"AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00436624",NA,"Zappi, D.C.","2007","01",NA,"-45.44222222","-18.78777778",NA,NA,NA,NA,NA,NA,NA,"ISOLECTOTYPUS of Rudgea nettoana Müll. Arg.",NA,NA,NA,"01"
