"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount"
"52","2019-05-06 12:03:00-03","UFU","HUFU","41566","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Wanderley, M.G.","Oliveira, G.C.","564","2002","05","06",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, A 6 km da BR 050, na altura do km 25.","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Herbácea, ca. de 1,30 m. Flor amarela.; Vereda.","HUFU00033235","HUFU00033235",NA,NA,"2005",NA,NA,"58223","auto","04","18",NA,NA
"53","2019-05-06 12:03:00-03","UFU","HUFU","41565","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Wanderley, M.G.","Oliveira, G.C.","1366","2002","10","28",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, A 6 km da BR 050, na altura do km 25.","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Planta ca. de 0,40 m. Amarela.; Vereda.","HUFU00033129","HUFU00033129",NA,NA,"2005",NA,NA,"58223","auto","04","18",NA,NA
"54","2019-05-06 12:03:00-03","UFU","HUFU","7446A","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Kral, R.","Romero, R.; et al.","1776","1995","01","12",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Naciona da Serra da Canastra, Estrada para o Fundão.","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Planta ca. 0,50m. Brácteas marrom. Corola amarela; estames e estigma amarelos.; Campo rupestre.","HUFU00033353","HUFU00033353",NA,NA,"1996",NA,NA,"57119","auto","04",NA,NA,NA
"55","2019-05-06 12:03:00-03","UFU","HUFU","41563","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Wanderley, M.G.","Oliveira, G.C.","677","2002","05","30",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, A 6 km da BR 050, na altura do km 25.","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Herbácea ca. de 0,70 m.; Vereda.","HUFU00033131","HUFU00033131",NA,NA,"2005",NA,NA,"58223","auto","04","18",NA,NA
"56","2019-05-06 12:03:00-03","UFU","HUFU","5284","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth",NA,"Romero, R.; Nakajima, J.N. & Marra, K.","761","1994","03","22",NA,"Brasil","Minas Gerais","Uberlândia","Reserva do Clube Caça e Pesca Itororó","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Herbácea, ca. 0,4 m. Brácteas marorm. Flores amarelas.; Vereda.","HUFU00033130","HUFU00033130",NA,NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA
"57","2020-08-20 20:41:48-03","UFSC","FLOR","3576","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Lozano, E.D.","Smith, L.B.; Klein, R.M.","14883","1965","01","20",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha.","-50.033333","-25.216667","800","800",NA,NA,"FLOR0003576",NA,NA,NA,"2013","50º2'W","25º13'S",NA,NA,NA,NA,NA,NA
"58","2020-08-20 20:41:48-03","UFSC","FLOR","64259","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Lozano, E.D.","Lozano, E.D.; Siqueira, E.L.","1767","2013","11",NA,NA,"Brasil","Paraná","Campo Mourão","Bairro Lar Paraná, arredores do Polo Industrial.","-52.430278","-24.0725",NA,NA,NA,"Cespitosa, 60cm, flores amarelas","FLOR0064259","FLOR0064259",NA,NA,"2014","52º25'49''W","24º4'21''S",NA,NA,NA,NA,NA,NA
"59","2020-08-20 20:41:48-03","UFSC","FLOR","64260","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Lozano, E.D.","Lozano, E.D.; Engels, M.E.","2266","2013","12","11",NA,"Brasil","Paraná","Guarapuava","Rodovia BR-277, em frente à concessionária da John Deere.","-51.500556","-25.373333",NA,NA,NA,"Cespitosa, 60cm, flores amarelas","FLOR0064260","FLOR0064260",NA,NA,"2014","51º30'2''W","25º22'24''S",NA,NA,NA,NA,NA,NA
"60","2017-09-11 17:14:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia meridionali.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2021-02-08 12:54:46-03","UFRGS","ICN","193443","S","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Lozano, E D","Lozano, ED; Engesl, ME","2266","2013","12","11","América do Sul","Brasil","PR","Guarapuava","Rodovia BR- 277, em frente à concessionária da John Deere.","-51.500556","-25.373333",NA,NA,NA,"Cespitosa,60 cm,flores amarelas,campo úmido.; Campos de Guarapuava.",NA,NA,NA,NA,"2014","-51.500556","-25.373333",NA,NA,NA,NA,NA,NA
"62","2021-02-08 12:54:46-03","UFRGS","ICN","193456","S","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Lozano, E D","Lozano, ED; Siqueira, E L","1767","2013","11",NA,"América do Sul","Brasil","PR","Campo Mourão","Bairro Lar paraná,arredores do Polo Industrial.","-52.430278","-24.0725",NA,NA,NA,"Cespitosa,80 cm,flores amerelas, campo úmido.; Cerrado de Campo Mourão.",NA,NA,NA,NA,"2014","-52.430278","-24.0725",NA,NA,NA,NA,NA,NA
"63","2019-11-21 10:19:58-03","IBt","SP","204035","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Wanderley, MGL; Cerati, TM; Kral, R","894","1985","07","14",NA,"Brasil","Bahia","Rio de Contas","Morro da Cruz na base do Pico das Almas","-41.8114013671875","-13.5789003372192","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA
"64","2020-12-30 07:49:03-03","IBt","SP","444794","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Munhoz, CBR","3582","2008","03","13",NA,"Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA
"65","2020-08-13 18:03:04-03","IBt","SP","299117A","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Dias, TAB","209","1992","02","27",NA,"Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA
"66","2021-01-07 09:34:39-03","IBt","SP","465054","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Mota, NFO","1579","2010","06","06",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA
"67","2021-01-07 09:34:39-03","IBt","SP","454590","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Mota, NFO","1574","2010","06","06",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA
"68","2020-12-30 07:49:03-03","IBt","SP","444974","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Mota, NFO","2450","2011","12","17",NA,"Brasil","Minas Gerais","Alagoa",NA,"-44.6418991088867","-22.1706008911133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13155","auto",NA,NA,NA,NA
"69","2019-11-21 10:19:58-03","IBt","SP","204829","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72678","1985","07","07",NA,"Brasil","Minas Gerais","Joaquim Felício",NA,"-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37503","auto",NA,NA,NA,NA
"70","2020-11-26 10:01:07-03","IBt","SP","376832","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Oliveira, GC","1366","2002","01","28",NA,"Brasil","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA
"71","2020-11-26 10:01:07-03","IBt","SP","376833","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Oliveira, GC","677","2002","05","30",NA,"Brasil","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA
"72","2020-11-26 10:01:07-03","IBt","SP","376834","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Oliveira, GC","564","2002","05","06",NA,"Brasil","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA
"73","2020-11-26 10:01:07-03","IBt","SP","376835","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Oliveira, GC","2766","2003","01","21",NA,"Brasil","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA
"74","2021-01-07 09:34:39-03","IBt","SP","453950","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Lozano, ED","1767","2013","11","13",NA,"Brasil","Paraná","Campo Mourão",NA,"-52.3830986022949","-24.0456008911133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28572","auto",NA,NA,NA,NA
"75","2021-01-07 09:34:39-03","IBt","SP","453949","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Lozano, ED","2267","2013","12","12",NA,"Brasil","Paraná","Candói",NA,"-52.0558013916016","-25.5722007751465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42664","auto",NA,NA,NA,NA
"76","2021-01-07 09:34:39-03","IBt","SP","453948","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Lozano, ED","2283","2013","12","12",NA,"Brasil","Paraná","Candói",NA,"-52.0558013916016","-25.5722007751465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42664","auto",NA,NA,NA,NA
"77","2021-01-07 09:34:39-03","IBt","SP","453951","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Lozano, ED","2266","2013","11","11",NA,"Brasil","Paraná","Guarapuava",NA,"-51.4580993652344","-25.395299911499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53832","auto",NA,NA,NA,NA
"78","2021-01-07 09:34:39-03","IBt","SP","447032","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Tannus, JLS","1208","2006","05","04",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA
