"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"31","2016-07-05 11:14:18-03","FFCLRP","LBMBP","343","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","Itirapina","-47.816667","-22.25","47°49'W","22°15'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-08-20 10:00:33-03","UNICAMP","UEC","138968","S","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb.f.","Singer, RB","Singer, RB","1998","09","20","Brazil","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605",NA,NA,"UEC096022","UEC096022","Liliopsida",NA,NA,"98/95",NA,"Serra de Bicas",NA,NA,NA,NA,NA,NA,"21143","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-08-20 10:00:33-03","UNICAMP","UEC","138968","S","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb.f.","Singer, RB","Singer, RB","1998","09","20","Brazil","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605",NA,NA,NA,NA,"Liliopsida",NA,NA,"9895",NA,"Serra de Bicas",NA,NA,NA,NA,NA,NA,"21143","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-08-20 10:00:45-03","UNICAMP","UEC","143743","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","Forster, W","Braidotti, JC; Udulutsch, RG; Lopes, LE; Foresto, EB; Rodrigues, MEF; Dias, P","2005","03","25","Brazil","São Paulo","Eldorado","-48.403611","-24.630556","-48.403611","-24.630556","UEC002613","UEC002613","Liliopsida",NA,NA,"88",NA,"Parque Estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha da Água Grande/Ressurgência. Floresta Ombrófila Densa Baixo Montana pouco degradada sobre afloramento de calcário.",NA,"Epífita coletada em ramo caído.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-05-29 15:48:17-03","UNICAMP","UEC","30653","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","Pansarin, ER; Borba, EL","Leitão Filho, HF; Semir, J; Shepherd, GJ","1976","06","07","Brazil","São Paulo","Bauru","-49.060001373291","-22.3099994659424",NA,NA,"UEC195621",NA,"Liliopsida",NA,NA,"2019",NA,"Rodovia Bauru-Marília, km 16.",NA,"Trepadeira com até 2m., em frutificação",NA,NA,"1998","03","29186","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-05-29 15:48:17-03","UNICAMP","UEC","30835","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","Pansarin, ER; Borba, EL","Leitão Filho, HF; Semir, J; Shepherd, GJ","1976","06","07","Brazil","São Paulo","Bauru","-49.060001373291","-22.3099994659424",NA,NA,"UEC002614","UEC002614","Liliopsida",NA,NA,"2019",NA,"Rodovia Bauru-Marília, km 16.",NA,"Trepadeira com até 2m., em frutificação",NA,NA,"1998","03","29186","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-04-22 16:26:35-03","UFPB","JPB","27545","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","Rchb.f.","Felix, LP","Silva, AG da; Nascimento, LM; Pimentel, DS","1999","06","18","Brasil","Pernambuco","Brejo da Madre de Deus","-36.414278","-8.208417","-36.414278","-8.208417",NA,NA,"Angiosperma","Monocotyledon",NA,"109","Southern America","Fazenda Bituri, Mata do Cassenge",NA,"; DESC: Epífita flores sem botão.","962","1020","2000","01",NA,NA,"14",NA,NA,NA,NA,NA,NA,NA
"38","2019-11-06 09:56:50-03","UFOP","OUPR","9619","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","Antônio-Silva, L.","s.col.",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,"Entre Rodrigo Silva e Cachoeira do Campo",NA,"Epifíta",NA,NA,"2010","12",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA
"39","2020-10-14 10:03:52-03","FURB","FURB","2692","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","cernuum","Amblostoma cernuum","Scheidw.","Ceolin, LM","Ceolin, L.M.","2005","05","03","Brasil","Santa Catarina","Ibirama","-49.5483333","-27.0411111","-49.5483333","-27.0411111","FURB02676","FURB02676",NA,NA,NA,NA,NA,"Ilha das Cutias.",NA,"Habitat: Floresta Ombrófila Densa; Habito: epífita;",NA,NA,"2005","05",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA
"40","2020-10-14 10:03:52-03","FURB","FURB","29228","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","cernuum","Amblostoma cernuum","Scheidw.","Ceolin, LM","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","05","17","Brasil","Santa Catarina","Siderópolis","-49.59","-28.62","-49.5900000","-28.6200000","FURB34407","FURB34407",NA,NA,NA,"2382",NA,"Serrinha.",NA,"Epífita IFFSC e47b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: epífita; flor creme","479","479","2010","07",NA,NA,"13",NA,NA,NA,NA,NA,NA,NA
