X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,continentOcean,country,stateProvince,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,year,month,day,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,infraspecificEpithet,fieldNumber,individualCount,class,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.4799995422363,-20.6000003814697,"94",2019-10-07 09:14:54-03,UEFS,HUEFS,"106637",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata subsp. ochroleuca,NA,"Souza, V.C.","9740",NA,Brasil,São Paulo,NA,NA,Mata mesófila semidecídua. Interior de mata.,HUEFS0106637,Angiospermae,Gentianales,(Müll.Arg.) Zappi,NA,"1996","01","08",Restinga,"Estrada Batatais-Franca(SP 334), km 373, ca. 22 km de Franca.",-47.4799995422363,-20.6000003814697,"680","680",HUEFS0106637,"17863",auto,NA,NA,NA,NA,NA,subsp. ochroleuca,NA,NA,Asteranae,NA,"35",São Paulo,SP,Sudeste
-45.0711,-23.4339,"104",2020-02-20 14:37:26-03,IAC,IAC,"53726",S,Plantae,Rubiaceae-220.Rubioideae-Palicoureeae,Rudgea,coronata,Rudgea coronata leiocarpoides,NA,M.C.R. Campos & R. Belinelo,"918",NA,Brasil,São Paulo,NA,NA,"parcela E, subparcela 97",NA,NA,NA,(Vell.) Müll.Arg.,M.C.R. Campos & R. Belinelo,"2006","07","19",Ubatuba,"Núcleo Picinguaba/PESM, trilha da Casa da Farinha",-45.0711,-23.4339,NA,NA,NA,NA,NA,"-45.0711","-23.4339","2006","07","19",leiocarpoides,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"121",2019-11-13 16:05:05-03,UNISANTA,HUSC,"3826",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata coronata,NA,"Sampaio, P.S.P.; Martins, S.E.","538",NA,Brasil,São Paulo,NA,NA,"Arvoreta com 2m de altura; botões florais; subosque.; Floresta de restinga inundável.",NA,Magnoliophyta,NA,(Vell.) Mull. Arg.,"Anunciação, E.A.","2000","10","10",Bertioga,"Estrada que liga Bertioga ao Munícipio de Mogi das Cuzes; Fazenda Itapanhaú.",-46.138599395752,-23.8544006347656,NA,NA,NA,"37616",auto,NA,NA,"2001","08",NA,coronata,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"122",2019-11-13 16:05:05-03,UNISANTA,HUSC,"1687",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata coronata,NA,"Magenta, M.A.G.; Sampaio, P.S.P.; Martins, S.E.","88",NA,Brasil,São Paulo,NA,NA,"Arbusto, 50cm de altura. Frutos verdes imaturos. Beira do rio.; Floresta de restinga paludosa sobre solo turfoso.",NA,Magnoliophyta,NA,(Vell.) Mull. Arg.,"Anunciação, E.A.","1999","03","18",Bertioga,"São Lourenço, Rod. SP-55, km 211,5. Fazenda da Família Pinto.",-46.138599395752,-23.8544006347656,NA,NA,NA,"37616",auto,NA,NA,"1999","06",NA,coronata,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"123",2019-11-13 16:05:05-03,UNISANTA,HUSC,"2773",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata coronata,NA,"Martins, S.E.; Sampaio, P.S.P.","713",NA,Brasil,São Paulo,NA,NA,"Arbusto com 0,5m de altura. Frutos alvos.; Floresta Paludosa sobre Substrato Turfoso Alta.",NA,Magnoliophyta,NA,(Vell.) Mull. Arg.,Zappi,"2000","06","01",Bertioga,"São Lourenço, Rod. SP-55, km 211,5. Fazenda da Família Pinto.",-46.138599395752,-23.8544006347656,NA,NA,NA,"37616",auto,NA,NA,"2000",NA,NA,coronata,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-51.378889,-20.895833,"130",2020-03-04 16:04:38-03,UNESP-IS,HISA,"5038",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Noronha,M.R.P et al","1027",NA,Brasil,São Paulo,NA,NA,"Interior de mata.Arbusto, ca 60cm, frutos maturos brancos.",NA,Magnoliophyta,Gentianales,(Vell.) Müll.Arg.,"Zappi,D.","1995","04","11",Andradina,Reserva Biológica da Estação Experimental de Zootecnia de Andradina,-51.378889,-20.895833,NA,NA,NA,NA,NA,51w22' 44,20s 53' 45,"2007",NA,NA,NA,NA,NA,Magnoliopsida,NA,"35",São Paulo,SP,Sudeste
-51.566667,-20.783333,"131",2019-11-21 10:18:35-03,IBt,SP,"300924",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Pereira Noronha, MR; et al.","1027",NA,Brasil,São Paulo,NA,NA,NA,NA,NA,NA,(Vell.) Müll.Arg.,"Zappi, DC","1995","04","11",Andradina,Reserva Biológica da Estação Experimental de Zootecnia de Andradina,-51.566667,-20.783333,NA,NA,NA,NA,NA,"-51.566667","-20.783333","2007",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.25,-24.55,"132",2019-11-21 10:18:35-03,IBt,SP,"262437",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata coronata,NA,"Anunciação, EA; Gomes, MZ","299",NA,Brasil,São Paulo,NA,NA,NA,NA,NA,NA,(Vell.) Müll.Arg.,"Bruniera, CP","1993","06","29",Iguape,"Estação Ecológica Juréia-Itatins, Caminho do Imperador, próximo ao posto da praia da Juréia",-47.25,-24.55,NA,NA,NA,NA,NA,"-47.25","-24.55","2011","07",NA,coronata,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.558056,-21.620833,"134",2019-11-21 10:18:35-03,IBt,SP,"300897",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata ochroleuca,NA,"Souza, VC; et al.","5649",NA,Brasil,São Paulo,NA,NA,NA,NA,NA,NA,(Müll.Arg.) Zappi,"Zappi, DC","1994","04","14",Matão,Fazenda Cambuhy,-48.558056,-21.620833,"600","600",NA,NA,NA,"-48.558056","-21.620833","2007",NA,NA,ochroleuca,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.852778,-21.227222,"137",2019-11-21 10:18:35-03,IBt,SP,"497437",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata ochroleuca,NA,"Bruniera, CP; et al.","332",NA,Brasil,São Paulo,NA,NA,NA,NA,NA,NA,(Müll.Arg.) Zappi,"Bruniera, CP","2011","04","15",Ribeirão Preto,"Estação Ecológica de Ribeirão Preto, (Mata de Santa Tesesa). Trilha anterior à trilha do córrego que divide a Reserva",-47.852778,-21.227222,"588","588",NA,NA,NA,"-47.852778","-21.227222","2011","04","15",ochroleuca,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
