X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,stateProvince,locality,imagecode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,yearIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,maximumElevationInMeters,monthIdentified,class,dayIdentified,typeStatus,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.086761,-22.863721,"314",2019-01-25 15:35:35-02,IAC,IAC,"39798",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,F.A.L. Moraes,"145","1994","01","26",NA,Brasil,NA,NA,"nºintrodução: 16786 ;procedência: Quadra geremias (IAC), <ll>dwc_commonname:</ll> goiabinha-preta.",NA,NA,NA,O.Berg,M.E.G. Sobral,São Paulo,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra Neusa Diniz, L15 - p8",NA,Campinas,-47.086761,-22.863721,NA,"2002",NA,NA,"-47.086761","-22.863721",NA,"10",NA,"17",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.086761,-22.863721,"315",2019-01-25 15:35:35-02,IAC,IAC,"41202",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,J.E.A. Bertoni & A. Geremias,"207","2000","06","26",NA,Brasil,NA,NA,"nºintrodução: 12777; procedência: rio de Janeiro.",NA,NA,NA,O.Berg,M.E.G. Sobral,São Paulo,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra da Figueira, L13 - p5",NA,Campinas,-47.086761,-22.863721,NA,"2002",NA,NA,"-47.086761","-22.863721",NA,"10",NA,"17",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.086761,-22.863721,"316",2020-11-23 11:39:25-03,IAC,IAC,"41294",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,J.E.A. Bertoni & A. Geremias,"221","2000","05","08",NA,Brasil,NA,NA,NA,NA,NA,NA,O.Berg,D.B. Damame & L.C. Bernacci,São Paulo,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra Neusa Diniz, L15, P1",NA,Campinas,-47.086761,-22.863721,NA,"2012",NA,NA,"-47.086761","-22.863721",NA,"08",NA,"28",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.086761,-22.863721,"317",2020-11-23 11:39:25-03,IAC,IAC,"41295",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,J.E.A. Bertoni & A. Geremias,"222","2000","05","08",NA,Brasil,NA,NA,NA,NA,NA,NA,O.Berg,D.B. Damame & L.C. Bernacci,São Paulo,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra Neusa Diniz, L15, P8",NA,Campinas,-47.086761,-22.863721,NA,"2012",NA,NA,"-47.086761","-22.863721",NA,"08",NA,"28",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.086761,-22.863721,"318",2019-01-25 15:35:35-02,IAC,IAC,"41341",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,J.E.A. Bertoni & A. Geremias,"292","2000","11","17",NA,Brasil,NA,NA,NA,NA,NA,NA,O.Berg,M.E.G. Sobral,São Paulo,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra do Café, L7, P41",NA,Campinas,-47.086761,-22.863721,NA,"2002",NA,NA,"-47.086761","-22.863721",NA,"10",NA,"17",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.086761,-22.863721,"319",2019-01-25 15:35:35-02,IAC,IAC,"41441",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,J.E.A. Bertoni & A. Geremias,"381","2001","03","06",NA,Brasil,NA,NA,NA,NA,NA,NA,O.Berg,M.E.G. Sobral,São Paulo,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra Neusa Diniz, L15, P1",NA,Campinas,-47.086761,-22.863721,NA,"2002",NA,NA,"-47.086761","-22.863721",NA,"10",NA,"17",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.086761,-22.863721,"320",2019-01-25 15:35:35-02,IAC,IAC,"42240",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,J.E.A. Bertoni & A. Geremias,"696","2002","04","03",NA,Brasil,NA,NA,NA,NA,NA,NA,O.Berg,M.E.G. Sobral,São Paulo,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra da Figueira, L13, P5",NA,Campinas,-47.086761,-22.863721,NA,"2002",NA,NA,"-47.086761","-22.863721",NA,"10",NA,"17",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3772,-21.0428,"321",2020-11-23 11:39:25-03,IAC,IAC,"51739",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,"J.C. de Souza; R.S. Silva & C.R. Tonetti",s/nº,"1999","08","06",NA,Brasil,NA,NA,Coordenadas medidas 21o02`34``S e 49o22`38``W,NA,NA,NA,O.Berg,J.C. Souza et al.,São Paulo,NA,NA,Potirendaba,-49.3772,-21.0428,NA,"1999",NA,NA,"-49.3772","-21.0428",NA,"08",NA,"06",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"348",2019-02-27 14:03:24-03,UFSJ,HUFSJ,"7527",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Dias, FMS",s.n.,"2009","04","22",NA,Brasil,NA,NA,"Arvoreta, 3 a 3,5m de altura, copa não tão aberta; frutos.",HUFSJ007527,NA,NA,O.Berg,"Sobral, M",São Paulo,USP - Rua da Praça dos bancos.,NA,São Paulo,-46.6300010681152,-23.5400009155273,NA,"2009","53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"352",2020-11-04 17:30:06-03,UEM,HUEM,"6148",S,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Moraes, PLR; Diniz, CC","978","1994","05","21",NA,Brasil,NA,NA,"Árvore, ca 20m; meio de encosta; com frutos vermelhos; tronco esbranquiçado; escamante.",HUEM000009122,NA,NA,O.Berg,"Sobral, M",São Paulo,Parque Estadual Carlos Botelho,HUEM000009122,São Miguel Arcanjo,-47.9900016784668,-23.8700008392334,NA,"2009","27904",auto,NA,NA,NA,"08",NA,"01",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"353",2021-03-10 11:38:48-03,UNILA,EVB,"1956",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Santos, H.",NA,"2012","06","15",NA,Brasil,NA,NA,NA,EVB001956,NA,NA,O.Berg,"Grizzon, M.",São Paulo,Unicamp- Coleção de plantas medicinais.,EVB001956,Campinas,-47.060001373291,-22.8999996185303,NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"443",2019-11-01 15:06:56-03,UnB,UB,"194417",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Costa, IR; Verola, CF","816","2008","02","28",Southern America,Brasil,NA,NA,"Árvore com cerca de 2,5m, frutos maduros vermelhos",NA,Dicotyledoneae,NA,O. Berg,"Costa, IR",São Paulo,"Barão Geraldo,Campus da UNICAMP, em frente ao prédio da Faculdade de Economia do outro lado da pista.",NA,Campinas,-47.060001373291,-22.8999996185303,NA,"2008","23900",auto,NA,NA,NA,"04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.774444,-23.9,"445",2019-10-03 10:04:22-03,UFSCar,SORO,"4144",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Godoy, S.A.P.; Pereira, D.L.; Ferreira, G.M.P.; Garcia, R.J.F.; Sordi, S.J.","471","1995","04","19",NA,Brasil,NA,NA,"Árvore ca 18m alt., DAP 0,25cm. Fuste ca 12m alt., descama tornando-se cinza claro. Frutos tintoriais cor de cereja.",NA,NA,NA,NA,NA,São Paulo,Camping Ana Paula,NA,Palheiros,-46.774444,-23.9,NA,NA,NA,NA,46°46'28W,23°54'0S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
