"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"43","2020-09-02 16:19:17-03","Cenargen","CEN","91370","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","J. B. Pereira","2010","Glocimar Pereira-Silva","Brasil","TO","BABACULANDIA","-47.596666","-7.8513888",NA,"1","Área de influência indireta.. Mudas coletadas em14/04/2008 e mantidas em cultivo no CENARGEN. Material devidamente herborizado em 05/11/2010.",NA,"13200","2008","04","22",NA,"Margem esquerda do rio Tocantins.","Unicata","CEN00091370","CEN00091370","170","170","11",NA,"-47.596666","-7.8513888",NA
"44","2020-09-02 16:19:17-03","Cenargen","CEN","44001","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","G. Pereira-Silva","2001","Glocimar Pereira-Silva","Brasil","GO","COLINAS DO SUL",NA,"-13.741111",NA,"5","Área de influência da futura Hidrelétrica de Cana Brava. Influência indireta.",NA,"5718","2001","10","20",NA,"Estrada da Fazenda Vale das Araras.","Exsicatas","CEN00044001","CEN00044001","320","320","10",NA,"-4812861.0","-13.741111",NA
"45","2020-09-02 16:19:17-03","Cenargen","CEN","43626","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","G. Pereira-Silva","2001","Glocimar Pereira-Silva","Brasil","GO","COLINAS DO SUL","-48.0783004760742","-14.1513996124268","58154","2","Planta ocorrendo em ambiente antropizado. Área de influência da futura Hidrelétrica de Cana Brava, influência indireta.","auto","5335","2001","09","17",NA,"Estrada de acesso á balsa, próximo á sede da Fazenda Rubão.","Exsicatas","CEN00043626","CEN00043626","350","350","10",NA,"-4813917.0","-1378806.0",NA
"46","2019-10-07 09:19:43-03","UEFS","HUEFS","144351","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Asparagales","Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","A.Campos-Rocha","2017","Costa, M.F.","Brasil","Bahia","Ituberá","-39.2","-13.8",NA,NA,NA,NA,"58","2008","10","27",NA,"Mata da Pancada Grande. Trilha das Andorinhas.",NA,"HUEFS0144351","HUEFS0144351",NA,NA,"03",NA,"39W12'","13S48'",NA
"47","2019-10-07 09:19:43-03","UEFS","HUEFS","77725","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Asparagales","Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","A.Campos-Rocha","2014","Costa, J.","Brasil","Minas Gerais","Jacinto","-40.380833","-16.123611",NA,NA,"Mata seca. Solo com húmus. Coletado subbosque.",NA,"455","2004","01","23",NA,"Estrada Almenara-Jacinto, ca. 50 km de Almenara. Lado esquerdo da estrada.",NA,"HUEFS0077725","HUEFS0077725","190","190","09",NA,"40W22'51''","16S7'25''",NA
"48","2019-10-07 09:19:43-03","UEFS","HUEFS","87973","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Asparagales","Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","A.Campos-Rocha","2014","Jardim, J.G.","Brasil","Bahia","Camacan","-39.483333","-15.55",NA,NA,"Floresta Higrófila perturbada.",NA,"4121","2003","01","09",NA,"Rod. Camacã para Potiraguá ca. 18,5 km SW de Camacã. Margem do Rio Barras do Rio Pardo.",NA,"HUEFS0087973","HUEFS0087973",NA,NA,"09",NA,"39W29'","15S33'",NA
"49","2020-07-23 11:56:40-03","CEPLAC","CEPEC","5809","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,"J. Dutilh",NA,"T. S. dos Santos","Brasil","Bahia","ITAPEBÍ","-39.5339012145996","-15.9507999420166","43726",NA,NA,"auto","826","1970","05","19",NA,"Itapebí/Belmonte, KM 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/09/2012"
"50","2020-07-23 11:56:40-03","CEPLAC","CEPEC","136786","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,"A. Campos-Rocha",NA,"R. de M. Valadão","Brasil","Bahia","ITUBERÁ","-39.1492004394531","-13.7321996688843","22399",NA,"<ll>dwc_commonname:</ll>","auto","469","2006","10","28",NA,"Litoral Sul, Mata do Corte Alto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2020-07-23 11:56:43-03","CEPLAC","CEPEC","8386","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,"A. Campos-Rocha",NA,"A. Eupunino","Brasil","Bahia","PORTO SEGURO","-39.0647010803223","-16.4496994018555","68835",NA,NA,"auto","199","1972","01","05",NA,"Rod. Porto Seguro/Eunapolis, Km 13.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/11/1978"
"52","2020-07-23 12:09:58-03","CEPLAC","CEPEC","106284","PreservedSpecimen","Plantae",NA,NA,NA,"Liliaceae","Griffinia","liboniana","Griffinia liboniana",NA,"J. Dutilho",NA,"W. W. Thomas","Brasil","Bahia","GUARATINGA","-39.915","-16.599722",NA,NA,NA,NA,"14262","2004","09","25",NA,"Mata ao S da Pedra do Cruzeiro do Sul, 8.7Km ao SE da São João do Sul (antes da Rod. p/ Cabeceiras do Sul e depois a Este p/ Pedra do Cruzeiro do Sul)..",NA,NA,NA,NA,NA,NA,NA,"39W54'54","16S35'59","21/02/2008"
