"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus"
"33","2021-01-26 14:12:58-03","CPACT","ECT","6741","PreservedSpecimen","Plantae","Embryophyta",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","M.V.Ribeiro","C.B.Lima","128","2014","10","01",NA,"Brasil","Rio Grande do Sul","Capão do Leão","Propriedade da família do Cláudio.","-52.536944","-31.708333","69","69",NA,NA,"ECT0006741",NA,NA,NA,NA,"2014","52º32'13''W","31º42'30''S","10","01",NA
"34","2021-01-26 14:12:58-03","CPACT","ECT","7085","PreservedSpecimen","Plantae","Embryophyta",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","M.V.Ribeiro","C.B.Lima; R.M.Heck","283","2015","03","05",NA,"Brasil","Rio Grande do Sul","Pelotas","Rincão da Caneleira - Colônia Maciel. Propriedade do seu José Portantiolo (Maneco).","-52.595278","-31.509722","214","214",NA,NA,"ECT0007085",NA,NA,NA,NA,"2015","52º35'43''W","31º30'35''S","03","05",NA
"35","2021-01-26 14:12:58-03","CPACT","ECT","6861","PreservedSpecimen","Plantae","Embryophyta",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","M.V.Ribeiro","R.M.Heck; M.V.Ribeiro, C.B.Lima","157","2014","12","18",NA,"Brasil","Rio Grande do Sul","São José do Norte","Propriedade da Vanuza. Localidade de Capão do Meio.","-52.0416984558105","-32.0147018432617","3","3",NA,NA,"ECT0006861",NA,"97770","auto",NA,NA,NA,NA,NA,NA,NA
"36","2021-02-04 10:30:18-03","UFRPE","HST","5463","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","(L.) Hitch.","L.P.Félix","A.M.Miranda; et L.P.Félix","1654","1994","04","21",NA,"Brasil","Pernambuco","Lagoa dos Gatos","Chã de Panela","-35.9000015258789","-8.65832996368408",NA,NA,NA,"Escandente; ramos verde-arroxeados; flores arroxeadas.","HST005463",NA,"14934","auto",NA,"1994",NA,NA,NA,NA,NA
"37","2019-10-07 09:20:28-03","UEFS","HUEFS","80795","PreservedSpecimen","Plantae","Angiospermae","Liliales","Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Matos, A.","32242","2003","01","27",NA,"Brasil","Ceará","Fortaleza","Horto ou Plantas medicinais da UFC (Pici).","-38.543098449707","-3.71722006797791",NA,NA,NA,"Solo arenoso, relevo plano.","HUEFS0080795","HUEFS0080795","19924","auto","Lilianae",NA,NA,NA,NA,NA,NA
"38","2019-10-07 09:20:28-03","UEFS","HUEFS","147265","PreservedSpecimen","Plantae","Angiospermae","Liliales","Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Moro, M.F.","589","2008","07","17",NA,"Brasil","Ceará","Fortaleza","Fragmento de vegetação de cerca de 25 ha na zona urbana de Fortaleza (CE), adjacente à Av.Oliveira Paiva, pertencentes aos Correios; bairro Cambeba. Tabuleiro pré-litorâneo.","-38.543098449707","-3.71722006797791",NA,NA,NA,NA,"HUEFS0147265","HUEFS0147265","19924","auto","Lilianae",NA,NA,NA,NA,NA,NA
"39","2019-09-04 20:02:44-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga",NA,NA,"F. Sellow","256",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,"Type [status unknown]"
"40","2020-07-23 12:22:56-03","CEPLAC","CEPEC","147941","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga",NA,"R. H. P. Andreata","A. O. Dias Neto","70",NA,NA,NA,NA,"Brasil","Rio de Janeiro","ITATIAIA",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-03-19 18:18:45-03","UFMT","UFMT","44206","S","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Lima, A.S.; Campos, M.F.S.","Campos, M.F.S.; Moraes, A.J.F.; Arruda, E.C.","HAF31","2017","02","23",NA,"Brasil","Mato Grosso","Cuiabá","Nascente 146, amostra HAF-31","-50.051853","-15.649972",NA,NA,NA,"Liana glabra com caule não lenhoso de cor verde e brilhante com acúleos maiores na base. A planta solta cipós de 4 a 7m de comprimento e ramos laterais que ficam emarnhados. As folhas com bainhas esbranquiaçada de 1 a 3 cm de comprimento, na base do",NA,NA,NA,NA,NA,"2018","-50.051853","-15.649972","09","23",NA
"42","2018-02-26 18:32:44-03","UFMT","UFMT","17011","S","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Souza, D.L.F.","25","1997","05","23",NA,"Brasil","Mato Grosso","Acorizal","Baús Acorizal","-56.3657989501953","-15.2047004699707",NA,NA,NA,"escandente; mata ciliar, solo arenoso.",NA,NA,"29115","auto",NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil","?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil","?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-04-30 16:07:57-03","UFMT","CNMT","1663","S","Plantae","Angiosperma",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Leitzke, R.C.Z.","321","2012","04","01",NA,"Brasil","Mato Grosso","Itaúba","Resgate da FLORA da UHE Colíder. Estrada de acesso à UHE Colíder.","-55.416389","-11.000278","273","273",NA,"<ll>dwc_commonname:</ll> Japicanga..","CNMT001663",NA,NA,NA,NA,NA,"55°24'59W","11°00'01S",NA,NA,NA
"46","2020-08-27 12:20:24-03","IBt","SP","304196","S","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Rodrigues, E","s.n.","1995","09","26",NA,"Brasil","Amazonas",NA,"Parque Nacional do Jaú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
