"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordedBy","year","month","day","locality","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","previousCatalogNumber"
"42","2020-05-17 19:37:43-03","UNESP-IBILCE","SJRP-BRYOPHYTA","27748","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","1649","América do Sul","Brasil",NA,"Mata ciliar.",NA,NA,"D. F. Peralta & L. H. Z. Branco","2002","06","02","Rio Sucuri","Mato Grosso do Sul","Bonito","-56.4818992614746","-21.1210994720459",NA,NA,NA,NA,NA,"71352","auto","Marchantiopsida","Marchantiales",NA,NA,NA,NA
"43","2020-05-19 18:50:30-03","UNESP-IBILCE","SJRP-BRYOPHYTA","18990","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","23","América do Sul","Brasil",NA,"DUPLICATAS: SP;",NA,NA,"K.M. Rdrigues","1998","10","09",NA,"São Paulo","Guapiaçu","-49.2200012207031","-20.7900009155273",NA,NA,"D.F. Peralta","2015","07","23563","auto","Marchantiopsida","Marchantiales",NA,NA,"30",NA
"44","2020-05-19 18:50:30-03","UNESP-IBILCE","SJRP-BRYOPHYTA","6246","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","107","América do Sul","Brasil",NA,"DUPLICATAS: SP;",NA,NA,"M.R. Pietrobom-Silva","1992","11","22",NA,"São Paulo","José Bonifácio","-49.6800003051758","-21.0499992370605",NA,NA,"D.F. Peralta","2016","05","36198","auto","Marchantiopsida","Marchantiales",NA,NA,NA,NA
"45","2020-05-19 18:50:30-03","UNESP-IBILCE","SJRP-BRYOPHYTA","18231","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","7","América do Sul","Brasil",NA,"DUPLICATAS: SP;",NA,NA,"K.M. Ferreira","1996","10","12",NA,"São Paulo","Neves Paulista","-49.6300010681152","-20.8400001525879",NA,NA,"D.F. Peralta","2015","07","17442","auto","Marchantiopsida","Marchantiales",NA,NA,"30",NA
"46","2020-05-19 18:50:30-03","UNESP-IBILCE","SJRP-BRYOPHYTA","18291","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","(Lehm. & Lindenb.) A.Evans","6","América do Sul","Brasil",NA,"DUPLICATAS: SP;",NA,NA,"K.M. Ferreira","1996","10","12",NA,"São Paulo","Neves Paulista","-49.6300010681152","-20.8400001525879",NA,NA,"D.F. Peralta","2015","07","17442","auto","Marchantiopsida","Marchantiales",NA,NA,"30",NA
"47","2016-08-23 11:12:03-03","NHMLondon","NHM-LONDON-BOT","BM000676425","S","Plantae",NA,NA,"Asterella","venosa","Asterella venosa",NA,"s.n.",NA,"Brasil",NA,NA,NA,NA,"Ule",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4954703"
"48","2016-08-23 11:12:03-03","NHMLondon","NHM-LONDON-BOT","BM000676415","S","Plantae",NA,NA,"Asterella","venosa","Asterella venosa",NA,"S.N.",NA,"Brasil",NA,NA,NA,NA,"Anon.",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4961353"
"49","2016-08-23 11:12:03-03","NHMLondon","NHM-LONDON-BOT","BM000676422","S","Plantae",NA,NA,"Asterella","venosa","Asterella venosa",NA,"s.n.",NA,"Brasil",NA,NA,NA,NA,"Sellow",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4954706"
"50","2016-08-23 11:12:03-03","NHMLondon","NHM-LONDON-BOT","BM000676416","S","Plantae",NA,NA,"Asterella","venosa","Asterella venosa",NA,"s.n.",NA,"Brasil",NA,NA,NA,NA,"Klotysch.",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4961345"
"51","2016-08-23 11:12:03-03","NHMLondon","NHM-LONDON-BOT","BM000676418","S","Plantae",NA,NA,"Asterella","venosa","Asterella venosa",NA,"s.n.",NA,"Brasil",NA,NA,NA,NA,"Sellow",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4954710"
"52","2016-08-23 11:12:03-03","NHMLondon","NHM-LONDON-BOT","BM000676419","S","Plantae",NA,NA,"Asterella","venosa","Asterella venosa",NA,"s.n.",NA,"Brasil",NA,NA,NA,NA,"Puiggari",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4954709"
"53","2016-08-23 11:12:03-03","NHMLondon","NHM-LONDON-BOT","BM000676420","S","Plantae",NA,NA,"Asterella","venosa","Asterella venosa",NA,"s.n.",NA,"Brasil",NA,NA,NA,NA,"Rudolph",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4954708"
"54","2019-11-01 15:12:16-03","UnB","UB","146202","PreservedSpecimen","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","Lehm. Lindenb","s.n.","Southern America","Brasil",NA,NA,NA,NA,"Viana, E","1968","09","09",NA,"Rio Grande do Sul","Panambi","-53.5017013549805","-28.2924995422363",NA,NA,NA,NA,NA,"22393","auto",NA,NA,NA,NA,NA,NA
"55","2021-02-08 12:50:10-03","UFRGS","ICN","036263","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"Girardi, AM","1976","09","26","Fazenda Experimental cinco cruzes","RS","Bagé","-54.1068992614746","-31.3313999176025",NA,NA,"Peralta, DF","2014","08","74087","auto",NA,NA,NA,NA,"01",NA
"56","2021-02-08 12:50:10-03","UFRGS","ICN","039822","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2664","América do Sul","Brasil",NA,NA,NA,NA,"Bueno, RM","1982","07","29","Estação Ecológica Aracuri","RS","Esmeralda","-51.190299987793","-28.0536003112793",NA,NA,"Peralta, DF","2014","08","38649","auto",NA,NA,NA,NA,"01",NA
