"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","class","order","continentOcean","monthIdentified","dayIdentified","typeStatus","individualCount"
"54","2021-01-10 20:47:19-03","INPA","INPA","105955","S","Plantae","Dicotyledon Com-Clade","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1988","Hatschbach, GG","43938","1981","06","17","Brasil","Paraná","San José dos Pinhaes","Contenda.",NA,NA,NA,NA,NA,NA,NA,"INPA0105955",NA,"INPA0105955 INPA0105955_e INPA0105955_e1",NA,NA,"Picramniales","Southern America",NA,NA,NA,NA
"55","2021-01-10 20:47:19-03","INPA","INPA","201016","S","Plantae","Dicotyledon Com-Clade","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Hatschbach, GG","1998","Ribas, OS","2643","1998","05","08","Brasil","Paraná","Tunas do Paraná","Parque Estadual de Campinhos.","-49.0858001708984","-24.9743995666504",NA,NA,NA,NA,NA,"INPA0201016","41885","INPA0201016 INPA0201016_e","auto",NA,"Picramniales","Southern America",NA,NA,NA,NA
"56","2020-09-12 05:00:02-03","US","US","2120811","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani",NA,NA,"G. Hatschbach","3177","1953","5","19","Brazil","Paraná",NA,"Mun. Rio Negro. Estr. Rio de Varzea- Doce Fino.",NA,NA,NA,NA,NA,NA,NA,"US03314528",NA,"US03314528_01",NA,"Dicotyledonae","Sapindales","South America",NA,NA,NA,"1"
"57","2020-09-12 05:00:02-03","US","US","3146035","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani",NA,NA,"G. Hatschbach & A. Souza","50883","1987","2","2","Brazil","Paraná","Tijucas do Sul","Saltinho","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,"US01858130","25228","US01858130_01 US01858130_02","auto","Dicotyledonae","Sapindales","South America",NA,NA,NA,"1"
"58","2019-12-09 17:30:38-03","UFPR","EFC","18007","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Völtz, R.R.","2019","Völtz, R.R.; Serejo, S.V.","2043","2019","02","26","Brasil","Paraná","São Mateus do Sul","Barra Feia","-50.565","-25.97972","-50.565","-25.97972","810","810","Árvore 7 m alt.; ritidoma fissurado, acinzentado; em bizel casca interna amarelada; flores (ou frutos) vermelhos; interior de Floresta Ombrófila Mista com erval.","EFC018007",NA,NA,NA,NA,NA,NA,"03","05",NA,NA
"59","2019-12-09 17:30:38-03","UFPR","EFC","14230","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Blum, C.T.","2015","Blum, C.T.","2230","2015","06","10","Brasil","Paraná","Curitiba","Capão do Cifloma","-49.2389","-25.4491","-49.2389","-25.4491","910","910","Árvore 7 m, frutos avermelhados, em Floresta Ombrófila Mista no estágio médio __COMMOM_NAME__: Cedrinho","EFC014230",NA,NA,NA,NA,NA,NA,"06","10",NA,NA
"60","2019-12-09 17:30:38-03","UFPR","EFC","2484","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Blum, C.T.","2013","Motta, M.S.",NA,"1991","04","02","Brasil","Paraná","Pinhais","Faz. Canguiri","-49.1324","-25.3896","-49.1324","-25.3896",NA,NA,"Árvore em floresta ciliar com araucária, 900m s.n.m. Botões florais. __COMMOM_NAME__: Cedrico","EFC002484",NA,NA,NA,NA,NA,NA,"03","18",NA,NA
"61","2021-03-15 18:29:19-03","USP","SPF","68924","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1988","Muniz, JRS","341","1984","07","23","Brasil","Paraná","Agudos do Sul",NA,"-49.3353004455566","-25.9925003051758",NA,NA,NA,NA,"Árvore 10 m, em mata com Araucaria.","SPF00068924","16165",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"62","2021-03-15 18:29:19-03","USP","SPF","68525","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1988","Paciornik, EF","353","1986","07","16","Brasil","Paraná","Bocaiúva do Sul","Passa Vinte.","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,"Árvore 6 m, flores bordeaux. Mata.","SPF00068525","61623","SPF00068525","auto",NA,NA,NA,NA,NA,NA,NA
"63","2021-03-15 18:29:19-03","USP","SPF","141518","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1999","Ceccantini, GCT","1363","1999","03","27","Brasil","Paraná","Colombo","Fazenda Roseira.","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"Arvoreta de 5 m. DAP=12 cm. Coleta da madeira do tronco a 70 cm do solo para evitar lenho de reação, coleta de ramo a 2 m do solo.","SPF00141518","13536",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"64","2021-03-15 18:29:19-03","USP","SPF","141517","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1999","Ceccantini, GCT","1362","1999","03","27","Brasil","Paraná","Colombo","Fazenda Roseira.","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"Arvoreta de 4,5 m, DAP= 8 cm. Coleta da madeira do tronco AP e ramo a 1 m do solo.","SPF00141517","13536",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"65","2021-03-15 18:29:19-03","USP","SPF","141516","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1999","Ceccantini, GCT","1361","1999","03","27","Brasil","Paraná","Colombo","Fazenda Roseira.","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"Arvoreta de 4 m, DAP-10 cm. Coleta da madeira do tronco AP e ramo a 2 m do solo.","SPF00141516","13536",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"66","2021-03-15 18:29:19-03","USP","SPF","62618","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1988","Cordeiro, J","299a","1986","04","01","Brasil","Paraná","Curitiba","Parque Iguaçu","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"Arvoreta do capão. Estéril. Voucher para análise fitoquímica.","SPF00062618","25180",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"67","2021-03-15 18:29:19-03","USP","SPF","139087","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Vieira, AOS","1999","Francisco, EM","s.n.","1999","06","09","Brasil","Paraná","Ortigueira","Sítio do Basílio.","-50.9494018554688","-24.2082996368408",NA,NA,NA,NA,"Árvore 4 mç fruto imaturo cor vinho; dentro do mato.","SPF00139087","46016",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"68","2021-03-15 18:29:19-03","USP","SPF","68926","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1988","Popinigis, I","s.n.","1977","02","16","Brasil","Paraná","São Mateus do Sul",NA,"-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Árvore de 5-6 m de alt.","SPF00068926","31353",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"69","2019-11-13 11:28:12-03","USP","SPF","221491","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","2012","Lorenzi, H","2772","2001","06","20","Brasil","Paraná","São Mateus do Sul","Coletada em mata de pinhais, no posto Tesoura, na rodovia para Lapa a 3-4 km de São Matheus.","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,NA,"SPF00221491","31353",NA,"auto",NA,NA,NA,"06",NA,NA,NA
"70","2019-11-13 11:28:12-03","USP","SPF","221490","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","2012","Tsuji, R","1702","2007","03","01","Brasil","Paraná","São Mateus do Sul","Coletado nas proximidades da cidade.","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,NA,"SPF00221490","31353",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"71","2021-03-15 18:29:19-03","USP","SPF","69048","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1988","Pirani, JR; Yano, O","580","1983","04","20","Brasil","Paraná","São Mateus do Sul","Estrada para Irati.","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Árvore 7 m alt., DAP 20 cm. Densa folhagem verde-cinérea porque pilosa. Frutos cinéreos, numerosos em toda a copa.; Mata de Araucaria.","SPF00069048","31353",NA,"auto",NA,NA,NA,NA,NA,"holotype",NA
"72","2019-11-13 11:28:12-03","USP","SPF","68927","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1989","Hatschbach, G","21671","1969","06","25","Brasil","Paraná","São Mateus do Sul","Tezoura.","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,NA,"SPF00068927","31353",NA,"auto",NA,NA,NA,NA,NA,"paratype",NA
"73","2021-03-15 18:29:19-03","USP","SPF","68923","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1988","Hatschbach, G","50883","1987","02","02","Brasil","Paraná","Tijucas do Sul","Saltinho.","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"Árvore 6 m, inflorescência pendente, vinosa. Do erval (muito Ilex-Araucaria).","SPF00068923","25228",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"74","2021-03-15 18:29:19-03","USP","SPF","66314","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1986","Reitz, PR","12933","1962","04","24","Brasil","Santa Catarina","Lages","Encruzilhada. Mata.","-50.326099395752","-27.8160991668701",NA,NA,"950","950","Arvoreta 6 m. Flor masculina vermelha.","SPF00066314","70701",NA,"auto",NA,NA,NA,"07",NA,NA,NA
"75","2021-03-15 18:29:19-03","USP","SPF","66311","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1986","Reitz, PR","12935","1962","04","24","Brasil","Santa Catarina","Lages","Encruzilhada. Mata.","-50.326099395752","-27.8160991668701",NA,NA,"950","950","Arvoreta 4 m. Fruto imaturo: roxeado. Nome vulgar: Cedrico.","SPF00066311","70701",NA,"auto",NA,NA,NA,"07",NA,NA,NA
"76","2021-03-15 18:29:19-03","USP","SPF","66312","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1986","Reitz, PR","8798","1959","04","25","Brasil","Santa Catarina","Lauro Muller","Pinhal da Companhia, Lauro Müller-Uruçanga. Pinhal.","-49.3967018127441","-28.3927993774414",NA,NA,"300","300","Árvore 15 m. Fruto imaturo: roxo.","SPF00066312","15992",NA,"auto",NA,NA,NA,"07",NA,NA,NA
"77","2021-03-15 18:29:19-03","USP","SPF","66313","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1986","Reitz, PR","8712","1959","03","21","Brasil","Santa Catarina","Lauro Muller","Pinhal da Companhia, Lauro Müller-Uruçanga. Pinhal.","-49.3967018127441","-28.3927993774414",NA,NA,"300","300","Árvore 15 m. Flor vermelha. Nomel vulgar: Cedrico.","SPF00066313","15992",NA,"auto",NA,NA,NA,"07",NA,NA,NA
"78","2021-03-15 18:29:19-03","USP","SPF","66309","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1986","Reitz, PR","13047","1962","07","10","Brasil","Santa Catarina","Papanduva","Serra do Espigão. Mata.","-50.144401550293","-26.3703002929688",NA,NA,"1000","1000","Árvore 15 m. Fruto imaturoÇ roxa.","SPF00066309","49621",NA,"auto",NA,NA,NA,"07",NA,NA,NA
"79","2021-03-04 11:17:40-03","UEFS","HUEFS","5047","PreservedSpecimen","Plantae","Angiospermae","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm.ex Pirani","J.R.Pirani","1993","Hatschbach, G.","37019","1975","06","27","Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,"HUEFS0005047","17116","HUEFS0005047","auto","Rosanae","Picramniales",NA,NA,NA,NA,NA
"80","2020-09-22 13:49:06-03","USP","SPFW","1639","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm.exPirani","J.R. Pirani",NA,"Ceccantini, G.C.T. Rocha Neto, A.; Cecy, A.; Maschio, W.","1363","1999","08","27","Brasil","Paraná","Colombo",NA,"-49.233333","-25.333333","49º14'W","25º20'S","920","920","Material citado na Dissertação de Mestrado de Candice Iwasaki com anatomia do lenho, apresentada à Universidade Federal do Paraná em 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2020-09-22 13:49:06-03","USP","SPFW","1638","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm.exPirani","J.R. Pirani",NA,"Ceccantini, G.C.T. Rocha Neto, A.; Cecy, A.; Maschio, W.","1362","1999","08","27","Brasil","Paraná","Colombo",NA,"-49.233333","-25.333333","49º14'W","25º20'S","920","920","Material citado na Dissertação de Mestrado de Candice Iwasaki com anatomia do lenho, apresentada à Universidade Federal do Paraná em 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2020-09-22 13:49:06-03","USP","SPFW","1637","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm.exPirani","J.R. Pirani",NA,"Ceccantini, G.C.T. Rocha Neto, A.; Cecy, A.; Maschio, W.","1361","1999","08","27","Brasil","Paraná","Colombo",NA,"-49.233333","-25.333333","49º14'W","25º20'S","920","920","Material citado na Dissertação de Mestrado de Candice Iwasaki com anatomia do lenho, apresentada à Universidade Federal do Paraná em 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2020-11-04 17:30:14-03","UEM","HUEM","10716","S","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","In The Plant List","2017","Maschio, W","206","1997","08","22","Brasil","Paraná","Colombo","Floresta Ombrófila Mista","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"Roseira; estrada do sítio do Zé Ari, perto do Valvu; beira da estrada","HUEM000012852","13536","HUEM000012852","auto",NA,NA,NA,"11",NA,NA,NA
"84","2021-04-01 17:42:28-03","UEL","FUEL","39116","PreservedSpecimen","Plantae","Tracheophyta","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G","1995","Souza, A","s.n.","1986","08","21","Brasil","Paraná","Colombo",NA,"-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,"FUEL021454","13536",NA,"auto",NA,"Picramniales",NA,"07","26",NA,NA
"85","2021-04-01 17:42:28-03","UEL","FUEL","40031","PreservedSpecimen","Plantae","Tracheophyta","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G","1998","Maschio, W","206","1997","08","22","Brasil","Paraná","Colombo","Roseira, estrada do Sítio do Zé Ari, perto da Valvu, beira da estrada","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,"FUEL021456","13536",NA,"auto",NA,"Picramniales",NA,"07",NA,NA,NA
"86","2021-04-01 17:42:28-03","UEL","FUEL","25021","PreservedSpecimen","Plantae","Tracheophyta","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Vieira, AOS","1999","Francisco, EM; et al.","s.n.","1999","06","09","Brasil","Paraná","Ortigueira","Sítio do Basílio","-50.9494018554688","-24.2082996368408",NA,NA,NA,NA,NA,"FUEL021457","46016",NA,"auto",NA,"Picramniales",NA,NA,NA,NA,NA
"87","2020-11-12 17:02:19-03","UEL","FUEL","12660","PreservedSpecimen","Plantae","Tracheophyta","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani",NA,NA,"Francisco das Chagas e Silva; et al.","s.n.","1991","07","01","Brasil","Paraná","Palmeira","Fazenda Capão Bonito, Ribeirão Guarauna, Ribeirao Guarauna Capao Bonito","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,NA,NA,"35166",NA,"auto",NA,"Picramniales",NA,NA,NA,NA,NA
"88","2021-04-01 17:42:28-03","UEL","FUEL","17325","PreservedSpecimen","Plantae","Tracheophyta","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani",NA,NA,"Pimenta, JA; et al.","s.n.","1991","07","01","Brasil","Paraná","Teixeira Soares","Fazenda Capão Bonito","-50.4606018066406","-25.3682994842529",NA,NA,NA,NA,NA,"FUEL021455","31767",NA,"auto",NA,"Picramniales",NA,NA,NA,NA,NA
"89","2019-11-01 15:07:48-03","UnB","UB","2243","PreservedSpecimen","Plantae","Dicotyledoneae","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR",NA,"Hatschbach, G","43938","1981","06","17","Brasil","Paraná ","São José dos Pinhais","Contenda","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"Tipo.; Arvoreta 5m. Fruto vinosa.; Mata com araucária.","UB0040457","45291","UB0040457","auto",NA,NA,"Southern America",NA,NA,"paratype",NA
"90","2019-11-01 15:07:48-03","UnB","UB","2242","PreservedSpecimen","Plantae","Dicotyledoneae","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR",NA,"Hatschbach, G; Occhioni, P","21671","1969","06","25","Brasil","Paraná ","São Mateus do Sul","Tezoura","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Tipo.; Arvoreta 5m. Fruto vinosa.; Erval.","UB0040456","31353","UB0040456","auto",NA,NA,"Southern America",NA,NA,"paratype",NA
"91","2020-08-20 20:40:55-03","UFSC","FLOR","30129","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Hatschbach, G.","1998","Silva, J.M.; Barbosa, E. & Abe, L.M.","2289","1998","03","04","Brasil","Paraná","Tunas do Paraná","Gruta de Campinhos.","-49.0858001708984","-24.9743995666504",NA,NA,NA,NA,"árvore, Fruto Imaturo, , 4m altura","FLOR0030129","41885",NA,"auto",NA,"Picramniales",NA,NA,NA,NA,NA
"92","2020-08-20 20:40:55-03","UFSC","FLOR","30946","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Hatschbach, G.","1998","Ribas, O.S.; Silva, J.M. & Abe, L.M.","2643","1998","05","08","Brasil","Paraná","Tunas do Paraná","Parque Estadual de Campinhos.","-49.0858001708984","-24.9743995666504",NA,NA,NA,NA,"árvore, flor avermelhado, 5m altura","FLOR0030946","41885",NA,"auto",NA,"Picramniales",NA,NA,NA,NA,NA
"93","2019-11-21 10:14:11-03","IBt","SP","185474","S","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1988","Pirani, JR; Yano, O","580","1983","04","20","Brasil","Paraná","São Mateus do Sul","Estrada para Irati. Mata de Araucária","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Árvore 7 m alt., DAP 20 cm. Densa folhagem verde-cinérea porque pilosa. Frutos cinéreos, numerosos em toda a copa","SP001612","31353","SP001612","auto",NA,NA,NA,NA,NA,"Isotype",NA
