"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","imagecode","county","maximumElevationInMeters","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","monthIdentified","dayIdentified"
"49","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","MacConnell, ?","s.n.",NA,NA,NA,NA,"?",NA,"ad Kwaimalta Savannah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Quelch, JJ","281?",NA,NA,NA,NA,"?",NA,"ad Kwaimalta Savannah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Jenman, GS","5904?",NA,NA,NA,"Southern America","Guyana",NA,"ad Mimatta et Rupununi River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Jenman, GS","5905",NA,NA,NA,"Southern America","Guyana",NA,"ad Mimatta et Rupununi River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Jenman, GS","5904",NA,NA,NA,"Southern America","Guyana",NA,"ad Mimatta et Rupununi River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Thurn, EF","12?",NA,NA,NA,"Southern America","Guyana",NA,"Habitat in Guiana anglica secus Ireng River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Thurn, EF","12",NA,NA,NA,"Southern America","Guyana",NA,"Habitat in Guiana anglica secus Ireng River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Jenman, GS","5905?",NA,NA,NA,"Southern America","Guyana",NA,"ad Mimatta et Rupununi River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","pirarense","Oncidium pirarense","Rchb.f.","Schomburgk, MR","635?",NA,NA,NA,"Southern America","Guyana",NA,"Habitat in Guiana anglica ad Pirara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","pirarense","Oncidium pirarense","Rchb.f.","Schomburgk, MR","635",NA,NA,NA,"Southern America","Guyana",NA,"Habitat in Guiana anglica ad Pirara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
