"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount"
"53","2020-08-20 20:41:48-03","UFSC","FLOR","64337","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Ariati, V.; Bonaldi, R.A.; Peffer, R.A.","1031","2014","10","25",NA,"Brasil","Paraná","Tijucas do Sul","Morro Araçatuba.","-49","-25.883333",NA,NA,NA,NA,"FLOR0064337","FLOR0064337","49º0'W","25º53'0''S",NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA
"54","2021-02-08 12:54:46-03","UFRGS","ICN","193429","S","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E D","Ariati, V; Bonaldi, RA; Peffer, RA","1031","2014","10","25","América do Sul","Brasil","PR","Tijucas do Sul","Morro Araçatuba.","-49","-25.883333",NA,NA,NA,NA,NA,NA,"-49","-25.883333",NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA
"55","2021-02-08 12:54:46-03","UFRGS","ICN","193431","S","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E D","Lozano, ED; Canestraro, BK; Meyer, FS","2624","2014","02","12","América do Sul","Brasil","PR","Guaratuba","Morro dos Perdidos.","-48.956389","-25.889722",NA,NA,NA,"Cespitosa,40-90cm,flores amarelas, mucilagem na bainha, campo sujo.; Refúgio VegetacionalAltomontano.",NA,NA,"-48.956389","-25.889722",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
"56","2021-02-08 12:54:46-03","UFRGS","ICN","193463","S","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E D","Lozano, ED","1223","2013","11","16","América do Sul","Brasil","PR","Guaratuba","Morro dos Perdidos.","-48.956389","-25.889722",NA,NA,NA,"Formando touceira, 1,2m,flores amarelas,muita mucilagem na base,campo de altitude.; Refúgio VegetacionalAltomontano.",NA,NA,"-48.956389","-25.889722",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
"57","2021-02-08 12:54:46-03","UFRGS","ICN","125370","S","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, ED","Irgang, BE; Turma de Macrofitas Aquaticas","s.n.","2002","12","19","América do Sul","Brasil","RS","São José dos Ausentes",NA,"-50.0657997131348","-28.7483005523682",NA,NA,NA,"flores amarelas.; turfeira.",NA,NA,NA,NA,NA,NA,"2014",NA,NA,NA,NA,"42598","auto",NA
"58","2019-11-21 10:19:58-03","IBt","SP","497954","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, ED","Ariati, V; Bonaldi, RA; Peffer, RA","1031","2014","10","25",NA,"Brasil","Paraná","Tijucas do Sul","Morro Araçatuba","-49","-25.883333",NA,NA,NA,NA,NA,NA,"-49","-25.883333",NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA
"59","2021-01-07 09:34:39-03","IBt","SP","453288","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Lozano, ED","1223","2013","02","16",NA,"Brasil","Paraná","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"60","2021-01-07 09:34:39-03","IBt","SP","467880","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Lozano, ED","2624","2014","02","12",NA,"Brasil","Paraná","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"61","2021-01-07 09:34:39-03","IBt","SP","453944","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Krieger, L","CESJ9811","1970","11","28",NA,"Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA
"62","2021-01-07 09:34:39-03","IBt","SP","453943","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Krieger, L","CESJ9811","1970","11","28",NA,"Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA
"63","2020-10-15 10:09:39-03","IBt","SP","343253","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Prata, AP","818","2000","02","09",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27729","auto",NA
