"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","relatedCatalogItem","typeStatus","previousCatalogNumber"
"52","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Wawra, H; Maly, FP","372",NA,NA,NA,"Southern America","Brazil","Bahia",NA,"in prov. Bahia in silvis prope Ilheos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Glaziou, AFM","4825",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in umbrosis silvarum in monte Corcovado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Sello, HL","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in umbrosis silvarum in monte Corcovado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"?","5500",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"et secundum el. Bebth. ibidem, saltem prope Rio de Janeiro lecta est a Raddi, Boaz, Miers et Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2017-09-11 16:28:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Riedel, L","7",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","IBB/Corcovado, Rio de Janeiro, RJ","-43.13","-22.57",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,NA,NA,NA,NA,NA,"-43.13","-22.57",NA,NA,NA,NA,NA,NA
"57","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Riedel, L","328",NA,NA,NA,"Southern America","Brazil","Bahia","Ilhéus",NA,"-39.0494","-14.7889",NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Claussen, P","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","in umbrosis silvarum in monte Corcovado","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Claussen, P","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9028",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Gaudichaud Beaupré, C","624",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9028",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Riedel, L","1061",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9028",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Wawra, H; Maly, FP","372",NA,NA,NA,"Southern America","Brazil","Bahia","Ilhéus",NA,"-39.0494","-14.7889",NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Riedel, L","1061",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","in umbrosis silvarum in monte Corcovado","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Martius, CFP","215",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9028",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Sello, HL","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9028",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Glaziou, AFM","4825",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9028",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Martius, CFP","215",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","in umbrosis silvarum in monte Corcovado","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Riedel, L","328",NA,NA,NA,"Southern America","Brazil","Bahia",NA,"in prov. Bahia in silvis prope Ilheos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
