"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"447","2020-07-23 12:14:05-03","CEPLAC","CEPEC","85788","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Albizia","inundata","Albizia inundata","E. R. de Souza","M. L. Guedes","7283","2000","06","18",NA,"Brasil","Bahia","IRECÊ","Xique-Xque, Empreendimento Brasil 2000 do Empreendedor-TOC Agrícola SA.","-42.683333","-10.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42W41'","10S40'",NA,NA,NA,NA,NA,NA,"30/11/2003"
"448","2020-07-23 12:14:05-03","CEPLAC","CEPEC","117617","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Albizia","inundata","Albizia inundata","R. M. Santos","K. R. S. Mariano","37","2007","07","26",NA,"Brasil","Bahia","JUAZEIRO","Agrovale.","-40.3275","-9.343611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W19'39","9S20'37",NA,NA,NA,NA,NA,NA,"30/08/2007"
"449","2020-07-23 12:14:05-03","CEPLAC","CEPEC","66509","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Albizia","inundata","Albizia inundata","R. C. Barneby","G. Hatschbach","60928","1994","06","11",NA,"Brasil","Mato Grosso","CORUMBÁ","Abobral. MS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995"
"450","2020-07-23 12:14:05-03","CEPLAC","CEPEC","68030","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Albizia","polyantha","Albizia polyantha","L. P. de Queiroz","L. P. de Queiroz","4055","1994","10","11",NA,"Brasil","Bahia","barra","A 500m marg. esq. R.S.Francisco, apos Ibotirama. A 220m ponte mesmo Rio, BR-242.","-43.233333","-12.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43W14'","12S12'",NA,NA,NA,NA,NA,NA,"30/12/1994"
"451","2009-11-26 13:53:06-02","INPA","INPAW","10399","S","Plantae",NA,NA,"Mimosaceae","Albizia","inundata","Albizia inundata",NA,"Barbosa, A.P.",NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Mart.) Barneby & J.W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","2009-11-26 13:50:06-02","INPA","INPAW","10198","S","Plantae",NA,NA,"Fabaceae","Albizia","polyantha","Albizia polyantha",NA,"Sena, M.M.P.",NA,"2000","02","11",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(A. Spreng.) G.P. Lewis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","2019-07-31 14:35:44-03","CPATSA","HTSAW","86","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","2020-11-12 16:59:15-03","UEL","FUEL","35205","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Albizia","inundata","Albizia inundata","Lewis, GP","Queiroz, LP; et al.","4055","1994","10","11",NA,"Brasil","Bahia","Barra","Rio São Francisco","-43.1417007446289","-11.0894002914429",NA,NA,NA,NA,NA,"(Mart.) Barneby & J.W.Grimes",NA,"1998",NA,NA,NA,NA,NA,"116121","auto",NA,NA,NA,NA
"455","2020-11-12 16:59:15-03","UEL","FUEL","51832","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Albizia","inundata","Albizia inundata","Caliari, CP","Souza, VC; Caliari, CP; Garcia, PB","32318","2006","07","13",NA,"Brasil","Mato Grosso","Poconé","Área do Sesc Pantanal, Beira do rio Cuiabá","-56.6227989196777","-16.2567005157471","120",NA,NA,NA,NA,"(Mart.) Barneby & J.W.Grimes","120","2010","07","26",NA,NA,NA,"200792","auto",NA,NA,NA,NA
"456","2019-11-01 14:58:22-03","UnB","UB","128671","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,"Fróes, RL","33985","1957","12",NA,"Southern America","Brasil","Maranhão","Monção",NA,"-45.2510986328125","-3.49166989326477",NA,NA,"Árvore 5m.",NA,NA,"(Mart.) Barneby & J.W. Grimes",NA,NA,NA,NA,NA,NA,NA,"47919","auto",NA,NA,NA,NA
"457","2019-11-01 14:58:22-03","UnB","UB","38895","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,"Paula, JE","1741","1984","02","20","Southern America","Brasil","Mato Grosso do Sul","Corumbá","Corumbá","-57.65","-19.016667",NA,NA,NA,NA,NA,"(Mart.) Barneby & J.W. Grimes",NA,"2013","04","16","-57.65","-19.016667",NA,NA,NA,NA,NA,NA,NA
"458","2019-11-01 14:58:22-03","UnB","UB","128681","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Albizia","inundata","Albizia inundata","Fernandes, JM","Queiroz, LP","4055","1994","10","11","Southern America","Brasil","Bahia","Barra","500m da margem esquerda do Rio São Francisco","-43.233333","-12.2",NA,NA,"Frutos verde-acastanhados.; Arvoreta 3,5-5m.",NA,NA,"(Mart.) Barneby & J.W. Grimes",NA,"2009",NA,NA,"-43.233333","-12.2",NA,NA,NA,NA,NA,NA,NA
"459","2019-11-01 14:58:22-03","UnB","UB","188544","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Albizia","inundata","Albizia inundata","Caliari, CP","Souza, VC; Caliari, CP; Garcia, PB","32318","2006","07","13","Southern America","Brasil","Mato Grosso","Poconé","Área do Sesc Pantanal.","-56.6227989196777","-16.2567005157471",NA,NA,"Árvore 6m alt.; flores creme, frutos imaturos verdes.; Beira do Rio Cuiabá.",NA,NA,"(Mart.) Barneby & J.W. Grimes",NA,"2010","07","26",NA,NA,NA,"200792","auto",NA,NA,NA,NA
"460","2019-11-01 14:58:22-03","UnB","UB","38777","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Albizia","polyantha","Albizia polyantha","Incógnito","Damasceno, GA","733",NA,NA,NA,"Southern America","Brasil","Mato Grosso do Sul","Ladário","Ladário","-57.583333","-19.016667",NA,NA,NA,NA,NA,"(Spreng) G.P. Lewis",NA,NA,NA,NA,"-57.583333","-19.016667",NA,NA,NA,NA,NA,NA,NA
