"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","individualCount","sex","infraspecificEpithet"
"31","2016-09-29 10:40:00-03","NY","NYBG","454277","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,NA,"L. Riedel",NA,"1823","11",NA,"Brazil","Rio de Janeiro","Petrópolis","Serra da Estrella","-43.1783","-22.505",NA,NA,NA,NA,"NY00454277","NY00454277_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302886' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-09-29 10:40:00-03","NY","NYBG","454271","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"R. Reitz","R. M. Klein","797","1954","08","12","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"300","300","NY00454271","NY00454271_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302872' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-29 10:40:00-03","NY","NYBG","454268","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"R. Reitz","R. Reitz","9284","1959","10","30","Brazil","Santa Catarina","Sombrio","Sanga da Areia, Jacinto Machado","-49.766476","-29.084523",NA,NA,"200","200","NY00454268","NY00454268_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302871' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","631969","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","S. S. Renner","R. M. Harley","H52038","1992","02","14","Brazil","Bahia","Abaíra","Campo do Cigano","-41.92","-13.25",NA,NA,"1780","1780","NY00631969","NY00631969_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302869' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","592246","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.",NA,"E. M. Nic Lughadha","H51138","1992","02","02","Brazil","Bahia","Abaíra","Riacho da Taquara","-41.92","-13.25",NA,NA,"1650","1650","NY00592246","NY00592246_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302883' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","454266","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","L. B. Smith","R. M. Klein","683","1953","10","26","Brazil","Santa Catarina","Ibirama",NA,"-49.5178","-27.0569",NA,NA,"100","100","NY00454266","NY00454266_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302880' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","592245","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.",NA,"R. M. Harley","H52038","1992","02","14","Brazil","Bahia","Abaíra","Campo do Cigano","-41.92","-13.25",NA,NA,"1780","1780","NY00592245","NY00592245_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302882' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","592243","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","S. S. Renner","E. M. Nic Lughadha","H52399","1992","02","29","Brazil","Bahia","Abaíra","Mata do Cigano","-41.92","-13.25",NA,NA,"1800","1850","NY00592243","NY00592243_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302867' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:45:12-03","EAO","IAN","87382","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.",NA,"Reitz, R; Padre","1125","1953","11","02","Brasil","Minas Gerais",NA,"Horto Florestal I.N.P. Ibirama, mata.",NA,NA,NA,NA,NA,NA,"IAN087382",NA,NA,NA,NA,"Arbusto 4m de altura, flor verde, casca rugosa.","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-01-20 14:40:39-03","UPM","MACK","1235","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","R. F. Dall'Agnol","V. M. Cotarelli","599","2008","12","03","Brasil","PR","Mauá da Serra","Estância Manain","-23.933333",NA,"-23,933333","-51,15W",NA,NA,NA,NA,"2009","03","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
