"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","locality","occurrenceRemarks","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","day","barcode","imagecode","continentOcean","fieldNumber","preparationType","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","typeStatus","previousCatalogNumber","sex"
"41","2020-09-02 16:34:44-03","Cenargen","CEN","35171","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista","2000","03","Rafaela Campostrini Forzza","464","1996","02","Brasil","MT","Estrada Cuiabá - Parque Nacional da Chapada dos Guimarães.","Escapo amarelo-esverdeado. Flores com tépalas amarelo rajadas de marrom, labelo castanho. Coluna verde com base amarela. Doação da Universidade de São Paulo Herbário SPF.","CUIABA","-56.0966987609863","-15.5960998535156","74875","auto",NA,"13","CEN00035171","CEN00035171",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"42","2016-08-23 09:45:44-03","NHMLondon","NHM-LONDON-BOT","BM000901048","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes",NA,NA,NA,"L.B. Bianchetti","1486","1994","02","Brasil",NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,"02",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4655066",NA
"43","2019-11-01 15:15:18-03","UnB","UB","3728","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Irwin, HS; Souza, R","10608","1965","11","Brasil","Distrito Federal","Oeste do Setor Industrial","Perianto amarelo com pintas marrons, labelo amarelo, margem marrom; Erva 0,5m. Flor amarela; Campo limpo, adjacente a mata de galeria","Brasília","-47.95","-15.8",NA,NA,"Monocotyledonae","23","UB0019415","UB0019415","Southern America",NA,NA,NA,"-47.95","-15.8","1090","1090","22",NA,NA,NA,NA
"44","2019-11-01 15:15:18-03","UnB","UB","213538","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes",NA,NA,NA,"Silva, DP; Munhoz, CBR; Amaral, AG; Bijos, NR; Chagas, UR; Cardoso, DE; Reis, GR","28","2014","11","Brasil","Tocantins","Estação Ecológica Serra Geral do Tocantins","Erva 40 cm; Vereda. Margem esquerda do Rio Novo, próximo à casa do Sr. Acácio","Rio da Conceição","-46.615","-10.868833",NA,NA,"Monocotyledonae","02","UB0036389","UB0036389","Southern America",NA,NA,NA,"-46.615","-10.868833",NA,NA,NA,NA,NA,NA,NA
"45","2019-11-01 15:15:18-03","UnB","UB","87796","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Heringer, EP","8764","1963","10","Brasil","Distrito Federal","Coletada na Cabeça de Veado","Epífita; Cerrado","Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledonae","12","UB0019418","UB0019418","Southern America",NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA
"46","2019-11-01 15:15:18-03","UnB","UB","6285","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Menezes, LC",NA,NA,"Menezes, LC","53","1994","10","Brasil","Distrito Federal","Reserva Ecológica do Guará","Pseudobulbos completos enterrados no solo, flores pequenas de colorido amarelo-laranjado ou ainda esverdeado e pintalgadas.; Planta terrestre; Áreas alagadas no período chuvoso.","Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledonae","14","UB0040205","UB0040205","Southern America",NA,NA,NA,NA,NA,"1400","1400",NA,NA,"holotype",NA,NA
"47","2019-11-01 15:15:18-03","UnB","UB","87799","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Heringer, EP","10630","1965","10","Brasil","Distrito Federal","SIA","Planta de brejo vivem entre capim","Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledonae","09","UB0019411","UB0019411","Southern America",NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA
"48","2019-11-01 15:15:18-03","UnB","UB","4421","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Oliveira, RS","22","1994","11","Brasil","Distrito Federal","Setor de Mansões do Lago Norte","Maioria inflorescência simples, coloração verde-amarelo pálido com pintas beges, labelo amarelo-alaranjado; Erva. Flor amarela; Campo limpo. Solo: Argiloso","Brasília","-47.866667","-15.716667",NA,NA,"Monocotyledonae","16","UB0019422","UB0019422","Southern America",NA,NA,NA,"-47.866667","-15.716667","1050","1050","22",NA,NA,NA,NA
"49","2019-11-01 15:15:18-03","UnB","UB","4434","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Oliveira, RS","33","1994","12","Brasil","Distrito Federal","Santuário Ecológico do Riacho Fundo","Ocasional; Erva. Flor amarela; Campo limpo","Brasília","-47.95","-15.85",NA,NA,"Monocotyledonae","02","UB0019424","UB0019424","Southern America",NA,NA,NA,"-47.95","-15.85","1020","1020","22",NA,NA,NA,NA
"50","2019-11-01 15:15:18-03","UnB","UB","87797","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Heringer, EP","s.n.","1967","11","Brasil","Distrito Federal","Arredores de Brasília",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,"UB0019410","UB0019410","Southern America",NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA
"51","2019-11-01 15:15:18-03","UnB","UB","87798","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN",NA,NA,"Incógnito","9199",NA,NA,"Brasil","Distrito Federal","Parque Municipal do Gama",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-11-01 15:15:18-03","UnB","UB","87800","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Heringer, EP","10554","1965","12","Brasil","Distrito Federal","Zoobotânico","Planta do Zoobotânico coletada pelo João Murça na Expedição de Rondônia",NA,NA,NA,NA,NA,"Monocotyledonae","05","UB0019420","UB0019420","Southern America",NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA
"53","2019-11-01 15:15:18-03","UnB","UB","87804","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Heringer, EP","8755B","1961","11","Brasil","Distrito Federal","Horto Florestal de Brasília","Planta terrestre. Flores amarelas em cachos de 30cm; De brejos, em campos aberto",NA,NA,NA,NA,NA,"Monocotyledonae","10","UB0019293","UB0019293","Southern America",NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA
"54","2019-11-01 15:15:18-03","UnB","UB","7930","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Menezes, LC",NA,NA,"Menezes, LC","UB53",NA,NA,"Brasil","Distrito Federal","Guará","Pseudobulbos completamente enterrados no solo; floração em outubro/novembro.; Terrestre; Área úmida sujeita a inundação nas chuvas. Solo: Solo argilo-arenoso.","Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledonae",NA,"UB0040206","UB0040206","Southern America",NA,NA,NA,NA,NA,"1000","1000",NA,NA,"holotype",NA,NA
"55","2019-11-01 15:15:18-03","UnB","UB","87809","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C. Menezes","Batista, JAN","1998","08","Heringer, EP","9199","1963","10","Brasil","Distrito Federal","Parque Municipal do Gama",NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto","Monocotyledonae","15","UB0019413","UB0019413","Southern America",NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA
"56","2019-05-06 12:01:20-03","UFU","HUFU","39406","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Bianchetti, L.","2005","03","Oliveira, G.C.","1464","2002","10","Brasil","Minas Gerais","Fazenda Rio das Pedras, A 300 metros da BR 497, na altura do km 5.","Herbácea ca. de 0,90 m. Amarela.; Vereda.","Uberlândia","-48.2771987915039","-18.9186000823975","58223","auto",NA,"29","HUFU00030442","HUFU00030442",NA,NA,NA,NA,NA,NA,NA,NA,"07",NA,NA,NA,NA
"57","2019-05-06 12:01:20-03","UFU","HUFU","66738","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes",NA,NA,NA,"Cardoso, J.C.F.; Maciel, A.A.","03","2012","09","Brasil","Minas Gerais","vereda situda a 22 km do centro da cidade, nas margens da estrada que leva a Campo Florido","Erva, terrícola, 0.45 m. Flores esverdeadas com manchas puntiformes escuras e labelo avermelhado.","Uberlândia","-48.35","-19.05",NA,NA,NA,"19","HUFU00030443","HUFU00030443",NA,NA,NA,NA,"-48.35","-19.05",NA,NA,NA,NA,NA,NA,NA
"58","2019-05-06 12:01:20-03","UFU","HUFU","7198","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Potzernheim, M.","1999","10","Schiavini, I.","s.n.","1994","11","Brasil","Minas Gerais","Estação Ecológica do Panga","Campo úmido próximo à mata mesófila.","Uberlândia","-48.2771987915039","-18.9186000823975","58223","auto",NA,"23","HUFU00030441","HUFU00030441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2018-02-26 18:32:30-03","UFMT","UFMT","38231","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Petini-Benelli, A.","2006","12","Petini-Benelli, A.","56","2006","11","Brasil","Mato Grosso","Cinturão Verde do Bairro Pedra 90.","Herbácea terrestre. Cálice verde-amarelo. Corola verde-amarelada.; Campo Úmido.","Cuiabá","-56.0966987609863","-15.5960998535156","74875","auto",NA,"20","UFMT00038231",NA,NA,NA,NA,NA,NA,NA,NA,NA,"06",NA,NA,NA,NA
"60","2019-11-21 10:13:06-03","IBt","SP","369167","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Bianchetti, LB; Batista, JAN","2001","10","Batista, JAN; Bianchetti, LB; Oliveira, RS","426","1994","11","Brasil","Distrito Federal","RA-I, Brasília-Plano Piloto. Setor da mansões do Lago Norte. Próximo a MI - 10. Em campo limpó estacionalemnte úmido sobre platô de encosta. Solo areno argiloso, profundo, escuro. Área queimada durante a seca",NA,"Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2019-11-21 10:13:06-03","IBt","SP","369202a","Extra","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Bianchetti, LB; Batista, JAN","2001","11","Batista, JAN","1269","2001","11","Brasil","Distrito Federal","Reserva Ecológica do Guará, RA X, Guará. Área à direita a Estrada Parque Taguatinga, na altura da primeira passarela sobre a pista após o final do Setor de Industria","Erva terrestra. Plantas florescendo tanto em área anteriormente queimada como em área não queimada. Ocasional. Pseudobulbos pequenos, desde parcialmente enterrados a quase completamente expostos, externamente vinosos. De plena para o fi","Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,"10","SP002027","SP002027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isoepitype",NA,NA
"62","2019-11-21 10:13:06-03","IBt","SP","369202","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Bianchetti, LB; Batista, JAN","2001","11","Batista, JAN","1269","2001","11","Brasil","Distrito Federal","Reserva Ecológica do Guará, RA X, Guará. Área à direita a Estrada Parque Taguatinga, na altura da primeira passarela sobre a pista após o final do Setor de Industria","Erva terrestra. Plantas florescendo tanto em área anteriormente queimada como em área não queimada. Ocasional. Pseudobulbos pequenos, desde parcialmente enterrados a quase completamente expostos, externamente vinosos. De plena para o fi","Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,"10","SP002026","SP002026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isoepitype",NA,NA
"63","2019-11-21 10:13:06-03","IBt","SP","259637","S","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","Bianchetti, LB","2000","03","Wanderley, MGL; Kral, R","1775","1988","12","Brasil","Goiás","Em direção a Alto Paraíso",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2010-08-16 16:41:18-03","AMES","HU-HERB","AMES 00217470","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L. C. Menezes",NA,NA,NA,"J. A. N. Batista","1269","2001","11","Brazil","Distrito Federal","RA X, Guará, Reserva Ecológica do Guará, Area a direita da Estrada Parque Taguatinga, mais ou menos na altura da primiera passareia sobre a pista um pouco após o final do Setor de Industria",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"South America","1269","Sheet",NA,NA,NA,NA,NA,NA,NA,"Isoepitype",NA,"undetermined"
