"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"49","2019-10-07 09:35:34-03","UEFS","HUEFS","176926","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Monteiro, M.T.","23545","1971","09","22",NA,"Brasil","Bahia","Itamaraju","Fazenda Boa Vista.","-39.5311012268066","-17.0391998291016",NA,NA,NA,NA,"HUEFS0176926","HUEFS0176926","Rosanae",NA,"55932","auto",NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-10-07 09:35:38-03","UEFS","HUEFS","86906","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso & Peixoto",NA,"Ilegível","15802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0086906",NA,"Rosanae",NA,NA,NA,NA,NA,NA,NA,NA,"Tipo",NA,NA
"51","2019-10-07 09:35:38-03","UEFS","HUEFS","86907","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso & Peixoto",NA,"Ilegível",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0086907",NA,"Rosanae",NA,NA,NA,NA,NA,NA,NA,NA,"Parátipo",NA,NA
"52","2020-10-14 16:35:27-03","UFVJM","HDJF","7833","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Paixão, FA","50P97","2019","07","30","Southern America","Brasil","Espírito Santo","Linhares","Rio Doce, Margem Direita","-40.191167","-19.473056","18","18",NA,NA,"HDJF007833","HDJF007833_01",NA,NA,NA,NA,NA,NA,"-40.191167","-19.473056",NA,NA,NA,NA
"53","2020-10-14 16:35:27-03","UFVJM","HDJF","7627","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Paixão, FA","R51P24","2018","11","13","Southern America","Brasil","Minas Gerais","Marliéria","Rio Doce, Margem Esquerda","-42.48","-19.750833","262","262",NA,NA,"HDJF007627","HDJF007627_01",NA,NA,NA,NA,NA,NA,"-42.48","-19.750833",NA,NA,NA,NA
"54","2020-10-14 16:35:27-03","UFVJM","HDJF","7565","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Paixão, FA","99P22","2018","11","09","Southern America","Brasil","Minas Gerais","Timóteo","Rio Doce, Margem Esquerda","-42.522806","-19.552111","245","245",NA,NA,"HDJF007565","HDJF007565_01",NA,NA,NA,NA,NA,NA,"-42.522806","-19.552111",NA,NA,NA,NA
"55","2020-10-14 16:35:27-03","UFVJM","HDJF","7574","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Paixão, FA","36P23","2018","11","12","Southern America","Brasil","Minas Gerais","Marliéria","Rio Doce, Margem Esquerda","-42.500389","-19.712806","243","243",NA,NA,"HDJF007574","HDJF007574_01",NA,NA,NA,NA,NA,NA,"-42.500389","-19.712806",NA,NA,NA,NA
"56","2020-07-23 12:16:09-03","CEPLAC","CEPEC","4609","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla",NA,"M. Sobral","R. P. Belém","3804","1968","07","08",NA,"Brasil","Bahia","LINHARES","Vale do Rio Doce.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2014"
"57","2020-07-23 12:16:09-03","CEPLAC","CEPEC","125543","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla",NA,"M. Sobral","R. C. Forzza","5138","2008","07","16",NA,"Brasil","Espírito Santo","NOVA VENÉCIA","Área de Proteção Ambiental da pedra do Elefante. Trilha principal na Mata da Fazenda Santa Rita.","-40.432778","-18.7825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W25'58","18S46'57",NA,NA,NA,"30/12/2010"
"58","2020-07-23 12:16:09-03","CEPLAC","CEPEC","2025","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla",NA,"M. Sobral","R. P. Belém","2695","1992","03","04",NA,"Brasil","Bahia","PORTO SEGURO","Monte Pascoal.","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,NA,NA,NA,"68835","auto",NA,NA,NA,NA,NA,NA,NA,"30/12/2014"
"59","2020-07-23 12:16:09-03","CEPLAC","CEPEC","7537","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla",NA,"M. Sobral","T. S. dos Santos","2014","1971","09","30",NA,"Brasil","Espírito Santo","LINHARES","Vale do Rio Doce, KM 6 da BR-101 ao S.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,"20/12/1983"
"60","2020-07-23 12:16:09-03","CEPLAC","CEPEC","2418","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla",NA,"M. Sobral","R. P. Belém","2657","1966","09","28",NA,"Brasil","Bahia","EUNÁPOLIS","Rodovia BR-5, 16Km ao S de Eunápolis.","-39.5802993774414","-16.3775005340576",NA,NA,NA,NA,NA,NA,NA,NA,"37596","auto",NA,NA,NA,NA,NA,NA,NA,"30/12/2014"
"61","2020-11-19 14:06:26-03","Unimontes","MCMG","6388","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Paixão, F. A.; Resck, D. V. S.","Paixão, F. A.; Resck, D. V. S.",NA,"2018","11","12",NA,"Brasil","Minas Gerais","Marliéria","Marliéria","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,NA,NA,NA,NA,"28215","auto",NA,NA,"W42° 30' 01.4","S19° 42' 46.1",NA,NA,NA,NA
"62","2020-11-19 14:06:26-03","Unimontes","MCMG","6355","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Paixão, F. A.; Resck, D. V. S.","Paixão, F. A.; Resck, D. V. S.",NA,"2018","11","09",NA,"Brasil","Minas Gerais","Timóteo","Timóteo","-42.644401550293","-19.5825004577637",NA,NA,NA,NA,NA,NA,NA,NA,"16391","auto",NA,NA,"W42° 31' 22.1","S19° 33' 07.6",NA,NA,NA,NA
"63","2020-11-19 14:06:26-03","Unimontes","MCMG","6294","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Paixão, F. A.; Resck, D. V. S.","Paixão, F. A.; Resck, D. V. S.",NA,"2018","10","20",NA,"Brasil","Minas Gerais","Bom Jesus do Galho","Bom Jesus do Galho","-42.3161010742188","-19.8288993835449",NA,NA,NA,NA,NA,NA,NA,NA,"39343","auto",NA,NA,"W42° 31' 20.0","S19° 34' 04.5",NA,NA,NA,NA
"64","2019-12-20 18:46:45-03","UFSJ","HUFSJ","7774","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Fraga, CN de; et al.","645","2000","07","15",NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, Barracão, Escola Agrotécnica Federal de Santa Teresa.","-40.6002998352051","-19.9356002807617","250","250",NA,"Inflorescência branca, sépalas verde claro. Folha verde escuro, nervuras verde claro.","HUFSJ007774",NA,NA,"2007","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"65","2019-02-27 14:03:06-03","UFSJ","HUFSJ","6734","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Siqueira, GS","121","2004","10","14",NA,"Brasil","Espírito Santo",NA,"Reserva Natural Vale",NA,NA,NA,NA,NA,"Arbóreo 2m. Fruto imaturo verde","HUFSJ006734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2019-12-20 18:46:45-03","UFSJ","HUFSJ","6744","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Vervloet, RR; Demuner, V; Bausen, E","2730","2007","07","03",NA,"Brasil","Espírito Santo","Águia Branca","Assentamento 16 de abril.","-40.747222","-18.907028","150","200",NA,"Arbusto de 3m, botões florais de cor branca.","HUFSJ006744",NA,NA,"2009",NA,NA,NA,NA,"-40.747222","-18.907028",NA,NA,NA,NA
"67","2019-02-27 14:03:06-03","UFSJ","HUFSJ","6839","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Monteiro, MT","23545","1971","09","22",NA,"Brasil","Bahia","Itamarajú","Fazenda Boa Vista.","-39.5311012268066","-17.0391998291016",NA,NA,NA,"Flores de cor esbranquiçada com perfume agradável.","HUFSJ006839",NA,NA,"2006","55932","auto",NA,NA,NA,NA,NA,NA,NA,NA
"68","2019-02-27 14:03:06-03","UFSJ","HUFSJ","4734","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Souza, RLD","145","1996","09","10",NA,"Brasil","Espírito Santo","Linhares","Pontal do Ipiranga.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Árvore 2,5m. Fruto verde.","HUFSJ004734",NA,NA,"2013","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"69","2019-12-20 18:46:45-03","UFSJ","HUFSJ","6961","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Siqueira, GS","121","2004","10","14",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Porte arbóreo, 2m de altura, fruto imaturo verde.","HUFSJ006961",NA,NA,"2007","48094","auto","02","10",NA,NA,NA,NA,NA,NA
"70","2019-02-27 14:03:06-03","UFSJ","HUFSJ","3850","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Folli, DA","4138","2001","12","06",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Porte arbustivo, botão verde, flor branca, altura total 3m, altura da fuste 2m, diâmetro da copa 1m.","HUFSJ003850",NA,NA,"2013","48094","auto","01","29",NA,NA,NA,NA,NA,NA
"71","2019-02-27 14:03:06-03","UFSJ","HUFSJ","3609","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Siqueira, GS","121","2004","10","14",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Porte arbóreo, fruto imaturo verde, fuste cilindrica, altura total 2m, altura da fuste 1m, diâmetro da copa 2m.","HUFSJ003609",NA,NA,"2007","48094","auto","02","10",NA,NA,NA,NA,NA,NA
"72","2019-12-20 18:46:45-03","UFSJ","HUFSJ","7775","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Demuner, V; Bausen, E; Pizziolo, W","1329","2000","07","27",NA,"Brasil","Espírito Santo","Santa Teresa","Várzea Alegre, Cachoeira do Medalon.","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Arbusto, 6m, botões florais e flores amarronzadas. Ambiente rochoso, meia sombra.","HUFSJ007775",NA,NA,"2007","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"73","2019-02-27 14:03:06-03","UFSJ","HUFSJ","3610","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Lucas, E; Ar","Folli, DA","5750","2007","11","05",NA,"Brasil","Espírito Santo","Vila Velha","Convento da Penha.","-40.2924995422363","-20.3297004699707",NA,NA,NA,"Porte arbóreo, fruto imaturo verde, altura total 2,5m, altura da fuste 1m, diâmetro da copa 1m.","HUFSJ003610",NA,NA,"2011","27156","auto","09","01",NA,NA,NA,NA,NA,NA
"74","2019-11-01 15:06:08-03","UnB","UB","168650","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Staggemeier, VG","Belém, RP; Pinheiro, RS","2657","1966","09","28","Southern America","Brasil","Bahia","Eunápolis",NA,"-39.58","-16.38",NA,NA,NA,"Arbusto de 3m, flores brancas, cálice verde.; Rod BR 5 16 km S Eunápolis",NA,NA,NA,"2013",NA,NA,"12","13","-39.58","-16.38",NA,NA,NA,NA
"75","2019-11-01 15:06:08-03","UnB","UB","196348","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Faria, JEQ","Pereira, OJ","7717","1997","06","09","Southern America","Brasil","Espírito Santo","Serra","Bacia rio jacaraípe","-40.3075","-20.128611",NA,NA,NA,"Planta com 6 metros de altura. Botão verde; Domínio floresta ombrófila densa de terras baixas. Tabuleiro",NA,NA,NA,"2011",NA,NA,"06",NA,"-40.3075","-20.128611",NA,NA,NA,NA
"76","2019-11-01 15:06:08-03","UnB","UB","200960","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Siqueira, GS","121","2004","10","14","Southern America","Brasil","Espírito Santo","Linhares","Reserva Natural Vale","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Arbóreo 2m. Fruto imaturo verde; Capoeirão",NA,NA,NA,"2007","48094","auto","02","10",NA,NA,NA,NA,NA,NA
"77","2017-09-11 17:11:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Aulomyrcia","eumecephylla","Aulomyrcia eumecephylla","O.Berg",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"Oreas",NA,NA,NA,NA,NA,"Oreas; HABITAT: Oreas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
