"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus"
"27","2019-08-27 13:32:19-03","IAP","PACA-AGP","61055.1","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","J. Mattos",NA,"1956","12","25",NA,"Brasil","SC","Lages",NA,"-50.326099395752","-27.8160991668701",NA,NA,NA,"Sem Material Habitat: In dumetosis Fenofase: flor","PACA061055-1",NA,"Magnoliatae",NA,"1957","08","70701","auto","19",NA,NA,NA,NA,NA
"28","2019-01-17 11:25:40-02","PUCRS","MPUC","9435","S","Plantae",NA,"Gentianales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Equipe do Projeto",NA,NA,"1989","06","19","South America","Argentina","Província de Corrientes","San Javier","Arroio Guerreiro",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"29","2019-01-17 11:25:40-02","PUCRS","MPUC","9334","S","Plantae",NA,"Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham.) E.L. Cabral & Bacigalupo.","C.A. Mondin",NA,NA,"1999","02","20","South America","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,"Cognição da Mata de Araucária do CPCN Pró-Mata",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,"1","-50.1744444000","-29.4808333000",NA,NA
"30","2019-01-17 11:25:40-02","PUCRS","MPUC","11484","S","Plantae",NA,"Gentianales","Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham.) E.L. Cabral & Bacigalupo.","G. Souza",NA,NA,"2005","03","20","South America","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,"1","-50.1744444000","-29.4808333000",NA,NA
"31","2020-10-14 10:06:02-03","FURB","FURB","44856","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham.) E.L.Cabral & Bacigalupo","Funez, L.A.","Funez, L.A.","3468","2014","10","01",NA,"Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.3677778","-28.0552778","1100","1100",NA,NA,"FURB41531","FURB41531",NA,NA,"2014","10",NA,NA,NA,NA,"-49.3677778","-28.0552778",NA,NA
"32","2021-03-16 17:52:32-03","UCS","HUCS","2907","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Sehnem, A.","Sehnem, A.","s.n.","1963","01","17",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Taimbé","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Coleção ASSL 8151; herba in dumentosis humidis",NA,NA,NA,NA,"1963","01","76715","auto","17",NA,NA,NA,NA,NA
"33","2019-11-25 12:12:39-03","UFSM","SMDB","486","S","Plantae",NA,NA,"Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Rambo, B","Rau, G","s.n.","1947","11","11",NA,"Brasil","Rio Grande do Sul","Santa Maria","Linha da Fronteira","-53.8069000244141","-29.6842002868652",NA,NA,NA,NA,"SMDB000486","SMDB000486",NA,NA,NA,NA,"37819","auto",NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:43:14-03","MBM","MBM","34777","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Kirkbride, J.H.","Ferreira, L.F.","186",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Barigui","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM034777",NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:43:19-03","MBM","MBM","22900","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham.) E.L. Cabral","Cabral, E.L.","Hatschbach, G.","26231",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Barigui","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM022900","MBM022900",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:43:19-03","MBM","MBM","333774","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham.) E.L. Cabral","Jardim, J.","Matos, F.B.; et al.; et al.","501","2005","03","09","Southern America","Brazil","Paraná","Curitiba","Jardim das Américas, Centro Politécnico da Universidade Federal do paraná, Reserva Biológica Mata Viva","-49.2731018066406","-25.4277992248535","900","900",NA,"Erva com flores azuladas. Estepe gramíneo-lenhosa","MBM333774","MBM333774",NA,NA,"2009","07","25180","auto",NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:43:19-03","MBM","MBM","170342","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","cymosa","Galianthe cymosa","(Cham.) E.L. Cabral","Jardim, J.","Imaguire, N.","5496","1980","04","15","Southern America","Brazil","Paraná","Curitiba","Jardim Social","-49.2731018066406","-25.4277992248535",NA,NA,NA,"Erva, flores alvas. campo limpo, seco","MBM170342","MBM170342",NA,NA,"2009","07","25180","auto",NA,NA,NA,NA,NA,NA
