"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"46","2019-10-07 09:11:00-03","UEFS","HUEFS","67889","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","N.Roque","Silva-Pereira, V.","33","2002","08","09",NA,"Brasil","Bahia","Palmeiras","Serra dos Brejões - Chapada Diamantina.","-41.5588989257812","-12.5289001464844","900","900",NA,"Campo rupestre.","HUEFS0067889","HUEFS0067889",NA,"2003","10",NA,NA,NA,"20767","auto","Asteranae",NA,NA
"47","2020-07-23 11:58:37-03","CEPLAC","CEPEC","30525","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"H. P. Bautista","R. M. Harley","22386","1980","05","22",NA,"Brasil","Bahia","LENÇÓIS","14Km ao NW de Lençóis. Serra dos Lençóis. Serra do Brejão.","-41.45","-12.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W27'0","12S27'0",NA,NA,NA,NA,NA,"13/09/1998"
"48","2020-07-23 11:58:37-03","CEPLAC","CEPEC","68047","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"H. P. Bautista","M. L. Guedes","598","1994","08","30",NA,"Brasil","Bahia","palmeiras","Pai Inácio, lado oposto da torre de repetição.","-41.472222","-12.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W28'20","12S27'0",NA,NA,NA,NA,NA,"06/02/1997"
"49","2020-07-23 11:58:37-03","CEPLAC","CEPEC","69318","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"H. P. Bautista","A. Pereira","339","1994","07","30",NA,"Brasil","Bahia","LENÇÓIS","Serra da Chapadinha.","-41.447222","-12.453611",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W26'50","12S27'13",NA,NA,NA,NA,NA,"06/02/1997"
"50","2020-07-23 11:58:37-03","CEPLAC","CEPEC","70507","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"H. P. Bautista","E. de Melo","1262","1994","11","23",NA,"Brasil","Bahia","LENÇÓIS","Morro da Chapadinha.","-41.452778","-12.456667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W27'10","12S27'24",NA,NA,NA,NA,NA,"06/02/1997"
"51","2020-07-23 11:58:37-03","CEPLAC","CEPEC","72509","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"H. P. Bautista","D. J. N. Hind","3476","1996","07","08",NA,"Brasil","Bahia","LENÇÓIS","Serra da Chapadinha.","-41.3899993896484","-12.563099861145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47385","auto",NA,NA,"23/09/1999"
"52","2020-07-23 11:58:37-03","CEPLAC","CEPEC","18333","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"D. J. N. Hind","S. A. Mori","13221","1979","12","24",NA,"Brasil","Bahia","palmeiras","15Km ao NE de Palmeiras. Pai Inacio. BR-242, Km 232.","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,NA,NA,"Isótipo",NA,NA,"0W0'0","0S0'0",NA,"20767","auto",NA,NA,"03/12/1991"
"53","2020-07-23 11:58:37-03","CEPLAC","CEPEC","81044","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"H. P. Bautista","A. M. Amorim","2128","1998","01","25",NA,"Brasil","Bahia","palmeiras","Morro do Pai Inácio. Próx. a torre de transmissão.","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20767","auto",NA,NA,"24/09/1999"
"54","2020-07-23 11:58:37-03","CEPLAC","CEPEC","27403","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"D. J. N. Hind","S. A. Mori","14374","1981","06","12",NA,"Brasil","Bahia","palmeiras","Pai Inácio, BR-242 ao W de Lençóis e Km 232.","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20767","auto",NA,NA,"13/02/1991"
"55","2020-07-23 11:58:37-03","CEPLAC","CEPEC","20836","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius",NA,"H. P. Bautista","S. A. Mori","13311","1980","02","29",NA,"Brasil","Bahia","palmeiras","Pai Inacio. BR-242, Km 232, ca. 15Km ao NE de Palmeiras.","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0",NA,"20767","auto",NA,NA,"13/09/1998"
"56","2021-04-08 17:12:15-03","UESB","HUESB","3229","S","Plantae","Dicotyledoneae",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob","E.C.Oliveira","Conceição, A.A.; D.Cardoso; D.Cardoso","1307","2005","04","17",NA,"Brasil","Bahia","Mucugê","Parque Nacional da Chapada Diamantina","-41.523889","-12.708889","1500","1700",NA,"Troca de Material.; Erva viscosa ca. 50 cm alt. Folhas papiráceas ligeiramente discolores, face abaxial verde mais clara. Brácteas verdes e flores rosas.",NA,NA,NA,"2005","06","-41.523889","-12.708889",NA,NA,NA,NA,NA,NA
"57","2019-11-21 09:59:42-03","IBt","SP","335232","S","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Quaresma, AS","Amorim, AM; Jacques, EL; Juchum, FS","2128","1998","01","25",NA,"Brasil","Bahia","Palmeiras","Morro do pai Inácio. Coletas efetuadas nos afloramentos próximos à torre de transmissão.","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,"SP030317","SP030317",NA,"2012","08",NA,NA,NA,"20767","auto",NA,NA,NA
