"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","class","individualCount","typeStatus","relatedCatalogItem"
"31","2020-12-21 16:34:27-03","MBM","MBM","332715","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Rorzza, R.C.; et al.; et al.","4197","2006","06","30","Southern America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,"Mata Grande. Árvore 20m alt. Grande florada, 6 indivíduos em flor. Folhas levemente discolores, hipanto verde, lacínios verde-claros, corola alva, ovário vináceo, filetes alvos levemente rosados, anteras laranjas com conectivo roxo,","MBM332715","Chiavegatto, B.","MBM332715","30417","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:34:27-03","MBM","MBM","166578","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Robim, M.J.; et al.; et al.","733",NA,NA,NA,"Southern America","Brazil","São Paulo","Campos do Jordão","Parque Estadual","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"MBM166578","Chiea, S.A.C.","MBM166578","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:34:27-03","MBM","MBM","69151","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Custódio Filho, A.","267","1980","07","11","Southern America","Brazil","São Paulo","Cunha","Reserva Florestal","-44.9599990844727","-23.0699996948242","1000","1000",NA,"Árvore 25m de altura, tronco rugoso, flores brancas","MBM069151","Goldenberg, R.","MBM069151","38855","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-09-17 06:48:52-03","MNHN","RECOLNAT_MNHN_P","P00539068","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Prov. Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00539068' target='other'> <mi>dwc_moreinfo</mi></a>","P00539068",NA,"P00539068_01",NA,NA,NA,NA,NA,NA,NA,"11953",NA,NA,NA,NA
"35","2015-09-04 20:30:57-03","MNHN","RECOLNAT_MNHN_P","P00539069","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Claussen, P.",NA,"1842",NA,NA,NA,"Brésil",NA,NA,"Novo Friburgo, prov. de Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00539069' target='other'> <mi>dwc_moreinfo</mi></a>","P00539069",NA,"P00539069_01 P00539069_02",NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA
"36","2015-09-17 07:29:12-03","MNHN","RECOLNAT_MNHN_P","P00539070","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Claussen, P.",NA,"1842",NA,NA,NA,"Brésil",NA,NA,"Novo Friburgo, prov. de Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00539070' target='other'> <mi>dwc_moreinfo</mi></a>","P00539070",NA,"P00539070_01 P00539070_02",NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA
"37","2015-09-17 06:48:47-03","MNHN","RECOLNAT_MNHN_P","P00539076","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Glaziou, A.",NA,"1888","7","16",NA,"Brésil",NA,NA,"Rio de Janeiro; Alto Macahé",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00539076' target='other'> <mi>dwc_moreinfo</mi></a>","P00539076",NA,"P00539076_01 P00539076_02",NA,NA,NA,NA,NA,NA,NA,"17531",NA,NA,NA,NA
"38","2015-09-18 03:36:40-03","MNHN","RECOLNAT_MNHN_P","P00539077","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Glaziou, A.",NA,"1888","7","16",NA,"Brésil",NA,NA,"Rio de Janeiro; Alto Macahé",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00539077' target='other'> <mi>dwc_moreinfo</mi></a>","P00539077",NA,"P00539077_01 P00539077_02",NA,NA,NA,NA,NA,NA,NA,"17531",NA,NA,NA,NA
"39","2015-09-18 03:36:46-03","MNHN","RECOLNAT_MNHN_P","P00539078","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Glaziou, A.",NA,"1888","7","16",NA,"Brésil",NA,NA,"Rio de Janeiro; Alto Macahé",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00539078' target='other'> <mi>dwc_moreinfo</mi></a>","P00539078",NA,"P00539078_01 P00539078_02",NA,NA,NA,NA,NA,NA,NA,"17531",NA,NA,NA,NA
"40","2015-09-04 20:31:05-03","MNHN","RECOLNAT_MNHN_P","P05225701","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Glaziou|Moura, J.",NA,"1888","1","28",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05225701' target='other'> <mi>dwc_moreinfo</mi></a>","P05225701",NA,"P05225701_01","38539","auto",NA,NA,NA,NA,NA,"16874",NA,NA,NA,NA
