"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","relatedCatalogItem"
"12","2020-02-08 09:10:18-03","NBC","NL-BOTANY","U.1309353","PreservedSpecimen","Plantae","Leguminosae-Mim.","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa E; Hatschbach GG; Ribas OS",NA,"1998","01","22","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1309353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1309353",NA,"Fabales","Barneby",NA,NA,NA,"Colonia Sao Judas Tadeu (Mun. Guarapuava) Parana.",NA,NA,"NL-U1309353",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:10:18-03","NBC","NL-BOTANY","U.1309354","PreservedSpecimen","Plantae","Leguminosae-Mim.","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach GG; Cervi AC",NA,"1985","08","28","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1309354 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1309354",NA,"Fabales","Barneby",NA,NA,NA,"Canta Galo, arredores, Parana.",NA,NA,"NL-U1309354",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:10:18-03","NBC","NL-BOTANY","WAG.1706346","PreservedSpecimen","Plantae","Leguminosae-Mim.","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach GG",NA,"1969","02","07","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1706346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1706346",NA,"Fabales","Barneby",NA,NA,NA,"Canta Galo (mun. Guarapuava) Parana.",NA,NA,"NL-WAG1706346",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:10:00-03","ESALQ","ESA","34707","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G. et al.","65307.0","1996","09","18",NA,"Brasil",NA,NA,NA,"ESA034707","Magnoliophyta",NA,"Barneby",NA,"Paraná","Guarapuava",NA,"-51.4580993652344","-25.395299911499","ESA034707",NA,NA,NA,"1996","53832","auto",NA,"01","01",NA,NA,NA,NA,NA
"16","2020-11-04 11:10:00-03","ESALQ","ESA","60747","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E. et al.","108.0","1998","01","22",NA,"Brasil",NA,NA,NA,"ESA060747","Magnoliophyta",NA,"Barneby",NA,"Paraná","Guarapuava",NA,"-51.4580993652344","-25.395299911499","ESA060747",NA,NA,NA,"1998","53832","auto",NA,"01","01",NA,NA,NA,NA,NA
"17","2021-01-14 15:29:57-03","MN","R","198192","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E.; Hatschbach, G.G. & Ribas, O.S. 108","s.n.","1998","01","22",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Barneby","Hatschbach, G.G.","Paraná","Guarapuava",NA,"-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"1998","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:29:50-03","IAP","PACA-AGP","85919","PreservedSpecimen","Plantae","Mimosaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G.","72419","2001","09","19",NA,"Brasil",NA,NA,"prostrada, flor lilás. Habitat: em lajeados","PACA085919","Magnoliophyta","Fagales","Barneby","G. Hatschbach","PR","Candói","Colônia São Judas Tadeu","-52.0558013916016","-25.5722007751465",NA,NA,NA,NA,"2001","42664","auto","Magnoliatae",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-20 21:17:36-03","UFV","VIC","26078","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E.; et al.","108","1998","01","22",NA,"Brasil",NA,NA,"Prostrada, flor rosada. Dos lajeados rochosos.","VIC026078",NA,NA,"Barneby","Hatschbach, G.","Paraná","Guarapuava","Colônia São Judas Tadeu","-51.4580993652344","-25.395299911499","VIC026078",NA,NA,NA,"1998","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:36:54-03","UFJF","CESJ","33937","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","G. Hatschbach","43241","1980","10","26","América do Sul","Brasil",NA,NA,"Subarbusto semi-reptante, flor rosada. Campo rochoso.&nf;ISOTYPUS","CESJ033937","Angiosperma",NA,"Barneby",NA,"Paraná","Guarapuava",NA,"-51.4580993652344","-25.395299911499","CESJ033937","Isotypus",NA,NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:36:54-03","UFJF","CESJ","31805","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","E. Barbosa; G. Hatschbach; O.S. Ribas","108","1998","01","22","América do Sul","Brasil",NA,NA,"Prostada, flor rosada. Dos lajeados rochosos.","CESJ031805","Angiosperma",NA,"Barneby","G. Hatschbach","Paraná","Guarapuava","Colônia São Judas Tadeu","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"1998","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
