"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"47","2020-11-04 11:00:13-03","ESALQ","ESA","9499","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia",NA,"Scaramuzza, C.A.M.","Souza, V.C. et al.","3754.0","1993","05","22",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA009499","ESA009499",NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA
"48","2020-11-04 11:00:13-03","ESALQ","ESA","16158","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia",NA,"Tamashiro, J.Y.","Tamashiro, J.Y.","1255.0","1981","10","26",NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"ESA016158","ESA016158",NA,NA,NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA
"49","2020-11-04 11:00:13-03","ESALQ","ESA","16151","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia",NA,"Scaramuzza, C.A.M.","Pereira, S.C.","1506.0","1981","12","02",NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"ESA016151","ESA016151",NA,NA,NA,"2002","03","12","23696","auto",NA,NA,NA,NA,NA,NA
"50","2020-11-04 11:00:13-03","ESALQ","ESA","62902","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Scaramuzza, C.A.M.","Chagas, F. et al.","1853.0","1995","10","29",NA,"Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"ESA062902","ESA062902",NA,NA,NA,"2002","02","12","46557","auto",NA,NA,NA,NA,NA,NA
"51","2020-11-04 11:00:13-03","ESALQ","ESA","63227","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia",NA,NA,"Scaramuzza, C.A.M. ; Souza, V.C.","63227.0","1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA063227","ESA063227",NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA
"52","2021-01-14 15:23:12-03","MN","R","8094","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Glaziou, A.F.M.","18997","1892","05","09",NA,"Brasil","Minas Gerais","Rodrigo Silva",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008094","R000008094_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2015-07-02 14:00:24-03","JBP","HPL","560","S","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reiss.","V.C. Souza","E.R. Salviani & H. Lorenzi","284","1998","09","11",NA,"Brasil","PR","São Matheus","Estrada que liga São Matheus à Três Barras, em beira de estrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","10","28",NA,NA,NA,NA,NA,NA,NA,NA
"54","2019-08-27 13:34:09-03","IAP","PACA-AGP","50850","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Asplund","Hatschbach, G.","1632","1949","12","04",NA,"Brasil","PR","Campo Largo","São Luiz de Purunã","-49.5283012390137","-25.4585990905762",NA,NA,NA,"VULNERÁVEL&nf;Arbusto de 1 1/2m. Habitat: In campestribus silvulosis. Da borda do campo. Fenofase: Flor alvecente","PACA050850",NA,NA,NA,NA,NA,NA,NA,"53742","auto","Magnoliopsida",NA,NA,NA,NA,NA
"55","2019-08-27 13:34:09-03","IAP","PACA-AGP","64778","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","L. B. Smith","Reitz & Klein","6461","1958","02","05",NA,"Brasil","SC","Campo Alegre","Morro do Iquerim.","-49.2655982971191","-26.1924991607666",NA,NA,NA,"VULNERÁVEL&nf;HBR 16487. Habitat: Caapão do campo.","PACA064778",NA,NA,NA,NA,"1958",NA,NA,"37493","auto","Magnoliopsida",NA,NA,NA,NA,NA
"56","2019-08-27 13:34:09-03","IAP","PACA-AGP","87285","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","S. Andrews","J. Cordeiro","1733","1999","12","28",NA,"Brasil","SC","Campo Alegre","Serra Quiriri","-49.2655982971191","-26.1924991607666","1500","1500",NA,"VULNERÁVEL&nf;arbusto 1,2m flor alva Habitat: matinha nebular","PACA087285",NA,NA,NA,NA,"2002",NA,NA,"37493","auto","Magnoliopsida",NA,NA,NA,NA,NA
"57","2019-08-27 13:34:09-03","IAP","PACA-AGP","87285.1","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","S. Andrews","J. Cordeiro","1733","1999","12","28",NA,"Brasil","SC","Campo Alegre","Subida a Serra Quiriri","-49.2655982971191","-26.1924991607666","1500","1500",NA,"Altura de 1,20m. Habitat: Matinha nebular. Fenofase: flores alvas Hábito: arbusto","PACA087285-1",NA,NA,NA,NA,"2002",NA,NA,"37493","auto","Magnoliopsida",NA,NA,NA,NA,NA
"58","2020-12-20 21:15:29-03","UFV","VIC","3745","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Magalhães, M.","s.n.","1952","11","20",NA,"Brasil","Minas Gerais","Lagoa Santa","Serra do Cipó - Km 135, Campo em capoeirinha.","-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"VIC003745","VIC003745",NA,NA,NA,NA,NA,NA,"12338","auto",NA,NA,NA,NA,NA,NA
"59","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0013010","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Warmg.","G. Hatschbach","J. M. Silva; L. R. Lima, M. A. Farinaccio","3950","2004","1","29",NA,"Brazil","Paraná",NA,"Serra do Araçatuba (Mun. Guaratuba). Brazil Paraná","-48.5667","-25.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0059177","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Warmg.","V.C. Martin","J. Cordeiro; J. M. Silva","3524","2010","3","6",NA,"Brazil","Sao Paulo",NA,"Serra da Bocaina (Mun. São José do Barreiro) São Paulo","-44.576908","-22.645185","1640",NA,NA,"Subarbusto, 80 cm, frutos pactos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2019-11-21 14:30:45-03","UFJF","CESJ","44706","PreservedSpecimen","Plantae","Angiosperma",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"E. Tameirão-Neto","3616","2003","07","18","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Floresta Alagada - Cia. Paraibuna Metais","-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,"CESJ044706","CESJ044706",NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA
"62","2019-11-21 14:30:45-03","UFJF","CESJ","66917","PreservedSpecimen","Plantae","Angiosperma",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","L.D. Santana","L.D. Santana; J.H.C. Ribeiro; S. Weideveld; D.R. Gonzaga","87","2014","12","06","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Vale do Rio Santo Angostinho/ Interior da FOM Aluvial","-44.8899993896484","-21.9589004516602",NA,NA,NA,"Arvoreta, ca 5m. Flores alvas. Dentro da parcela 14 da fitossociologia, indivíduo 549. Próximo ao curso d'água. Altitude 1700 m.s.m.","CESJ066917","CESJ066917",NA,NA,NA,"2015","01","13","29865","auto",NA,NA,NA,NA,NA,NA
"63","2019-11-21 14:30:45-03","UFJF","CESJ","48419","PreservedSpecimen","Plantae","Angiosperma",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","J. Cordeiro; E.Barobosa","O.S. Ribas; J. Cordeiro; J.M. Silva; F.Marinero","7182","2006","04","10","América do Sul","Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Trilha para o Pico Caratuva.","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Arbusto, 4 m, flor alva. Encosta do morro; floresta atlântica da Serra do Mar.","CESJ048419","CESJ048419",NA,NA,NA,"2006",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"64","2019-11-21 14:30:45-03","UFJF","CESJ","33210","PreservedSpecimen","Plantae","Angiosperma",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","J. Cordeiro","J.M. Silva; E. Barbosa; J. Cordeiro","3253","2000","02","25","América do Sul","Brasil","Paraná","Guaratuba","Serra do Araçatuba, Matinha nebular","-48.5746994018555","-25.8827991485596","1300","1300",NA,"Arbusto, 1n, flor alva.","CESJ033210","CESJ033210",NA,NA,NA,"2000",NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA
"65","2019-11-21 14:30:45-03","UFJF","CESJ","44576A","PreservedSpecimen","Plantae","Angiosperma",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","G. Hatschbach","E. Barbosa; M.R.M. Santos; E.M.S.Moletta","804","2004","02","10","América do Sul","Brasil","Paraná","Palmeira","Rio Lajeado, Região de campo limpo","-50.0064010620117","-25.4293994903564",NA,NA,NA,"Arbusto, 1m, fruto preto. Beira de rio encachoeirado","CESJ44576A","CESJ44576A",NA,NA,NA,"2004",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"66","2020-01-30 17:57:27-03","UFJF","CESJ","40882","PreservedSpecimen","Plantae","Angiosperma",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","S. Andrews","J. Cordeiro; J.M. Silva; E. Barbosa; O.S. Ribas","1733","1999","12","28","América do Sul","Brasil","Santa Catarina","Campo Alegre","Serra Quiriri, Subida a Serra Quiriri; matinha nebular","-49.2655982971191","-26.1924991607666","1500","1500",NA,"Arbusto, 1,20m, flor alva.","CESJ040882","CESJ040882",NA,NA,NA,"2002",NA,NA,"37493","auto",NA,NA,NA,NA,NA,NA
"67","2021-04-07 11:41:05-03","UFMS","CGMS","48552","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","J. Cordeiro; E. Barbosa","O.S. Ribas; J. Cordeiro; J.M. Silva; F. Marineiro","7182","2006","04","10",NA,"Brasil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, trilha para o Pico Caratuva.","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Flor alva. Habitat: Encosta de morro.Floresta atlântica da Serra do Mar. Habito: Arbusto. 4,00m de altura.","CGMS1078508",NA,NA,NA,NA,"2006",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"68","2021-04-07 11:41:05-03","UFMS","CGMS","5878","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","A.C. Cervi","A.C. Cervi; et al.","3784","1992","09","29",NA,"Brasil","Paraná","Jaguariaíva","Rio das Mortes.","-49.7057991027832","-24.2511005401611",NA,NA,NA,"Flores alvas.","CGMS002842",NA,NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA
"69","2021-04-07 11:41:05-03","UFMS","CGMS","64819","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","G. Hatschbach","A.C. Cervi; G. Hatschbach","3010","1989","11","09",NA,"Brasil","Paraná","Ponta Grossa","Rio São Jorge.","-50.1618995666504","-25.0949993133545",NA,NA,NA,"Flores alvas, masculinas. UPCB 17352. Habitat: Zona de campo, margens de rio. Habito: Subarbusto de 70 cm de altura.","CGMS1108443",NA,NA,NA,NA,"1989",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
"70","2019-11-14 11:29:50-03","UNICAMP","UEC","255","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Cruz, ND; Shepherd, GJ","6380","1977","11","18",NA,"Brazil","Minas Gerais",NA,"Serra do Caraça, 10km sudeste e Belo Hor",NA,NA,NA,NA,NA,"flor, Beira de mata e campo aberto","UEC107178","UEC107178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2019-11-14 11:29:50-03","UNICAMP","UEC","256","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Dias, GM","Monteiro, R","6251","1977","11","17",NA,"Brazil","Minas Gerais",NA,"Serra do Caraça, ca. 70km a sudeste de B",NA,NA,NA,NA,NA,"flor, Beira de mata. Arbusto até 2m, flores brancas.","UEC107176","UEC107176",NA,NA,NA,"1987","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2019-11-14 11:29:50-03","UNICAMP","UEC","25685","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Tamashiro, JY","Leitão Filho, HF; Kinoshita, LS; Martins, FR; Tamashiro, JY","1404","1981","10","30",NA,"Brazil","Minas Gerais","Poços de Caldas","Campo do Saco","-46.564722","-21.838889",NA,NA,NA,"fruto, Arbusto +- 80cm, frutos verdes","UEC164749","UEC164749",NA,"-46.564722","-21.838889","1982","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2019-11-14 11:29:50-03","UNICAMP","UEC","25833","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Pereira, SC","1509","1981","12","02",NA,"Brazil","Minas Gerais","Poços de Caldas","Santa Rosália","-46.564722","-21.838889",NA,NA,NA,"flor, Arbusto cerca 1,5m, flores brancas.","UEC164747","UEC164747",NA,"-46.564722","-21.838889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2021-03-01 16:22:31-03","UNICAMP","UEC","25602","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Tamashiro, JY","Tamashiro, JY","1255","1981","10","26",NA,"Brazil","Minas Gerais","Santa Rosália","Brasil, Minas Gerais, Santa Rosália.","-46.564722","-21.838889",NA,NA,NA,"Arbusto de 1 m, flores esbranquiçadas.","UEC107175","UEC107175",NA,"-46.564722","-21.838889","1982","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2019-11-14 11:29:50-03","UNICAMP","UEC","250","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Semir, J; Sazima, M","4715","1973","10","29",NA,"Brazil","Minas Gerais","Jaboticatubas","km 127 rodovia Lagoa Santa - Conceição d","-43.7449989318848","-19.513599395752",NA,NA,NA,"flor, Entre pedras. Arbusto 40-50cm. Flores brancas.","UEC107177","UEC107177",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"76","2019-11-14 11:29:50-03","UNICAMP","UEC","211","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Semir, J; Andrade-Lima, AD","4872","1973","12","13",NA,"Brazil","Minas Gerais","Jaboticatubas","km 142 rodovia Lagoa Santa - Conceição d","-43.7449989318848","-19.513599395752",NA,NA,NA,"flor, Arbusto 1,5m. Flores creme. Exsicata com 2 folhas","UEC164743","UEC164743",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"77","2019-11-14 11:29:50-03","UNICAMP","UEC","249","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Joly, AB; Semir, J","3622","1972","11","03",NA,"Brazil","Minas Gerais","Jaboticatubas","km 142 rodovia Lagoa Santa - Conceição d","-43.7449989318848","-19.513599395752",NA,NA,NA,"flor, Flores brancas, altura 1,2m","UEC164742","UEC164742",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"78","2019-11-14 11:29:50-03","UNICAMP","UEC","212","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Semir, J; Andrade-Lima, AD","4873","1973","12","13",NA,"Brazil","Minas Gerais","Jaboticatubas","km 142 rodovia Lagoa Santa - Conceição d","-43.7449989318848","-19.513599395752",NA,NA,NA,"flor, Arbusto 1,5m, flores creme.","UEC164744","UEC164744",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"79","2019-11-14 11:29:50-03","UNICAMP","UEC","258","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Semir, J; Andrade-Lima, AD","4883","1973","12","13",NA,"Brazil","Minas Gerais","Jaboticatubas","km 142 rodovia Lagoa Santa - Conceição d","-43.7449989318848","-19.513599395752",NA,NA,NA,"flor, Arbusto 1,5m, flores creme.","UEC164746","UEC164746",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"80","2019-11-14 11:29:50-03","UNICAMP","UEC","244","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Silvestre, MSF","160","1978","11","02",NA,"Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, km 136","-43.7449989318848","-19.513599395752",NA,NA,NA,"flor, Arbusto de folhas coriáceas, cerca de 1m de altura. Flores brancas pequenas. Entre pedras","UEC107179","UEC107179",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA
"81","2019-11-14 11:29:50-03","UNICAMP","UEC","248","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Leitão Filho, HF; Shepherd, GJ; Stubblebine, WH","9575","1978","12","12",NA,"Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,"flor, Em campo rupestre e matas de altitude","UEC164745","UEC164745",NA,NA,NA,NA,NA,NA,"33136","auto",NA,NA,NA,NA,NA,NA
"82","2019-11-14 11:29:50-03","UNICAMP","UEC","34384","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Leitão Filho, HF; Semir, J; Tozzi, AMGA; Yamamoto, K","15166","1983","12","06",NA,"Brazil","Minas Gerais","Tiradentes",NA,"-44.1781005859375","-21.1103000640869",NA,NA,NA,"flor, Arbusto cerca de 1,2m, botões creme, flores esverdeadas. Campo rupestre próximo à cidade.","UEC107181","UEC107181",NA,NA,NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA
"83","2021-03-01 16:22:31-03","UNICAMP","UEC","192820","S","Plantae","Magnoliopsida",NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Groppo Jr, M","Hoehne, W","s.n.","1940","09",NA,NA,"Brazil","São Paulo","São Paulo","Cidade Jardim","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Feminina","UEC129929","UEC129929",NA,NA,NA,"1996",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
"84","2019-11-05 16:43:22-03","UFOP","OUPR","27019","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Ramos, M.B.C.","Ramos, M.B.C.;; Lelis, S.M.","30","2012","10","25",NA,"Brasil","Minas Gerais","Ouro Branco","Parque Estadual Serra do Ouro Branco, Coletada próximo ao balneário do PESOB","-43.675689","-20.491722","1246","1246",NA,"Arbusto. Ca 1m alt. Botão floral alvo e amarelo. Mata Ripária.",NA,NA,NA,"-43.675689","-20.491722","2013","02","20",NA,NA,NA,NA,NA,NA,NA,NA
"85","2019-11-05 16:43:22-03","UFOP","OUPR","492","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Ex Herb. Escola de Minas n. 1579.",NA,NA,NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"86","2019-11-05 16:43:22-03","UFOP","OUPR","476","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Schwacke, C.A.W.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores pálidas. Terreno pedregoso.",NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"87","2019-11-05 16:43:22-03","UFOP","OUPR","478","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Base da Serra do Itaculumi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Ex Herb. Escola de Minas n. 1587.",NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"88","2019-11-05 16:43:22-03","UFOP","OUPR","471","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Badini, J.","Badini, J.","s.n.","1977","07","31",NA,"Brasil","Minas Gerais","Ouro Preto","Base do Itatiaia","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores brancas. Beira de córrego.",NA,NA,NA,NA,NA,"1977","07","31","44599","auto",NA,NA,NA,NA,NA,NA
"89","2020-03-12 10:28:54-03","UFOP","OUPR","35066","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Pedrosa, L.G.","Pedrosa, L.G.","2522","2020","01","29",NA,"Brasil","Minas Gerais","Ouro Preto","Cabloco","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, frutos verdes. Campo rupestre",NA,NA,NA,NA,NA,"2020","01",NA,"44599","auto",NA,NA,NA,NA,NA,NA
"90","2019-11-05 16:43:22-03","UFOP","OUPR","505","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Badini, J.","s.n.","1941",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Camarinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores brancas. Campo.",NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"91","2019-11-05 16:43:22-03","UFOP","OUPR","506","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Badini, J.","Badini, J.","s.n.","1979","11","17",NA,"Brasil","Minas Gerais","Ouro Preto","Camarinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Subarbusto, flores brancas. Entre rochas de quartzito.",NA,NA,NA,NA,NA,"1979","11","17","44599","auto",NA,NA,NA,NA,NA,NA
"92","2020-03-12 10:28:54-03","UFOP","OUPR","34544","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Pedrosa, L.G.","Pedrosa, L.G.","2012","2019","09","22",NA,"Brasil","Minas Gerais","Ouro Preto","Cerâmica","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arvoreta. Flores alvas. Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"93","2019-11-05 16:43:22-03","UFOP","OUPR","504","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Badini, J.","Badini, J.","s.n.","1981","12","24",NA,"Brasil","Minas Gerais","Ouro Preto","Chapada","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores pálidas. Beira de córrego.",NA,NA,NA,NA,NA,"1982","02","26","44599","auto",NA,NA,NA,NA,NA,NA
"94","2019-11-05 16:43:22-03","UFOP","OUPR","477","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Badini, J.","s.n.","1938","10","12",NA,"Brasil","Minas Gerais","Ouro Preto","Falcão","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores brancas. Beira de córrego.",NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"95","2019-11-05 16:43:22-03","UFOP","OUPR","475","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Badini, J.","s.n.","1938","10","12",NA,"Brasil","Minas Gerais","Ouro Preto","Rancharia","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores brancas. Rancharia.",NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"96","2019-11-05 16:43:22-03","UFOP","OUPR","470","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","Badini, J.","Badini, J.","s.n.","1952","10",NA,NA,"Brasil","Minas Gerais","Ouro Preto","Saramenha","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores brancas. Beira de estrada.",NA,NA,NA,NA,NA,"1952","10",NA,"44599","auto",NA,NA,NA,NA,NA,NA
