etiqueta_duplicaDO,duplicados
"escallonia chlorophyllariedel, l.15311833",7542/42060
"escallonia chlorophyllaluederwaldt, h.s.n.1908",7536/42097
escallonia chlorophyllanas.n.na,7544/42067
"escallonia chlorophyllanetto, a.a.s.n.1948",7514/42080
escallonia chlorophyllaprade130871933,7524
"escallonia chlorophyllagarcia, r.j.f.; siqueira, f.s.; popak, t.; ferreira, s.34052008",7503/42084
"escallonia chlorophyllasaint-hilaire, a.f.c.p.s.n.1816",7543/42068
"escallonia chlorophyllausteri, a.s.n.1906",7537/42098
"escallonia petrophilahatschbach, g.; ribas, o.s.612521994",7546/42099
"acalypha brasiliensissilva, a.f.; martins, f.r.12351985",7568/7567/42106
"acalypha brasiliensisbarreto, k.d.26521994",7557/42124
"acalypha brasiliensispickel, b.s.n.1943",7573/42121
"acalypha brasiliensisheringer, e.p.2121939",7574/42101/42102
"acalypha brasiliensisgehrt, a.328661935",7575/42112
"acalypha brasiliensisgiulietti, a.m.11701994",7558/42118
"acalypha brasiliensispastore, j.a.; marino, l.4431992",7564/42123/7565/42125
"acalypha brasiliensismizoguchi, k.9801979",7571/42100/7570/42114
"acalypha brasiliensiskuhlmann, m.s.n.1922",7576
"acalypha brasiliensismayo, s.j.s.n.1981",7569/42119
"acalypha brasiliensismeira neto, j.a.a.7931991",7566/42110
"acalypha brasiliensisesteves, r.1291995",7554/42122
"acalypha brasiliensistamashiro, j.y.7631995",7552/42116/7553/42120
"acalypha brasiliensistamashiro, j.y.; belinello, r.; souza, j.p.; fernandes, g.d.; ivanauskas, n.m.; miyagi, p.h.7631995",7551/42111
"acalypha brasiliensisegler, w.a.1041955",7572
"actinostemon klotzschiigentry, a.h.587591987",7837/42404
"actinostemon klotzschiigentry, a.h.; zardini, e.m.491541985",7855/42403
"actinostemon klotzschiiárbocz, g.f.9531994",7779/42334
"actinostemon klotzschiibarros, f.10291984",7870/7873/42349/42536/7872
"actinostemon klotzschiibernacci, l.c.244501989",7822/42308
"actinostemon klotzschiibiral, l.4012009",7662
"actinostemon klotzschiiburchell, w.j.5238na",42547
"actinostemon klotzschiicardoso-leite, e.438na",8002/42225
"actinostemon klotzschiichiea, s.a.c.1751980",7892/7891/7893/42353/42535
"actinostemon klotzschiicordeiro, i.3471987",7833/7836/7839/42216/42346/42543/7838/7834/42506
"actinostemon klotzschiicordeiro, i.16501997",7739/42515/7735/42502
"actinostemon klotzschiicruz, a.m.r.; camara, m.c.s.n.1976",7929
"actinostemon klotzschiicruz, a.m.r.; câmara, m.c.s.n.1976",7930/7931/42530/42531
"actinostemon klotzschiibarretto, e.h.p.42009",42209/42210/42211
"actinostemon klotzschiihoehne, f.c.s.n.1931",7985/7980/42505/7983/7984/7981/7982/7986/7987/42344/42345/42526/42527/7978/42218
"actinostemon klotzschiifialho, n.s.n.1964",7944/42333/42341/42524/7943
"actinostemon klotzschiifreitas, h.s.2402007",7673/42460
"actinostemon klotzschiigarcia, l.c.342008",7667/42318
"actinostemon klotzschiiserafim, h.; santos, m.f.2402007",7672
"actinostemon klotzschiifaria, h.h.381988",7832
"actinostemon klotzschiihandro, o.2601951",7959/7961/42493/42520/7960
"actinostemon klotzschiihandro, o.281311931",7974/42311
"actinostemon klotzschiihandro, o.s.n.1931",7975/7977/42343/42525/7970/42212/7976/7972/42402/7973/42504
"actinostemon klotzschiihandro, o.636891931",7971/42246
"actinostemon klotzschiihoehne, f.c.637051931",7979/42245
"actinostemon klotzschiihoehne, f.c.s.n.1941",7964/7965/42517
"actinostemon klotzschiihoehne, f.c.457361941",7963/42332
"actinostemon klotzschiihoehne, f.c.458361941",42331
"actinostemon klotzschiihoehne, f.c.s.n.1920",7988/7989/42518/42519
"actinostemon klotzschiihonda, s.7652008",8010/7666/42458
"actinostemon klotzschiisouza, j.p.; souza, v.c.; romão, g.o.; lima, m.i.r.g.; bessa, m.a.26071998",7724/42371
"actinostemon klotzschiijung-mendaçolli, s.l.3641980",7897/7903/42214/42541/7902/7898/42352
"actinostemon klotzschiijung-mendaçolli, s.l.3851981",7882/42540
"actinostemon klotzschiijung-mendaçolli, s.l.; melo, m.m.r.f.; fonseca, m.3951981",7885/42542
"actinostemon klotzschiijung-mendaçolli, s.l.; mello, m.m.f.3951981",7884
"actinostemon klotzschiijung-mendaçolli, s.l.; wanderley, m.g.l.3851981",7881
"actinostemon klotzschiijung-mendaçolli, s.l.; fonseca, m.; melo, m.m.r.f.3951981",7883/42350
"actinostemon klotzschiijung-mendacolli; perosin, l.; perosin, j.10411999",7717
"actinostemon klotzschiijung-mendaçolli; perosin, l.; perosin, j.10411999",42375
"actinostemon klotzschiisantos, k.361996",7750
"actinostemon klotzschiikondrat, h.62012",7658/42539
"actinostemon klotzschiikuhlmann, m.36851955",7952/7954/42340/42528/7953
"actinostemon klotzschiikuhlmann, m.38811955",7955/7957/42339/42529/7956
"actinostemon klotzschiikuhlmann, m.s.n.1958",7947/7948/42336/42521/7945/42215/7946/42503
"actinostemon klotzschiileitão filho, h.f.; shepherd, g.j.; tamashiro, j.y.; yamamoto, k.130741981",7890/42297
"actinostemon klotzschiilombardi, j.a.68692007",7677/42425
"actinostemon klotzschiilombardi, j.a.69692007",7678/42420
"actinostemon klotzschiifarinaccio, m.a.; l.g.temponi, a.b.j.c.s.a.f.s.7202004",7688/42374
"actinostemon klotzschiipaschoal, m.e.s.; fabricante, j.r.25042001",7699
"actinostemon klotzschiihandro, o.s.n.na",7999
"actinostemon klotzschiipetri, l.; pou, h.v.3582016",7653/42537
"actinostemon klotzschiipscheidt, a.c.332009",7663/42522
"actinostemon klotzschiiromaniuc; zifirino, r.12581991",7814/42338
"actinostemon klotzschiirosa, n.a.37911980",7904/42538
"actinostemon klotzschiirossi, l.s.n.1984",7865/42544
"actinostemon klotzschiirossi, l.; ludewigs, i.y.a.8661989",7823/42335
"actinostemon klotzschiijung-mendaçolli, s.l.7141997",7732/42376
"actinostemon klotzschiijung-mendaçolli, s.l.; cardoso, e.g.; silva, a.m.c.6481994",7778/42469
"actinostemon klotzschiisantos, k.; belinello, r.38482001",7696/42296
"actinostemon klotzschiisantos, l.b.882008",7668/42421
"actinostemon klotzschiisartori, m.s.s.n.2001",7697/42201
"actinostemon klotzschiisilva, j.s.3491974",7934/7932/7935/42217/42342/42523
"actinostemon klotzschiisilva, j.a.3491974",7933/42337
"actinostemon klotzschiisilvestre, m.s.f.2121979",7917/7915/7919/8012/42351/42533
"actinostemon klotzschiisilvestre, m.s.f.2001979",7914/42348/42534
"actinostemon klotzschiisilvestre, m.s.f.2061979",7918/42532
"actinostemon klotzschiisims, l.p.; melis, j.13032008",7665
"actinostemon klotzschiisims; melis, j.13032008",42319
"actinostemon klotzschiisouza, v.c.; caliari, c.p.; coelho, r.l.g.; colletta, g.d.; barroso, r.m.; martins, c.h.c.357452013",7657/42226
"actinostemon klotzschiistella, m.; silvestre, f.2061979",7916
"actinostemon klotzschiistella, m.; silvestre, f.2001979",7907/7909/42213/42347
"actinostemon klotzschiihoehne, w.s.n.1944",7962/42384
"algernonia brasiliensisgehrt, a.s.n.1920",8017/42550/8016
"algernonia brasiliensissouza, v.c.; souza, j.p.; ivanauskas, n.m.; duarte, a.r.; eterovic, a.; marques, o.a.v.110871996",8014/42549
"algernonia riedeliimello filho, l.e.; rente, j.a.20161961",8024/42558/42559/8025
"algernonia riedeliiemygdio, l.; rente, j.a.20161961",42556/42557
"algernonia riedeliijoaquim, g.o.381996",8022/42552
"algernonia riedeliisouza, v.c.; souza, j.p.; ivanauskas, n.m.; duarte, a.r.; eterovic, a.; marques, o.a.v.110871996",8021/42553
"bernardia pulchellabernacci, l.c.14971995",8047/42578/8048/42596
"bernardia pulchellabernacci, l.c.; belinello, r.; sciamarelli, a.; andrade, p.r.p.; falivene, s.m.p.; grecco, m.d.n.14971995",8045/42572
"bernardia pulchellacordeiro, i.; yano, o.; rielle, m.f.19451999",8036
"bernardia pulchellacordeiro, i.; yano, o.; rielle, m.f.s.n.1999",42564
"bernardia pulchellacordeiro, i.19451999",8030/42573/8035/42593/8034/42563
"bernardia pulchellacordeiro, i.; yano, o.19451999",8033
"bernardia pulchellacordeiro, i.; yano, o.; rielle, f.19451999",8032/42571
"bernardia pulchellalangsdorff, g.h.s.n.1825",8059/42561
"bernardia pulchellahatschbach, g.75461960",8054/42575
"bernardia pulchellahashimoto, g.6321949",8055/42587/8057/42595/8056
"bernardia pulchellahoehne, w.s.n.1945",8058/42577
"bernardia pulchellamizoguchi, k.15831981",8051/42562/8050/42574
"bernardia pulchellabernacci, l.c.; grecco, m.d.n.; andrade, p.r.p.; belinelo, r.; falivene, s.m.p.; voyceik, k.r.303641995",8046/42579
"bernardia pulchellamattos, j.; moura, c.129371965",8052
"bernardia pulchellamattos, j.r.; moura, c.129371965",8053/42594
"bernardia pulchellayano, o.; rielle, f.19451999",8031/42586
"bernardia pulchellariedel, l.s.n.na",42588/42589/42590/42591/42597/42598
"chiropetalum tricoccumegler, s.g.221541989",8060/42603
"chiropetalum tricoccumhoehne, w.s.n.1944",8077
"chiropetalum tricoccumkuhlmann, m.4901943",8082
"chiropetalum tricoccumlombardi, j.a.68902007",8068
"chiropetalum tricoccummamede, m.c.h.5751994",8071/42605/8072
"chiropetalum tricoccumsantos, l.b.3222009",8066
"croton hemiargyreuscardoso-leite, e.; oliveira, a.561993",7580/42127
"croton priscuscustodio filho, a17201983",8117/8121
"croton priscuscustodio filho, a.17201983",8119/42632/8116/42639/8123/42643/8120/8118/42620/8122/42627
"croton priscuscustodio filho, a.17151983",8115/42637/8124/42642
"croton priscuscustodio filho, a.18361983",8125/42635/8127/42648
"croton priscuscustodio filho, a.18621983",8126/42636/8128/42644
"croton priscuscustodio filho, a.26491986",8111/42638/8112/42616
"croton priscusandrade-lima, d.67-51081967",8133/42614
"croton priscuscaruzo, m.b.r.242004",8092
"croton priscuscaruzo, m.b.r.632004",8093
"croton priscuscustodio filho, a.; carra, m.10521982",8129/42646
"croton priscuscustodio filho, a.; carra, m.10991982",8130/42647
"croton priscushoehne, f.c.8311917",8146/42663
"croton priscushoehne, f.c.25931918",8145/42664
"croton priscusfranco, g.a.d.c.; custódio filho, a.7031988",8105
"croton priscusfranco, g.a.d.c.; custodio filho, a.7031988",8106/42653/8104/42634
"croton priscusfranco, g.a.d.c.; custodio filho, a.4711988",8103/42640
"croton priscushoehne, f.c.s.n.1918",8142/42621/8143/8144/42631/42655
"croton priscushoehne, f.c.s.n.1917",8147/8148/42654/42662
"croton priscuskuhlmann, j.g.s.n.1922",8141
"croton priscuskirizawa, m.; guerra, t.p.13761985",8113/42658
"croton priscuskirizawa, m.; lopes, e.a.18381987",8108/42659
"croton priscuskirizawa, m.; lopes, e.a.19281987",8109/42661
"croton priscuskirizawa, m.; lopes, e.a.19301987",8110/42660
"croton priscuskirizawa, m.; lopes, e.a.; custodio filho, a.5791981",8131/42645
"croton priscuskuhlmann, m.50231963",8136/42651/8135/8134/42626
"croton priscuskuhlmann, m.s.n.1933",8139/8140/42628/42656
"croton priscuslima, l.r.; rodrigues, r.r.5262008",8084
"croton priscuskuhlmann, m.322001933",8137/8138/42625/42665
"croton priscusputtemans, a.cgg56841902",8150/42657
"croton priscusputtemans, a.s.n.1902",8149/42629
"croton priscusriina, r.15352006",8087/8088
"croton priscusriina, r.15362006",8086/8085/42624/8089
"croton priscusrosa, n.a.; murça pires, j.38941980",8132/42641
"croton priscussimão-bianchini, r.5131994",8101/42652/8100/42630/8099/42623
"croton priscussimão-bianchini, r.; rossi, l.; kiyama, c.y.; shirasuna, r.t.5131994",8098/42619
"croton priscussugiyama, m.; kirizawa, m.7001987",8107/42650
"croton priscussugiyama, m.; lopes, e.a.5641984",8114/42649
"croton serratifoliussaint-hilaire, a.f.c.p.13911816",8173
"croton serratifoliussaint-hilaire, a.f.c.p.1391na",42686
"croton serratifoliusbrade, a.c.73341915",8171/42685
"croton serratifoliuslorenzi, h.; souto, e.f.; bernacci, l.c.52972005",8151/42674
"croton serratifoliushoehne, w.s.n.1942",8170/42679
"croton serratifoliushoehne, w.s.n.1945",8166/8167/8169/42668/42669/42678/8168
"croton serratifoliusmattos, j.r.141071966",8165/42684
"croton serratifoliuspaula-souza, j.36552003",8152/42673
"croton serratifoliussouza, v.c.40391993",8162/42680/8163/42675
"croton serratifoliussouza, v.c.60631994",8158/42676
"croton serratifoliussouza, v.c.71461994",8160/42682
"croton serratifoliussouza, v.c.86811995",8153/8154/42683
"croton serratifoliussouza, v.c.88071995",8156/42681
"croton serratifoliussouza, v.c.; miyagi, o.h.60631994",8157/42667
"croton serratifoliussouza, v.c.; sakuragui; miyagi, p.m.; levensteinas, b.; bérgamo, p.; cardoso, w.p.40391993",8161/42666
"croton serratifoliussouza, v.c.; souza, j.p.; miyagi, p.h.; nakagomi, m.y.71461994",8159/42671
"croton serratifoliussouza, v.c.; souza, j.p.; scalon, v.r.; wongtschowski, m.; sanches, c.d.; sakuragui, c.m.88071995",8155/42670
"croton sphaerogynuscordeiro, i.; cordeiro, a.30872009",8176
"croton sphaerogynusforzza, r.c.48002007",8178/8179/8177
"croton sphaerogynusfrança, f.25841998",8191/42702/8190/42698
"croton sphaerogynuslindeman, j.c.32021966",8197/42687/8194/42701
"croton sphaerogynuslindeman, j.c.; haas, j.h.32021966",8196/8195/42700
"croton sphaerogynuskirizawa, m.33181996",8192/42703
"croton sphaerogynuslindeman, j.c.; haas, h.; haas, h.32021966",8193/42694
"croton sphaerogynusloefgren, a.cgg42021898",8198/42704
"croton sphaerogynusmosén, c.w.h.s.n.1875",8199/42695
"croton sphaerogynussouza, v.c.412512018",8174/42689
"dalechampia leandriiburchell, w.j.31411826",42715/42717
"dalechampia leandriileitão filho, h.f.; rodrigues, r.r.; kim, a.c.; fonseca, r.c.b.; galvão, j.c.; arzolla, f.a.r.d.p.327271995",8207/42705/42707
"dalechampia leandriilindberg, g.a.684na",42716/42718
"dalechampia leandriipastore, j.a.; moura, c.12822003",8203
"joannesia princepsgehrt, a.79271922",7639/42129
"joannesia princepsalves, m.v.; heald, s.27432002",7588/7589/42196/42197
"joannesia princepspickel, b.48341939",7625/42157/7624/42147
"joannesia princepspickel, b.431954",7621/42175
"joannesia princepscarpanezzi, a.a.141na",7648/42181
"joannesia princepscarpanezzi, a.a.; reis, a.1411991",7604/42179
"joannesia princepschevalier, a.j.b.s.n.1928",7632/42161
"joannesia princepspickel, b.s.n.1944",7622/42183
"joannesia princepsgagliardi, k.62014",7583/42173
"joannesia princepsgarcia, l.c.202008",7585/42150
"joannesia princepsgehrt, a.s.n.1922",7637/7640/7641/42156/42192/42193/7636/42160/7638
"joannesia princepswebster, g.l.297081992",7602
"joannesia princepsvazquez, j.b.s.n.2005",7586/42184
"joannesia princepsbaitello, j.b.; aguiar, o.t.s.n.1976",7618/42188
"joannesia princepsbaitello, j.b.; aguiar, o.t.s.n.1977",7616/42186
"joannesia princepskoscinski, m.96981930",7631/42148
"joannesia princepsluederwaldt, h.s.n.1915",7642/7643/42195
"joannesia princepskoscinski, m.s.n.1936",7626/42174
"joannesia princepskoscinski, m.321928",7634/42185
"joannesia princepskoscinski, m.s.n.na",7645/42182
"joannesia princepsjaneiro, m.n.r.39941925",7635/42170
joannesia princepsnas.n.1933,7629/42138
joannesia princepsnas.n.2018,42131
joannesia princepsnas.n.na,42158/42159
"joannesia princepsaguiar, o.t.s.n.1977",7617/42187
"joannesia princepspereira, f.g.932010",7584/42162
"joannesia princepspickel, b.96971939",7623/42149
"joannesia princepsputtemans, a.cgg42911897",7644/42194
"abarema brachystachyaartibano, j.; louzada, r.b.82003",9201/43840
"abarema brachystachyaboldrin, a.h.l.4642008",9172/43841
"abarema brachystachyabordo, a.a.s.n.1977",9350/43756
"abarema brachystachyaburchell, w.j.33791826",43872
"abarema brachystachyamoura, c.; camargo, t.c.c.2492009",9169/43849
"abarema brachystachyacamara, m.c.s.n.1976",9365/43707/9361/43726/9363/43693/9362/43802
"abarema brachystachyacamara, m.c.28na",9430/43772
"abarema brachystachyacamargo, j.c.201966",9372/43918
"abarema brachystachyacamargo, j.c.331966",9370/43919
"abarema brachystachyacavalcante, p.b.11801964",9382
"abarema brachystachyacustodio filho, a.514na",9435/43873
"abarema brachystachyapickel, b.s.n.1945",9399/43867
"abarema brachystachyadedecca, d.m.; krug, h.p.; gardini, a.83411947",9397/43730/43704
"abarema brachystachyadedecca, d.m.; krug, h.p.; gardini, a.s.n.1947",9398/43830
"abarema brachystachyapereira, e.81621964",9384/9385/43686/43692/9383
"abarema brachystachyahoehne, f.c.296041932",9417/43794
"abarema brachystachyarawitscher, f.k.s.n.1947",9396/43703
"abarema brachystachyaferreira, v.f.52na",9436/43875
"abarema brachystachyaeiten, g.; eiten, l.t.33301961",9386/43797
"abarema brachystachyaeiten, g.; clayton, w.d.61431965",9375/9376/43795/43800/9374/43786
"abarema brachystachyagoes, m.; kirizawa, m.s.n.1977",9351/43727
"abarema brachystachyagoes, m.; kirizawa, m.100-a1977",9354/43923
"abarema brachystachyahandro, o.438101943",43706
"abarema brachystachyahandro, o.s.n.1943",9411/43705/43881/9408/43725/9410/43694
"abarema brachystachyahandro, o.86521943",9407/43720
"abarema brachystachyahoehne, w.113481944",9400/43757
"abarema brachystachyahoehne, w.s.n.1944",9406/43920/43755/9401/43792/9403/9405/43696/9404/43689
"abarema brachystachyahoehne, w.s.n.1951",9393/43807/9394/43690
"abarema brachystachyahoehne, w.spf129091944",9402/43844
"abarema brachystachyahoehne, w.s.n.na",9434/43716
"abarema brachystachyapastore, j.a.; moura, c.9362001",9202/43859
"abarema brachystachyapastore, j.a.; moura, c.10072001",9206/43858
"abarema brachystachyamizoguchi, k.3821978",9339/43785
"abarema brachystachyakirizawa, m.281976",9364/43921
"abarema brachystachyakirizawa, m.; goes, m.7-a1977",9348/43922
"abarema brachystachyakizys, m.m.l.s.n.2006",9196/43808
"abarema brachystachyaqueiroz, l.p.46891988",9297/43832
"abarema brachystachyaloefgren, a.cgg16511891",9423/43913
abarema brachystachyaloefgren; edwalls.n.1994,9256/43779
"abarema brachystachyalopes, j.c.12007",9184/43809
"abarema brachystachyacamara, m.c.281976",9360/43833
"abarema brachystachyagoes, m.s.n.1977",9352/43701
"abarema brachystachyakirizawa, m.s.n.1977",9347/43695
"abarema brachystachyakirizawa, m.; goes, m.s.n.1977",9346/43796
"abarema brachystachyakoscinski, m.2751935",9416/43868
"abarema brachystachyamarcondes ferreira, w.; semir, j.; hind, d.j.n.; dutilh, j.h.a.; nakajima, j.n.; belinello, r.16171997",9231/43879
"abarema brachystachyamattos, j.r.92621961",9389/43767
"abarema brachystachyamosén, c.w.h.s.n.1875",9424/9425/9426/9427/43780/43781/43782/43783
"abarema brachystachyamoura, c.2492009",9170/43804
"abarema brachystachyahandro, o.ib438101943",9409/43799
"abarema brachystachyahandro, o.23011981",9330/43784
"abarema brachystachyagibbs, p.e.35141976",9359/43691
"abarema brachystachyapereira, e.; pabst, g.; pabst, g.81621964",9381/43718
"abarema brachystachyapickel, b.47991937",9414/43719
"abarema brachystachyaqueiroz, l.p.44811996",9237/43814
"abarema brachystachyaqueiroz, l.p.46891996",9240/43813
"abarema brachystachyaqueiroz, l.p.; nicolau, s.a.; labiak, p.; belinello, r.44811996",9238/43914
"abarema brachystachyarosangela; silva, i.s.n.1985",9308/43842
abarema brachystachyas.col.20-b1965,9380/43917
abarema brachystachyas.col.s.n.1952,9392/43916
"abarema brachystachyasanches, c.d.; bastos, e.b.; hoffmann, j.r.r.; gorenstein, m.r.; pereira, v.f.551994",9255/43880
"abarema brachystachyasanches, c.d.; gorenstein, m.r.; hoffmann, j.r.r.; pereira, v.f.; bastos, e.b.551994",9251/43741
"abarema brachystachyasarti, s.j.4657na",9429/43769
"abarema brachystachyasarti, s.j.; santos, j.r.; don, d.46571977",9343/43758
"abarema brachystachyasilva, s.j.g.; souza, v.c.; gonçalves, g.t.s.n.1988",9296/43839
"abarema brachystachyateixeira, b.c.3001969",9369/43915/9368/43724
"abarema brachystachyavendemiatti, e.122008",9173/43708
"abarema brachystachyahoehne, w.spf12909na",9431/43798
"aeschynomene sensitiva var. hispidulahoehne, w.eac167881949",8233
"aeschynomene sensitiva var. hispidulahoehne, w.s.n.1949",8232
"aeschynomene sensitiva var. hispidulacoradin, l.82251987",8229
"aeschynomene sensitiva var. hispidularodrigues, m.e.f.; macedo, c.c.l.; hirata, r.t.3502008",8212
"albizia edwalliiandrade, e.n.s.n.na",10157/44364
"albizia edwalliicamargo, d.g.s.s.n.na",10155/44361
"albizia edwalliiedwall, g.cgg56081901",10151
"albizia edwalliinovães, j.2461900",10152/44357
"albizia edwalliikuhlmann, m.419na",10158/44365
"albizia edwalliimendonça, f.b.2932003",10135/44358
"albizia edwalliihopkins, m.68101977",10150
"albizia edwalliihopkins, m.6811na",10153
"albizia edwalliivecchi, o.f.r.a.s.n.na",10154/44362/10159/44363
"albizia edwalliisouza, h.m.68101977",44355
"albizia edwalliisouza, h.m.6811na",44356
"ancistrotropis firmulagehrt, a.s.n.1935",44945/44981/44968/44969/45024
"ancistrotropis firmulaalmeida-scabbia, r.j.; kameyama, c.; aragaki, s.; fortes, e.p.9692013",45003
"ancistrotropis firmulabiral, l.4382009",44977
"ancistrotropis firmulabiral, l.5402010",44978
"ancistrotropis firmulabrade, a.c.72941915",45011
"ancistrotropis firmulabrade, a.c.s.n.1912",45022
"ancistrotropis firmulaedwall, g.s.n.1907",45020
"ancistrotropis firmulagehrt, a.s.n.1924",45017
"ancistrotropis firmulaglasawer, f.971940",45019
"ancistrotropis firmulagottsberger, i.s.214171-r1972",44998
"ancistrotropis firmulahandro, o.881949",44967/45025
"ancistrotropis firmulahandro, o.s.n.1939",44971/44972/45028/44947/44980
"ancistrotropis firmulahauff, i.171932",45026
"ancistrotropis firmulahoehne, f.c.s.n.1927",45010
"ancistrotropis firmulajoly, a.b.4181947",44987
"ancistrotropis firmulaloefgren, a.; edwall, g.cgg23941894",45018
"ancistrotropis firmulaluederwaldt, h.s.n.1907",45021
"ancistrotropis firmulaluederwaldt, h.v1907na",44966
"ancistrotropis firmulaalmeida-scabbia, r.j.9692013",45002
"ancistrotropis firmulareis, t.r.; silva, e.d.; galvão, j.c.; escobar, n.a.g.1182012",44956
"ancistrotropis firmulacampinas, s.; santoro, j.9771937",44979
"ancistrotropis firmulasantos, l.b.4382009",44988
"ancistrotropis firmulasantos, l.b.5402010",44989
"ancistrotropis firmulausteri, a.126-b1906",45023
"ancistrotropis firmulausteri, a.s.n.1906",44965
"ancistrotropis firmulausteri, a.s.n.1907",44970/45027
"apuleia leiocarparodrigues, a.3132na",8300/42774
"apuleia leiocarpacastro, a.s.n.1953",8284/42790
"apuleia leiocarpacosta, b.s.n.1962",8282/42736
"apuleia leiocarpagaldino, b.s.n.1942",8298
"apuleia leiocarpabernacci, l.c.20181995",8259/8260/42765/42771/8262/42742/8256/42784
"apuleia leiocarpabernacci, l.c.; moreira, j.l.a.; paulo, e.m.; bongarten, j.; andrade, p.r.p.; camargo, o.20181995",8257/42748
"apuleia leiocarpacordeiro, l.651987",8266/42746
"apuleia leiocarpasucre, d.; guimarães, d.j.; braga, p.i.s.29731968",8274
"apuleia leiocarparodrigues, e.3051995",8254/42772
"apuleia leiocarpahoehne, f.c.s.n.1945",8295/42735/8297/42745/8296/42799
"apuleia leiocarpaflores, t.b.20232015",8244/42752
"apuleia leiocarpateixeira, l.s.n.1947",8291/42789
apuleia leiocarpanas.n.na,42754/42755/42756/42759/42761/42762
"apuleia leiocarpapolisel, r.t.4442007",8251/42763/8250/42785
apuleia leiocarpasem coletors.n.na,8301/8302/42782/42783
"bowdichia virgilioidesgehrt, a.sp-458671941",8686/43154
"bowdichia virgilioidescosta, b.s.n.1954",8674/43185
"bowdichia virgilioidespickel, b.j.2881943",8684/43164
bowdichia virgilioidesborgianis.n.na,8707/43145
"bowdichia virgilioidescabral, j.c.94971936",8689/43097
"bowdichia virgilioidescolletta, g.d.; flores, t.b.; souza, v.c.20342014",8567/43093
"bowdichia virgilioidescolletta, g.d.; souza, v.c.; dix, k.; llanes, g.18582014",8564/43085/8563
"bowdichia virgilioidespickel, d.b.s.n.1943",8683/43190
"bowdichia virgilioidestoledo filho, d.v.; e.giannotti55461977",8636
"bowdichia virgilioidesgottsberger, i.s.21341971",8652
"bowdichia virgilioidescordeiro, i.102201986",8610/43163
"bowdichia virgilioideskuhlmann, m.30561954",8670/8671/8673/43111/43181/43204/8669/43162/8672/43072
"bowdichia virgilioideskulmann, m.30561954",8668/43098
"bowdichia virgilioidesriedel, l.22381834",8694/8695/43071/43073/8692/43137
"bowdichia virgilioidesriedel, l.; lund, p.w.22381834",8693/43155
"bowdichia virgilioidesleitão filho, h.f.125261981",8615
"bowdichia virgilioidessilva, m.r.3321992",8603/43136
"bowdichia virgilioidesmello filho, l.e.s.n.1977",8639/43095
"bowdichia virgilioidesmello filho, l.e.; andrade, a.g.; mello, n.; lessa, e.; medeiros, f.23411966",8656/43094
"bowdichia virgilioidespagano, s.n.5621984",8614/43151
"bowdichia virgilioidespagano, s.n.6781985",8613/43150
"bowdichia virgilioidespanizza, s.617261977",8631/43096
"bowdichia virgilioidespanizza, s.s.n.1977",8632/43161
bowdichia virgilioidess.col.cesj20031943,8682/43102
"bowdichia virgilioidestoledo filho, d.v.; giannotti, e.55461977",8638/43205
"bowdichia virgilioidestoledo, d.v.; giannotti, e.55461977",8637/43112
"bowdichia virgilioidesii-unicamp, t.e.d.c.s.n.1994",43083
"chamaecrista trachycarpaloefgren, a.1681918",8373
"chamaecrista trachycarpahoehne, f.c.s.n.1918",8372/42867
"chamaecrista trachycarpalund, p.w.s.n.na",42866
"chloroleucon tortumhandro, o.s.n.1940",8243/42734
"chloroleucon tortummendonça, f.b.552001",8240/42730
"chloroleucon tortummendonça, f.b.1892002",8237/42731
"cratylia isopetalaeiten, g.; eiten, l.t.22251960",10778/45033
"cratylia isopetalaleitão filho, h.f.12431971",10776/45034
"cratylia isopetalamattos, j.89501976",10775/45035
"cratylia isopetalamattos, j.r.89501961",10777/45032
"cratylia isopetalaoliveira, j.e.4161941",10779/45031
"cratylia isopetalasakane, m.532na",10780/45030
"dahlstedtia muehlbergianaklitgaard, b.b.; lima, h.c.; garcia, f.c.p.521993",10688/10687/44870/10686/44814
"dahlstedtia muehlbergianacosta, b.s.n.1957",10732/44906
"dahlstedtia muehlbergianabarreto, k.d.18331994",10662/44799
"dahlstedtia muehlbergianabernacci, l.c.; metezger, j.p.; goldenberg, r.348821993",10684/44819
"dahlstedtia muehlbergianabernacci, l.c.; sciamarelli, a.; grecco, m.d.n.14621995",10645/44862
"dahlstedtia muehlbergianabianchini, e.6651995",10644/44826
"dahlstedtia muehlbergiananovaes, c.2741900",10764/44880
"dahlstedtia muehlbergianapickel, d.b.s.n.1943",10742/44907
"dahlstedtia muehlbergianastehle, d.i.s.n.1944",10739/44908
"dahlstedtia muehlbergianadurigan, g.305351989",10696/44837
"dahlstedtia muehlbergianahoehne, f.c.s.n.1988",10699/44900
"dahlstedtia muehlbergianahoehne, f.c.s.n.1936",10752/44785/10753/44790
"dahlstedtia muehlbergianahoehne, f.c.s.n.1939",10744/44787/10745/44788
"dahlstedtia muehlbergianafonzar, l.p.c.m.; rodrigues, r.r.166961984",10716/44829
"dahlstedtia muehlbergianafonzar, l.p.c.m.; rodrigues, r.r.178031985",10709/44828
"dahlstedtia muehlbergianagibbs, p.e.; leitão filho, h.f.41751976",10722/44902
"dahlstedtia muehlbergianasouza, h.m.s.n.1967",10731/44789/10730/44891
"dahlstedtia muehlbergianasouza, h.m.s.n.1968",10727/44892/10728/44811
"dahlstedtia muehlbergianasouza, h.m.cesj278091967",10729/44810
