"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","fieldNumber"
"53","2020-09-12 05:00:02-03","US","US","2691574","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein","1968","7","13","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"US00030006","US00030006_01 US00030006_02",NA,"Cyperales",NA,"7779","South America","900","900",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"54","2020-09-12 05:00:02-03","US","US","2434535","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. Reitz & R. M. Klein","1963","12","27","Brazil","Santa Catarina",NA,"Palmares, Campos Novos.",NA,NA,NA,NA,"US01327477","US01327477_01",NA,"Cyperales","Holotype","16355","South America","900","900",NA,"Protologue explicity (and only) cites US 2434535 as holotypus speciei but a series of 5 consecutively numbered sheets (USNH 2434535-2434539) are cross-annotated sheet 1 of 5, 2 of 5, etc. and all were originally annotated holotype (sheets 2-5 altered at some later date to isotype). See annotation by G.F. Guala II (1992), concluding all 5 sheets comprise a single holotype.","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"55","2020-09-12 05:00:02-03","US","US","2691575","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein","1968","7","13","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"US00030005","US00030005_01 US00030005_02",NA,"Cyperales",NA,"7779","South America","900","900",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"56","2020-09-12 05:00:02-03","US","US","3289630","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"L. G. Clark & W. De Oliveira","1991","3","11","Brazil","Santa Catarina","Caçador","Road cacador - rio das antas, about 7.2 km from cacador","-51","-26.85",NA,NA,"US00452379","US00452379_01 US00452379_02",NA,"Cyperales",NA,"898","South America","910","910",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"57","2020-09-12 05:00:02-03","US","US","1257159","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"P. K. Dusén","1916","1","21","Brazil","Paraná",NA,"Tres barras",NA,NA,NA,NA,"US00030009","US00030009_01 US00030009_02",NA,"Cyperales",NA,"17506","South America","760","760",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"58","2020-09-12 05:00:02-03","US","US","3260471","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"X. Londoño & L. G. Clark","1992","2","19","Brazil","Santa Catarina",NA,"A orilla del rio do inferno grande, br470, entre curitibanos y campo novos, ca 18 km antes de campo novos",NA,NA,NA,NA,"US00502352","US00502352_01 US00502352_02",NA,"Cyperales",NA,"695","South America","880","880",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"59","2020-09-12 05:00:02-03","US","US","2845012","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"G. Davidse","1976","3","8","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"US00030012","US00030012_01 US00030012_02",NA,"Cyperales",NA,"10903","South America - Neotropics","680","680",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"60","2020-09-12 05:00:02-03","US","US","2152478","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"J. R. Swallen","1946","1","22","Brazil","Santa Catarina",NA,"Cacador",NA,NA,NA,NA,"US00030007","US00030007_01 US00030007_02",NA,"Cyperales",NA,"8270","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"61","2020-09-12 05:00:02-03","US","US","2434538","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. Reitz & R. M. Klein","1963","12","27","Brazil","Santa Catarina",NA,"Palmares, Campos Novos.",NA,NA,NA,NA,"US00139289","US00139289_01",NA,"Cyperales","Holotype","16355","South America","900","900",NA,"Protologue explicity (and only) cites US 2434535 as holotypus speciei but a series of 5 consecutively numbered sheets (USNH 2434535-2434539) are cross-annotated sheet 1 of 5, 2 of 5, etc. and all were originally annotated holotype (sheets 2-5 altered at some later date to isotype). See annotation by G.F. Guala II (1992), concluding all 5 sheets comprise a single holotype.","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"62","2020-09-12 05:00:02-03","US","US","2691576","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein","1968","7","13","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"US00030008","US00030008_01 US00030008_02",NA,"Cyperales",NA,"7779","South America","900","900",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"63","2020-09-12 05:00:02-03","US","US","3690555","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"G. Guala et al.","1990","5","24","Brazil","Santa Catarina",NA,"Fraiburgo","-51.1","-27",NA,NA,"US02889286","US02889286_01",NA,"Cyperales",NA,"1432","South America","1100",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"64","2020-09-12 05:00:02-03","US","US","2775461","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein & M. M. Klein","1974","1","21","Brazil","Santa Catarina",NA,"Palmares, campos novos",NA,NA,NA,NA,"US00030026","US00030026_01 US00030026_02",NA,"Cyperales",NA,"11059","South America","900","900",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"65","2020-09-12 05:00:02-03","US","US","2434524","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. M. Klein","1963","10","28","Brazil","Paraná",NA,"Palmares, campos novos",NA,NA,NA,NA,"US00030011","US00030011_01 US00030011_02",NA,"Cyperales",NA,"4108","South America","900","900",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"66","2020-09-12 05:00:02-03","US","US","2434537","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. Reitz & R. M. Klein","1963","12","27","Brazil","Santa Catarina",NA,"Palmares, Campos Novos.",NA,NA,NA,NA,"US00030028","US00030028_01",NA,"Cyperales","Holotype","16355","South America","900","900",NA,"Protologue explicity (and only) cites US 2434535 as holotypus speciei but a series of 5 consecutively numbered sheets (USNH 2434535-2434539) are cross-annotated sheet 1 of 5, 2 of 5, etc. and all were originally annotated holotype (sheets 2-5 altered at some later date to isotype). See annotation by G.F. Guala II (1992), concluding all 5 sheets comprise a single holotype.","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"67","2020-09-12 05:00:02-03","US","US","2725904","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"J. Valls","1974","1","9","Brazil","Santa Catarina",NA,"Campos novos",NA,NA,NA,NA,"US00030027","US00030027_01 US00030027_02",NA,"Cyperales",NA,"3113","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"68","2020-09-12 05:00:02-03","US","US","2434539","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. Reitz & R. M. Klein","1963","12","27","Brazil","Santa Catarina",NA,"Palmares, Campos Novos.",NA,NA,NA,NA,"US00030029","US00030029_01",NA,"Cyperales","Holotype","16355","South America","900","900",NA,"Protologue explicity (and only) cites US 2434535 as holotypus speciei but a series of 5 consecutively numbered sheets (USNH 2434535-2434539) are cross-annotated sheet 1 of 5, 2 of 5, etc. and all were originally annotated holotype (sheets 2-5 altered at some later date to isotype). See annotation by G.F. Guala II (1992), concluding all 5 sheets comprise a single holotype.","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"69","2020-09-12 05:00:02-03","US","US","2434536","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm. in Reitz",NA,"R. Reitz & R. M. Klein","1963","12","27","Brazil","Santa Catarina",NA,"Palmares, Campos Novos.",NA,NA,NA,NA,"US00139288","US00139288_01",NA,"Cyperales","Holotype","16355","South America","900","900",NA,"Protologue explicity (and only) cites US 2434535 as holotypus speciei but a series of 5 consecutively numbered sheets (USNH 2434535-2434539) are cross-annotated sheet 1 of 5, 2 of 5, etc. and all were originally annotated holotype (sheets 2-5 altered at some later date to isotype). See annotation by G.F. Guala II (1992), concluding all 5 sheets comprise a single holotype.","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"70","2020-09-02 16:36:04-03","Cenargen","CEN","4510","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","J. F. M. Valls","José Francisco Montenegro Valls","1974","01","09","Brasil","SC","CAMPOS NOVOS","Estrada Campos Novos - Curitibanos, 40 km após Campos Novos, 18km W do rio Marombas.","-51.2249984741211","-27.4016990661621",NA,NA,"CEN00004510","CEN00004510 CEN00004510_1",NA,NA,NA,"3113",NA,NA,NA,"Exsicatas","Doação do Herbário do Depto. Bot. da U.F.R.G.S. - Porto Alegre. ICN: 25173",NA,NA,"1974","43319","auto","09",NA,"1",NA
"71","2019-12-09 17:30:40-03","UFPR","EFC","3334","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Clark, L.G.","Roderjan, C.V.",NA,NA,NA,"Brasil","Santa Catarina","Fraiburgo","Bosque Renar","-50.9236","-27.034","-50.9236","-27.0340","EFC003334",NA,NA,NA,NA,"1047",NA,NA,NA,NA,"Taquara 6m em capoeirão com araucária",NA,NA,"1994",NA,NA,"03","07",NA,NA
"72","2021-03-25 13:53:15-03","UNIVILLE","JOI","12990","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","D.B. Falkenberg","D.B. Falkenberg","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de Caçador.","-51.0149993896484","-26.7752990722656",NA,NA,"JOI012990",NA,NA,NA,NA,"6748",NA,"1000","1000",NA,"Bambu com colmo oco, estéril, 11 dupl.; HABITAT: beira da mata de araucária",NA,NA,"1994","38516","auto","01","01",NA,NA
"73","2019-10-07 09:21:35-03","UEFS","HUEFS","197374","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Falkenberg, D.B.","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de caçador.","-51.0149993896484","-26.7752990722656",NA,NA,"HUEFS0197374","HUEFS0197374","Angiospermae","Poales",NA,"6748",NA,"1000","1000",NA,NA,"Lilianae",NA,NA,"38516","auto",NA,NA,NA,NA
"74","2019-10-07 09:21:35-03","UEFS","HUEFS","197373","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Falkenberg, D.B.","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de caçador.","-51.0149993896484","-26.7752990722656",NA,NA,"HUEFS0197373","HUEFS0197373","Angiospermae","Poales",NA,"6752",NA,"1000","1000",NA,NA,"Lilianae",NA,NA,"38516","auto",NA,NA,NA,NA
"75","2020-08-20 14:59:28-03","UFSC","FLOR","64023","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Filgueiras, T.S.","Shirausa, R.T.; Filgueiras, T.S.","2009","10","05","Brasil","São Paulo","Barra do Turvo","Parque Estadual da Jucupiranga.","-48.2875","-24.934444","48º17'15''W","24º56'4''S","FLOR0064023","FLOR0064023",NA,"Poales",NA,"2565",NA,NA,NA,NA,"Bambu lignificado; Folhas estreitas; Estéril; Coletadas mudas para o IBT. N.P: Taraquaruçu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2020-08-20 20:41:18-03","UFSC","FLOR","24683","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Falkenberg, D.B.","Falkenberg, D.B.","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de Caçador.","-51.0149993896484","-26.7752990722656",NA,NA,"FLOR0024683",NA,NA,"Poales",NA,"6748",NA,"1000","1000",NA,"bambu de colmo oco, flor semsem, 7m altura. Estéril.",NA,NA,"1994","38516","auto",NA,NA,NA,NA
"77","2020-08-20 20:41:18-03","UFSC","FLOR","24679","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Falkenberg, D.B.","Falkenberg, D.B.","1994","10","16","Brasil","Santa Catarina","Caçador","Reserva Genética Florestal de Caçador.","-51.0149993896484","-26.7752990722656",NA,NA,"FLOR0024679",NA,NA,"Poales",NA,"6752",NA,"1000","1000",NA,"bambu de colmo oco, flor semsem, 6m altura. Limbo enrolado, 1.",NA,NA,"1994","38516","auto",NA,NA,NA,NA
"78","2020-08-20 14:59:28-03","UFSC","FLOR","64003","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Valls, J.; Longhi-Wagner, H.M. & Barcellos, A.","1974","01","09","Brasil","Santa Catarina","Campos Novos","Estrada Campos Novos - Curitibanos, 40km após Campos Novos, 18km W do rio Marombas.","-51.2249984741211","-27.4016990661621",NA,NA,"FLOR0064003","FLOR0064003",NA,"Poales",NA,"3113",NA,NA,NA,NA,NA,NA,NA,NA,"43319","auto",NA,NA,NA,NA
"79","2020-08-20 20:41:18-03","UFSC","FLOR","4380","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","McClure, F.A.","Klein, R.M.","1963","10","28","Brasil","Santa Catarina","Campos Novos","Palmares.","-51.2249984741211","-27.4016990661621",NA,NA,"FLOR0004380",NA,NA,"Poales","Paratypus","4108",NA,"900","900",NA,"calamodendrica, 6 a 8m altura. Os números R. Reitz & R.M. Klein 16355 e R.M. Klein 4657, foram colhidos na mesma touça. sp. novo. Paratypus de Apoclada simplex.",NA,NA,"1966","43319","auto",NA,NA,NA,NA
"80","2020-08-20 20:41:18-03","UFSC","FLOR","4381","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","McClure, F.A.","Reitz, R.; Klein, R.M.","1963","12","27","Brasil","Santa Catarina","Campos Novos","Palmares.","-51.2249984741211","-27.4016990661621",NA,NA,"FLOR0004381",NA,NA,"Poales","Isotypus","16355",NA,"900","900",NA,"Isotypus Apoclada simplex.",NA,NA,"1966","43319","auto",NA,NA,NA,NA
"81","2021-02-08 12:52:33-03","UFRGS","ICN","110368","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","Filgueiras, TS","?","1993","11","03","Brasil","RS","Campo Novo","perto da ponte","-53.8032989501953","-27.6753005981445",NA,NA,NA,NA,"Monocotyledon",NA,NA,"s.n.","América do Sul",NA,NA,NA,NA,NA,NA,NA,"12455","auto",NA,NA,NA,NA
"82","2021-02-08 12:52:33-03","UFRGS","ICN","025173","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B. Sm.","Valls, JFM","Valls, JFM; Longhi, H; Barcellos, A","1974","01","09","Brasil","SC","Campos Novos","Estrada para Campos Novos - Curitibanos, 40Km após Campos Novos, do rio Marombas","-51.2249984741211","-27.4016990661621",NA,NA,NA,NA,"Monocotyledon",NA,NA,"3113","América do Sul",NA,NA,NA,NA,NA,NA,NA,"43319","auto",NA,NA,NA,NA
"83","2019-11-21 10:14:41-03","IBt","SP","159523","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Ruiz-Sanchez, E","Davidse, G; D'Arcy, WG","1976","03","08","Brasil","São Paulo",NA,"38 km NE of the São Paulo - Paraná border, near the 267 km posto on highway116.",NA,NA,NA,NA,"SP040537","SP040537",NA,NA,NA,"10903",NA,"680","680",NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA
"84","2019-11-21 10:14:41-03","IBt","SP","249497","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Clark, L; Oliveira, W","1991","03","11","Brasil","Santa Catarina","Caçador","Road Caçador - Rio das Antas, about 7.2 km from Caçador. In secondary forest along a grota above the Rio do Peixe","-51","-26.85","-51","-26.85","SP040543","SP040543",NA,NA,NA,"898",NA,"910","910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2019-11-21 10:14:41-03","IBt","SP","358569","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","FFESP","Clark, L; Londoño, X; Oliveira, W","1992","02","17","Brasil","São Paulo","Barra do Turvo","Km 528 of BR-116, just across the highway from Posto Alto da Serra Paraíso, between Rio Branco and Rio Caapora. Secondary forest on the W side of the highway just before the gas station (heading toward Curitiba)","-48.35","-24.966667","-48.35","-24.966667","SP040541","SP040541",NA,NA,NA,"1027",NA,"620","620",NA,"Treated with 70% EtOH",NA,NA,"2001",NA,NA,NA,NA,NA,NA
"86","2019-11-21 10:14:41-03","IBt","SP","358569a","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","FFESP","Clark, L; Londoño, X; Oliveira, W","1992","02","17","Brasil","São Paulo","Barra do Turvo","Km 528 of BR-116, just across the highway from Posto Alto da Serra Paraíso, between Rio Branco and Rio Caapora. Secondary forest on the W side of the highway just before the gas station (heading toward Curitiba)","-48.35","-24.966667","-48.35","-24.966667","SP040542","SP040542",NA,NA,NA,"1027",NA,"620","620",NA,"Treated with 70% EtOH",NA,NA,"2001",NA,NA,NA,NA,NA,NA
"87","2019-11-21 10:14:41-03","IBt","SP","415202","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Filgueiras, TS","Shirasuna, RT; Filgueiras, TS","2009","10","05","Brasil","São Paulo","Barra do Turvo","Parque Estadual de Jacupiranga, Mata de pequeno córrego de Mata Atlântica","-48.2875","-24.934167","-48.2875","-24.934167","SP040538","SP040538",NA,NA,NA,"2565",NA,"670","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2019-11-21 10:14:41-03","IBt","SP","415202a","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Filgueiras, TS","Shirasuna, RT; Filgueiras, TS","2009","10","05","Brasil","São Paulo","Barra do Turvo","Parque Estadual de Jacupiranga, Mata de pequeno córrego de Mata Atlântica","-48.2875","-24.934167","-48.2875","-24.934167","SP040539","SP040539",NA,NA,NA,"2565",NA,"670","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2019-11-21 10:14:41-03","IBt","SP","454412","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Shirasuna, RT; Guaratini, MTG","2012","04","19","Brasil","São Paulo","Barra do Turvo","Parque Estadual do Rio Turvo","-48.295472","-24.936361","-48.295472","-24.936361","SP040544","SP040544",NA,NA,NA,"3024",NA,"678","678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2019-11-21 10:14:41-03","IBt","SP","454412a","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Shirasuna, RT; Guaratini, MTG","2012","04","19","Brasil","São Paulo","Barra do Turvo","Parque Estadual do Rio Turvo","-48.295472","-24.936361","-48.295472","-24.936361","SP040545","SP040545",NA,NA,NA,"3024",NA,"678","678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2019-11-21 10:14:41-03","IBt","SP","318761","S","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Valls, J","Valls, J; Longhi, H; Barcellos, A","1974","01","09","Brasil","Santa Catarina","Campos Novos","Estradas Campos Novos-Curitibanos, 40 km após Campos Novos, 18 km W do Rio Marombas","-51.2249984741211","-27.4016990661621",NA,NA,"SP040540","SP040540",NA,NA,NA,"3113",NA,NA,NA,NA,NA,NA,NA,NA,"43319","auto",NA,NA,NA,NA
