"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","barcode","imagecode","class","individualCount","typeStatus","fieldNumber","relatedCatalogItem"
"48","2020-09-12 05:00:02-03","US","US","2320674","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","M.A. Spencer & L.B. Sm.",NA,NA,NA,NA,"W. Doering","14","1905","5","13","Brazil","São Paulo","São Vicente",NA,"-46.3899993896484","-23.9599990844727",NA,NA,"25482",NA,NA,NA,"auto","South America - Neotropics","US01913950","US01913950_01","Monocotyledonae","1",NA,NA,NA
"49","2020-09-12 05:00:02-03","US","US","2028693","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","M.A. Spencer & L.B. Sm.",NA,NA,NA,NA,"R. Reitz","3947","1951","3","21","Brazil","Santa Catarina","Brusque","Morro da Baleia","-48.9174995422363","-27.0981006622314",NA,NA,"19684",NA,NA,NA,"auto","South America - Neotropics","US01913949","US01913949_01","Monocotyledonae","1",NA,NA,NA
"50","2019-11-08 15:01:00-03","UEFS","HUEFS","94564","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola","(Mez) M.A.Spencer & L.B.Sm.","M.G.L.Wanderley","2006","03",NA,"Conceição, A.A.","1302","2005","04","17","Brasil","Bahia","Mucugê","Serra do Esbarrancado. Parque Nacional da Chapada Diamantina.","-43.5","-12.683333","43W30'","12S41'",NA,"1400","1400","Mata ciliar em gerais.",NA,NA,"HUEFS0094564","HUEFS0094564 HUEFS0094564_01","Lilianae",NA,NA,NA,NA
"51","2019-09-04 20:02:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Catopsis","deflexa","Catopsis deflexa",NA,NA,NA,NA,NA,"E. H. G. Ule","4957",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"Monocotyledoneae",NA,"Holotype",NA,NA
"52","2020-01-06 17:32:16-03","F","FMNH-SEEDPLANTS","V0408957F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Racinaea","aeris-incola","Racinaea aeris-incola",NA,"RRC ID Flag",NA,NA,NA,"L. B. Smith et al.","1828","1929","2","5","Brazil","São Paulo",NA,NA,"-49","-22",NA,NA,NA,NA,NA,NA,NA,"South America","V0408957F","V0408957F_01","Monocotyledoneae",NA,NA,"1828",NA
"53","2019-09-04 18:10:33-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Vriesea","aerisincola","Vriesea aerisincola",NA,NA,NA,NA,NA,"J. Lhotsky",NA,"1832",NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"Monocotyledoneae",NA,"Lectotype",NA,NA
"54","2020-07-23 12:01:00-03","CEPLAC","CEPEC","25436","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","aerisincola","Tillandsia aerisincola",NA,"L. O. F. de Sousa",NA,NA,NA,"R. M. Harley","20722","1980","03","22","Brasil","Bahia","BARRA DA ESTIVA","Sera do Sincorá. 20Km ao W cidade. Rod. p/ Capão da Volta.","-41.45","-13.583333","41W27'0","13S35'0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31/03/2003"
"55","2017-09-11 16:27:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","aerisincola","Vriesea aerisincola","Mez",NA,NA,NA,NA,"Lhotsky, J","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Habitat in Brasiliae orientalis prov. Rio de Janeiro, ubi legerunt loco non indicato","-43.21","-22.9","-43.21","-22.9",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"56","2017-09-11 16:27:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","aerisincola","Vriesea aerisincola","Mez",NA,NA,NA,NA,"Binot, PM","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Habitat in Brasiliae orientalis prov. Rio de Janeiro, ubi legerunt loco non indicato","-43.21","-22.9","-43.21","-22.9",NA,NA,NA,"(V. s. in herb. Candoll. et Leod.)",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"57","2019-11-21 10:02:44-03","IBt","SP","351215","S","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Wanderley, MGL; Fiorato, L","2007","10",NA,"Martinelli, G; et al.","15915","1999","10","13","Brasil","São Paulo","São Luís do Paraitinga","Parque Estadual da Serra do Mar, Núcleo Santa Virgínea.","-45.155389","-23.345917","-45.155389","-23.345917",NA,"700","800",NA,NA,NA,"SP052723","SP052723",NA,NA,NA,NA,NA
"58","2020-10-22 10:12:33-03","IBt","SP","36499","S","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Ogawa, K","1997","09","24","Hoehne, FC; Gehrt, A","s.n.","1936","10","06","Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,"27258",NA,NA,NA,"auto",NA,"SP052722","SP052722",NA,NA,NA,NA,NA
"59","2019-11-21 10:02:44-03","IBt","SP","30766","S","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Wanderley, MGL","2006","04","11","Ostermeyer, R","s.n.","1933","06","24","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"53584",NA,NA,NA,"auto",NA,"SP052721","SP052721",NA,NA,NA,NA,NA
