"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","day","locality","decimalLongitude","decimalLatitude","county","class","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","fieldNumber","dayIdentified","individualCount","typeStatus"
"31","2020-09-12 05:00:02-03","US","US","3709198","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice",NA,"P. Rosa, C. Baez, T. Lima, D. Maurenza, R. Negrão, L. Moraes, M. Moraes & G. Overney","896","2016","8","South America","Brazil","Río de Janeiro",NA,NA,"US01958563","US01958563_01",NA,"8","Silva Jardim. Area de Protecao Ambiental de Macae de Cima. Serra de Macae de Cima, localidade de Macae de Cima, inicio da trilha do vale do rio das Flores para a cumeada das veluntinas.","-42.505","-22.4364",NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1162",NA,NA,NA,NA,"1",NA
"32","2020-09-12 05:00:02-03","US","US","1066385","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Sericographis","polita","Sericographis polita","Nees in Mart.",NA,"G. Gardner","588",NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"US00517440","US00517440_01",NA,NA,"Riopaquequer, Organ Mountains.",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Syntype"
"33","2020-09-02 16:18:53-03","Cenargen","CEN","23428","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice",NA,"M. Peron","803","1989","07",NA,"Brasil","RJ","Exsicatas","Coordenadas entre 22*33'/22*28' S e 42*30'/42*34 O. Arbusto umbrofilo. Cálice verde-vinoso, corola vermelha, anteras amarelas.&nf;Doação do Jardim Botânico do Rio de Janeiro - Programa Mata Atlântica. Flora de Macaé de Cima - Área I.","CEN00023428","CEN00023428",NA,"21","Reserva Ecológica Municipal de Macaé de Cima, Sítio Sophronites.","-42.5311012268066","-22.2819004058838","NOVA FRIBURGO",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"34","2019-11-13 11:13:53-03","USP","SPF","114338","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice","Wasshausen, DC","Rapini, A","101","1996","03",NA,"Brasil","São Paulo",NA,NA,"SPF00114338","SPF00114338",NA,"20","Parque Estadual da Serra do Mar","-45.048056","-23.224444","Cunha",NA,NA,NA,NA,"-45.048056","-23.224444","1100","1100",NA,NA,NA,NA,NA
"35","2019-11-13 11:13:53-03","USP","SPF","110226","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice","Kameyama, C","Baitello, JB","515","1994","03",NA,"Brasil","São Paulo",NA,NA,"SPF00110226","SPF00110226",NA,"29","Parque Estadual da Serra do Mar","-44.9599990844727","-23.0699996948242","Cunha",NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-13 11:13:53-03","USP","SPF","134509","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice","Kameyama, C","Buzato, S","31714","1996","01",NA,"Brasil","São Paulo",NA,NA,"SPF00134509","SPF00134509",NA,"12","Parque Estadual da Serra do Mar","-44.9599990844727","-23.0699996948242","Cunha",NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-10-07 09:15:07-03","UEFS","HUEFS","153569","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice","A.L.A.Côrtes","Côrtes, A.L.","123","2009","05",NA,"Brasil","Rio de Janeiro",NA,NA,"HUEFS0153569","HUEFS0153569",NA,"24","Pq. Nacional Serra dos Órgãos, sede Teresópolis, trilha para a Pedra do Sino","-42.9655990600586","-22.4122009277344","Teresópolis","Asteranae","38539","auto","2010",NA,NA,NA,NA,"07",NA,NA,NA,NA
"38","2019-10-07 09:15:07-03","UEFS","HUEFS","153568","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice",NA,"Côrtes, A.L.","122","2009","05",NA,"Brasil","Rio de Janeiro",NA,NA,"HUEFS0153568","HUEFS0153568",NA,"24","Pq. Nacional Serra dos Órgãos, sede Teresópolis, trilha para a Pedra do Sino","-42.9655990600586","-22.4122009277344","Teresópolis","Asteranae","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-10-07 09:15:07-03","UEFS","HUEFS","153567","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice",NA,"Côrtes, A.L.","121","2009","05",NA,"Brasil","Rio de Janeiro",NA,NA,"HUEFS0153567","HUEFS0153567",NA,"24","Pq. Nacional Serra dos Órgãos, sede Teresópolis, trilha para a Pedra do Sino","-42.9655990600586","-22.4122009277344","Teresópolis","Asteranae","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-09-04 18:50:34-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita",NA,NA,"F. Sellow",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
