"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","day","decimalLongitude","decimalLatitude","county","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"35","2019-02-15 11:35:50-02","IPA","IPA","21690","S","Plantae","Plantae",NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Porto, M.L.","978","Southern America","Brasil",NA,"Frutos vermelho intenso.","IPA0021690",NA,"1974","10","Rio Grande do Sul","rodovia Quaraí - Livramento, em direção a Cati Velho.",NA,NA,"13",NA,NA,NA,"Taylor, N.P.; Zappi, D.C.","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-02-15 11:35:50-02","IPA","IPA","21704","S","Plantae","Plantae",NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Porto, M.L.; et al.; et al.","1316","Southern America","Brasil",NA,"Flores em botão.","IPA0021704",NA,"1974","12","Rio Grande do Sul","Guaritas - Caçapava do Sul, sobre afloramentos de granitos, trabalhados pelo vento.",NA,NA,"28",NA,NA,NA,"Taylor, N.P.; Zappi, D.C.","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-02-15 11:35:50-02","IPA","IPA","21706","S","Plantae","Plantae",NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Porto, M.L.; et al.; et al.","1325","Southern America","Brasil",NA,"Flores cor de laranja.","IPA0021706",NA,"1974","12","Rio Grande do Sul","Canguru - Guarita; afloramento à direita da rodovia.",NA,NA,"28",NA,NA,NA,"Taylor, N.P.; Zappi, D.C.","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-02-15 11:35:50-02","IPA","IPA","29879","S","Plantae","Plantae",NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Andrade-Lima","74-7719","Southern America","Brasil",NA,NA,"IPA0029879",NA,"1974",NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"Taylor, N.P.; Zappi, D.C.","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-07-26 11:39:38-03","IPA","IPA","9864","S","Plantae","Plantae",NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Cunha, J.D. da","9864","Southern America","Brasil",NA,"Cultivada. Abandonada.","IPA0009864",NA,"1942","05","São Paulo","Indianapólis",NA,NA,"11","-46.6300010681152","-23.5400009155273","São Paulo","Pickel, B.",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"40","2019-08-27 13:28:38-03","IAP","PACA-AGP","69480","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","arechevaletae","Opuntia arechevaletae","Speg.","J. A. Jarenkow","802",NA,"Brasil",NA,"PEL 9932&nf;Indivíduos com 1,5 a 2m de altura Habitat: em borda arenosa e no campo Fenofase: flores amarelas","PACA069480",NA,"1987","11","RS","Horto Botânico Irmão Teodoro Luis",NA,NA,"18","-52.4838981628418","-31.7632999420166","Capão do Leão","J. A. Jarenkow","1987","12",NA,"28605","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"41","2019-08-27 13:28:38-03","IAP","PACA-AGP","73497","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","U. Eggli","2441",NA,"Brasil",NA,"Demais informações na etiqueta original","PACA073497",NA,"1994","01","Rs",NA,NA,NA,"31","-53.4914016723633","-30.5121994018555","Caçapava do Sul","Herb. ZSS","1994",NA,NA,"50525","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"42","2019-08-27 13:28:38-03","IAP","PACA-AGP","62691","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Camargo, O. R.","2463",NA,"Brasil",NA,"Habitat: in rupestribus Fenofase: estéril","PACA062691",NA,"1957","10","RS",NA,NA,NA,"12","-51.3478012084961","-29.2250003814697","Farroupilha","Emrich-Rambo","1958","09","25","19545","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"43","2019-08-27 13:28:38-03","IAP","PACA-AGP","2768","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Rambo, B.",NA,NA,"Brasil",NA,"sicher, 19.5.1954.; fl. Habitat: in campestribus siccis dumetosis Fenofase: flores","PACA002768",NA,"1938","01","RS","Vila Manresa",NA,NA,"15","-51.2299995422363","-30.0331001281738","Porto Alegre","Emrich-Rambo","1954","05","19","29946","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
"44","2019-08-27 13:28:38-03","IAP","PACA-AGP","87543","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Sehnem, A.","13983",NA,"Brasil",NA,"Habitat: in arenosis dumetosis","PACA087543",NA,"1973","11","SC","Praia Nova",NA,NA,"02","-48.6702995300293","-28.2399997711182","Imbituba","A. Sehnem SJ","1973",NA,NA,"18719","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA
