"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"31","2020-06-29 11:31:36-03","UFRJ","RFA","15065","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","J.E.Q. Faria",NA,"P. Occhioni","1974","04","00","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"RFA13180",NA,NA,NA,"5871",NA,"Serra dos Orgãos, Loc. Limoeiro",NA,"Arvoreta; flor creme",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-06-29 11:31:36-03","UFRJ","RFA","13702","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","M. Sobral","2001","P. Occhioni","1973","05","20","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA12350",NA,NA,NA,"5475",NA,"Cidade Universitária, Ilha do Catalão",NA,"Pequena árvore de flor verde",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-13 09:20:21-03","UFRJ","RFA","42356","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","R.C. Lopes","2017","R.C. Lopes","2017","05","15","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA36508",NA,NA,NA,"415",NA,"Horto do Museu nacional",NA,"Árvore ca. 5 m de altura. frutos maduros",NA,NA,"57442","auto","05","15",NA,NA,NA,NA,NA,NA
"34","2020-06-29 11:31:36-03","UFRJ","RFA","15930","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","J.E.Q. Faria",NA,"P. Occhioni","1975","01",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA46951",NA,NA,NA,"6826",NA,"Serra dos Órgãos, próximo Barreira do Soberbo",NA,"Arbusto de 5 m de altura; flor creme-esverdeada",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-06-29 11:31:36-03","UFRJ","RFA","15070","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","J.E.Q. Faria",NA,"P. Occhioni","1974","03","00","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"RFA13186",NA,NA,NA,"5857",NA,"Serra dos Orgãos, Loc. Limoeiro",NA,"Arvoreta de flor creme",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-06-29 11:31:36-03","UFRJ","RFA","15054","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","J.E.Q. Faria",NA,"P. Occhioni","1974","02","00","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"RFA13170",NA,NA,NA,"5883",NA,"Serra dos Orgãos, Loc. Limoeiro",NA,"Arvoreta de flor creme",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-06-29 11:31:36-03","UFRJ","RFA","15840","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","J.E.Q. Faria",NA,"P. Occhioni","1975","01",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA46955",NA,NA,NA,"6838",NA,"Serra dos Órgãos, próximo Garrafão",NA,"Arbusto; flor creme",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-24 17:10:53-03","UTFPR","DVPR","5843","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","Sobral, M","2010","Uller, HF","2010","02","02","Brasil","Santa Catarina","Blumenau","-49.054","-26.5328","-49.054","-26.5328","DVPR005843",NA,"Magnoliophyta",NA,"180",NA,"Próximo ao campus 2 da FURB.",NA,"Árvore isolada, com caule liso esfoliante. Fruto vinho.","20","20",NA,NA,"08","16",NA,NA,NA,NA,NA,NA
"39","2019-11-19 15:44:41-03","UNEB","HUNEB","3978","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.",NA,NA,"Jesus, N.G.","2001","01","16","Brasil","Bahia","Alagoinhas","-38.4192008972168","-12.1356000900269","38W24'81''","12S10'68''","HUNEB0003978",NA,"Angiospermae","Florideophycidae","509",NA,"Campus II / UNEB.",NA,"Floresta ombrófila secundária densa.",NA,NA,"24621","auto",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"40","2019-11-19 15:44:41-03","UNEB","HUNEB","10514","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana",NA,NA,NA,"Jost, T.","2004","04","17","Brasil","Bahia","Conde","-37.622222","-11.957778","37W37'20''","11S57'28''","HUNEB0010514",NA,"Angiospermae","Florideophycidae","HRB 49504",NA,"Barra do Itariri, junto ao cemitério.",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
