"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","fieldNumber","individualCount","class"
"31","2020-08-29 18:15:00-03","MO","MOBOT","2696979","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","M. Nee (NY)","L. Cayola","Cayola Pérez 1604","2005","3","15","South America","Bolivia","La Paz","Parque Nacional Madidi, NW de Apolo. Bosque andino semideciduo del sector de Yarimita, con Anadenanthera colubrina, Warscecwiczia coccinea, Myrcia sp. Ladera pronunciada con exposición NW, pendiente 100 %. Plantas secadas en campo.","996.00000000",NA,NA,NA,NA,NA,"Franz Tamayo","-68.6858333","-14.5602778",NA,NA,NA,NA,NA,NA,NA,NA,NA,"05-07","1",NA
"32","2011-06-27 08:43:00-03","MO","MOBOT","3038783","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"F. Sellow","Sellow 48","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-11-15 05:15:00-02","MO","MOBOT","3039094","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"Antonio C. Krapovickas|Carmen L. Cristóbal","Krapovickas 34495","1979","1","31","South America","Brazil","Mato Grosso do Sul","Ponte do Grego, río Aquidauana, 48 Km N de Terenos. Voluble, tallo con costillas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2012-03-18 05:12:00-03","MO","MOBOT","965162","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","O. Tellez (MEXU)","Fabiana Mamani M.","Mamani M. 457","1995","3","20","South America","Bolivia","Santa Cruz","Area de estudio del proyecto BOLFOR, Las Trancas-95. Bosque semideciduo chiquitano, vegetación de los alrededores de laja.","450.00000000",NA,NA,NA,NA,NA,"Nuflo de Chavez","-61.84638","-16.52027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
"35","2008-05-27 22:02:00-03","MO","MOBOT","968976","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","O. Tellez (MEXU)","Antony Jardim","Jardim 1958","1995","3","31","South America","Bolivia","Santa Cruz","Las Trancas, Lomerio cerca las parcelas de Bolfor. Bosque seco chiquitano de Anadenanthera con afloramientos grande de laja.","400.00000000",NA,NA,NA,NA,NA,"Nuflo de Chavez","-61.83916","-16.54583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-07-10 09:45:42-03","MBML","MBML-HERBARIO","52502",NA,"Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.","Barroso, Guimarães & Sucre/II-1971","D. Sucre","7478","1971","02","17",NA,"Brasil","Rio de Janeiro","Antigo Estado da Guanabara. Serra do Barata, Reserva do Piracuara",NA,NA,NA,"Dioica, Destrogera, anual, rupicola, umbrofila. Crescendo em formação de mata. Tuberculos pouco enterrados e cobertos por densa camada de matéria orgânica de forma discoide com meristema central (até 13cm de diâmetro e 4cm de espessura","MBML052502","MBML052502_1 MBML052502_2","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"37","2014-11-06 16:16:53-02","UFPB","EAN","9722","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"S. Pitrez; A.Almeida & G.Trajano.","213","2003","04","30",NA,"Brasil","Paraíba","Faz. Santa Helena.",NA,NA,NA,NA,NA,NA,"Serraria","-35.633","-6.82",NA,NA,NA,NA,NA,"13605","auto",NA,NA,NA,NA,NA
"38","2014-11-06 16:16:53-02","UFPB","EAN","9896","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"S. Pitrez; A.Almeida; W.Felix & G.Trajano.","398","2003","07","21",NA,"Brasil","Paraíba","Pedra de Santo Antonio",NA,NA,NA,NA,NA,NA,"Fagundes","-35.775","-7.355",NA,NA,NA,NA,NA,"15100","auto",NA,NA,NA,NA,NA
"39","2014-11-06 16:16:53-02","UFPB","EAN","9813","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"S. Pitrez; A.Almeida & L.P.Felix","380","2003","07","17",NA,"Brasil","Paraíba","Pedra de Santo Antonio",NA,NA,NA,NA,NA,NA,"Fagundes","-35.775","-7.355",NA,NA,NA,NA,NA,"15100","auto",NA,NA,NA,NA,NA
"40","2014-11-06 16:16:53-02","UFPB","EAN","9725","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","rumicoides","Dioscorea rumicoides","Griseb.",NA,"S. Pitrez; A.Almeida & G.Trajano.","226","2003","05","02",NA,"Brasil","Paraíba","Faz. Santa Helena.",NA,NA,NA,NA,NA,NA,"Serraria","-35.633","-6.82",NA,NA,NA,NA,NA,"13605","auto",NA,NA,NA,NA,NA
