"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","barcode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","fieldNumber","verbatimLongitude","verbatimLatitude","class"
"37","2019-11-13 11:29:06-03","USP","SPF","143407","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Soares-Silva, LH","2000","05",NA,"Soares-Silva, LH","2000","05","31","Brasil","Distrito Federal","Brasília","Reserva Ecológica do Guará","-47.9296989440918","-15.7797002792358","70570",NA,NA,"auto","768",NA,NA,NA,"SPF00143407",NA,NA,NA,NA,NA,"de Laub.",NA,NA,NA,NA,NA
"38","2019-11-13 11:29:06-03","USP","SPF","214178","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Pereira, BAS","2007",NA,NA,"Filgueiras, TS","2000","08","20","Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242","44724",NA,NA,"auto","3620",NA,NA,NA,"SPF00214178",NA,NA,NA,NA,NA,"de Laub.",NA,NA,NA,NA,NA
"39","2021-03-25 13:53:16-03","UNIVILLE","JOI","3818","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","B.A.S. Pereira","1999","01","08","B.A.S. Pereira","1999","01","08","Brasil",NA,"Brasil","Reserva do Guará.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOI003818",NA,NA,NA,NA,NA,"Laubenf.",NA,NA,NA,NA,NA
"40","2019-10-07 09:38:17-03","UEFS","HUEFS","189366","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Pereira, B.A.S.","2011","08","25","Brasil","Goiás","Cavalcante","Bacia do rio Tocantis.Córrego paralelo à estrada Cavalcante/povoado quilombo do Engenho II.","-47.475556","-13.657222",NA,NA,NA,NA,"3698B",NA,NA,NA,"HUEFS0189366",NA,"1116","1116","Gymnospermae","Araucariales","Laubenf.","HUEFS0189366",NA,"47W28'32''","13S39'26''","Pinidae"
"41","2020-02-17 11:30:31-03","UEG","HUEG",NA,"PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Soares-Silva, L.H.","2000","05","31","Soares-Silva, L.H.","2000","05","31","Brasil","Distrito Federal","Brasília","Reserva Ecológica do Guará","-47.9296989440918","-15.7797002792358","70570",NA,"Indivíduo feminino. Sementes verdes com arilo branco.","auto","766","Southern America",NA,NA,NA,NA,NA,NA,"Gimnospermophyta",NA,"de Laub.",NA,NA,NA,NA,NA
"42","2020-02-17 11:30:31-03","UEG","HUEG","7090","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Siqueira, M.N.; Silva, S.","2010","01","27","Brasil","Goiás","Nova Roma",NA,"-46.880298614502","-13.7419004440308","46333",NA,"Flores com sépalas esverdeadas, brácteas vermelhas, pétalas amarelas no ápice e alaranjada na base. Solo arenoso/rochoso.; Estação Ecológica de Nova Roma- Zona de Amortecimento. Nova Roma- GO.","auto","06","Southern America",NA,NA,"HUEG007090",NA,NA,NA,"Gimnospermophyta",NA,"de Laub.",NA,NA,NA,NA,NA
"43","2020-02-17 11:30:31-03","UEG","HUEG","7090","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Siqueira, M.N.; Silva, S.","2010","01","27","Brasil","Goiás","Nova Roma",NA,"-46.880298614502","-13.7419004440308","46333",NA,"Flores com sépalas esverdeadas, brácteas vermelhas, pétalas amarelas no ápice e alaranjada na base. Solo arenoso/rochoso.; Estação Ecológica de Nova Roma- Zona de Amortecimento. Nova Roma- GO.","auto","06","Southern America",NA,NA,"HUEG007090",NA,NA,NA,"Gimnospermophyta",NA,"de Laub.",NA,NA,NA,NA,NA
"44","2019-11-01 15:12:02-03","UnB","UB","101970","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Incógnito",NA,NA,NA,"Ribeiro, DG",NA,NA,NA,"Brasil","Goiás","Cavalcante","Cavalcante, Portal da Chapada","-47.602639","-14.175194",NA,NA,NA,NA,"102","Southern America",NA,NA,NA,NA,NA,NA,"Gymnospermophyta",NA,"de Laub.",NA,NA,"-47.602639","-14.175194",NA
"45","2019-11-01 15:12:02-03","UnB","UB","93943","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Soares-Silva, LH","2012","03",NA,"Soares-Silva, LH; Farias, R; Carvalho, JA","2002","02","09","Brasil","Goiás","Alto Paraíso de Goiás","Camping Portal da Chapada","-47.632833","-14.164667",NA,NA,"Caule com estria transversal fina com 5cm de diâmetro, associado com água; súber vinho depois rosa seco, macio, córtex seco creme fibroso.; Árvore 4m; .",NA,"1251","Southern America",NA,NA,NA,NA,"1164","1164","Gymnospermophyta",NA,"de Laub.",NA,NA,"-47.632833","-14.164667",NA
"46","2019-11-01 15:12:02-03","UnB","UB","8914","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Soares-Silva, LH",NA,NA,NA,"Soares-Silva, LH; Carvalho, AM","2000","05","31","Brasil","Distrito Federal","Brasília","Reserva Ecológica do Guará","-47.9296989440918","-15.7797002792358","70570",NA,"Indivíduo feminino. Sementes verdes com arilo branco.; Árvore 4m; Mata ciliar.","auto","766","Southern America",NA,NA,NA,NA,NA,NA,"Gymnospermophyta",NA,"de Laub.",NA,NA,NA,NA,NA
