"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"33","2020-02-08 09:54:47-03","NBC","NL-BOTANY","U.1371785","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1967","03","20","Brazil",NA,NA,"Brasiliae Australis. Est. Paraná, Fazenda Reserva, ca. 85 km S.W. of Guarapuava. Rainforest at Pinhalzinho.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1371785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1371785","NL-U1371785",NA,NA,NA,NA,NA,NA,"Malpighiales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"34","2020-02-08 09:54:52-03","NBC","NL-BOTANY","L.2166525","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.",NA,NA,NA,NA,"Martius CFP von",NA,NA,NA,"Brazil",NA,NA,"Brazil.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166525","NL-L2166525",NA,NA,NA,NA,NA,NA,"Malpighiales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"35","2020-02-08 09:54:52-03","NBC","NL-BOTANY","L.2166526","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","maritima","Bunchosia maritima","(Vell.) J.F.Macbr.",NA,NA,NA,NA,"Martius CFP von",NA,NA,NA,"Brazil",NA,NA,"Brazil.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166526 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166526","NL-L2166526",NA,NA,NA,NA,NA,NA,"Malpighiales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:12:28-03","ESALQ","ESA","131539","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis",NA,"Souza, V.C.","2013",NA,NA,"Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","2013","03","19","Brasil","Rio de Janeiro","Paracambi","Fragmento 60 (TAV). Floresta Ombrófila Densa.","-22.6409","-43.8059","-22.6409","-43.8059","Árvore. Fruto verde.","ESA131539","ESA131539","357","357","36742.0",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:12:28-03","ESALQ","ESA","131541","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis",NA,"Souza, V.C.","2013",NA,NA,"Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","2013","02","23","Brasil","São Paulo","Guaratinguetá","Fragmento 33 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa. Área alagável.","-22.7939","-45.287","-22.7939","-45.287","Árvore","ESA131541","ESA131541","558","558","36744.0",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:12:28-03","ESALQ","ESA","131542","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis",NA,"Souza, V.C.","2013",NA,NA,"Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","2013","02","23","Brasil","São Paulo","Caçapava","Fragmento 2900 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-23.1347","-45.6848","-23.1347","-45.6848","Árvore","ESA131542","ESA131542","575","575","36745.0",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:12:28-03","ESALQ","ESA","114952","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis",NA,NA,NA,NA,NA,"Morokawa, R.","2011","04","15","Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"ESA114952","ESA114952_1 ESA114952_2",NA,NA,"323.0","48094","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:12:28-03","ESALQ","ESA","14285","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis","Griseb.","Mamede, M.C.H.","1999",NA,NA,"Souza, V.C. et al.","1994","04","22","Brasil","São Paulo","Iporanga",NA,"-48.5900001525879","-24.5799999237061",NA,NA,NA,"ESA014285",NA,NA,NA,"5916.0","38740","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:12:28-03","ESALQ","ESA","29297","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis",NA,NA,NA,NA,NA,"Ivanauskas, N.M. et al.","1996","04","30","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,"ESA029297","ESA029297",NA,NA,"852.0","17990","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:12:28-03","ESALQ","ESA","29475","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis",NA,NA,NA,NA,NA,"Ivanauskas, N.M. ; Gomes, A.","1996","02","01","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,"ESA029475","ESA029475",NA,NA,"1030.0","17990","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:12:28-03","ESALQ","ESA","65204","PreservedSpecimen","Plantae","Malpighiaceae","Bunchosia","fluminensis","Bunchosia fluminensis",NA,NA,NA,NA,NA,"Sampaio, D. et al.","1999","01","12","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,"ESA065204","ESA065204",NA,NA,"168.0","34059","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
