"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","class","individualCount"
"51","2021-03-15 18:25:26-03","USP","SPF","213663","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Loeuille, B","Gonella, PM","649","2013","11","28",NA,"Brasil","Minas Gerais","Conselheiro Pena","-41.579206","-19.320544",NA,"Arbustos ca. 40 cm alt. Folhas verdes, capítulos brancos.; Campo rupestre, afloramentos de arenito entremeado por solo arenoso com grande quantidade de matéria orgânica, vegetação arbustiva dominada, principalmente, por Baccharis pla","SPF00213663",NA,"Pico do Padre Ângelo, no cume do pico.",NA,NA,"2015",NA,NA,"-41.579206","-19.320544","1500","1500",NA,NA,NA,NA
"52","2021-03-15 18:25:26-03","USP","SPF","216071","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Loeuille, B","Loeuille, B","894","2014","08","03",NA,"Brasil","Minas Gerais","Conselheiro Pena","-41.578842","-19.320608",NA,"Subarbusto decumbente até 30 cm. Brácteas involucrais alvas. Flores alvas com ápice vináceo.; Campo rupestre.","SPF00216071",NA,"Pico do Padre Ângelo, Topo do pico.",NA,NA,"2014",NA,NA,"-41.578842","-19.320608","1503","1503",NA,NA,NA,NA
"53","2021-03-15 18:25:26-03","USP","SPF","227600","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Loeuille, B","Gonella, PM","687","2014","07","08",NA,"Brasil","Minas Gerais","Conselheiro Pena","-41.578806","-19.320611",NA,"Arbustos até 30 cm alt., capítulos com brácteas involucrais brancas com base avermelhada, flores com detalhes amarelos e vermelhos.; Campo rupestre, afloramentos de arenito, solo arenoso com muita matéria orgânica (serrapilheira).","SPF00227600",NA,"Pico do Padre Ângelo, Topo do pico.",NA,NA,"2015",NA,NA,"-41.578806","-19.320611","1530","1530",NA,NA,NA,NA
"54","2020-11-04 16:43:53-03","UFU","HUFU","52269","S","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Barroso, G.","Krieger, L.; Márcio & Leise","14155","1976","07","09",NA,"Brasil","Paraná","Caparaó",NA,NA,NA,"Subarbustinho, folhas duras, flores brancas.","HUFU00043992","HUFU00043992",NA,NA,NA,"1977","10","27",NA,NA,NA,NA,NA,NA,NA,NA
"55","2020-11-04 16:43:53-03","UFU","HUFU","52274","S","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Verardo, S.M.S.","Krieger, L.; et al.","22572","1988","09","17",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"Subarbusto,.; Barranco, solo turfoso.","HUFU00043991","HUFU00043991","Parque Nacional Caparaó, Entre os lagos e o Pico da Bandeira.",NA,NA,"1989","10","26",NA,NA,NA,NA,NA,NA,NA,NA
"56","2019-05-06 11:52:51-03","UFU","HUFU","68342","S","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Castro, M.","Romão, G.O.; Colleta, G.; Latvis, M. & Gissi, D.","2733","2010","04","11",NA,"Brasil","Minas Gerais","Alto Caparaó","-41.853611","-20.420833",NA,"Subarbusto, 40 cm alt.; capitulos brancos.; Campo rupestre.","HUFU00043990","HUFU00043990","Parque Nacional do Caparaó, Trilha entre a Tronqueira e o Pico da Bandeira.",NA,NA,"2015","04","01","-41.853611","-20.420833","2890","2890",NA,NA,NA,NA
"57","2020-11-27 11:33:11-03","UFU","HUFU","72937","S","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.","Castro, M.","Castro, M.; Nakajima, J.N. & Versiane, A.F.A.","269","2016","10","20",NA,"Brasil","Minas Gerais","Catas Altas","-43.4075012207031","-20.0746994018555",NA,"Borda de cachoeira.","HUFU00071749","HUFU00071749","RPPN Santuário do Caraça, Trilha subida para o Pico do Sol.","11966","auto","2017","03","02",NA,NA,NA,NA,NA,NA,NA,NA
"58","2017-09-11 17:07:56-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Sello, HL","791",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"P06P3N0043","Serra d'Itacolumi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2017-09-11 17:07:56-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Sello, HL","791",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"P06P3N0043","Habitat in prov. Minas Geraes in Serra d'Itacolumi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2017-09-11 16:26:39-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Chionolaena","lychnophorioides","Chionolaena lychnophorioides","Sch.Bip.",NA,"Sello, HL","991",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Mariana","-43.42","-20.38",NA,"There is another Sello 991 that is Tibouchina nitida",NA,"P06P3N0043","Serra d'Itacolumi",NA,NA,NA,NA,NA,"-43.42","-20.38",NA,NA,NA,NA,NA,NA
