"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber","sex"
"51","2019-10-07 09:15:11-03","UEFS","HUEFS","19663","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.",NA,"Hatschbach, G.","59213","1993","10","12",NA,"Brasil","Paraná","Doutor Ulysses",NA,"-49.4197006225586","-24.5680999755859",NA,NA,"HUEFS0019663","HUEFS0019663","Asteranae",NA,"32237","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2020-11-04 17:28:20-03","UEM","HUEM","19509","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","M.G.Silva","Romagnolo, MB","3158","2010","09","23",NA,"Brasil","Paraná","Maringá","Parque Cinquentenário","-51.941944","-23.391111",NA,"Herbácea; flores lilases","HUEM000000062","HUEM000000062",NA,NA,NA,NA,"-51.941944","-23.391111","477","477",NA,NA,NA,NA,NA,NA
"53","2020-11-12 17:00:16-03","UEL","FUEL","38520","PreservedSpecimen","Plantae","Tracheophyta","Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","Silva, MG","Juliana S. Carneiro; et al.","350","2005","07","01",NA,"Brasil","Paraná","Lupionópolis","R.P.P.N. Mata São Pedro","-51.701667","-22.688333",NA,NA,NA,NA,NA,"2011",NA,NA,"-51.701667","-22.688333",NA,NA,NA,NA,NA,NA,NA,NA
"54","2020-11-12 17:00:16-03","UEL","FUEL","3549","PreservedSpecimen","Plantae","Tracheophyta","Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","Silva, MG","Paro, FE","62","1986","09","03",NA,"Brasil","Paraná","Ibiporã","Sítio do Salto","-51.0480995178223","-23.2691993713379",NA,NA,NA,NA,NA,"2010","20625","auto",NA,NA,NA,NA,"09","27",NA,NA,NA,NA
"55","2020-11-12 17:00:16-03","UEL","FUEL","46898","PreservedSpecimen","Plantae","Tracheophyta","Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","Silva, MG","Pavão, OC; et al.","28","1999","05","28",NA,"Brasil","Paraná","Rancho Alegre","Faz. Congonhas, beira da mata","-50.9131011962891","-23.0699996948242",NA,NA,NA,NA,NA,"2010","11419","auto",NA,NA,NA,NA,"09","27",NA,NA,NA,NA
"56","2021-03-16 09:41:44-03","UnB","UB","146945","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Wasshausen, DC","Hatschbach, G","59213","1993","10","12","Southern America","Brasil","Paraná ","Doutor Ulysses","Ribeirão do Tigre;","-49.4197006225586","-24.5680999755859",NA,"Flor lilás.; Mata pluvial.","UB0111703","UB0111703",NA,"1994","32237","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2021-03-16 09:41:44-03","UnB","UB","5475","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","C. Ezcurra & Wassh.","Incógnito","Gomes Júnior, JC","1596","1964","02","15","Southern America","Paraguay",NA,NA,"Caballero - Fazenda Cerro-Cora",NA,NA,NA,"Arbusto 2m. Flor vermelha; Orla da mata contigua do cerrado.","UB0123082","UB0123082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2020-08-20 20:39:15-03","UFSC","FLOR","29152","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","Hatschbach, G.","Silva, J.M.; Poliquesi, C.B. & Barbosa, E.","1965","1997","09","11",NA,"Brasil","Paraná","Tunas do Paraná","Estrada para o Parque da Lauráceas, próximo à sede.","-49.0858001708984","-24.9743995666504",NA,"ereta, flor lilás","FLOR0029152","FLOR0029152",NA,"1997","41885","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2020-09-10 10:17:49-03","IBt","SP","314241","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.",NA,"Correa Gomes Jr, J","1596","1964","02","15",NA,"Paraguai","Central","Caballero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2010-08-16 16:41:51-03","GH","HU-HERB","GH 00094214","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wasshausen",NA,"K. Fiebrig","5372","1909",NA,NA,"South America","Paraguay",NA,NA,"In regione fluminis Alto Paraná",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","5372","undetermined"
