"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"33","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U.1442632","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana","O.Berg",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1957","10","11","Brazil",NA,NA,"Plantas da Santa Catarina, Sabia, Vidal Ramos. Mata.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442632 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442632","NL-U1442632",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"34","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515529","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana grandifolia","Berg",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","06","27","Brazil",NA,NA,"Plantas de Santa Catarina, Matador, Rio de Sul.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515529","NL-L2515529",NA,"Myrtales","Southern America",NA,"grandifolia",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"35","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515528","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana grandifolia","Berg",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","03","13","Brazil",NA,NA,"Plantas de Santa Catarina, Alto Matador, Rio de Sul.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515528 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515528","NL-L2515528",NA,"Myrtales","Southern America",NA,"grandifolia",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"36","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515529","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana grandifolia","Berg",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","06","27","Brazil",NA,NA,"Plantas de Santa Catarina, Matador, Rio de Sul.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515529","NL-L2515529",NA,"Myrtales","Southern America",NA,"grandifolia",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"37","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515528","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana grandifolia","Berg",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","03","13","Brazil",NA,NA,"Plantas de Santa Catarina, Alto Matador, Rio de Sul.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515528 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515528","NL-L2515528",NA,"Myrtales","Southern America",NA,"grandifolia",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"38","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U.1442629","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg",NA,NA,NA,NA,"Lindeman JC; Martins N; Oliveira PL",NA,"1973","02","09","Brazil",NA,NA,"Estacao fitotecnica de Osorio, Maquine, 26 km N de Osorio.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442629","NL-U1442629",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"39","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U.1442630","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuechiana","Eugenia schuechiana","O.Berg",NA,NA,NA,NA,"Lindeman JC; Haas JH de",NA,"1967","07","06","Brazil",NA,NA,"Est. S. Paulo restinga ca. 10 km NE of Santos.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442630 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442630","NL-U1442630",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"40","2020-11-04 11:14:41-03","ESALQ","ESA","43781","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","riedeliana","Eugenia riedeliana","O.Berg","Kawasaki, M.L.",NA,NA,NA,"Cordeiro, I.; Rossi, L.; Nicolau, S.A.; Aragaki, S.","901.0","1992","03","11","Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,"ESA043781",NA,"Magnoliophyta",NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA
"41","2020-11-04 11:14:41-03","ESALQ","ESA","66207","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","riedeliana","Eugenia riedeliana","O.Berg","Mazine, F.F.",NA,NA,NA,"Moraes, P.L.R.","2144.0","2000","04","26","Brasil","São Paulo","Peruíbe",NA,"-46.9900016784668","-24.3199996948242",NA,NA,NA,NA,NA,"ESA066207","ESA066207","Magnoliophyta",NA,NA,NA,NA,"21922","auto",NA,NA,NA,NA,NA
"42","2020-11-04 11:14:41-03","ESALQ","ESA","40236","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","riedeliana","Eugenia riedeliana",NA,NA,NA,NA,NA,"Garcia, R.J.F. et al.","886.0","1996","05","17","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"ESA040236",NA,"Magnoliophyta",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
