"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","class","sex"
"48","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","43203",NA,"Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","A.P. Fontana/18-06-2005","A. P. Fontana; L. Kollmann, C. Esgario & M. Belisário","1485","2005","06","17",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Epífita sobre árvore caída (Lauraceae com 25m.), flores cremes","MBML043203","MBML043203",NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","5567",NA,"Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","H. Q. B. Fernandes/21-02-1989","Valentim Krause",NA,"1988","09","11",NA,"Brasil","Espírito Santo","Santa Leopoldina","Santo Antônio","-40.548056","-20.058333",NA,NA,NA,"Epífita sobre árvore derrubada, cult/orquidário. Herb e álcool em 21/2/1989. flores alvo rosado-amareladas.","MBML005567","MBML005567",NA,NA,"40W32'53","20S3'30",NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-03-01 11:50:07-03","UFPE","UFP","7362","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","Pabst, G","Caldasso, A","s.n.","1979","12",NA,NA,"Brasil","Pernambuco","Bonito",NA,"-35.7285995483398","-8.47027969360352",NA,NA,NA,"Floração cultural: abril/97; Floração cultural: abril/97","UFP007362",NA,NA,NA,NA,NA,NA,"20932","auto",NA,NA,NA,NA,NA
"51","2021-03-01 11:50:07-03","UFPE","UFP","78657","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Pessoa, E; Maciel, JR; Amorim, BS; Lourenço, AR","892","2012","01","09",NA,"Brasil","Pernambuco","Bonito",NA,"-35.7285995483398","-8.47027969360352",NA,NA,NA,"Epífita com flores amarelas diminutas.","UFP078657",NA,"2012","02","-35455.8333","-83037",NA,"20932","auto",NA,NA,NA,NA,NA
"52","2021-03-01 11:50:07-03","UFPE","UFP","78334","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","Pessoa, E","Pessoa, E; Amorim, BS; Costa-Lima, JL","940","2012","05","30",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.7933006286621","-8.72667026519775",NA,NA,NA,"Epífita com flores amarelas, bracteas lepanthoformes no caule, vinho.","UFP078334",NA,NA,NA,"-35504.3333","-84312",NA,"11830","auto",NA,NA,NA,NA,NA
"53","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten",NA,"Christenson, E. A.","T. Henkel, M. Chin & W. Ryan","1133","1993","1","30","South America - Neotropics","Guyana","Potaro-Siparuni",NA,NA,NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Monocotyledonae",NA
"54","2020-09-12 05:00:02-03","US","US","2584414","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten",NA,NA,"J. A. Steyermark","93778","1964","5","12","South America - Neotropics","Venezuela","Bolivar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Monocotyledonae",NA
"55","2021-03-25 13:53:06-03","UNIVILLE","JOI","9683","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Mancinelli, W. S.","Mancinelli, W.S.","9316","2009","07","08",NA,"Brasil","Santa Catarina","Joinville","Morro da Tromba.","-48.8456001281738","-26.3043994903564","600","600",NA,"; HABITO: Epífita; TIPO VEGETACIONAL: Floresta Ombrófila Densa Montana","JOI009683",NA,"2009","07",NA,NA,"08","37150","auto",NA,NA,NA,NA,NA
"56","2019-07-09 12:43:14-03","F","FMNH-SEEDPLANTS","V0433738F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten",NA,NA,"J. A. Steyermark","93220","1964","5","2","South America","Venezuela",NA,NA,NA,"-65.9119","7.0758",NA,NA,NA,NA,"V0433738F","V0433738F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA
"57","2021-02-23 13:22:55-03","MN","R-TIPOS","2750","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthes","secunda","Lepanthes secunda","Barb. Rodr.","Rodrigues, J.B.","Freire-Allemão, F.","1490",NA,NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,"R000002750","R000002750_001","1881","08",NA,NA,NA,NA,NA,NA,NA,"Holotypus",NA,NA
"58","2020-08-20 14:54:47-03","UFSC","FLOR","2707","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames",NA,"Klein, R.M.; Bresolin, A.","9198","1971","04","13",NA,"Brasil","Santa Catarina","Florianópolis","Pântano do Sul, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","300","300",NA,"flor esverdeada","FLOR0002707",NA,NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA
"59","2020-08-20 14:54:47-03","UFSC","FLOR","38609","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames",NA,"Matos, J.Z. de; Venturi, S.","149","2008","05","29",NA,"Brasil","Santa Catarina","Santo Amaro da Imperatriz","Área do Hotel Plaza Caldas da Imperatriz.","-48.7785987854004","-27.6881008148193",NA,NA,NA,"epifítico, flor rosa-creme","FLOR0038609",NA,NA,NA,NA,NA,NA,"22435","auto",NA,NA,NA,NA,NA
"60","2017-09-11 17:12:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Pleurothallis","unilateralis","Pleurothallis unilateralis","Cogn.",NA,"Allemão, FF","1490",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in syvlis montosis supra arbores prope Rodeio prov. Rio de Janeiro et in prov. Ceará lcoo haud indicato",NA,NA,NA,NA,NA,NA,NA,"P03P4N0122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2021-02-08 12:52:16-03","UFRGS","ICN","034261","S","Plantae","Monocotyledon",NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames.","Waechter, JL","Waechter, JL","549","1977","06","11","América do Sul","Brasil","RS","Torres","Mato Sr. Clemente- Faxinal","-49.7268981933594","-29.3353004455566",NA,NA,NA,"Epífita a 3 m de altura, flores amarelo-pálidas.; Em mato úmido sobre Alchornea triplinervia","ICN00040318",NA,"1977","07",NA,NA,"19","20837","auto",NA,NA,NA,NA,NA
"62","2019-11-21 10:13:30-03","IBt","SP","159830","S","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Smidt, EC","De-Grande, DA; Lopes, EA; Barros, F","229","1979","02","20",NA,"Brasil","São Paulo","Cananéia","Ilha do Cardoso, Trilha de acesso à captação de água","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,NA,NA,"2000","07",NA,NA,"07","37574","auto",NA,NA,NA,NA,NA
"63","2020-03-27 16:11:00-03","AMES","HU-HERB","AMES 02173222","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(H. G. Reichenbach) Ames",NA,"C. Vargas C.","6297","1947","1","17","South America","Peru","Cusco","Convencion","Sahuayaco",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6297",NA,NA,NA,"undetermined"
"64","2020-03-27 15:51:48-03","AMES","HU-HERB","AMES 02173225","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(H. G. Reichenbach) Ames",NA,"J. A. Steyermark, G. C. K. Dunsterville & E. F. Dunsterville","93006","1964","1","12","South America","Venezuela","Bolívar",NA,"en las vecindades del Km. 119 al Sur de El Dorado.",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93006",NA,NA,NA,"undetermined"
"65","2020-03-27 15:40:21-03","AMES","HU-HERB","AMES 02173227","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(H. G. Reichenbach) Ames",NA,"J. Cuatrecasas","18762","1944","11","7","South America","Colombia","Valle del Cauca",NA,"Cordillera Occidental, vertiente oriental; Hoya del río Cali, vertiente derecha confluencia del río Pichindecito con el Pichindé",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18762",NA,NA,NA,"undetermined"
"66","2020-03-27 15:53:06-03","ECON","HU-HERB","ECON 02173224","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(H. G. Reichenbach) Ames",NA,"J. A. Steyermark","93778","1964","5","12","South America","Venezuela","Bolívar",NA,"Cumbre de la parte norte de la sección sur (división occidental del cerro): a lo largo del Río Churún al pie de Second Wall de arenisca, desde el campamento norte, 5 kms. hacia el noreste.",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93778",NA,NA,NA,"undetermined"
"67","2020-03-27 15:41:38-03","ECON","HU-HERB","ECON 02173226","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(H. G. Reichenbach) Ames",NA,"J. A. Steyermark","93220","1964","5","2","South America","Venezuela","Bolívar",NA,"cumbre de la parte norte de la sección sur (división occidental del cerro): a lo largo del Río Churún, vecindad del campamento sur.",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93220",NA,NA,NA,"undetermined"
"68","2020-03-27 15:54:18-03","GH","HU-HERB","GH 02173223","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(H. G. Reichenbach) Ames",NA,"P. K. H. Dusén","16323","1915",NA,NA,"South America","Brazil","Paraná",NA,"Tacarehy",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16323",NA,NA,NA,"undetermined"
"69","2010-08-16 16:42:41-03","AMES","HU-HERB","AMES 00074258","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","floripecten","Pleurothallis floripecten","H. G. Reichenbach",NA,"H. Wagener",NA,NA,NA,NA,"South America","Colombia",NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drawing of type",NA,"undetermined"
