"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount"
"51","2015-03-07 08:37:31-03","F","FMNH-SEEDPLANTS","V0222187F","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora",NA,"South America","Paraguay",NA,NA,NA,"V0222187F","Spermatophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"52","2015-03-07 08:37:31-03","F","FMNH-SEEDPLANTS","V0222188F","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora",NA,"South America","Argentina",NA,NA,NA,"V0222188F","Spermatophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"53","2019-09-04 19:08:52-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","bunchosioides","Hiraea bunchosioides","A. Saint-Hilaire","South America","Brazil",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA
"54","2019-01-25 15:42:04-02","IAC","IAC","10841","S","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","G.J. Schwarz",NA,"Argentina",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","3394","1946","09","19","Misiones","San Ignacio","Corpus","-55.5333","-27.25",NA,NA,NA,"G.J. Schwarz","1946","09","19","-55.5333","-27.2500",NA,NA,NA,NA,NA,NA
"55","2020-07-23 12:11:20-03","CEPLAC","CEPEC","138880","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","L. Kollmann",NA,"Brasil",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,"10205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R.F.Almeida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2020-07-23 12:11:20-03","CEPLAC","CEPEC","148848","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","A. Francener",NA,"Brasil",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,"1181",NA,NA,NA,"Mato Grosso do Sul",NA,NA,NA,NA,NA,NA,NA,"A. Francener",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2019-11-21 10:08:43-03","IBt","SP","446718","S","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Francener, A; Leobina, V; Silva Cobra, GO",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","1181","2012","10","22","Mato Grosso do Sul","Dourados","Rio Dourados","-54.7822","-22.404722","327","327",NA,"Francener, A","2012","10","22","-54.7822","-22.404722",NA,NA,NA,NA,NA,NA
"58","2019-11-21 10:08:43-03","IBt","SP","446798","S","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Kollmann, L; Simonelli, M; Magnago, L; Mansano, V",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","10205","2007","12","16","Espírito Santo","Boa Esperança",NA,"-40.2957992553711","-18.5400009155273",NA,NA,NA,"Almeida, RF","2012","09",NA,NA,NA,"25415","auto",NA,NA,NA,NA
"59","2019-11-21 10:08:43-03","IBt","SP","445464A","S","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Folli, DA",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","4653","2003","10","29","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce, Estrada Santa Terezinha","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Almeida, RF","2012","09",NA,NA,NA,"48094","auto",NA,NA,NA,NA
"60","2019-11-21 10:08:43-03","IBt","SP","445465A","S","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Kollmann, L; Bausen, E; Pizziolo, W",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","1215","1998","12","03","Espírito Santo","Santa Teresa","Beira da estrada para o 25 de Julho","-40.6002998352051","-19.9356002807617","500","500",NA,"Almeida, RF","2012","09",NA,NA,NA,"23813","auto",NA,NA,NA,NA
"61","2019-11-21 10:08:43-03","IBt","SP","80015","S","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Heringer, EP",NA,"Brasil",NA,NA,NA,"SP017763",NA,NA,"(Hook. & Arn.) Nied.","s.n.","1958","12","21","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,"SP017763","Mamede, MCH","2010","10","05",NA,NA,"17082","auto",NA,NA,NA,NA
"62","2013-10-03 15:15:46-03","UM","RECOLNAT_UM_MPU","MPU020179","PreservedSpecimen",NA,"Malpighiaceae","Hiraea","bunchosioides","Hiraea bunchosioides","Saint-Hilaire, A. de",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu020179' target='other'> <mi>dwc_moreinfo</mi></a>","MPU020179",NA,NA,"A.Juss.",NA,NA,NA,NA,NA,NA,"Province de Sainte Catherine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1766","type",NA
