"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"31","2021-03-16 17:52:48-03","UCS","HUCS","49909","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil. ex Benth.","Gonzatti, F.","Dani, J.G.","77","2019","04","12","Brasil","Rio Grande do Sul","Caxias do Sul","-51.401197","-29.313939","-51.401197","-29.313939","740","740","borda da lagoa",NA,NA,"Parque Jardim da Lagoa - Desvio Rizzo","Angiospermae","Lamiales",NA,NA,"2019",NA,NA,NA,"05","07",NA,NA,NA,NA,NA
"32","2021-03-16 17:52:48-03","UCS","HUCS","41854","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil. ex Benth.","Gonzatti, F.","Gonzatti, F.","1367","2014","11","23","Brasil","Rio Grande do Sul","Monte Belo do Sul","-51.635064","-29.168864","-51.635064","-29.168864","567","567","Planta com odor penetrante característico.; Herbácea em banhado.",NA,NA,"Linha 80 da Leopoldina","Angiospermae","Lamiales",NA,NA,"2014",NA,NA,NA,"11","27",NA,NA,NA,NA,NA
"33","2021-03-16 17:52:48-03","UCS","HUCS","6167","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil. ex Benth.","Hatschbach, G.","Hatschbach, G.","52807","1989","03","21","Brasil","Paraná","Mandirituba","-49.326099395752","-25.7789001464844",NA,NA,NA,NA,"Odorífera, flores lilás pálido.; do brejo",NA,NA,"Barraca","Angiospermae","Lamiales",NA,NA,"1989","20385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-10-23 16:52:50-03","UTFPR","HCF","30569","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","M.G. Caxambu","M.G. Caxambu","9107","2020","02","13","Brasil","PR","Lindoeste","-53.657806","-25.360333","53°39'28,1 W","25°21'37,2 S","305","305","erva heliófita, palustre, ca. 0,10 m, flutuante. Flores arroxeadas.",NA,NA,"Parque Nacional do Iguaçu, Cachoeira",NA,NA,NA,NA,"2020",NA,NA,NA,"02","26",NA,NA,NA,NA,NA
"35","2019-12-13 18:23:38-03","UTFPR","HCF","25424","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","E. Barboza","M.G. Caxambu","8227","2018","04","13","Brasil","PR","Reserva do Iguaçu","-51.850889","-25.965361","51°51'03,2 W","25°57'55,3 S","1125","1125","erva palustre, heliófita, prostrada. Inflorescências roxas.",NA,NA,"Estação Ecológica Municipal Corredor das",NA,NA,NA,NA,"2019",NA,NA,NA,"10","01",NA,NA,NA,NA,NA
"36","2020-09-29 11:51:10-03","UTFPR","HCF","25487","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","E. Barboza","M.G. Caxambu","8287","2018","04","27","Brasil","PR","Reserva do Iguaçu","-51.857889","-25.922972","51°51'28,4 W","25°55'22,7 S","1146","1146","erva palustre, heliófita, ca. 0,40 m. Flores rosadas.",NA,NA,"Estação Ecológica Municipal Francisco",NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-05 18:44:19-03","UTFPR","HCF","30047","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","F. Gonzatti","J.G. Dani","77","2019","04","12","Brasil","RS","Caxias do Sul","-51.398333","-29.313889","51°23'54 W","29°18'50 S","740","740","borda da lagoa.",NA,NA,"Parque Jardim da Lagoa - Desvio Rizzo",NA,NA,NA,NA,"2019",NA,NA,NA,"05","07",NA,NA,NA,NA,NA
"38","2019-08-16 08:39:40-03","UTFPR","HCF","7673","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","J. Cordeiro & V.C. Martin","M.G. Caxambu","2522","2009","02","27","Brasil","PR","Turvo","-51.586528","-25.067944","51°35'11,5 W","25°04'04,6 S","1112","1112","erva aquática, emergente. Flores roxas.",NA,NA,"Propriedade da família Rickli",NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-10 08:20:57-03","UTFPR","HCF","21455","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","N. Imaguire","N. Imaguire","959","1973","01","20","Brasil","PR","São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"junto a banhado.",NA,NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:30:21-03","MBM","MBM","211049","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil.","Hatschbach, G.","Lange, R.; et al.; et al.","s.n.",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"MBM211049",NA,"Estrada para São José dos Pinhais",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
