"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"130","2009-11-16 09:40:00-02","MO","MOBOT","3213612","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","C.A. Cid Ferreira|et al.","Cid Ferreira 6397","1985","10","10","South America","Brazil",NA,NA,"Mato Grosso, Mun. de Santa Terezinha. Faz. Uniao, a 95 km da cidade. Cerrado, solo arenoso.","-50.58333","-10.66666",NA,NA,NA,NA,NA,"A. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","2008-05-27 22:02:00-03","MO","MOBOT","3257944","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Timothy J. Killeen","Killeen 1092","1985","8","6","South America","Bolivia","Santa Cruz","Nuflo de Chavez","Concepcion. Eroded tertiary planation surface overlying precambrian shield; mosaic of semideciduous forest, wooded savanna wetland","-62","-16.16666","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","2012-08-18 05:19:00-03","MO","MOBOT","3272800","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Bassett Maguire|João Murça Pires|Celia K. Maguire|Nilo T. Silva","Maguire 56152","1963","8","13","South America","Brazil","Rondônia",NA,"Occasional in savanna, between Cristalandia and Gurupi, Belem-Brasilia highway.",NA,NA,"300.00000000",NA,NA,NA,NA,"K. Potgieter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","2016-01-01 19:38:00-02","MO","MOBOT","2796023","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Maria Aparecida de Freitas|et al.","Freitas 853","1991","8","8","South America","Brazil","Amazonas",NA,"Distrito Agropecuáro, Reserve 1501 (km 41),. Non-flooded moist forest.","-59.72777","-2.40722","50.00000000",NA,NA,NA,NA,"A.J.M. Leeuwenberg","125.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","2016-08-13 14:43:00-03","MO","MOBOT","100916182","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","Gert G. Hatschbach","Hatschbach 40130","1977","7","26","South America","Brazil","Mato Grosso","Barra do Garças","Vale do Sonho.","-52.2566986083984","-15.8900003433228",NA,NA,NA,NA,NA,"K. Potgieter (ILL)",NA,NA,NA,NA,NA,"123012","auto",NA,NA,NA,NA,"1",NA
"135","2016-08-13 13:37:00-03","MO","MOBOT","100915069","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll. Arg.","James A. Ratter|et al.","Ratter 2096","1968","7","6","South America","Brazil","Mato Grosso",NA,"Close to the Base Camp of the Expedition. (C. 270 km N of Xavantina on the Xavantina-São Felix road). In cerrado formation on very sandy soil.","-51.8666667","-12.9",NA,NA,NA,NA,NA,"K. Potgieter (ILL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"136","2020-08-31 08:55:14-03","INPA","INPA","176630","S","Plantae","Dicotyledon Asterids","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Macêdo, M","2297","1989","08","17","Southern America","Brasil","Mato Grosso","Nossa Senhora do Livramento","Nossa Senhora do Livramento, Fazenda Rosalina, próximo ao Córrego Estiva.","-56.3","-15.8",NA,NA,NA,"INPA0176630","INPA0176630 INPA0176630_e","Pereira, AS de S.",NA,NA,"2016","08","04",NA,NA,"-56.3","-15.8",NA,NA,NA,NA
"137","2021-01-10 20:43:26-03","INPA","INPA","138032","S","Plantae","Dicotyledon Asterids","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Ferreira, CAC","6397","1985","10","10","Southern America","Brasil","Mato Grosso","Santa Terezinha","Fazenda União, a 5 km da cidade., Fazenda União, a 5 km da cidade","-50.583333","-10.666667",NA,NA,NA,"INPA0138032","INPA0138032 INPA0138032_e INPA0138032_e1","Leeuwenberg, AJM",NA,NA,"1988",NA,NA,NA,NA,"-50.583333","-10.666667",NA,NA,NA,NA
"138","2020-08-31 08:55:14-03","INPA","INPA","75711","S","Plantae","Dicotyledon Asterids","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Macêdo, M","614","1977","08","13","Southern America","Brasil","Mato Grosso","Cuiabá","Cuiabá, Proximidade do Salto do Véu de Noiva, alto da Sena.","-55.7","-14.8",NA,NA,NA,"INPA0075711","INPA0075711 INPA0075711_e INPA0075711_e1","Marcondes-Ferreira, W",NA,NA,"1989",NA,NA,NA,NA,"-55.7","-14.8",NA,NA,NA,NA
"139","2021-01-10 20:43:26-03","INPA","INPA","138032","Carpo","Plantae","Dicotyledon Asterids","Gentianales","Apocynaceae","Aspidosperma","nobile","Aspidosperma nobile","Müll.Arg.","Ferreira, CAC","6397","1985","10","10","Southern America","Brasil","Mato Grosso","Santa Terezinha","Fazenda União, a 5 km da cidade., Fazenda União, a 5 km da cidade","-50.583333","-10.666667",NA,NA,NA,"INPA0138032","INPA0138032 INPA0138032_e INPA0138032_e1","Leeuwenberg, AJM",NA,NA,"1988",NA,NA,NA,NA,"-50.583333","-10.666667",NA,NA,NA,NA
