"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","eventTime","fieldNumber","infraspecificEpithet"
"31","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525419","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Glaziou, A.",NA,"1873","8","22","Brasil","Rio de Janeiro",NA,"Serra d´Estrella",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525419' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525419","P05525419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6800",NA
"32","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525420","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Glaziou, A.",NA,"1881","9","22","Brasil","Rio de Janeiro",NA,"Entre lagoa do Peixe e rio Bonito",NA,NA,NA,NA,"Herbier A. Glaziou donné par Mme SIMARD, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525420' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525420","P05525420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12518",NA
"33","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525422","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Gomes",NA,"1816","1","1","Brasil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525422' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525422","P05525422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525428","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Pinheiro, R.S.",NA,"1973","3","29","Brasil","Bahia",NA,"Km 2 da rod. Guaratinga para Tabela.",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525428' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525428","P05525428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2058",NA
"35","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525431","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Sellow",NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia.",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525431' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525431","P05525431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA
"36","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525432","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Pujol",NA,"1959","5","31","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525432' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525432","P05525432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525433","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Occhioni, P.",NA,"1974","10","20","Brasil","Rio de Janeiro",NA,"Serra dos Órgãos",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525433' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"hb","P05525433","P05525433_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6344",NA
"38","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525427","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Pereira, E.",NA,"1963","3","20","Brasil","Minas Gerais","Matias Barbosa","BRE, em barranco.","-43.3194007873535","-21.8691997528076","10884",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525427' target='other'> <mi>dwc_moreinfo</mi></a>","auto",NA,"hb","P05525427","P05525427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7258",NA
"39","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525429","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Sucre, D.",NA,"1972","4","23","Brasil","Espírito Santo","Mimoso do Sul","morro Bom Retiro","-41.3664016723633","-21.0641994476318","29430",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525429' target='other'> <mi>dwc_moreinfo</mi></a>","auto",NA,"hb","P05525429","P05525429_01",NA,NA,"250",NA,NA,NA,NA,NA,NA,NA,NA,"8887",NA
"40","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525421","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Maas, P.J.M.|Martinelli, G.",NA,"1977","10","21","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, subsede do Parque.","-42.9655990600586","-22.4122009277344","38539",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525421' target='other'> <mi>dwc_moreinfo</mi></a>","auto",NA,"hb","P05525421","P05525421_01",NA,"300","400",NA,NA,NA,NA,NA,NA,NA,NA,"3405",NA
"41","2015-09-05 10:57:51-03","MNHN","RECOLNAT_MNHN_P","P05525423","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Glaziou, A.",NA,"1873","8","22","Brasil","Rio de Janeiro","Petrópolis","Serra d´ Estrella","-43.1786003112793","-22.5049991607666","36524",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05525423' target='other'> <mi>dwc_moreinfo</mi></a>","auto",NA,"hb","P05525423","P05525423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6500",NA
"42","2019-02-19 04:30:00-03","MO","MOBOT","2789818","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","C.F.P. Martius","Martius s.n.","1817",NA,NA,"Brazil",NA,NA,"Gebartianopol, in subhumidis sylvatius prope Mandioccam.",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"A. Lourteig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-06-10 10:11:22-03","FZB-BH","BHZB","5580","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana",NA,"Ordones, J.","969","2005","11","02","Brasil","MG","Marliéria","Trilha Aníbal, Parque. Estadual do Rio Doce.","-42.633333","-19.5",NA,NA,"42°38'W a 48°28' W e 19°45' S a 19°30' S.",NA,NA,NA,NA,NA,"Pedro Fisachi",NA,NA,NA,"2007","42W 38'","19S 30'","07",NA,NA,NA,NA,NA
"44","2021-03-01 11:50:17-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Bosquetti, LB; Garcia, FCP","50","2003","07","23","Brasil","Minas Gerais","Marliéria",NA,"-42.7322006225586","-19.7122001647949","28215",NA,"Herbácea com flores brancas e guias amarelas.","auto",NA,NA,NA,NA,"Costa-Lima, JL",NA,NA,NA,"2013",NA,NA,"10","11",NA,NA,NA,NA
"45","2021-03-01 11:50:17-03","UFPE","UFP","80399","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Bosquetti, LB; Garcia, FCP","50","2003","07","23","Brasil","Minas Gerais","Marliéria",NA,"-42.7322006225586","-19.7122001647949","28215",NA,"Herbácea com flores brancas e guias amarelas.","auto",NA,NA,"UFP080399",NA,"Costa-Lima, JL",NA,NA,NA,"2013",NA,NA,"10","11",NA,NA,NA,NA
