"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"122","2021-02-23 15:16:45-03","UTFPR","HCF","30551","S","Plantae",NA,NA,"Araliaceae","Didymopanax","calvus","Didymopanax calvus","(Cham.) Decne. & Planch.","I.J.G. Oliveira","D. Roher","573","2019","06","19",NA,"Brasil","PR","Tibagi","UHE Tibagi Montante, margem esquerda","-50.407222","-24.536667","713","713",NA,"árvore com 8 m de alt. Frutos verdes.",NA,NA,NA,NA,"2019","10","50°24'26 W","24°32'12 S","01",NA,NA,NA,NA,NA
"123","2021-02-23 15:16:45-03","UTFPR","HCF","10484","S","Plantae",NA,NA,"Araliaceae","Didymopanax","calvus","Didymopanax calvus","(Cham.) Decne. & Planch.","P. Fiaschi","M.G. Caxambu","3930","2012","03","21",NA,"Brasil","PR","Luiziana","Estação Ecológica Luiziana","-52.448583","-24.521472","681","681",NA,"árvore heliófita, ca. 18 m. Frutos imaturos verdes e os maduros negros. Comum.",NA,NA,NA,NA,"2015","09","52°26'54,9 W","24°31'17,3 S",NA,NA,NA,NA,NA,NA
"124","2021-02-23 15:16:45-03","UTFPR","HCF","24016","S","Plantae",NA,NA,"Araliaceae","Didymopanax","calvus","Didymopanax calvus","(Cham.) Decne. & Planch.","M.L. Brotto","M.G. Caxambu","7965","2017","11","01",NA,"Brasil","PR","Céu Azul","Parque Nacional do Iguaçu - Posto de","-53.845306","-25.153917","658","658",NA,"árvore ca. 15 m, heliófita. Botões florais verdes.",NA,NA,NA,NA,"2018","07","53°50'43,1 W","25°09'14,1 S","04",NA,NA,NA,NA,NA
"125","2021-02-23 15:16:45-03","UTFPR","HCF","12250","S","Plantae",NA,NA,"Araliaceae","Didymopanax","calvus","Didymopanax calvus","(Cham.) Decne. & Planch.","P. Fiaschi","C. Michelon","1471","2012","07","07",NA,"Brasil","PR","Telêmaco Borba","vegetação ciliar do Rio Tibagi","-50.6156005859375","-24.3239002227783",NA,NA,NA,"árvore (Resgate de Flora UHE Mauá).",NA,NA,"35037","auto","2015","09",NA,NA,NA,NA,NA,NA,NA,NA
"126","2021-02-23 15:16:45-03","UTFPR","HCF","30381","S","Plantae",NA,NA,"Araliaceae","Didymopanax","calvus","Didymopanax calvus","(Cham.) Decne. & Planch.","M.E.D. Castanho & M.L. Brotto","V. Ariati","1656","2019","06","26",NA,"Brasil","PR","Tibagi","UHE Tibagi Montante","-50.4136009216309","-24.5093994140625",NA,NA,NA,"árvore. Floresta Ombrófila Mista.",NA,NA,"56988","auto","2019","10",NA,NA,"07",NA,NA,NA,NA,NA
"127","2020-06-29 09:29:17-03","UFRRJ","RBR","2438","S","Plantae",NA,NA,"Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin",NA,"E.P. Heringer","684","1978","10","24",NA,"Brasil","Distrito Federal","Brasília","RECOR, Picada R-5","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"RBR00002438","RBR00002438","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2013-04-01 09:19:42-03","IPT","BCTW","10913","S","Plantae","Magnoliophyta",NA,NA,"Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi",NA,NA,NA,NA,NA,NA,NA,"Brasil","São Paulo",NA,"Serra do Bananal",NA,NA,NA,NA,NA,"Sinonímia: Didymopanax calvum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"129","2013-04-01 09:19:42-03","IPT","BCTW","2665","S","Plantae","Magnoliophyta",NA,NA,"Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi",NA,NA,NA,NA,NA,NA,NA,"Brasil","São Paulo","São Paulo","Jardim Botânico","-46.63","-23.54",NA,NA,NA,"Sinonímia: Didymopanax calvum",NA,NA,"53584","auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"130","2013-04-01 09:19:42-03","IPT","BCTW","6130","S","Plantae","Magnoliophyta",NA,NA,"Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","IPT",NA,NA,NA,NA,NA,NA,"Brasil","São Paulo","Igaratá",NA,"-46.15","-23.2",NA,NA,NA,"Sinonímia: Didymopanax calvum",NA,NA,"24798","auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"131","2020-12-21 16:13:26-03","MBM","MBM","323075","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Didymopanax","calvus","Didymopanax calvus","(Cham.) Decne. & Planch.","Brotto, M.L.","Ribas, O.S.; Silva, J.M.; Silva, J.M.","7310","2006","06","30","Southern America","Brazil","Paraná","Fênix","Parque Estadual de Vila Rica do Espírito Santo","-51.9791984558105","-23.9160995483398",NA,NA,NA,"Árvore, 12m, fruto imaturo. Floresta Estacional Semidecídua.; Floresta Estacional Semidecídua.","MBM323075","MBM323075","16297","auto","2018","06",NA,NA,"26",NA,NA,NA,NA,NA
"132","2020-12-21 16:13:26-03","MBM","MBM","301692","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Didymopanax","calvus","Didymopanax calvus","(Cham.) Decne. & Planch.","Ribas, O.S.","Maschio, W.","s.n.","2004","09","28","Southern America","Brazil","Paraná","Colombo","Projeto Poleiros Embrapa","-49.216667","-25.283333","950","950",NA,"Árvore grande isolada. Nome popular: mandiocão.; Floresta Ombrófila Mista.","MBM301692","MBM301692",NA,NA,"2004","11","-49.216667","-25.283333",NA,NA,NA,NA,NA,NA
"133","2020-12-21 16:13:26-03","MBM","MBM","320835","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Didymopanax","calvus","Didymopanax calvus","(Cham.) Decne. & Planch.","Fiaschi, P.","Fiaschi, P.; Ferreira, P.S.S.; Pavão, T.; Ferreira, P.S.S.; Pavão, T.","144","2000","02",NA,"Southern America","Brazil","São Paulo","São Paulo","Parque Alfredo Volpi, Trilha para Administração","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Árvore ca. 12m alt. na beira da trilha. Folhas discolores; folhas jovens creme; botões florais verde-claros.","MBM320835","MBM320835","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","2020-12-21 16:13:26-03","MBM","MBM","252094","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Didymopanax","micranthum","Didymopanax micranthum","Marchal","Dusén, P.","Dusén, P.","12061","1910","07","08","Southern America","Brazil","Paraná","Morretes","Volta Grande","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM252094",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2020-12-21 16:13:28-03","MBM","MBM","385371","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Lozano, E.D.","Lozano, E.D.","994","2012","07","24",NA,"Brasil","Paraná","Telêmaco Borba","UHE Mauá","-50.706944","-24.100556","520","750",NA,"Resgate de flora da UHE Mauá; Árvore, 7m, frutos imaturos verdes.","MBM385371","MBM385371",NA,NA,"2012","07","-50.706944","-24.100556","24",NA,NA,NA,NA,NA
"136","2020-12-21 16:13:28-03","MBM","MBM","424079","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Oliveira, I.J.G.","Roher, D.; Barcik, J.; Barcik, J.","573","2019","06","19","Southern America","Brazil","Paraná","Tibagi","UHE Tibagi Montante, Margem esquerda","-50.407306","-24.53675","713","713",NA,"Árvore com 8 m de alt.; frutos verdes.; Floresta Ombrofila Mista Aluvial.","MBM424079",NA,NA,NA,"2019","10","-50.407306","-24.53675","01",NA,NA,NA,NA,NA
"137","2020-12-21 16:13:28-03","MBM","MBM","295727","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Kollmann, L.; et al.; et al.","2499","1999","04","27","Southern America","Brazil","Espírito Santo","Santa Teresa","Santo Antônio","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"MBM295727","MBM295727","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","2020-12-21 16:13:28-03","MBM","MBM","195851","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Sobral, M.","Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.","65191","1996","07","06","Southern America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1347007751465","-20.3397006988525",NA,NA,NA,NA,"MBM195851","MBM195851","15909","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","2020-12-21 16:13:28-03","MBM","MBM","207120","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Jarenkow, J.A.","2351","1993","02","27","Southern America","Brazil","Rio Grande do Sul","Vale do Sol","Linha XV de Novembro, Vale do Sol","-52.6831016540527","-29.6035995483398",NA,NA,NA,"Árvore com ca. 26m alt. DAP de 76 cm, fuste com 13m de alt., em mata de encosta. Frutos imaturos, verdes.","MBM207120","MBM207120","19833","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"140","2020-12-21 16:13:28-03","MBM","MBM","140660","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fischi, P.","Carvalho, J.P.M.; et al.; et al.","8571","1984","06","19","Southern America","Brazil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão. Instituto Floresta São Paulo.&nf;Coletado em S. José dos Alpes","-45.5900001525879","-22.7299995422363",NA,NA,NA,"Árvore com 15 metros de altura, frutos verdes.","MBM140660","MBM140660","21048","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"141","2020-12-21 16:13:28-03","MBM","MBM","78579","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Roderjan, C.V.","51","1982","04","07","Southern America","Brazil","Paraná","Colombo","EMBRAPA","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"MBM078579","MBM078579","13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","2020-12-21 16:13:28-03","MBM","MBM","168645","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Carvalho, P.","139","1979","06","27","Southern America","Brazil","Paraná","Colombo","EMBRAPA","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"MBM168645","MBM168645","13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","2020-12-21 16:13:28-03","MBM","MBM","65717","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Moura, C.","Rotta, E.","s.n.","1979","06","27","Southern America","Brazil","Paraná","Colombo","Estrada da Ribeira, Embrapa","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"MBM065717","MBM065717","13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","2020-12-21 16:13:28-03","MBM","MBM","19069","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fischi, P.","Hatschbach, G.; et al.; et al.","26921","1971","08","14","Southern America","Brazil","Paraná","Coronel Vivida","Rio Chopim","-52.567798614502","-25.979700088501",NA,NA,NA,"Árvore 8m, tronco 20 cm, mata pluvial","MBM019069","MBM019069","24833","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"145","2020-12-21 16:13:28-03","MBM","MBM","269606","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Tessmann, G.","6053","1937","02","06","Southern America","Brazil","Paraná","Londrina","Faxinal São Sebastião","-51.1627998352051","-23.3103008270264",NA,NA,NA,NA,"MBM269606","MBM269606","63728","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"146","2020-12-21 16:13:28-03","MBM","MBM","7643","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Lindeman, J.; Haas, H.; Haas, H.","1318","1966","05","12","Southern America","Brazil","Paraná","Marmeleiro","Rio Tigre, Preto","-53.0261001586914","-26.1494007110596",NA,NA,NA,NA,"MBM007643","MBM007643","27396","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"147","2020-12-21 16:13:28-03","MBM","MBM","157193","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Silva, J.M.; Cervi, A.C.; Cervi, A.C.","1103","1992","04","14","Southern America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"MBM157193","MBM157193","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","2020-12-21 16:13:28-03","MBM","MBM","36730","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Moura, C.","Hatschbach, G.","3161","1953","03","31","Southern America","Brazil","Paraná","Tibagi","Fazenda Monte Alegre, Jaguatirica","-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"MBM036730","MBM036730","56988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","2020-12-21 16:13:28-03","MBM","MBM","179721","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","?","s.n.",NA,NA,NA,"Southern America","Brazil","Paraná","Tibagi","Monte Alegre","-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"MBM179721","MBM179721","56988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","2020-12-21 16:13:28-03","MBM","MBM","424120","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Brotto, M.L.; Castanho, M.E.D.","Ariati, V.; Roher, D.; Bittencourt, L.S.; Roher, D.; Bittencourt, L.S.","1656","2019","06","26","Southern America","Brazil","Paraná","Tibagi","UHE Tibagi Montante","-50.4136009216309","-24.5093994140625",NA,NA,NA,"Árvore.; Floresta Ombrófila Mista.","MBM424120",NA,"56988","auto","2019","10",NA,NA,"07",NA,NA,NA,NA,NA
"151","2020-12-21 16:13:28-03","MBM","MBM","284039","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Kegler, A.","1212","2001","12","20","Southern America","Brazil","Rio Grande do Sul","Caxias do Sul","Pinhal","-51.1794013977051","-29.1681003570557","780","780",NA,"Na mata","MBM284039","MBM284039","49662","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"152","2020-12-21 16:13:28-03","MBM","MBM","275073","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin",NA,"Tomasulo, P.L.B.","350",NA,NA,NA,"Southern America","Brazil","São Paulo","Mogi das Cruzes","Parque Municipal da Serra do Itapety","-46.1883010864258","-23.5228004455566",NA,NA,NA,"Árvore com frutos castanhos","MBM275073","MBM275073","28666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","2020-12-21 16:13:28-03","MBM","MBM","389746","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Marinero, F.","Marinero, F.; Bochorny, T.; Bochorny, T.","375","2012","07","12","Southern America","Brazil","Paraná","Telêmaco Borba","UHE Mauá, Rio Tibagi","-50.706944","-24.100556","520","750",NA,"Árvore; frutos verdes.","MBM389746","MBM389746",NA,NA,"2012","07","-50.706944","-24.100556","12",NA,NA,NA,NA,NA
"154","2020-12-21 16:13:28-03","MBM","MBM","77533","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Tressens, S.G.; et al.; et al.","1999","1982","03","12","Southern America","Argentina","Corrientes",NA,"Dep. Santo Tomé. Ea. Vuelta del Pmbú, 3km SW de Gdor. Virasoro",NA,NA,NA,NA,NA,"Isleta de selva. Arbol 20m alt.; tronco 7m alt. y 52.2 cm diam.","MBM077533","MBM077533",NA,NA,"2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"155","2020-12-21 16:13:28-03","MBM","MBM","234989","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Motta, J.T.","1379","1988","08","26","Southern America","Brazil","Minas Gerais","Poços de Caldas","Retiro Branco","-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"MBM234989","MBM234989","23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2020-12-21 16:13:28-03","MBM","MBM","276972","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Ribas, O.S.","Gatti, G.; et al.; et al.","192","2002","04","23","Southern America","Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato","-48.3288993835449","-25.3066997528076",NA,NA,NA,"Vegetativo. Floresta Ombrófila Densa","MBM276972","MBM276972","37295","auto","2009","05",NA,NA,NA,NA,NA,NA,NA,NA
"157","2020-12-21 16:13:28-03","MBM","MBM","114723","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Hatschbach, G.","Roderjan, C.V.","51","1982","04","07","Southern America","Brazil","Paraná","Colombo","Embrapa","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"MBM114723","MBM114723","13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","2020-12-21 16:13:28-03","MBM","MBM","242416","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Silva, J.M.; Soares, A.; Maschio, W.; Soares, A.; Maschio, W.","2980","1999","06","16","Southern America","Brazil","Paraná","Cruzeiro do Iguaçu","Rui Iguaçu, próximo a barra do Rio Chopim","-53.127799987793","-25.6156005859375",NA,NA,NA,"Árvore, 10m. Interior da floresta","MBM242416","MBM242416","12520","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"159","2020-12-21 16:13:28-03","MBM","MBM","12264","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin","Fiaschi, P.","Hatschbach, G.","21574","1969","05","20","Southern America","Brazil","Paraná","Jussara","Horto Florestal","-52.4693984985352","-23.6214008331299",NA,NA,NA,"Árvore 10m de altura, tronco 25 cm diâmetro. Mata pluvial, terreno pobre (arenoso)","MBM012264","MBM012264","17622","auto","2010","03",NA,NA,NA,NA,NA,NA,NA,NA
"160","2019-01-02 14:13:43-02","MNHN","RECOLNAT_MNHN_P","P02286442","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin",NA,"Claussen, P.",NA,"1838",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286442' target='other'> <mi>dwc_moreinfo</mi></a>","P02286442","P02286442_01",NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA
"161","2019-01-02 14:13:45-02","MNHN","RECOLNAT_MNHN_P","P02286443","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin",NA,"Claussen, P.",NA,"1838",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286443' target='other'> <mi>dwc_moreinfo</mi></a>","P02286443","P02286443_01",NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA
"162","2019-01-02 14:13:48-02","MNHN","RECOLNAT_MNHN_P","P02286444","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin",NA,"Warming, E.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"s.l.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286444' target='other'> <mi>dwc_moreinfo</mi></a>","P02286444","P02286444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","2016-03-23 15:47:47-03","MNHN","RECOLNAT_MNHN_P","P02441715","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin","Fiaschi","Lund, P.W.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Ad Curvello",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441715' target='other'> <mi>dwc_moreinfo</mi></a>","P02441715","P02441715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","2015-09-04 04:29:43-03","MNHN","RECOLNAT_MNHN_P","P03379995","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","clausseniana","Schefflera clausseniana","(Decne. & Planch. ex Marchal) Frodin",NA,"Claussen, P.",NA,"1841","2",NA,NA,"Brésil",NA,NA,"Minas Geraes : Lagoa Santa",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03379995' target='other'> <mi>dwc_moreinfo</mi></a>","P03379995","P03379995_01 P03379995_02",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA
"165","2016-01-12 18:39:55-02","MNHN","RECOLNAT_MNHN_P","P02286472","PreservedSpecimen",NA,NA,NA,"Araliaceae","Schefflera","regnelliana","Schefflera regnelliana","Frodin",NA,"Widgren, J.F.",NA,"1845",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286472' target='other'> <mi>dwc_moreinfo</mi></a>","P02286472","P02286472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"syntype",NA,NA
"166","2020-11-16 13:23:05-03","UFT","HTO","3050","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aff. calva","Schefflera aff. calva","(Cham.) Frodin & Fiaschi","M.A. da Silva","G.F. Árbocz","6679","1999","02","10",NA,"Brasil","TO","Miracema do Tocantins","Estrada entre o Córrego Grande e o Distrito de Lajeadinho. Cerrado em arenito","-48.368611","-9.844167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48°22'07''W","09°50'39''S",NA,NA,NA,NA,NA,NA
"167","2020-10-01 14:15:06-03","JBB","HEPH","4128","S","Plantae","Dicotyledon","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","Fiaschi, P","Ramos, AE","s.n.","1984","01","02","Southern America","Brasil","Distrito Federal","Planaltina","Estação Ecológica de Águas Emendadas, Estação Ecológica de Águas Emendadas","-47.55","-15.516667","1000","1000",NA,"*Transect* (Exemplar testemunha)",NA,NA,NA,NA,"2009",NA,"-47.55","-15.516667",NA,NA,NA,NA,NA,NA
"168","2020-10-01 14:15:06-03","JBB","HEPH","3750","S","Plantae","Dicotyledon","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","Fiaschi, P","Alves, MA","264A,B","1984","01","04","Southern America","Brasil","Distrito Federal","Brasília","Jardim Botânico de Brasília","-47.85","-15.866667","1025","1150",NA,NA,NA,NA,NA,NA,"2009",NA,"-47.85","-15.866667",NA,NA,NA,NA,NA,NA
"169","2020-10-01 14:15:06-03","JBB","HEPH","3750","Amost","Plantae","Dicotyledon","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","Fiaschi, P","Alves, MA","264A,B","1984","01","04","Southern America","Brasil","Distrito Federal","Brasília","Jardim Botânico de Brasília","-47.85","-15.866667","1025","1150",NA,NA,NA,NA,NA,NA,"2009",NA,"-47.85","-15.866667",NA,NA,NA,NA,NA,NA
"170","2020-10-01 14:15:06-03","JBB","HEPH","33080","S","Plantae","Dicotyledon","Apiales","Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin & Fiaschi","Kuhlmann, MP","Kuhlmann, MP","203A,B","2013","04","16","Southern America","Brasil","Distrito Federal","Brasília","Jardim Botânico de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Foto em www.frutosatrativosdocerrado.bio.br",NA,NA,"70570","auto","2013","04",NA,NA,"16",NA,NA,NA,NA,NA
"171","2020-12-11 11:32:05-03","UFMG","BHCB","54931","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Didymopanax","claussenianum","Didymopanax claussenianum",NA,NA,"Barreto, HLM","213","1933","04","13","Southern America","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,"Árvore 5,0m; pouco frequente.; Capoeira","BHCB012368","BHCB012368","33136","auto","1933",NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","2020-12-11 11:32:05-03","UFMG","BHCB","54930","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Didymopanax","micranthum","Didymopanax micranthum",NA,NA,"Sampaio, A","7073","1934","02","12","Southern America","Brasil","Minas Gerais","Itabira",NA,"-43.2268981933594","-19.6191997528076",NA,NA,NA,"arbusto 2,00",NA,NA,"33779","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","2020-12-11 11:32:05-03","UFMG","BHCB","172374","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin",NA,"Perillo, LN","482","2010","08","04","Southern America","Brasil","Minas Gerais","Catas Altas","RPPN Santuário do Caraça, Trilha para o Pico do Sol","-43.745278","-20.190547","2055","2055",NA,"Arborescente com 4 m de altura, fenda em afloramento rochoso.; arborescente com 4m de altura, em afloramento rochoso.","BHCB047200",NA,NA,NA,"2018","08","-43.745278","-20.190547","24",NA,NA,NA,NA,NA
"174","2021-01-15 17:52:56-03","UFMG","BHCB","113626","PreservedSpecimen","Plantae","Dicotyledon",NA,"Araliaceae","Schefflera","calva","Schefflera calva","(Cham.) Frodin",NA,"Souza, DT; Almeida, TE; Giorni, VT","273","2007","07","11","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"árvore de 6 metros em capão de atitude. Frutos imaturos amarelos/marrons; Latex alaranjado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
