"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem","previousCatalogNumber","fieldNumber","sex"
"31","2020-10-01 14:20:26-03","JBB","HEPH","17014","S","Plantae","Dicotyledon","Fabales","Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, OS; Silva, JM da","3600","2001","06","12","Southern America","Brasil","Paraná","Rio Iguaçu",NA,NA,NA,NA,"Ribas, OS","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-11 11:36:18-03","UFMG","BHCB","71219","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Silva, JM","3418",NA,NA,NA,"Southern America","Brasil","Paraná",NA,NA,NA,NA,NA,NA,"Lapa","-49.7158012390137","-25.7696990966797",NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:36:18-03","UFMG","BHCB","71006","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, OS","3600",NA,NA,NA,"Southern America","Brasil","Paraná",NA,NA,NA,NA,NA,NA,"Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,"14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:36:18-03","UFMG","BHCB","71109","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, OS","3600",NA,NA,NA,"Southern America","Brasil","Paraná",NA,NA,NA,NA,NA,NA,"Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,"14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:36:18-03","UFMG","BHCB","173367","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Martin, CV","6","2010","08","16","Southern America","Brasil","Paraná","Rio Iguaçu",NA,"Arbusto, 1,8m, flor rosada, frutos verdes.; Solo arenoso (decomposição de arenito), mata ciliar.","BHCB018225",NA,NA,"Porto Amazonas","-49.8903007507324","-25.5447006225586","2011","14684","auto",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-11 17:19:04-03","UFPR","UPCB","87531","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Silva, J.M. | Martins, L.M.","8344","2013","09","19",NA,"Brasil","Paraná","Jardim Botânico",NA,"Arbusto 2m. Flor lilás. Cultivada..",NA,NA,"Barboza, E.","Curitiba","-49.239167","-25.440833","2013",NA,NA,NA,"09","20","-49.239167","-25.440833",NA,NA,NA,NA,NA,NA,NA
"37","2008-05-27 22:02:00-03","MO","MOBOT","2921327","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"O.S. Ribas","Ribas 3600","2001","6","12","South America","Brazil","Paraná","Mun. Porto Amazonas: Rio Iguaço.",NA,NA,NA,NA,"O.S. Ribas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2014-12-01 18:04:00-02","MO","MOBOT","2921502","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"J.M. Silva|O.S. Ribas|E. Barbosa","Silva 3418","2001","11","4","South America","Brazil","Paraná","Mun. Lapa: Rio Iguaçu, próximo da ponte na Rod. PR-427",NA,NA,NA,NA,"O.S. Ribas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-04-07 10:22:00-03","MO","MOBOT","101189185","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart","Holotype","Per Dusén","Dusén 15157","1914","6","10","South America","Brazil","Paraná","Ad ripam arenos. flum. Río Iguassú",NA,NA,NA,NA,NA,"Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,"14684","auto",NA,NA,NA,NA,NA,"820.00000000",NA,"1",NA,NA,NA,NA
"40","2018-09-12 14:48:12-03","UNIOESTE","UNOP","2082","S","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Silva, J.M.; Martins, L.M.; Martins, L.M.","8344","2013","09","19",NA,"Brasil","Paraná","Jardim Botânico",NA,"Arbusto com 2m. Flor lilás. Cultivada.",NA,NA,"Barboza, E.","Curitiba","-49.239167","-25.440833","2013",NA,NA,NA,"09","20","-49.239167","-25.440833","915","915",NA,NA,NA,NA,NA
