"","especie_original","fontes","cats","id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","NA.","threat.status","notes","original.search","life.form","habitat","vegetation.type","vernacular.name","occurrence","establishment","domain","endemism"
"59","Sauroglossum organense","cncflora_out_1","DD",69656,"Sauroglossum elatum Lindl.",NA,"Orchidaceae","species","accepted","Sauroglossum elatum","Sauroglossum elatum",NA,"replaced synonym","Sauroglossum organense","Erva","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Cerrado|Mata Atlântica","Não endemica"
"60","Sphagnum triporosum","cncflora_out_1","DD",97001,"Sphagnum aciphyllum Müll. Hal.",NA,"Sphagnaceae","species","accepted","Sphagnum aciphyllum","Sphagnum aciphyllum","LC","replaced synonym","Sphagnum triporosum","Folhosa|Tapete","Rupícola|Terrícola","Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga",NA,"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Mata Atlântica|Pampa","Não endemica"
"61","Struthanthus dorothyi","cncflora_out_1","CR",8711,"Struthanthus marginatus (Desr.) G.Don",NA,"Loranthaceae","species","accepted","Struthanthus marginatus","Struthanthus marginatus",NA,"replaced synonym","Struthanthus dorothyi","Erva","Hemiparasita","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica"
"62","Struthanthus harlingianus","cncflora_out_1","DD",8711,"Struthanthus marginatus (Desr.) G.Don",NA,"Loranthaceae","species","accepted","Struthanthus marginatus","Struthanthus marginatus",NA,"replaced synonym","Struthanthus harlingianus","Erva","Hemiparasita","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-SE|BR-SP|BR-TO","native","Amazônia|Caatinga|Cerrado|Mata Atlântica","Não endemica"
"63","Struthanthus involucratus","cncflora_out_1","DD",8720,"Struthanthus taubatensis Eichler",NA,"Loranthaceae","species","accepted","Struthanthus taubatensis","Struthanthus taubatensis","EN","replaced synonym","Struthanthus involucratus","Erva","Hemiparasita","Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-DF|BR-ES|BR-GO|BR-MG|BR-RJ|BR-SP","native","Cerrado|Mata Atlântica","Endemica"
"64","Struthanthus maricensis","cncflora_out_1","CR",8720,"Struthanthus taubatensis Eichler",NA,"Loranthaceae","species","accepted","Struthanthus taubatensis","Struthanthus taubatensis","EN","replaced synonym","Struthanthus maricensis","Erva","Hemiparasita","Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-DF|BR-ES|BR-GO|BR-MG|BR-RJ|BR-SP","native","Cerrado|Mata Atlântica","Endemica"
"65","Struthanthus pentamerus","cncflora_out_1","EN",8722,"Struthanthus uraguensis (Hook. & Arn.) G.Don",NA,"Loranthaceae","species","accepted","Struthanthus uraguensis","Struthanthus uraguensis",NA,"replaced synonym","Struthanthus pentamerus","Erva","Hemiparasita","Campo de Altitude|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga",NA,"BR-BA|BR-ES|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Amazônia|Cerrado|Mata Atlântica|Pampa","Não endemica"
"66","Syagrus weddelliana","cncflora_out_1","EN",44834,"Syagrus weddelliana (H.Wendl.) Becc.",NA,"Arecaceae","species","accepted","Syagrus weddelliana","Syagrus weddelliana",NA,"","Syagrus weddelliana","Palmeira","Terrícola","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"67","Symplocos glandulosomarginata","cncflora_out_1","LC",14903,"Symplocos glandulosomarginata Hoehne",NA,"Symplocaceae","species","accepted","Symplocos glandulosomarginata","Symplocos glandulosomarginata",NA,"","Symplocos glandulosomarginata","Arbusto|Árvore","Terrícola","Área Antrópica|Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","bracunhá/PORTUGUES/Paraná | falsa-caneta/PORTUGUES/Paraná | maria-mole/PORTUGUES/Paraná","BR-PR|BR-SC|BR-SP","native","Mata Atlântica","Endemica"
"68","Trichilia luciae","cncflora_out_1","EN",10016,"Trichilia silvatica C.DC.",NA,"Meliaceae","species","accepted","Trichilia silvatica","Trichilia silvatica","LC","replaced synonym","Trichilia luciae","Arbusto|Árvore","Terrícola","Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-AL|BR-BA|BR-DF|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SE|BR-SP","native","Cerrado|Mata Atlântica","Endemica"
"69","Vriesea agostiniana","cncflora_out_1","EN",6415,"Vriesea agostiniana E.Pereira",NA,"Bromeliaceae","species","accepted","Vriesea agostiniana","Vriesea agostiniana",NA,"","Vriesea agostiniana","Erva","Epífita","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"70","Vriesea joyae","cncflora_out_1","CR",121789,"Vriesea taritubensis E.Pereira & I.A.Penna var. taritubensis",NA,"Bromeliaceae","variety","accepted","Vriesea taritubensis var. taritubensis","Vriesea taritubensis var. taritubensis",NA,"replaced synonym","Vriesea joyae","Erva","Epífita","Floresta Ombrófila (= Floresta Pluvial)",NA,"BR-RJ|BR-SP","native","Mata Atlântica","Endemica"
"71","Xylosma ciliatifolia","cncflora_out_1","LC",14394,"Xylosma ciliatifolia (Clos) Eichler",NA,"Salicaceae","species","accepted","Xylosma ciliatifolia","Xylosma ciliatifolia",NA,"","Xylosma ciliatifolia","Arbusto|Árvore","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Savana Amazônica","assucará/PORTUGUES/SE | espinho-de-agulha/PORTUGUES/SE | coroa de cristo'/PORTUGUES/SP","BR-CE|BR-DF|BR-MA|BR-MG|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP","native","Caatinga|Cerrado|Mata Atlântica","Não endemica"
