especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br
Bertolonia leuzeana,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,VU,VU,NA,EN,NA,NA,EN
Bertolonia paranaensis,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Besleria grandifolia,sima,VU,NA,VU,NA,NA,NA,NA,NA,NA
Besleria meridionalis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Besleria umbrosa,sima-SP_oficial-Portaria 443/2014,VU,NA,NA,VU,NA,NA,NA,NA,VU
Bidens bipinnata,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Bifrenaria aureofulva,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Bifrenaria harrisoniae,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bifrenaria inodora,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bifrenaria leucorrhoda,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bifrenaria racemosa,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Bifrenaria silvana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Bifrenaria tetragona,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bifrenaria tyrianthina,sima-SP_oficial,NA,LC,EW,EW,NA,NA,NA,NA,NA
Bifrenaria wittigii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Billbergia alfonsi-joannis,SP_oficial,NA,NA,NA,VU,NA,NA,NA,NA,NA
Billbergia alfonsijoannis,sima,NA,LC,VU,NA,NA,NA,NA,NA,NA
Billbergia brasiliensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Billbergia distachia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Billbergia lietzei,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Billbergia macrocalyx,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Billbergia magnifica,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Billbergia meyeri,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Billbergia nutans,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Billbergia pohliana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Billbergia pyramidalis,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Billbergia zebrina,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bionia bella,sima,NA,DD,VU,NA,NA,NA,NA,NA,NA
Bipinnula biplumata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Bipinnula montana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Bipinnula penicillata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Bixa arborea,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Bixa orellana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bixa urucurana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Blechnum andinum,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Blechnum heringeri,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Blechnum organense,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Blechnum penna-marina,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Blechnum sprucei,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Blechnum squamipes,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Blepharocalyx salicifolius,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Blepharodon bicuspidatum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Blepharolejeunea securifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Blotiella lindeniana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Blumenbachia eichleri,sima-cncflora_web,NA,NT,NA,NA,NA,NT,NA,NA,NA
Blumenbachia scabra,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Blutaparon portulacoides,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Boehmeria caudata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Boehmeria cylindrica,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Boehmeria ulmifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bonamia agrostopolis,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Bonamia burchellii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Boopis bupleuroides,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Boopis itatiaiae,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,NA,EN
Borreria paulista,cncflora_web,NA,NA,NA,NA,NA,VU,NA,NA,NA
Borreria pulchristipula,sima-SP_oficial-cncflora_web,NA,DD,VU,VU,NA,DD,NA,NA,NA
Borreria remota,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bothriochloa laguroides,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EX,EX,NA,VU,NA,NA,VU
Botrychium virginianum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bouchea fluminensis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bougainvillea glabra,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bowdichia virgilioides,cncflora_web-UICN_API,NA,NA,NA,NA,NA,NT,LC,NA,NA
Brachiaria mutica,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Brachionidium restrepioides,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Brachymenium hornschunchianum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Brachystele camporum,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Bradea anomala,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Bradea bicornuta,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Bradea kuhlmanni,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Bradea montana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Brasilaelia crispa,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Brasilaelia grandis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Brasilaelia lobata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Brasilaelia perrinii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Brasilaelia purpurata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Brasilaelia tenebrosa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Brasilaelia xanthina,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Brasilicereus markgrafii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Brasilidium concolor,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Brasilidium crispum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Brasilidium gravesianum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Brasilidium marshallianum,cncflora_web-Portaria 443/2014,NA,NA,NA,NA,NA,CR,NA,NA,CR
Brasilidium pectorale,cncflora_web-Portaria 443/2014,NA,NA,NA,NA,NA,CR,NA,NA,CR
Brasilidium praetextum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Brasiliopuntia brasiliensis,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Brasiliorchis consanguinea,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Brasiliorchis phoenicanthera,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Brasiliorchis schunkeana,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Brassia arachnoidea,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Braunia plicata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Bredemeyera floribunda,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bredemeyera hebeclada,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Briza brasiliensis,cncflora_web,NA,NA,NA,NA,NA,EN,NA,NA,NA
Briza itatiaiae,cncflora_web,NA,NA,NA,NA,NA,EN,NA,NA,NA
Bromelia balansae,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bromelia braunii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Bromelia interior,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Bromelia macedoi,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Bromeliophila natans,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Bromidium hygrometricum,sima-SP_oficial,NA,NA,CR,CR,NA,NA,NA,NA,NA
Bromidium ramboi,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Brosimum glaziovii,sima-SP_oficial-cncflora_web-UICN_API-mpoSP,NA,LC,VU,VU,NA,LC,EN,VU,NA
Brosimum guianense,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Brosimum lactescens,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Brugmansia suaveolens,UICN_API,NA,NA,NA,NA,NA,NA,EW,NA,NA
Brunfelsia pauciflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Brunfelsia uniflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bryopteris diffusa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bryopteris filicina,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Buchenavia hoehneana,sima-SP_oficial-cncflora_ckan,NA,NA,VU,VU,NA,NT,NA,NA,NA
Buchenavia iguaratensis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Buchenavia kleinii,sima-cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Buchenavia pabstii,cncflora_web,NA,NA,NA,NA,NA,VU,NA,NA,NA
Buchenavia parvifolia,sima,VU,NA,VU,NA,NA,NA,NA,NA,NA
Buchenavia parvifolia subsp. rabelloana,SP_oficial,NA,NA,NA,VU,NA,NA,NA,NA,NA
Buchenavia rabelloana,cncflora_web,NA,NA,NA,NA,NA,VU,NA,NA,NA
Buchnera amethystina,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Buchnera integrifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Buchnera juncea,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Buchnera longifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Buddleja hatschbachii,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buddleja oblonga,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buddleja speciosissima,cncflora_web-Portaria 443/2014,NA,NA,NA,NA,NA,VU,NA,NA,EN
Bulbophyllum arianeae,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Bulbophyllum boudetianum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Bulbophyllum campos-portoi,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bulbophyllum cantagallense,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bulbophyllum chloroglossum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Bulbophyllum exaltatum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bulbophyllum gladiatum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bulbophyllum kautskyi,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Bulbophyllum meridense,sima,NA,NE,NA,NA,NA,NA,NA,NA,NA
Bulbophyllum plumosum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bulbophyllum regnellii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bulbophyllum tripetalum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Bulbostylis capillaris,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bulbostylis distichoides,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Bulbostylis fendleri,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Bulbostylis loefgrenii,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Bulbostylis major,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulbostylis nesiotis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Bulbostylis smithii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Bunchosia glandulifera,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bunchosia itacarensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Bunchosia macilenta,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Bunchosia maritima,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bunchosia pallescens,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Bunchosia pernambucana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Burmannia aprica,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Burmannia australis,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Burmannia bicolor,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Burmannia damazii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Burmannia flava,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Bursera simaruba,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Butia capitata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Butia eriospatha,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Butia exilata,sima,NA,CR,NA,NA,NA,NA,NA,NA,NA
Butia leiospatha,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Butia leptospatha,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Butia microspadix,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Butia paraguayensis,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Butia pubispatha,sima,NA,CR,NA,NA,NA,NA,NA,NA,NA
Butia purpurascens,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Butia yatay,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Byrsonima affinis,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Byrsonima alvimii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Byrsonima basiloba,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Byrsonima brachybotrya,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Byrsonima cipoensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Byrsonima coccolobifolia,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Byrsonima crassifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Byrsonima cydoniifolia,sima-SP_oficial-cncflora_ckan-UICN_API,NA,NA,VU,VU,NA,LC,LC,NA,NA
Byrsonima euryphylla,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Byrsonima fonsecae,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Byrsonima guilleminiana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Byrsonima lancifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Byrsonima lanulosa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Byrsonima laxiflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Byrsonima ligustrifolia,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Byrsonima microphylla,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Byrsonima myricifolia,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Byrsonima onishiana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Byrsonima pachyphylla,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Byrsonima perseifolia,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Byrsonima psilandra,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Byrsonima rigida,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Byrsonima salzmanniana,sima-cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Byrsonima sericea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Byrsonima variabilis,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Byrsonima verbascifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Byttneria catalpaefolia subsp. Sidaefolia,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byttneria catalpifolia subsp. sidaefolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Byttneria implacabilis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Byttneria oblongata,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Byttneria scabra,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,VU,VU,NA,LC,NA,VU,NA
Caatinganthus rubropappus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cabomba aquatica,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EX,EX,NA,LC,NA,EX,NA
Cabomba caroliniana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Cabomba furcata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Cabralea canjerana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Caesalpinia echinata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Caesalpinia pulcherrima,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Calathea aemula,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Calathea bella,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Calathea cylindrica,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calathea longibracteata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calathea monophylla,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calathea zebrina,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calea abbreviata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Calea acaulis,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EX,EX,NA,VU,NA,NA,VU
Calea brittoniana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Calea clausseniana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calea cymosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calea gentianoides,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,VU,NA,EN,EN,NA,VU,NA,EN,VU
Calea heteropappa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Calea kristiniae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Calea lantanoides,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calea polycephala,sima-SP_oficial-cncflora_web,NA,NT,VU,VU,NA,NT,NA,NA,NA
Calea serrata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calibrachoa eglandulata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Calibrachoa elegans,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Calibrachoa humilis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Calibrachoa serrulata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Calibrachoa spathulata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Calliandra carrascana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Calliandra foliolosa,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calliandra jariensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Calliandra parvifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Calliandra tweediei,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Callianthe latipetala,cncflora_ckan,NA,NA,NA,NA,NA,EN,NA,NA,NA
Callianthe monteiroi,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Callianthe rufinerva,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Callisia monandra,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Callisthene castellanosii,cncflora_ckan,NA,NA,NA,NA,NA,"NT, quase chegando à VU",NA,NA,NA
Callisthene fasciculata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Callisthene inundata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Callisthene minor,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Callitriche terrestris,sima-SP_oficial-mpoSP,NA,NA,EX,EX,NA,NA,NA,EX,NA
Calophyllum brasiliense,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Calycolpus legrandii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Calycorectes acutatus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Calyculogygas uruguayensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Calyptraemalva catharinensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Calyptranthes brasiliensis,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Calyptranthes concinna,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Calyptranthes curta,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Calyptranthes dichotoma,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Calyptranthes dryadica,sima-SP_oficial-cncflora_web-mpoSP,NA,DD,VU,VU,NA,DD,NA,VU,NA
Calyptranthes fusiformis,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Calyptranthes glazioviana,cncflora_ckan,NA,NA,NA,NA,NA,EN,NA,NA,NA
Calyptranthes grammica,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Calyptranthes grandiflora,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calyptranthes grandifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Calyptranthes hatschbachii,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Calyptranthes maritima,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Calyptranthes obovata,sima-SP_oficial-cncflora_ckan,EN,NA,EX,EX,NA,LC,NA,NA,NA
Calyptranthes obversa,cncflora_ckan,NA,NA,NA,NA,NA,CR,NA,NA,NA
Calyptranthes pileata,sima-cncflora_ckan-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Calyptranthes restingae,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Calyptranthes rubella,sima-cncflora_ckan,NA,NT,NA,NA,NA,NT,NA,NA,NA
Calyptranthes rufa,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Calyptranthes serrana,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Calyptranthes solitaria,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Calyptranthes strigipes,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Calyptranthes ubatubana,sima-SP_oficial-cncflora_ckan,NA,NA,VU,VU,NA,VU,NA,NA,NA
Calyptranthes widgreniana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Camarea affinis,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Camarea elongata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Camarea ericoides,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Camarea hirsuta,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EN,EN,NA,LC,NA,EN,NA
Camarea humifusa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Camarea linearifolia,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Camaridium meleagris,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Camaridium micranthum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Cambajuva ulei,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cambessedesia atropurpurea,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cambessedesia glaziovii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Cambessedesia gracilis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cambessedesia hermogenesii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cambessedesia hilariana,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Cambessedesia pityrophylla,sima-SP_oficial,EN,NA,VU,VU,NA,NA,NA,NA,NA
Cambessedesia regnelliana,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Cambessedesia striatella,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
