especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br,id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,occurrence,genus,specific.epiteth,infra.epiteth,name.status
Begonia altamiroi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5569,Begonia altamiroi Brade,NA,Begoniaceae,species,accepted,Begonia altamiroi,EN,,Begonia altamiroi,BR-ES|BR-MG,Begonia,altamiroi,NA,correct
Begonia apparicioi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5573,Begonia apparicioi Brade,NA,Begoniaceae,species,accepted,Begonia apparicioi,EN,,Begonia apparicioi,BR-ES|BR-MG,Begonia,apparicioi,NA,correct
Begonia bahiensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5575,Begonia bahiensis A.DC.,NA,Begoniaceae,species,accepted,Begonia bahiensis,EN,,Begonia bahiensis,BR-BA|BR-ES,Begonia,bahiensis,NA,correct
Begonia besleriifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5577,Begonia besleriifolia Schott,NA,Begoniaceae,species,accepted,Begonia besleriifolia,EN,,Begonia besleriifolia,BR-BA|BR-ES|BR-RJ,Begonia,besleriifolia,NA,correct
Begonia biguassuensis,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA,5579,Begonia biguassuensis Brade,NA,Begoniaceae,species,accepted,Begonia biguassuensis,NA,,Begonia biguassuensis,BR-SC,Begonia,biguassuensis,NA,correct
Begonia brevilobata,sima-SP_oficial-cncflora_web,NA,DD,EX,EX,NA,DD,NA,NA,NA,5583,Begonia brevilobata Irmsch.,NA,Begoniaceae,species,accepted,Begonia brevilobata,DD,,Begonia brevilobata,BR-SP,Begonia,brevilobata,NA,correct
Begonia coccinea,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,34128,Begonia coccinea Hook.,NA,Begoniaceae,species,accepted,Begonia coccinea,EN,,Begonia coccinea,BR-ES|BR-RJ,Begonia,coccinea,NA,correct
Begonia crispula,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,5596,Begonia crispula Brade,NA,Begoniaceae,species,accepted,Begonia crispula,CR,,Begonia crispula,BR-ES,Begonia,crispula,NA,correct
Begonia curtii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU,5598,Begonia curtii L.B.Sm. & B.G.Schub.,NA,Begoniaceae,species,accepted,Begonia curtii,VU,,Begonia curtii,BR-ES|BR-MG|BR-RJ,Begonia,curtii,NA,correct
Begonia dentatiloba,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5601,Begonia dentatiloba A.DC.,NA,Begoniaceae,species,accepted,Begonia dentatiloba,EN,,Begonia dentatiloba,BR-RJ,Begonia,dentatiloba,NA,correct
Begonia diaphones,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found,Begonia diaphones,NA,NA,NA,NA,NA
Begonia espiritosantensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5612,Begonia espiritosantensis E.L.Jacques & Mamede,NA,Begoniaceae,species,accepted,Begonia espiritosantensis,EN,,Begonia espiritosantensis,BR-ES,Begonia,espiritosantensis,NA,correct
Begonia fruticosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,5619,Begonia fruticosa (Klotzsch) A.DC.,NA,Begoniaceae,species,accepted,Begonia fruticosa,LC,,Begonia fruticosa,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Begonia,fruticosa,NA,correct
Begonia glabrescens,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found,Begonia glabrescens,NA,NA,NA,NA,NA
Begonia handroi,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN,5626,Begonia handroi Brade,NA,Begoniaceae,species,accepted,Begonia handroi,EN,,Begonia handroi,BR-SP,Begonia,handroi,NA,correct
Begonia herbacea,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA,5627,Begonia herbacea Vell.,NA,Begoniaceae,species,accepted,Begonia herbacea,LC,,Begonia herbacea,BR-RJ,Begonia,herbacea,NA,correct
Begonia hirtella,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,5631,Begonia hirtella Link,NA,Begoniaceae,species,accepted,Begonia hirtella,LC,,Begonia hirtella,BR-BA|BR-ES|BR-MG|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Begonia,hirtella,NA,correct
Begonia hispida,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,5632,Begonia hispida Schott,NA,Begoniaceae,species,accepted,Begonia hispida,LC,,Begonia hispida,BR-PR|BR-RJ|BR-SC|BR-SP,Begonia,hispida,NA,correct
Begonia huegelii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,5635,Begonia huegelii (Klotzsch) A.DC.,NA,Begoniaceae,species,accepted,Begonia huegelii,LC,,Begonia huegelii,BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP,Begonia,huegelii,NA,correct
Begonia ibitiocensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5636,Begonia ibitiocensis E.L.Jacques & Mamede,NA,Begoniaceae,species,accepted,Begonia ibitiocensis,EN,,Begonia ibitiocensis,BR-ES|BR-RJ,Begonia,ibitiocensis,NA,correct
Begonia inconspicua,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,5638,Begonia inconspicua Brade,NA,Begoniaceae,species,accepted,Begonia inconspicua,CR,,Begonia inconspicua,BR-ES,Begonia,inconspicua,NA,correct
Begonia integerrima,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,5640,Begonia integerrima Spreng.,NA,Begoniaceae,species,accepted,Begonia integerrima,LC,,Begonia integerrima,BR-ES|BR-MG|BR-RJ|BR-SP,Begonia,integerrima,NA,correct
Begonia itaguassuensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5642,Begonia itaguassuensis Brade,NA,Begoniaceae,species,accepted,Begonia itaguassuensis,EN,,Begonia itaguassuensis,BR-BA|BR-ES|BR-PE|BR-RJ,Begonia,itaguassuensis,NA,correct
Begonia itatinensis,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,5644,Begonia itatinensis Irmsch. ex Brade,NA,Begoniaceae,species,accepted,Begonia itatinensis,EN,,Begonia itatinensis,BR-RJ|BR-SC|BR-SP,Begonia,itatinensis,NA,correct
Begonia jureiensis,sima-cncflora_web-Portaria 443/2014,CR,NA,NA,NA,NA,CR,NA,NA,CR,5648,Begonia jureiensis S.J.Gomes da Silva & Mamede,NA,Begoniaceae,species,accepted,Begonia jureiensis,CR,,Begonia jureiensis,BR-SP,Begonia,jureiensis,NA,correct
Begonia klydophylla,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found,Begonia klydophylla,NA,NA,NA,NA,NA
Begonia kuhlmannii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5650,Begonia kuhlmannii Brade,NA,Begoniaceae,species,accepted,Begonia kuhlmannii,EN,,Begonia kuhlmannii,BR-ES,Begonia,kuhlmannii,NA,correct
Begonia larorum,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,EX,EX,NA,CR,NA,NA,CR,5653,Begonia larorum L.B.Sm. & Wassh.,NA,Begoniaceae,species,accepted,Begonia larorum,CR,,Begonia larorum,BR-SP,Begonia,larorum,NA,correct
Begonia obscura,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,5672,Begonia obscura Brade,NA,Begoniaceae,species,accepted,Begonia obscura,DD,,Begonia obscura,BR-ES,Begonia,obscura,NA,correct
Begonia organensis,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,5676,Begonia organensis Brade,NA,Begoniaceae,species,accepted,Begonia organensis,EN,,Begonia organensis,BR-RJ|BR-SP,Begonia,organensis,NA,correct
Begonia paranaensis,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,5679,Begonia paranaensis Brade,NA,Begoniaceae,species,accepted,Begonia paranaensis,EN,,Begonia paranaensis,BR-PR|BR-SC|BR-SP,Begonia,paranaensis,NA,correct
Begonia paulensis,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,VU,VU,NA,EN,NA,NA,EN,5683,Begonia paulensis A.DC.,NA,Begoniaceae,species,accepted,Begonia paulensis,EN,,Begonia paulensis,BR-MG|BR-RJ|BR-SP,Begonia,paulensis,NA,correct
Begonia perdusenii,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,5686,Begonia perdusenii Brade,NA,Begoniaceae,species,accepted,Begonia perdusenii,EN,,Begonia perdusenii,BR-MS|BR-PR|BR-SC|BR-SP,Begonia,perdusenii,NA,correct
Begonia piresiana,sima-SP_oficial-CR_Lac-cncflora_web-Portaria 443/2014,CR,NA,VU,VU,CR,CR,NA,NA,CR,5693,Begonia piresiana Handro,NA,Begoniaceae,species,accepted,Begonia piresiana,CR,,Begonia piresiana,BR-SP,Begonia,piresiana,NA,correct
Begonia pluvialis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5695,Begonia pluvialis L.B.Sm. ex S.F.Sm. & Wassh.,NA,Begoniaceae,species,accepted,Begonia pluvialis,EN,,Begonia pluvialis,BR-PR,Begonia,pluvialis,NA,correct
Begonia polygonifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5697,Begonia polygonifolia A.DC.,NA,Begoniaceae,species,accepted,Begonia polygonifolia,EN,,Begonia polygonifolia,BR-BA|BR-ES,Begonia,polygonifolia,NA,correct
Begonia radicans,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,5701,Begonia radicans Vell.,NA,Begoniaceae,species,accepted,Begonia radicans,LC,,Begonia radicans,BR-BA|BR-ES|BR-PR|BR-RJ|BR-SC|BR-SP,Begonia,radicans,NA,correct
Begonia rufa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,27523,Begonia rufa Thunb.,NA,Begoniaceae,species,accepted,Begonia rufa,LC,,Begonia rufa,BR-ES|BR-MG|BR-RJ|BR-SP,Begonia,rufa,NA,correct
Begonia ruschii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,5709,Begonia ruschii L.Kollmann,NA,Begoniaceae,species,accepted,Begonia ruschii,CR,,Begonia ruschii,BR-ES,Begonia,ruschii,NA,correct
Begonia salesopolensis,sima-cncflora_web-Portaria 443/2014,CR,NA,NA,NA,NA,CR,NA,NA,CR,5711,Begonia salesopolensis S.J.Gomes da Silva & Mamede,NA,Begoniaceae,species,accepted,Begonia salesopolensis,CR,,Begonia salesopolensis,BR-SP,Begonia,salesopolensis,NA,correct
Begonia santoslimae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5713,Begonia santoslimae Brade,NA,Begoniaceae,species,accepted,Begonia santoslimae,EN,,Begonia santoslimae,BR-ES|BR-RJ,Begonia,santoslimae,NA,correct
Begonia scharffii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,5716,Begonia scharffii Hook.,NA,Begoniaceae,species,accepted,Begonia scharffii,CR,,Begonia scharffii,BR-SC,Begonia,scharffii,NA,correct
Begonia smilacina,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,80779,Begonia glabra Aubl.,NA,Begoniaceae,species,accepted,Begonia glabra,EN,replaced synonym,Begonia smilacina,BR-AC|BR-AM|BR-AP|BR-BA|BR-ES|BR-PA|BR-RO,Begonia,glabra,NA,correct
Begonia stenolepis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5725,Begonia stenolepis L.B.Sm. & R.C.Sm.,NA,Begoniaceae,species,accepted,Begonia stenolepis,EN,,Begonia stenolepis,BR-PR|BR-SC,Begonia,stenolepis,NA,correct
Begonia succulenta,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found,Begonia succulenta,NA,NA,NA,NA,NA
Begonia sylvatica,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5729,Begonia sylvatica Meisn. ex A.DC.,NA,Begoniaceae,species,accepted,Begonia sylvatica,EN,,Begonia sylvatica,BR-BA,Begonia,sylvatica,NA,correct
Begonia tibagiensis,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found,Begonia tibagiensis,NA,NA,NA,NA,NA
Begonia toledoana,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,5730,Begonia toledoana Handro,NA,Begoniaceae,species,accepted,Begonia toledoana,EN,,Begonia toledoana,BR-SP,Begonia,toledoana,NA,correct
Begonia undulata,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN,5733,Begonia undulata Schott,NA,Begoniaceae,species,accepted,Begonia undulata,EN,,Begonia undulata,BR-RJ|BR-SP,Begonia,undulata,NA,correct
Begonia valdensium,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,5734,Begonia valdensium A.DC.,NA,Begoniaceae,species,accepted,Begonia valdensium,LC,,Begonia valdensium,BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP,Begonia,valdensium,NA,correct
Begonia velloziana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,5735,Begonia velloziana Walp.,Begonia depauperata Schott,Begoniaceae,species,NA,Begonia velloziana,NA,was misspelled|check undefined status,Begonia velloziana,NA,Begonia,velloziana,NA,NOME_APLICACAO_INCERTA
Begonia venosa,sima-cncflora_web-Portaria 443/2014,CR,NA,NA,NA,NA,CR,NA,NA,CR,5736,Begonia venosa Skan ex Hook.,NA,Begoniaceae,species,accepted,Begonia venosa,CR,,Begonia venosa,BR-SP,Begonia,venosa,NA,correct
Begonia vicina,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,5737,Begonia vicina Irmsch.,NA,Begoniaceae,species,accepted,Begonia vicina,EN,,Begonia vicina,BR-PR|BR-SP,Begonia,vicina,NA,correct
Behuria insignis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,NT,NA,NA,616499,Huberia insignis (Cham.) Bochorny & R.Goldenb.,NA,Melastomataceae,species,accepted,Huberia insignis,NA,replaced synonym,Behuria insignis,BR-PR|BR-SP,Huberia,insignis,NA,correct
Behuria parvifolia,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA,616505,Huberia minutifolia Bochorny & R.Goldenb.,NA,Melastomataceae,species,accepted,Huberia minutifolia,NA,replaced synonym,Behuria parvifolia,BR-MG|BR-RJ|BR-SP,Huberia,minutifolia,NA,correct
Beilschmiedia emarginata,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA,8387,Beilschmiedia emarginata (Meisn.) Kosterm.,NA,Lauraceae,species,accepted,Beilschmiedia emarginata,NA,,Beilschmiedia emarginata,BR-PR|BR-RJ|BR-SP,Beilschmiedia,emarginata,NA,correct
Beilschmiedia fluminensis,sima-SP_oficial-cncflora_ckan-UICN_API,NA,NA,VU,VU,NA,EN,EN,NA,NA,8388,Beilschmiedia fluminensis Kosterm.,NA,Lauraceae,species,accepted,Beilschmiedia fluminensis,NA,,Beilschmiedia fluminensis,BR-ES|BR-RJ|BR-SP,Beilschmiedia,fluminensis,NA,correct
Beilschmiedia rigida,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,8390,Beilschmiedia rigida (Mez) Kosterm.,NA,Lauraceae,species,accepted,Beilschmiedia rigida,EN,,Beilschmiedia rigida,BR-BA|BR-ES|BR-RJ,Beilschmiedia,rigida,NA,correct
Belemia fucsioides,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,10902,Belemia fucsioides Pires,NA,Nyctaginaceae,species,accepted,Belemia fucsioides,DD,,Belemia fucsioides,BR-ES|BR-MG,Belemia,fucsioides,NA,correct
Bellucia riparia,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,85206,"Bellucia riparia (Renner) Penneys, Michelangeli, Judd & Almeda",NA,Melastomataceae,species,accepted,Bellucia riparia,NA,,Bellucia riparia,BR-AM,Bellucia,riparia,NA,correct
Bellucia wurdackiana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,138880,"Bellucia wurdackiana (Renner) Penneys, Michelangeli, Judd & Almeda",NA,Melastomataceae,species,accepted,Bellucia wurdackiana,NA,,Bellucia wurdackiana,BR-AM,Bellucia,wurdackiana,NA,correct
Berberis campos-portoi,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,CR,77985,Berberis campos-portoi Brade,NA,Berberidaceae,species,accepted,Berberis campos-portoi,CR|VU,,Berberis campos-portoi,BR-ES|BR-MG|BR-RJ|BR-RS|BR-SC,Berberis,campos-portoi,NA,correct
Bernardia confertifolia,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN,35689,Bernardia pulchella (Baill.) Müll.Arg.,NA,Euphorbiaceae,species,accepted,Bernardia pulchella,EN,replaced synonym,Bernardia confertifolia,BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP,Bernardia,pulchella,NA,correct
Bernardia crassifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,29148,Bernardia crassifolia Müll.Arg.,NA,Euphorbiaceae,species,accepted,Bernardia crassifolia,EN,,Bernardia crassifolia,BR-MG,Bernardia,crassifolia,NA,correct
Bernardia pulchella,sima,EN,NA,NA,NA,NA,NA,NA,NA,NA,35689,Bernardia pulchella (Baill.) Müll.Arg.,NA,Euphorbiaceae,species,accepted,Bernardia pulchella,EN,,Bernardia pulchella,BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP,Bernardia,pulchella,NA,correct
Bernardia similis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,29151,Bernardia similis Pax & K.Hoffm.,NA,Euphorbiaceae,species,accepted,Bernardia similis,DD,,Bernardia similis,BR-MG,Bernardia,similis,NA,correct
Bertholletia excelsa,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU,23424,Bertholletia excelsa Bonpl.,NA,Lecythidaceae,species,accepted,Bertholletia excelsa,VU,,Bertholletia excelsa,BR-AC|BR-AM|BR-AP|BR-MT|BR-PA|BR-RO|BR-RR,Bertholletia,excelsa,NA,correct
Bertolonia angustifolia,sima-SP_oficial-CR_Lac-cncflora_web-Portaria 443/2014,CR,NA,EX,EX,CR,CR,NA,NA,CR,9415,Bertolonia angustifolia Cogn.,NA,Melastomataceae,species,accepted,Bertolonia angustifolia,CR,,Bertolonia angustifolia,BR-SP,Bertolonia,angustifolia,NA,correct
Bertolonia formosa,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,9417,Bertolonia formosa Brade,NA,Melastomataceae,species,accepted,Bertolonia formosa,CR,,Bertolonia formosa,BR-ES,Bertolonia,formosa,NA,correct
Bertolonia foveolata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,9418,Bertolonia foveolata Brade,NA,Melastomataceae,species,accepted,Bertolonia foveolata,EN,,Bertolonia foveolata,BR-ES,Bertolonia,foveolata,NA,correct
Bertolonia hoehneana,sima-CR_Lac-cncflora_web-Portaria 443/2014,CR,NA,NA,NA,CR,CR,NA,NA,CR,9420,Bertolonia hoehneana Brade,NA,Melastomataceae,species,accepted,Bertolonia hoehneana,CR,,Bertolonia hoehneana,BR-SP,Bertolonia,hoehneana,NA,correct
Bertolonia leuzeana,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,VU,VU,NA,EN,NA,NA,EN,9421,Bertolonia leuzeana (Bonpl.) DC.,NA,Melastomataceae,species,accepted,Bertolonia leuzeana,EN,,Bertolonia leuzeana,BR-RJ|BR-SP,Bertolonia,leuzeana,NA,correct
Bertolonia paranaensis,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN,9426,Bertolonia paranaensis (Wurdack) Baumgratz,NA,Melastomataceae,species,accepted,Bertolonia paranaensis,EN,,Bertolonia paranaensis,BR-PR|BR-SP,Bertolonia,paranaensis,NA,correct
Besleria grandifolia,sima,VU,NA,VU,NA,NA,NA,NA,NA,NA,132019,Besleria grandifolia Schott,NA,Gesneriaceae,species,accepted,Besleria grandifolia,VU,,Besleria grandifolia,BR-RJ,Besleria,grandifolia,NA,correct
Besleria meridionalis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,7819,Besleria meridionalis C.V.Morton,NA,Gesneriaceae,species,accepted,Besleria meridionalis,DD,,Besleria meridionalis,BR-MG,Besleria,meridionalis,NA,correct
Besleria umbrosa,sima-SP_oficial-Portaria 443/2014,VU,NA,NA,VU,NA,NA,NA,NA,VU,132019,Besleria grandifolia Schott,NA,Gesneriaceae,species,accepted,Besleria grandifolia,VU,replaced synonym,Besleria umbrosa,BR-RJ,Besleria,grandifolia,NA,correct
Bidens bipinnata,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA,103746,Bidens bipinnata L.,NA,Asteraceae,species,accepted,Bidens bipinnata,LC,,Bidens bipinnata,BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RN|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO,Bidens,bipinnata,NA,correct
Bifrenaria aureofulva,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA,11192,Bifrenaria aureofulva (Hook.) Lindl.,NA,Orchidaceae,species,accepted,Bifrenaria aureofulva,LC,,Bifrenaria aureofulva,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,Bifrenaria,aureofulva,NA,correct
Bifrenaria harrisoniae,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11196,Bifrenaria harrisoniae (Hook.) Rchb.f.,NA,Orchidaceae,species,accepted,Bifrenaria harrisoniae,LC,,Bifrenaria harrisoniae,BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Bifrenaria,harrisoniae,NA,correct
Bifrenaria inodora,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11197,Bifrenaria inodora Lindl.,NA,Orchidaceae,species,accepted,Bifrenaria inodora,LC,,Bifrenaria inodora,BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Bifrenaria,inodora,NA,correct
Bifrenaria leucorrhoda,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,37220,Bifrenaria leucorrhoda Rchb.f.,NA,Orchidaceae,species,accepted,Bifrenaria leucorrhoda,LC,,Bifrenaria leucorrhoda,BR-ES|BR-RJ|BR-SP,Bifrenaria,leucorrhoda,NA,correct
Bifrenaria racemosa,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA,11200,Bifrenaria racemosa (Hook.) Lindl.,NA,Orchidaceae,species,accepted,Bifrenaria racemosa,LC,,Bifrenaria racemosa,BR-ES|BR-RJ|BR-SP,Bifrenaria,racemosa,NA,correct
Bifrenaria silvana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR,11201,Bifrenaria silvana V.P.Castro,NA,Orchidaceae,species,accepted,Bifrenaria silvana,CR,,Bifrenaria silvana,BR-BA,Bifrenaria,silvana,NA,correct
Bifrenaria tetragona,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,11203,Bifrenaria tetragona (Lindl.) Schltr.,NA,Orchidaceae,species,accepted,Bifrenaria tetragona,LC,,Bifrenaria tetragona,BR-PR|BR-RJ|BR-SC|BR-SP,Bifrenaria,tetragona,NA,correct
Bifrenaria tyrianthina,sima-SP_oficial,NA,LC,EW,EW,NA,NA,NA,NA,NA,19977,Bifrenaria tyrianthina (Lodd. ex Loudon) Rchb.f.,NA,Orchidaceae,species,accepted,Bifrenaria tyrianthina,LC,,Bifrenaria tyrianthina,BR-BA|BR-MG,Bifrenaria,tyrianthina,NA,correct
Bifrenaria wittigii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,11205,Bifrenaria wittigii (Rchb.f.) Hoehne,NA,Orchidaceae,species,accepted,Bifrenaria wittigii,EN,,Bifrenaria wittigii,BR-ES,Bifrenaria,wittigii,NA,correct
Billbergia alfonsi-joannis,SP_oficial,NA,NA,NA,VU,NA,NA,NA,NA,NA,5921,Billbergia alfonsijoannis Reitz,NA,Bromeliaceae,species,accepted,Billbergia alfonsijoannis,LC,was misspelled,Billbergia alfonsi-joannis,BR-ES|BR-MG|BR-PR|BR-SC,Billbergia,alfonsijoannis,NA,correct
Billbergia alfonsijoannis,sima,NA,LC,VU,NA,NA,NA,NA,NA,NA,5921,Billbergia alfonsijoannis Reitz,NA,Bromeliaceae,species,accepted,Billbergia alfonsijoannis,LC,,Billbergia alfonsijoannis,BR-ES|BR-MG|BR-PR|BR-SC,Billbergia,alfonsijoannis,NA,correct
Billbergia brasiliensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN,5924,Billbergia brasiliensis L.B.Sm.,NA,Bromeliaceae,species,accepted,Billbergia brasiliensis,EN,,Billbergia brasiliensis,BR-RJ,Billbergia,brasiliensis,NA,correct
Billbergia distachia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA,5927,Billbergia distachia (Vell.) Mez,NA,Bromeliaceae,species,accepted,Billbergia distachia,LC,,Billbergia distachia,BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,Billbergia,distachia,NA,correct
Billbergia lietzei,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,5935,Billbergia lietzei E.Morren,NA,Bromeliaceae,species,accepted,Billbergia lietzei,DD,,Billbergia lietzei,BR-ES,Billbergia,lietzei,NA,correct
Billbergia macrocalyx,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA,5938,Billbergia macrocalyx Hook.,NA,Bromeliaceae,species,accepted,Billbergia macrocalyx,DD,,Billbergia macrocalyx,BR-BA|BR-MG,Billbergia,macrocalyx,NA,correct
Billbergia magnifica,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA,5939,Billbergia magnifica Mez,NA,Bromeliaceae,species,accepted,Billbergia magnifica,LC,,Billbergia magnifica,BR-PR,Billbergia,magnifica,NA,correct
Billbergia meyeri,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA,5940,Billbergia meyeri Mez,NA,Bromeliaceae,species,accepted,Billbergia meyeri,LC,,Billbergia meyeri,BR-GO|BR-MG|BR-MT|BR-RO|BR-SP,Billbergia,meyeri,NA,correct
