"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"50","2012-10-29 15:56:00-02","MO","MOBOT","100537193","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","A. Lliullty (HSB",NA,NA,NA,"Ariel Lliully|J. Vedia","2007","9","22","Bolivia","Tarija","Gran Chaco","Gran Chaco, Municipio de Carapari, P.N. y Area de Manejo Integrado de la Serranía de Aguarague. Alrededores de la comunidad de Nazareno.","-63.6912222","-21.6629444",NA,NA,NA,NA,NA,NA,NA,"Lliully 925","South America","980.00000000",NA,NA,NA,NA,NA,"1",NA
"51","2014-03-11 10:50:00-03","MO","MOBOT","100569388","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","G.A. Parada (USZ), 2013",NA,NA,NA,"G.A. Parada|Y. Inturias|M.T. Martinez|H. Fernandez","2013","2","2","Bolivia","Santa Cruz","Vallegrande","Alrededores del río piojerilla.","-63.8291667","-18.4447222",NA,NA,NA,NA,NA,NA,NA,"Parada-Gutierrez 5394","South America","1927.00000000",NA,NA,NA,NA,NA,"1","13-21"
"52","2014-03-11 12:07:00-03","MO","MOBOT","100569400","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","G.A. Parada (USZ), 2013",NA,NA,NA,"G.A. Parada|Y. Inturias|M.T. Martinez|H. Fernandez","2013","2","2","Bolivia","Santa Cruz","Vallegrande","Alrededores del río piojerilla.","-63.8291667","-18.4447222",NA,NA,NA,NA,NA,NA,NA,"Parada-Gutierrez 5417","South America","1927.00000000",NA,NA,NA,NA,NA,"1","13-21"
"53","2012-01-20 05:01:00-02","MO","MOBOT","1295363","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","F. Mereles, Mar",NA,NA,NA,"Edwin Narváez|Wilson Quizhpe|Mariana Mites","1998","10","9","Ecuador","Napo","Tena","Parque Nacional Llanganates, 300 m al noroeste de la Laguna de Yanacocha, sector San Martín. Páramo húmedo y vegetación arbustiva. Roca metamórfica. Guía: Amable Saravia.","-78.31666","-1.08333",NA,NA,NA,NA,NA,NA,NA,"Narváez 199","South America","3600.00000000",NA,NA,NA,NA,NA,NA,NA
"54","2008-05-27 22:02:00-03","MO","MOBOT","1520278","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","F. Mereles, Mar",NA,NA,NA,"Manuel Rimachi Y.","1980","3","21","Peru","Huánuco","Huánuco","Dtto. Chinchao; along margin of highway from Chinchao",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rimachi Y. 4966","South America","2000.00000000",NA,NA,NA,NA,NA,NA,NA
"55","2013-06-27 05:46:00-03","MO","MOBOT","1520279","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","F. Mereles, Mar",NA,NA,NA,"Rodrigo Duno de Stefano|et al.","1999","4","2","Venezuela","Trujillo",NA,"Mpio. Carache, P.N. Dinira, arriba de Mesa Arriba, cumbre del pico Cendé y laderas. Vegetación abierta con muchos afloramientos rocosos dominada por gramíneas y compuestas, algunos arbustos muy perqueños.","-70.1166667","9.5333333",NA,NA,NA,NA,NA,NA,NA,"Duno de Stefano 805","South America","3330.00000000","3350.00000000",NA,NA,NA,NA,"1",NA
"56","2008-05-27 22:02:00-03","MO","MOBOT","2074561","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","fide Foster's cards",NA,NA,NA,"G. Mandon","1848",NA,NA,"Bolivia","La Paz","Larecaja","Between Cochapata y Milipaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandon 1413","South America",NA,NA,NA,NA,NA,NA,NA,NA
"57","2009-08-21 04:37:00-03","MO","MOBOT","2195506","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Guaglianone, E. R.",NA,NA,NA,"Norma B. Deginani|Manuel J. Belgrano|R.J. Zuloaga","2000","3","3","Argentina","Misiones","Guaraní","Predio Previsión Social, Arroyo Tambero","-54.21666","-26.85",NA,NA,NA,NA,NA,NA,NA,"Deginani 1586","South America","480.00000000",NA,NA,NA,NA,NA,NA,NA
"58","2009-08-21 06:32:00-03","MO","MOBOT","2457835","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Guaglianone, E. R.",NA,NA,NA,"Balduino Rambo",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,"Bom Jesus. Passo da Guarda prope Bom Jesus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rambo 51835","South America",NA,NA,NA,NA,NA,NA,NA,NA
"59","2013-12-01 05:44:00-02","MO","MOBOT","2481243","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"Ernesto Barros","1953","2","8","Chile","O'Higgins","Colchagua","El Flaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barros 9790","South America",NA,NA,NA,NA,NA,NA,NA,NA
"60","2010-01-29 20:51:00-02","MO","MOBOT","2515689","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"W.G. Herter",NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herter 612","South America",NA,NA,NA,NA,NA,NA,NA,NA
"61","2015-08-12 05:58:00-03","MO","MOBOT","2633540","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"H. Balslev","1981","1","1","Ecuador","Loja",NA,"Below Cangonamá towards Panamerican Highway west of Catacocha. Hedges and roadside.","-79.7","-3.98333",NA,NA,NA,NA,NA,NA,NA,"Balslev 1339","South America","1800.00000000","2000.00000000",NA,NA,NA,NA,NA,NA
"62","2009-08-03 16:57:00-03","MO","MOBOT","3068128","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","H.K. Svenson",NA,NA,NA,"Walter J. Eyerdam|Alan A. Beetle","1938","10","3","Argentina","Jujuy",NA,"Rio Zapala, 25 km east of Jujuy; gravelly bank of stream in slow or standing water or on moist banks. Pioneer on streambanks, forming dense mats and making an excellent soil binder in the loose gravel. Associated with Hydrocotyle, Ranunculus, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eyerdam 22380","South America","1250.00000000",NA,NA,NA,NA,NA,NA,NA
"63","2009-07-10 17:57:00-03","MO","MOBOT","3068130","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"Troels M. Pedersen","1952","11","9","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pedersen 1894","South America",NA,NA,NA,NA,NA,NA,NA,NA
"64","2020-06-15 15:30:10-03","UNESP-RC","HRCB","43521","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir) Kunt","Rambo",NA,NA,NA,"Daniel, L.","1953","11","20","Brasil","Rio Grande do Sul","Augusto Pestana",NA,"-53.9921989440918","-28.5168991088867",NA,NA,"Erva perene, flor verde",NA,NA,NA,NA,"748",NA,NA,NA,NA,"15366","auto",NA,NA,NA
"65","2020-06-15 15:30:10-03","UNESP-RC","HRCB","46923","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunt","Pivetta",NA,NA,NA,"Daniel, L.","1966","09","28","Brasil","Rio Grande do Sul","Augusto Pestana","Fundo Grande","-53.9921989440918","-28.5168991088867",NA,NA,"Erva perene, flor verde",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"15366","auto",NA,NA,NA
"66","2020-09-12 05:00:02-03","US","US","2169491","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"T. Pederson","1954","10","22","Argentina","Corrientes",NA,"Estancia Garruchos, Dep. Santo Tome",NA,NA,NA,NA,NA,"US02097076","US02097076_01",NA,"Cyperales","2935","South America",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"67","2020-09-12 05:00:02-03","US","US","2702899","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"E. Cerrate, J. Gómez & B. Ojeda","1968","4","14","Peru","Lima",NA,"Depto.: Lima, Prov. Huarochiri, Pacomanta, distrito de Mariatana",NA,NA,NA,NA,NA,"US02097070","US02097070_01",NA,"Cyperales","4776","South America - Neotropics","3700",NA,NA,NA,NA,"Monocotyledonae","1",NA
"68","2020-09-12 05:00:02-03","US","US","2170227","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"T. Pederson","1952","11","9","Argentina","Corrientes",NA,"Estancia Santa Teresa, Dep. Mburucuya",NA,NA,NA,NA,NA,"US02097077",NA,NA,"Cyperales","1894","South America",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"69","2020-09-12 05:00:02-03","US","US","3490788","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"M. Lillo","1913","10","2","Argentina","Tucuman",NA,"Prov. de Tucuman, Dep. Chicligasta, Yacuchire",NA,NA,NA,NA,NA,"US02097068",NA,NA,"Cyperales","15542","South America",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"70","2020-09-12 05:00:02-03","US","US","3136079","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"M. Rimachi Y.","1980","3","21","Peru","Huánuco",NA,"Dtto. Chinchao, along margin of highway from Chinchao.",NA,NA,NA,NA,NA,"US03272789",NA,NA,"Cyperales","4966","South America - Neotropics","2000",NA,NA,NA,NA,"Monocotyledonae","1",NA
"71","2020-09-12 05:00:02-03","US","US","3162520","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"J. Arechavaleta",NA,"11",NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,NA,NA,"US02097075",NA,NA,"Cyperales","s.n.","South America",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"72","2020-09-12 05:00:02-03","US","US","2742982","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"L. Smith & R. Reitz","1965","1","5","Brazil","Santa Catarina",NA,"Santa Catarina, Mun. Sao Joaquim: near Encruzilhada de Boava, 8 km south of Sao Joaquim","-49.93","-28.33",NA,NA,NA,"US02097073","US02097073_01",NA,"Cyperales","14269","South America","1300",NA,NA,NA,NA,"Monocotyledonae","1",NA
"73","2020-09-12 05:00:02-03","US","US","3441832","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"N. Deginani","2000","3","3","Argentina","Misiones",NA,"Misiones. Dpto. Guarari, Predio Presion, Solid, Arroyo Tambeo [interpreted]","-54.22","-26.85",NA,NA,NA,"US02097069","US02097069_01",NA,"Cyperales","1586","South America",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"74","2020-09-12 05:00:02-03","US","US","2509192","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"G. Hatschbach","1966","9","18","Brazil","Paraná",NA,"Parana (Brasil), Mun. Curitiba, Pinhaes",NA,NA,NA,NA,NA,"US02097072","US02097072_01",NA,"Cyperales","14734","South America",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"75","2020-09-12 05:00:02-03","US","US","3129168","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"L. G. Clark & X. Londoño","1988","2","3","Colombia","Nariño",NA,"Narino: Mpio. Arboleda, Quebrada El Guarapo, Puente Rojo, 2.2 km above Cartago on the La Union-Pasto road","-77.08","1.53",NA,NA,NA,"US02097071",NA,NA,"Cyperales","393","South America - Neotropics","2300",NA,NA,NA,NA,"Monocotyledonae","1",NA
"76","2020-09-12 05:00:02-03","US","US","3454850","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth",NA,NA,NA,NA,"G. Hatschbach, M. M. Hatschbach & E. Barbosa","2003","10","18","Brazil","Mato Grosso do Sul",NA,"Estrada entre a Rod. BR- 060 e Santo Antônio (Mun. Bela Vista).",NA,NA,NA,NA,NA,"US03272788","US03272788_01",NA,"Cyperales","76498","South America - Neotropics",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"77","2019-11-13 11:18:39-03","USP","SPF","138887","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Anônimo",NA,NA,NA,"Rodrigues, AC","1997","09","09","Brasil","Mato Grosso do Sul","Corumbá","Pantanal do miranda-Abobral. Logo depois da curva do Leque.","-57.6533012390137","-19.0091991424561",NA,NA,NA,"SPF00138887",NA,NA,NA,"13",NA,NA,NA,NA,"295160","auto",NA,NA,NA
"78","2020-03-05 13:57:24-03","UEL","FUEL","48551","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Trevisan, R","2013","06","04","Francisco, EM","2010","10","25","Brasil","Paraná","Assaí","Café Forte, Bordado rio Tibagi","-50.9955","-23.390556","-50.9955","-23.390556",NA,"FUEL019918",NA,"Tracheophyta","Poales","435",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2020-11-12 17:02:29-03","UEL","FUEL","35443","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Trevisan, R","2008","01","15","Vanzela, ALL","2003","08","21","Brasil","Paraná","Londrina","Fazenda Figueira, Ponte do Rio Taquara","-51.1627998352051","-23.3103008270264",NA,NA,NA,"FUEL019919",NA,"Tracheophyta","Poales","s.n.",NA,NA,NA,NA,"63728","auto",NA,NA,NA
"80","2019-11-01 15:14:05-03","UnB","UB","160494","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Barros, M","1960",NA,NA,"Vianna, S","1896","01","08","Brasil","Rio de Janeiro","Itatiaia","Monte Itatiaia. Base das Agulhas Negras. Ca. 2500 m alt. Às margens de uma lagoa, dentro d'água a 5 cm de profundidade.","-44.5633010864258","-22.4960994720459",NA,NA,NA,"UB0007978","UB0007978","Monocotyledonae",NA,"57","Southern America","2500","2500",NA,"19648","auto",NA,NA,NA
"81","2020-08-20 14:59:07-03","UFSC","FLOR","62000","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Trevisan, R.","2012","12","01","Trevisan, R.","2012","12","01","Brasil","Santa Catarina","Urubici","Às margnes da estrada de acesso ao Morro da Igreja.","-49.506389","-28.065278","49º30'23''W","28º3'55''S",NA,"FLOR0062000","FLOR0062000",NA,"Poales","1262a",NA,"1365","1365",NA,NA,NA,NA,NA,NA
"82","2021-02-08 12:51:25-03","UFRGS","ICN","137058","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R",NA,NA,NA,"Bona, C","2005","02","22","Brasil","PR","General Carneiro","Banhado do Curicaca","-51.315601348877","-26.4274997711182",NA,NA,"Doação Herbário UPCB.; Herbácea no brejo.","ICN00007542",NA,"Monocotyledon",NA,"263","América do Sul",NA,NA,NA,"33284","auto",NA,NA,NA
"83","2021-02-08 12:51:25-03","UFRGS","ICN","156159","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R","2008","07","25","Grippa, CR; Guimarães, TB","2007","11","21","Brasil","RS","Bom Jesus","rio Socorro","-50.4166984558105","-28.6678009033203",NA,NA,"beira do rio, local ensolarado e bastante alagado","ICN00007545",NA,"Monocotyledon",NA,"189","América do Sul",NA,NA,NA,"55856","auto",NA,NA,NA
"84","2021-02-08 12:51:25-03","UFRGS","ICN","124984","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R","2003","12","17","Hagelund, K","1963","10",NA,"Brasil","RS","Giruá","Granja Sodol","-54.3497009277344","-28.028299331665",NA,NA,NA,"ICN00007548",NA,"Monocotyledon",NA,"1156","América do Sul",NA,NA,NA,"23862","auto",NA,NA,NA
"85","2021-02-08 12:51:25-03","UFRGS","ICN","156153","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R","2008","05","21","Caxambu, MG; Silva, AR","2007","10","05","Brasil","PR","Campo Mourão","Parque Estadual do Lago Azul abaixo do Salto Belo. 24°06'12S 52°19'55W","-52.331944","-24.103333","-52.331944","-24.103333","heliófita; erva reófita","ICN00007543",NA,"Monocotyledon",NA,"1720","América do Sul","568","568",NA,NA,NA,NA,NA,NA
"86","2021-02-08 12:51:25-03","UFRGS","ICN","159813","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R","2005","05","18","Bona, C","2005","02","22","Brasil","PR","General Carneiro","Banhado Curicaca","-51.315601348877","-26.4274997711182",NA,NA,"Doação Herbário UPCB.","ICN00007541",NA,"Monocotyledon",NA,"s.n.","América do Sul",NA,NA,NA,"33284","auto",NA,NA,NA
"87","2021-02-08 12:51:25-03","UFRGS","ICN","159793","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Araujo, AC",NA,NA,NA,"Cervi, AC; et al.","2004","09","30","Brasil","PR","General Carneiro","Indústria Pizzato Lagoa Filtro 3","-51.315601348877","-26.4274997711182",NA,NA,"Doação Herbário UPCB.; Planta aquática; brejo.","ICN00019562","ICN00019562 ICN00019562_1","Monocotyledon",NA,"s.n.","América do Sul",NA,NA,NA,"33284","auto",NA,NA,NA
"88","2021-02-08 12:51:25-03","UFRGS","ICN","156155","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R","2008","07","25","Grippa, CR; Guimarães, TB","2008","02","19","Brasil","RS","Bom Jesus","rio Socorro","-50.4166984558105","-28.6678009033203",NA,NA,"encontrada na margem e em ilha de vegetação no meio do rio. Local ensolarado","ICN00007544",NA,"Monocotyledon",NA,"188","América do Sul",NA,NA,NA,"55856","auto",NA,NA,NA
"89","2021-02-08 12:51:25-03","UFRGS","ICN","166536","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R","2011","01","25","San Martin, JAB","2010","12","09","Brasil","RS","Derrubadas","Parque estadual do Turvo","-53.8608016967773","-27.2646999359131",NA,NA,NA,"ICN00007547",NA,"Monocotyledon",NA,"s.n.","América do Sul",NA,NA,NA,"18158","auto",NA,NA,NA
"90","2021-02-08 12:51:25-03","UFRGS","ICN","156149","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R","2008","07","25","Guimarães, TB; Grippa, CR","2008","01","22","Brasil","RS","Esmeralda","rio Tigre","-51.190299987793","-28.0536003112793",NA,NA,"encontrado em fenda de rocha, beira do rio","ICN00007540",NA,"Monocotyledon",NA,"1262","América do Sul",NA,NA,NA,"38649","auto",NA,NA,NA
"91","2021-02-08 12:51:25-03","UFRGS","ICN","158534","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","Kunth","Trevisan, R",NA,NA,NA,"Silveira, GH","2008","11","28","Brasil","RS","Muitos Capões","Estação Ecológica de Aracuri. 27°37'30S 52°10'31 6W","-52.175278","-27.625","-52.175278","-27.625","beira de banhado","ICN00007546",NA,"Monocotyledon",NA,"703","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"92","2019-11-21 10:03:26-03","IBt","SP","248510","S","Plantae","Cyperaceae","Eleocharis","radicans","Eleocharis radicans","(Poir.) Kunth","Trevisan, R","2009","06","08","Ludewigs, IYA","1987","10","06","Brasil","São Paulo","Mogi Guaçu","Fazenda Campininha, Martinho Prado, mata do Português","-46.9421997070312","-22.372200012207",NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,"39309","auto",NA,NA,NA
