"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"225","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958039","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Wittig|Glaziou, A.","1878","4","20","Brasil",NA,NA,"Brésil.",NA,NA,NA,NA,NA,NA,"Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958039' target='other'> <mi>dwc_moreinfo</mi></a>","P01958039","P01958039_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958041","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Gardner",NA,NA,NA,"Brasil","Minas Gerais",NA,"Brésil. Minas",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958041' target='other'> <mi>dwc_moreinfo</mi></a>","P01958041","P01958041_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"610",NA
"227","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958042","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Ferreira",NA,NA,NA,"Brasil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958042' target='other'> <mi>dwc_moreinfo</mi></a>","P01958042","P01958042_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958043","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Claussen",NA,NA,NA,"Brasil","Minas Gerais",NA,"Brésil, Minas Geraes.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958043' target='other'> <mi>dwc_moreinfo</mi></a>","P01958043","P01958043_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"218",NA
"229","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958044","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Beyrich","1823","5","1","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958044' target='other'> <mi>dwc_moreinfo</mi></a>","P01958044","P01958044_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA
"230","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958045","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958045' target='other'> <mi>dwc_moreinfo</mi></a>","P01958045","P01958045_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958046","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Glaziou, A.","1884","1","1","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958046' target='other'> <mi>dwc_moreinfo</mi></a>","P01958046","P01958046_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9568",NA
"232","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958047","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Endlicher",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pohl v. Schul (comm. Wien) <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958047' target='other'> <mi>dwc_moreinfo</mi></a>","P01958047","P01958047_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958048","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Gomez","1816","1","1","Brasil","Rio de Janeiro",NA,"Rio Janeiro.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958048' target='other'> <mi>dwc_moreinfo</mi></a>","P01958048","P01958048_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","2015-09-03 19:04:42-03","MNHN","RECOLNAT_MNHN_P","P01958040","PreservedSpecimen",NA,"Lauraceae","Nectandra","mollis","Nectandra mollis","(Kunth) Nees",NA,"Glaziou, A.","1868","3","13","Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. Rio Jan. Jacarepagua","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01958040' target='other'> <mi>dwc_moreinfo</mi></a>","P01958040","P01958040_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,"2676",NA
"235","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983945","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Riedel","1870","1","1","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983945' target='other'> <mi>dwc_moreinfo</mi></a>","P01983945","P01983945_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"482",NA
"236","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983946","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Martius",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983946' target='other'> <mi>dwc_moreinfo</mi></a>","P01983946","P01983946_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169",NA
"237","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983947","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Martius",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbar Florae Brasil nº 169. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983947' target='other'> <mi>dwc_moreinfo</mi></a>","P01983947","P01983947_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169",NA
"238","2015-09-29 05:37:38-03","MNHN","RECOLNAT_MNHN_P","P00128743","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","Rohwer","Bonpland, A.J.A.",NA,NA,NA,"Colombie",NA,NA,"Habitat in monte Quindice",NA,NA,NA,NA,NA,NA,"Herbier donné par M. Bonpland en 1833 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128743' target='other'> <mi>dwc_moreinfo</mi></a>","P00128743","P00128743_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","2015-09-29 05:37:57-03","MNHN","RECOLNAT_MNHN_P","P00128744","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","Rohwer","Bonpland, A.J.A.",NA,NA,NA,"Colombie",NA,NA,"Habitat in monte Quindice",NA,NA,NA,NA,NA,NA,"Herbier de l'Amérique Equatoriale, donné par M. A. Bonpland. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128744' target='other'> <mi>dwc_moreinfo</mi></a>","P00128744","P00128744_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","2015-09-03 18:54:56-03","MNHN","RECOLNAT_MNHN_P","P00128745","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","Rohwer","Bonpland, A.J.A.",NA,NA,NA,"Colombie",NA,NA,"Habitat in monte Quindice",NA,NA,NA,NA,NA,NA,"Herbier de l'Amérique Equatoriale, donné par M. A. Bonpland <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128745' target='other'> <mi>dwc_moreinfo</mi></a>","P00128745","P00128745_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","2015-09-22 04:20:00-03","MNHN","RECOLNAT_MNHN_P","P00128746","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","Rohwer","Bonpland, A.J.A.",NA,NA,NA,"Colombie",NA,NA,"Habitat in monte Quindice",NA,NA,NA,NA,NA,NA,"Herbier de l'Amérique Equatoriale, donné par M. A. Bonpland <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128746' target='other'> <mi>dwc_moreinfo</mi></a>","P00128746","P00128746_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","2015-09-22 04:30:27-03","MNHN","RECOLNAT_MNHN_P","P00571439","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Pavon, J.A.",NA,NA,NA,"Pérou",NA,NA,"Peruvia",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00571439' target='other'> <mi>dwc_moreinfo</mi></a>","P00571439","P00571439_01 P00571439_02",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","2015-09-22 04:30:48-03","MNHN","RECOLNAT_MNHN_P","P00571440","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Pavon, J.A.",NA,NA,NA,"Pérou",NA,NA,"Peruvia",NA,NA,NA,NA,NA,NA,"Provenant de l'herbier Pavon (1868 n° 36). <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00571440' target='other'> <mi>dwc_moreinfo</mi></a>","P00571440","P00571440_01 P00571440_02",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","2015-09-18 06:12:49-03","MNHN","RECOLNAT_MNHN_P","P00571441","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Pavon, J.A.",NA,NA,NA,"Pérou",NA,NA,"Peruvia",NA,NA,NA,NA,NA,NA,"Ruiz legit <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00571441' target='other'> <mi>dwc_moreinfo</mi></a>","P00571441","P00571441_01 P00571441_02",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","2015-07-31 13:31:44-03","MNHN","RECOLNAT_MNHN_P","P00662847","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","Allen","Dombey, J.",NA,NA,NA,"Pérou",NA,NA,"s.loc.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00662847' target='other'> <mi>dwc_moreinfo</mi></a>","P00662847","P00662847_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","2015-09-29 05:40:03-03","MNHN","RECOLNAT_MNHN_P","P00745316","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Poeppig, E.F.","1832",NA,NA,"Pérou",NA,NA,"Cuchero",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745316' target='other'> <mi>dwc_moreinfo</mi></a>","P00745316","P00745316_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1237",NA
"247","2015-09-29 05:40:07-03","MNHN","RECOLNAT_MNHN_P","P00745317","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Poeppig, E.F.","1832",NA,NA,"Pérou",NA,NA,"Cuchero",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745317' target='other'> <mi>dwc_moreinfo</mi></a>","P00745317","P00745317_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1237",NA
"248","2015-09-29 05:40:10-03","MNHN","RECOLNAT_MNHN_P","P00745318","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Poeppig, E.F.","1832",NA,NA,"Pérou",NA,NA,"Cuchero",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745318' target='other'> <mi>dwc_moreinfo</mi></a>","P00745318","P00745318_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1237",NA
"249","2015-09-29 05:40:23-03","MNHN","RECOLNAT_MNHN_P","P00745319","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Poeppig, E.F.","1832",NA,NA,"Pérou",NA,NA,"Cuchero",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745319' target='other'> <mi>dwc_moreinfo</mi></a>","P00745319","P00745319_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1237",NA
"250","2015-09-29 05:40:27-03","MNHN","RECOLNAT_MNHN_P","P00745320","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Dombey, J.",NA,NA,NA,"Pérou",NA,NA,"Cochero",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745320' target='other'> <mi>dwc_moreinfo</mi></a>","P00745320","P00745320_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"198",NA
"251","2015-09-29 06:05:18-03","MNHN","RECOLNAT_MNHN_P","P00745321","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Dombey, J.",NA,NA,NA,"Pérou",NA,NA,"Cochero",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745321' target='other'> <mi>dwc_moreinfo</mi></a>","P00745321","P00745321_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"198",NA
"252","2015-09-29 05:40:32-03","MNHN","RECOLNAT_MNHN_P","P00745322","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Matthews, W.A.",NA,NA,NA,"Perou",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745322' target='other'> <mi>dwc_moreinfo</mi></a>","P00745322","P00745322_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3032",NA
"253","2015-09-29 04:10:21-03","MNHN","RECOLNAT_MNHN_P","P00745323","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Matthews, W.A.",NA,NA,NA,"Perou",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745323' target='other'> <mi>dwc_moreinfo</mi></a>","P00745323","P00745323_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3032",NA
"254","2015-09-29 05:40:41-03","MNHN","RECOLNAT_MNHN_P","P00745324","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Gardner, G.",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745324' target='other'> <mi>dwc_moreinfo</mi></a>","P00745324","P00745324_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5154",NA
"255","2015-09-29 05:54:07-03","MNHN","RECOLNAT_MNHN_P","P00745325","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Gardner, G.",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745325' target='other'> <mi>dwc_moreinfo</mi></a>","P00745325","P00745325_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5154",NA
"256","2016-11-09 10:46:29-02","MNHN","RECOLNAT_MNHN_P","P01167732","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","Moraes","Moraes, P.L.R.|Cardoso, D.|Machado, M.","2009","3","31","Brésil",NA,NA,"Minas Gerais, estrada para São Gonçalo do Rio Aabaixo","-43.72111","-18.28361",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01167732' target='other'> <mi>dwc_moreinfo</mi></a>","P01167732","P01167732_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2616",NA
"257","2015-09-03 19:05:21-03","MNHN","RECOLNAT_MNHN_P","P01955376","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Saint-Hilaire, A.","1816","1","1","Brasil","Rio de Janeiro",NA,"Brésil. Province de Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01955376' target='other'> <mi>dwc_moreinfo</mi></a>","P01955376","P01955376_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"390 bis",NA
"258","2015-09-03 19:05:21-03","MNHN","RECOLNAT_MNHN_P","P01955377","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Saint-Hilaire, A. de","1816","1","1","Brasil","São Paulo",NA,"Brésil. Province de Saint-Paul",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01955377' target='other'> <mi>dwc_moreinfo</mi></a>","P01955377","P01955377_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D 602",NA
"259","2015-09-03 19:05:21-03","MNHN","RECOLNAT_MNHN_P","P01955378","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Saint-Hilaire, A.","1816","1","1","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"339 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01955378' target='other'> <mi>dwc_moreinfo</mi></a>","P01955378","P01955378_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D 602",NA
"260","2015-09-03 19:05:21-03","MNHN","RECOLNAT_MNHN_P","P01955379","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Saint-Hilaire, A.","1816","1","1","Brasil","Rio de Janeiro",NA,"Brésil. Province de Rio de Janeiro.",NA,NA,NA,NA,NA,NA,"nº 345. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01955379' target='other'> <mi>dwc_moreinfo</mi></a>","P01955379","P01955379_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1 480",NA
"261","2015-09-03 19:05:21-03","MNHN","RECOLNAT_MNHN_P","P01955380","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Saint-Hilaire, A.","816","11","1","Brasil","Rio de Janeiro",NA,"Brésil. Province de Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01955380' target='other'> <mi>dwc_moreinfo</mi></a>","P01955380","P01955380_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1 480",NA
"262","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983948","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Martius",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983948' target='other'> <mi>dwc_moreinfo</mi></a>","P01983948","P01983948_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169",NA
"263","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983949","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Glaziou","1878","9","16","Brasil","Rio de Janeiro",NA,"Valance",NA,NA,NA,NA,NA,NA,"Donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983949' target='other'> <mi>dwc_moreinfo</mi></a>","P01983949","P01983949_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9568",NA
"264","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983950","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Glaziou, A.","1878","9","16","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983950' target='other'> <mi>dwc_moreinfo</mi></a>","P01983950","P01983950_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9568",NA
"265","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983953","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Glaziou","1868","6","16","Brasil","Rio de Janeiro",NA,"Jacuacanga",NA,NA,NA,NA,NA,NA,"Nome vulgar: canela. Donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983953' target='other'> <mi>dwc_moreinfo</mi></a>","P01983953","P01983953_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2674",NA
"266","2018-07-09 10:25:11-03","MNHN","RECOLNAT_MNHN_P","P01983955","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Glaziou, A.","1871","6","9","Brasil","Rio de Janeiro",NA,"Rezende à Campo Bello",NA,NA,NA,NA,NA,NA,"donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983955' target='other'> <mi>dwc_moreinfo</mi></a>","P01983955","P01983955_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4906",NA
"267","2015-09-03 19:05:21-03","MNHN","RECOLNAT_MNHN_P","P01955381","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Weddell, H.A.","1844","1","1","Brasil","Minas Gerais","Paracatu",NA,"-46.874698638916","-17.2222003936768",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01955381' target='other'> <mi>dwc_moreinfo</mi></a>","P01955381","P01955381_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,"72344","auto",NA,NA,NA,"1044",NA
"268","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983952","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Glaziou, A.","1893","7","31","Brasil","Rio de Janeiro","Nova Friburgo","Brésil. (Rio Jan.) Alto Macahé","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983952' target='other'> <mi>dwc_moreinfo</mi></a>","P01983952","P01983952_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,"33190","auto",NA,NA,NA,"20455",NA
"269","2015-09-03 19:01:43-03","MNHN","RECOLNAT_MNHN_P","P01983951","PreservedSpecimen",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez",NA,"Glaziou|Saldanha|Galvão",NA,NA,NA,"Brasil","Rio de Janeiro","Paraíba do Sul","Parahyba do Sul","-43.2928009033203","-22.1618995666504",NA,NA,NA,NA,"Donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01983951' target='other'> <mi>dwc_moreinfo</mi></a>","P01983951","P01983951_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,"22368","auto",NA,NA,NA,"13149",NA
