"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"54","2016-01-13 12:03:23-02","MNHN","RECOLNAT_MNHN_P","P02198890","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","Saka","Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Brésil (Province de RJ)",NA,NA,"hb","Reçu le 27 mai 1896 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02198890' target='other'> <mi>dwc_moreinfo</mi></a>","P02198890","P02198890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17273",NA
"55","2016-01-12 12:03:40-02","MNHN","RECOLNAT_MNHN_P","P02198891","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","Saka","Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","Reçu le 27 mai 1896 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02198891' target='other'> <mi>dwc_moreinfo</mi></a>","P02198891","P02198891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8040",NA
"56","2015-09-03 20:46:36-03","MNHN","RECOLNAT_MNHN_P","P02202917","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","Saka","Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Brésil. Province de Rio-Janeiro",NA,NA,"hb","Reçu le 4 Octobre 1876 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02202917' target='other'> <mi>dwc_moreinfo</mi></a>","P02202917","P02202917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8041",NA
"57","2015-09-03 20:48:17-03","MNHN","RECOLNAT_MNHN_P","P02199036","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","Saka","Glaziou, A.",NA,"1888","2","20",NA,"Brasil","Rio de Janeiro","Petrópolis","Brésil. Province de Rio J. Serra da Estrella","-43.1786003112793","-22.5049991607666","hb","Reçu le 27 mai 1896 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02199036' target='other'> <mi>dwc_moreinfo</mi></a>","P02199036","P02199036_01",NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,"17273",NA
"58","2016-01-13 12:03:23-02","MNHN","RECOLNAT_MNHN_P","P02198889","PreservedSpecimen",NA,NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","Saka","Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Quinta de São Christovão","-43.2075004577637","-22.9027996063232","hb","Reçu le 27 mai 1896. Plante cultivée <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02198889' target='other'> <mi>dwc_moreinfo</mi></a>","P02198889","P02198889_01",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,"17275",NA
"59","2008-05-27 22:02:00-03","MO","MOBOT","3092618","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","L. Andersson","Gert G. Hatschbach","Hatschbach 33455","1973","12","6","South America","Brazil","Paraná",NA,"Rio Sagrado (mun. Morretes).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2008-05-27 22:02:00-03","MO","MOBOT","3094260","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","L. Anderson","Gert G. Hatschbach","Hatschbach 43648","1981","2","26","South America","Brazil","Paraná",NA,"Cab. Rio Faisqueira (mun. Antonia).",NA,NA,NA,NA,NA,NA,"100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2020-08-31 09:22:13-03","INPA","INPA","142147","S","Plantae","Monocotyledon","Zingiberales","Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Kön.) Borchs. & S.Suárez","Saka, MN","Hatschbach, GG","41952","1979","01","24","Southern America","Brasil","Paraná","Morretes","Rio Bromado. Interior mata pluvial sombria.","-48.834400177002","-25.476900100708",NA,NA,"INPA0142147","INPA0142147 INPA0142147_e INPA0142147_nd",NA,NA,"2014","01","30","30514","auto",NA,NA,NA,NA,NA,NA
"62","2020-07-10 09:47:14-03","MBML","MBML-HERBARIO","40917",NA,"Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","S. Vieira/2011","A. M. Assis; R. S. Cribari & R. Santos","2331","2010","03","23",NA,"Brasil","Espírito Santo","Serra","Mestre Álvaro - vertente sudeste. Próximo a FURNAS. Acesso pelo Bairro Jardim Tropical.","-40.307056","-20.180694",NA,"Erva de 80 cm alt. Inflorescencia com bracteas verdes e flores amareladas. Afloramento de rocha no interior da Mata.","MBML040917","MBML040917_1 MBML040917_2","220","220",NA,NA,NA,NA,NA,"40W18'25,4","20S10'50,5",NA,NA,NA,NA
"63","2020-07-10 09:47:14-03","MBML","MBML-HERBARIO","10176",NA,"Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","M.N. Saka/XII-2012","L. Kollmann; E. Bausen & W. Pizziolo","1959","1999","02","12",NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","-40.681389","-19.805556",NA,"Planta 70cm. Brácteas amarelas.","MBML010176","MBML010176",NA,NA,NA,NA,NA,NA,NA,"40W40'53","19S48'20",NA,NA,NA,NA
"64","2020-07-10 09:47:14-03","MBML","MBML-HERBARIO","9118",NA,"Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","M.N. Saka/IV-2016","L. Kollmann; E. Bausen & W. Pizziolo","1817","1999","02","03",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,"Planta 50cm. Brácteas verdes.","MBML009118","MBML009118",NA,NA,NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA,NA,NA
"65","2020-07-10 09:47:14-03","MBML","MBML-HERBARIO","13926",NA,"Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","M.N. Saka/XII-2012","L. Kollmann; et al","3379","2000","11","23",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego das Palmas","-40.8908004760742","-18.7549991607666",NA,"Erva 40cm na sombra, folhas verde, face adaxial vináceo escura face abaxial. Flores amarelas, brácteas verdes.","MBML013926","MBML013926",NA,NA,NA,NA,NA,"36480","auto",NA,NA,NA,NA,NA,NA
"66","2019-06-10 10:11:05-03","FZB-BH","BHZB","8443","S","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula",NA,"J.M.A, Braga","Ferreira Junior, C.A. et al.",NA,"2011","12","13",NA,"Brasil","MG","Belo Horizonte","FZB-BH - Estufa de Evolução","-43.937801361084","-19.9207992553711",NA,"Face abaxial sedosa com pêlos esbranquiçados. Cultivado.",NA,NA,NA,NA,"2016","06","07","17082","auto",NA,NA,NA,NA,NA,NA
"67","2020-09-12 05:00:02-03","US","US","3076826","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","Andersson, L.","G. Hatschbach","41952","1979","1","24","South America","Brazil","Paraná",NA,"Rio bromado (mun. morretes)",NA,NA,NA,NA,"US00346457","US00346457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1"
"68","2020-09-12 05:00:02-03","US","US","2515463","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","Kennedy, H.","A. F. M. Glaziou","4241",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Prov de rio-janeiro, bresil",NA,NA,NA,NA,"US00346450","US00346450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1"
"69","2020-09-12 05:00:02-03","US","US","3090259","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","aemula","Calathea aemula","Körn.","Andersson, L.","G. Hatschbach","33455","1973","6","12","South America","Brazil","Paraná",NA,"Rio sagrado (mun. morretes)",NA,NA,NA,NA,"US00346451","US00346451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1"
"70","2019-11-13 11:25:08-03","USP","SPF","19579","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.","Vieira, S","Hoehne, W","5598","1964","02","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara. Gávea.","-43.2075004577637","-22.9027996063232",NA,NA,"SPF00019579",NA,NA,NA,"2001","01",NA,"57442","auto",NA,NA,NA,NA,NA,NA
"71","2020-01-14 17:44:53-03","USP","SPF","232046","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S.Suárez","Anônimo","Silva, FA","56","2014","02","24",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Horto.","-43.2075004577637","-22.9027996063232",NA,NA,"SPF00232046",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"72","2019-10-07 09:22:50-03","UEFS","HUEFS","82985","PreservedSpecimen","Plantae","Angiospermae","Zingiberales","Marantaceae","Goeppertia","aemula","Goeppertia aemula","(Körn.) Borchs. & S. Suárez","M.N.Saka","Barbosa, E.","41","1997","01","14",NA,"Brasil","Santa Catarina","Garuva","Fazenda do Rio do Meio","-48.8549995422363","-26.0266990661621",NA,NA,"HUEFS0082985","HUEFS0082985",NA,NA,"2014","10",NA,"22441","auto",NA,NA,"Lilianae",NA,NA,NA
"73","2018-04-19 09:42:07-03","F","FMNH-SEEDPLANTS","V0353995F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Marantaceae","Calathea","aemula","Calathea aemula",NA,"RRC ID Flag","G. Hatschbach","41952","1979","1","24","South America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"V0353995F","V0353995F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,"41952",NA
"74","2020-07-23 12:12:21-03","CEPLAC","CEPEC","8518","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula",NA,"L. Andersson","R. S. Pinheiro","1784","1972","01","27",NA,"Brasil","Bahia","ITAMARAJÚ","Faz. São José de Baixo, marg. Rio Pardo a 22Km da cidade.","-39.5311012268066","-17.0391998291016",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55932","auto",NA,NA,NA,"30/12/1982",NA,NA
"75","2020-07-23 12:12:21-03","CEPLAC","CEPEC","9675","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula",NA,"L. Andersson","T. S. dos Santos","2734","1974","01","23",NA,"Brasil","Bahia","ITAMARAJÚ","Km 5 BR-101, trecho Itamarajú/Eunápolis.","-39.5311012268066","-17.0391998291016",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55932","auto",NA,NA,NA,"30/12/1982",NA,NA
"76","2020-07-23 12:12:21-03","CEPLAC","CEPEC","129104","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula",NA,"J. M. A. Braga","C. M. B. Correia","310",NA,NA,NA,NA,"Brasil","Rio de Janeiro","GUAPIMIRIM",NA,"-42.9818992614746","-22.5372009277344",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,"21463","auto",NA,NA,NA,NA,NA,NA
"77","2021-03-05 18:39:19-03","UFMT","UFMT","729","S","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn",NA,"Duarte; Occhioni, P.","s.n.","1947","02","11",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Município de Gávea","-43.2075004577637","-22.9027996063232",NA,"Doação Herbário do Rio de Janeiro; flores alvas","UFMT00000729",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"78","2017-09-11 17:10:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.",NA,"Glaziou, AFM","4241",NA,NA,NA,"Southern America","Brazil",NA,NA,"pr. Rio de Janeiro",NA,NA,NA,NA,NA,"P03P3N0021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2017-09-11 17:10:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.",NA,"Stewart, JM","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"in sylvis in insula Gubernatore prope Rio de Janeiro locis humidis planis",NA,NA,NA,NA,NA,"P03P3N0021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2017-09-11 17:10:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.",NA,"Glaziou, AFM","4219",NA,NA,NA,"Southern America","Brazil",NA,NA,"pr. Rio de Janeiro",NA,NA,NA,NA,NA,"P03P3N0021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2017-09-11 17:10:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Marantaceae","Calathea","aemula","Calathea aemula","Körn.",NA,"Sello, HL","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in Brasilia austro-orientali inter Campos et Victoria",NA,NA,NA,NA,NA,"P03P3N0021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
