"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","relatedCatalogItem","sex"
"31","2020-12-11 11:43:19-03","UFMG","BHCB","64866","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana",NA,NA,"Lombardi, JA; Dulith, JHA; Semir, J","4475","2001","10","20","Southern America","Brasil","Minas Gerais","Verdelândia","Junto a marca do km 86 da estrada Jaíba/Verdelândia.","-43.619444","-15.431667",NA,"Erva, sob as árvores sem folhas, carnosa, flores brancas, às vezes com nervura central da tépala rosada externamente.; Carrasco, terreno arenoso.","BHCB012360","BHCB012360","2015","06",NA,NA,NA,"-43.619444","-15.431667",NA,NA,NA,NA,NA,NA
"32","2020-12-11 11:43:20-03","UFMG","BHCB","52950","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Hyline","itaobina","Hyline itaobina","Ravenna",NA,"Hatschbach, G","48132","1984","09","13","Southern America","Brasil","Minas Gerais","Itaobim","arredores","-41.5032997131348","-16.5617008209229",NA,"Flor alva; Caatinga","BHCB000191","BHCB000191 BHCB000191_01","1998",NA,NA,"19493","auto",NA,NA,NA,NA,"Isotypus",NA,NA,NA
"33","2020-08-31 09:19:22-03","INPA","INPA","200867","S","Plantae","Monocotyledon","Asparagales","Amaryllidaceae","Hyline","itaobina","Hyline itaobina","Ravenna","Ravenna, PE","Hatschbach, GG","48132","1984","09","13","Southern America","Brasil","Minas Gerais","Itaobim","arredores., Serra de Bocaina.","-41.5032997131348","-16.5617008209229",NA,NA,"INPA0200867","INPA0200867 INPA0200867_e","1998",NA,NA,"19493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-12 08:14:16-03","IMA","MAC","48081","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Ravenna","J.H.A.Dutilh","J.A.Siqueira-Filho; F.S.E.Santo; C.A.Colichini; M.P.Santos","1910","2007","12","20",NA,"Brasil","Bahia","Jaguarari","Lagoa da Onça, Estrada Santa Rosa.","-41.529444","-10.246917",NA,"Erva ca. 30 cm. com bulbos. Flores bissexuadas, alvas, ápice do estigma vináceo, anteras com desicência longitudinal, antese noturna.","MAC0048081",NA,"2008","01","16",NA,NA,"-41.529444","-10.246917",NA,NA,NA,NA,NA,NA
"35","2016-09-13 10:29:08-03","UFPB","EAN","13041","S","Plantae",NA,NA,"Alliaceae","Griffinia","gardneriana","Griffinia gardneriana",NA,"A. Alves-Araújo",NA,"12157","2008","03","18",NA,"Brasil","Paraíba","Areia","CCA","-35.6917","-6.96333",NA,NA,NA,NA,"2009","06","10","15425","auto","36,6°57'6W","-7,5°4555",NA,NA,NA,NA,NA,NA
"36","2016-06-27 16:09:27-03","UFPB","EAN","11694","S","Plantae",NA,NA,"Alliaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Rav.","A. Alves-Araújo",NA,NA,"2006","03","21",NA,"Brasil","Paraíba","Areia.",NA,"-35.6917","-6.96333",NA,NA,NA,NA,"2009","06","10","15425","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-13 10:29:08-03","UFPB","EAN","10476","S","Plantae",NA,NA,"Alliaceae","Griffinia","gardneriana","Griffinia gardneriana","( Herb.) Rao.","A. Alves-Araújo","M. F. Oliveira Pires; L. P. Felix","231","2004","09","04",NA,"Brasil","Tocantíns","Wander Cândia","BR 226",NA,NA,NA,NA,NA,NA,"2009","06","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-09-13 10:29:08-03","UFPB","EAN","13041","S","Plantae",NA,NA,"Alliaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Rav.","A. Alves-Araújo",NA,"12157","2008","03","18",NA,"Brasil","Paraíba","Areia",NA,"-35.6917","-6.96333",NA,NA,NA,NA,"2009","06","10","15425","auto","36,6°57'6W","-7,5°45'55",NA,NA,NA,NA,NA,NA
"39","2016-06-27 16:09:27-03","UFPB","EAN","13042","S","Plantae",NA,NA,"Alliaceae","Griffinia","gardneriana","Griffinia gardneriana","( Herb.) Rao.","A. Alves-Araújo",NA,"12158","2008","03","24",NA,"Brasil","Pernambuco","Águas Belas",NA,"-37.1231","-9.11139",NA,NA,NA,NA,"2009","06","10","36545","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-06-27 16:09:27-03","UFPB","EAN","13042","S","Plantae",NA,NA,"Alliaceae","Griffinia","gardneriana","Griffinia gardneriana","(Herb.) Rav.","A. Alves-Araújo",NA,"12158","2008","03","24",NA,"Brasil","Pernambuco","Águas Belas",NA,"-37.1231","-9.11139",NA,NA,NA,NA,"2009","06","10","36545","auto",NA,NA,NA,NA,NA,NA,NA,NA
