"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","class","order","year","month","day","locality","occurrenceRemarks","imagecode","identifiedBy","stateProvince","relatedCatalogItem","infraspecificEpithet","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","individualCount","minimumElevationInMeters","typeStatus","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","sex"
"36","2009-07-17 07:39:00-03","MO","MOBOT","3390432","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi ypacarayensis","B.L. Rob.","Émile Hassler","Hassler 12154","South America","Paraguay",NA,NA,NA,"1913",NA,NA,"In regione lacus Ypacaray.",NA,NA,NA,"Central",NA,"ypacarayensis",NA,NA,NA,"-57.35","-25.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-09-12 05:00:02-03","US","US","2251068","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","L. Smith & R. M. Klein","11271","South America","Brazil","US01648746","Dicotyledonae","Asterales","1957","2","12","Mun. Lajes: Campo, Estrada da Rodagem Federal km 1, south of Lajes",NA,"US01648746_01",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","900",NA,NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US","3059765","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","G. Hatschbach & F. J. Zelma","49336","South America","Brazil","US01648744","Dicotyledonae","Asterales","1985","4","16","Lagoa Sêca (mun. Guarapuava) Paraná",NA,"US01648744_01",NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","2557854","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","L. Smith & R. M. Klein","11293","South America","Brazil","US01648748","Dicotyledonae","Asterales","1957","2","12","Mun. Lajes: Campo, Estrada da Rodagem Federal km 3 south of Lajes",NA,"US01648748_01",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","900",NA,NA,NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","1193889","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi ypacarayensis","B.L. Rob.","E. Hassler","12154","South America","Paraguay","US00146085","Dicotyledonae","Asterales","1913",NA,NA,"Near Lake Ypacaray.",NA,NA,NA,"Distrito Federal",NA,"ypacarayensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Isotype",NA,NA,NA,NA,NA
"41","2020-09-12 05:00:02-03","US","US","2251038","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","L. Smith & R. Reitz","10019","South America","Brazil","US01648745","Dicotyledonae","Asterales","1957","1","15","Mun. Lajes: Campo, Morro Pinheiro Seco, 3 km east of Lajes",NA,"US01648745_01",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","900",NA,"950",NA,NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","2557995","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","L. Smith & R. M. Klein","11461","South America","Brazil","US01648747","Dicotyledonae","Asterales","1957","2","19","Mun. Xanxerê: Campo, 8 km north of Abelardo Luz",NA,"US01648747_01",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","500",NA,"600",NA,NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","3282550","PreservedSpecimen","Plantae",NA,"Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L. Rob.","J. M. Silva & C. Poliquesi","1133","South America","Brazil","US01648743","Dicotyledonae","Asterales","1992","5","13","Recanto dos Papagaois (mun. Palmeira) Paraná",NA,"US01648743_01",NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"44","2019-09-04 18:48:07-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Stevia","selloi","Stevia selloi",NA,"F. Sellow",NA,"South America","Brazil",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA
"45","2020-11-12 16:58:29-03","UEL","FUEL","9325","PreservedSpecimen","Plantae","Tracheophyta","Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) Sch.Bip.","Frederico, AP","s.n.",NA,"Brasil",NA,NA,"Asterales","1992","02","27","Serra do Puruna",NA,NA,"Nakajima, JN","Paraná",NA,NA,"1993","06","Balsa Nova","-49.6356010437012","-25.5839004516602","27346","auto",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"46","2021-02-08 12:38:35-03","UFRGS","ICN","128101","S","Plantae","Dicotyledon","Asteraceae","Stevia","cf. selloi","Stevia cf. selloi","(Spreng.) B.L. Rob.","Schneider, AA","29","América do Sul","Brasil",NA,NA,NA,"2003","04","01","Itapuã (Beira da Lagoa Negra) Praia de Fora",NA,NA,"Schneider, AA","RS",NA,NA,NA,NA,"Viamão","-51.0233001708984","-30.0811004638672","41667","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-02-08 12:38:35-03","UFRGS","ICN","009829","S","Plantae","Dicotyledon","Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Valls, JFM; Lindeman, JC","s.n.","América do Sul","Brasil",NA,NA,NA,"1972","03","26","Estação Experimental Agronômica da UFRGS.","Em campo alto.",NA,"Nakajima, JN","RS",NA,NA,"1991","02","Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,"04",NA,NA,NA
"48","2021-02-08 12:38:35-03","UFRGS","ICN","201732","S","Plantae","Dicotyledon","Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Christ, AL","684","América do Sul","Brasil",NA,NA,NA,"2019","04","05","PR-340","Subarbusto muito frequente no topo dos paredões. Flores rosadas.; Paredões rochosos na beira da rodovia.",NA,"Christ, AL","PR",NA,NA,"2019",NA,"Castro","-50.158611","-24.765278",NA,NA,NA,NA,NA,"1196",NA,"1196",NA,"-50.158611","-24.765278",NA
"49","2021-02-08 12:38:35-03","UFRGS","ICN","182033","S","Plantae","Dicotyledon","Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Hagelund, K","2016","América do Sul","Brasil",NA,NA,NA,"1964","03",NA,"Granja Sodal",NA,NA,"Matzenbacher, NI","RS",NA,NA,NA,NA,"Giruá","-54.3497009277344","-28.028299331665","23862","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-02-08 12:38:35-03","UFRGS","ICN","041176","S","Plantae","Dicotyledon","Asteraceae","Stevia","selloi","Stevia selloi","(Spreng.) B.L.Rob.","Hagelund, K","3495","América do Sul","Brasil",NA,NA,NA,"1967","03","23","Granja Sodal.",NA,NA,"Matzenbacher, NI","RS",NA,NA,NA,NA,"Giruá","-54.3497009277344","-28.028299331665","23862","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
