"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","individualCount","relatedCatalogItem","sex"
"53","2019-10-07 09:15:08-03","UEFS","HUEFS","7077","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Queiroz, L.P.de","1378","1986","11","22",NA,"Brasil","Bahia","Feira de Santana",NA,"-39.183333","-12.166667",NA,NA,"HUEFS0007077","HUEFS0007077","2008","07",NA,NA,"39W11'","12S10'","360","400",NA,"Asteranae",NA,NA,NA
"54","2019-10-07 09:15:08-03","UEFS","HUEFS","9967","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Webster, G.L.","25830","1986","11","22",NA,"Brasil","Bahia","Anguera",NA,"-39.283333","-12.116667",NA,NA,"HUEFS0009967","HUEFS0009967","2008","07",NA,NA,"39W17'","12S7'","200","200",NA,"Asteranae",NA,NA,NA
"55","2019-10-07 09:15:08-03","UEFS","HUEFS","898","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Grupo Pedra do Cavalo","716","1980","09",NA,NA,"Brasil","Bahia","Ipuaçu",NA,"-39.083333","-12.533333",NA,NA,"HUEFS0000898",NA,"2008","07",NA,NA,"39W5'","12S32'","40","120",NA,"Asteranae",NA,NA,NA
"56","2019-10-07 09:15:08-03","UEFS","HUEFS","77749","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Costa, J.","479","2004","01","23",NA,"Brasil","Minas Gerais","Jacinto","Estrada Jacinto-Salto da Divisa, ca. 24 km de Jacinto. Lado esquerdo.","-40.106389","-16.120556",NA,NA,"HUEFS0077749",NA,"2007","10",NA,NA,"40W6'23''","16S7'14''","189","189",NA,"Asteranae",NA,NA,NA
"57","2020-07-23 11:56:29-03","CEPLAC","CEPEC","10251","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum",NA,"M. C. Rodrigues","R. M. Harley","16172",NA,NA,NA,NA,"Brasil","Bahia","ITIÚBA","Serra de Itiúba, 6Km a E de Itiúba.","-39.8","-10.683333",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,"39W48'","10S41'",NA,NA,NA,NA,NA,NA,NA
"58","2020-07-23 11:56:29-03","CEPLAC","CEPEC","104068","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum",NA,"A. L. A. Côrtes","P. Fiaschi","2798","2005","03","12",NA,"Brasil","Bahia","ALMADINA","Rod. Almadina/Ibitupã, ca. 20Km. Fazenda São Roque, ca. 10Km da entrada do ramal.","-39.713056","-14.640833",NA,NA,NA,NA,NA,NA,NA,NA,"39W42'47","14S38'27",NA,NA,NA,NA,NA,"01/04/2010",NA
"59","2020-07-23 11:56:29-03","CEPLAC","CEPEC","104069","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum",NA,"M. C. Rodrigues","P. Fiaschi","2797","2005","03","12",NA,"Brasil","Bahia","ALMADINA","Rod. de Almadina/Ibitupã, ca. 20Km. Fazenda São Roque, ca. 10Km da entrada do ramal.","-39.713056","-14.640833",NA,NA,NA,NA,NA,NA,NA,NA,"39W42'47","14S38'27",NA,NA,NA,NA,NA,NA,NA
"60","2020-07-23 11:56:29-03","CEPLAC","CEPEC","139352","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum",NA,"M. C. Rodrigues","R. M. Harley","16172",NA,NA,NA,NA,"Brasil","Bahia","ITIÚBA","Serra de Itiúba, 6Km a E de Itiúba.","-39.8","-10.683333",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,"39W48'","10S41'",NA,NA,NA,NA,NA,NA,NA
"61","2021-01-04 10:56:54-03","UnB","UB","146932","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Wasshausen, DC","Cordeiro, J","1209","1995","04","19","Southern America","Brasil","Paraná ","Adrianópolis","Barra grande.","-48.9911003112793","-24.6571998596191",NA,"Erva ereta, flor alvescente.; Mata do vale do Rio Ribeira.","UB0111608","UB0111608","1995",NA,"49901","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2020-08-20 20:39:15-03","UFSC","FLOR","7482","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","Wasshausen, D.C.","Hatschbach, G.; Krapovickas, A.","42756","1980","02","13",NA,"Brasil","Paraná","Quatro Barras","1km L.","-49.0769004821777","-25.3656005859375",NA,"flor lilás-pálido","FLOR0007482",NA,"1983",NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2017-09-11 17:06:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Acanthaceae","Eranthemum","modestum","Eranthemum modestum","Nees ex Mart.",NA,"Wied-Neuwied, MAP Prince","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Crescit in sylvis prov. Soteropolitanae, e. g. in via Felisbertia",NA,NA,NA,NA,NA,"P09P0N0029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2017-09-11 17:06:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Acanthaceae","Eranthemum","modestum","Eranthemum modestum","Nees ex Mart.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"nec non ad Almada et Ferradas",NA,NA,NA,"(nomine Justiciae pachyrrahizae). Decembri et Januario floret",NA,"P09P0N0029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2021-04-05 12:29:18-03","UNIVASF","HVASF","8671","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.","E. Melo","G. Viana","679","1983","04","26","América do Sul","Brasil","Sergipe","Gararu","Pov. São Matheus, Faz. Barriguda. Caatinga hipoxerófila (solo litólico)","-37.204958","-10.026822",NA,"Erva. Flores esverdeadas, folhas em rosetas.","HVASF008671","HVASF008671_01","2013","12",NA,NA,"-37.204958","-10.026822","16","16","06",NA,NA,NA,"U"
"66","2019-11-21 09:57:49-03","IBt","SP","14704","S","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.","Santos, MRO; Lindau, G","Russel, A","CGG3962","1898","04","20",NA,"Brasil","São Paulo","Itú","Beira do mato.","-47.2900009155273","-23.2600002288818",NA,"Altura 20-40cm, flores brancas.","SP032695","SP032695",NA,NA,"22309","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2019-11-21 09:57:49-03","IBt","SP","14708","S","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.","Santos, MRO; Lindau, G","Edwall, G","CGG5915","1903","04",NA,NA,"Brasil","São Paulo","Sorocaba","Ipanema. Capoeira.","-47.4500007629395","-23.5",NA,"Flores brancas.","SP032696","SP032696",NA,NA,"17154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2014-09-23 10:56:34-03","G","G","G00082063","S","Plantae",NA,NA,"Acanthaceae","Eranthemum","modestum","Eranthemum modestum","Nees & Mart.","?","Douville",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=142626&base=img&lang=en","G00082063","G00082063",NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,NA,NA,NA,NA,NA
