"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"32","2021-03-30 12:52:11-03","EAO","IAN","142857","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","331","1974","04","06","Southern America","Brasil","Pará",NA,NA,"IAN142857",NA,"Rosa, NA",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:52:11-03","EAO","IAN","142857","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","331","1974","04","06","Southern America","Brasil","Pará",NA,NA,"IAN142857",NA,"Rosa, NA",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:52:11-03","EAO","IAN","142935","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","410","1974","04","07","Southern America","Brasil","Pará",NA,NA,"IAN142935",NA,"Rosa, NA",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:52:11-03","EAO","IAN","142935","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","410","1974","04","07","Southern America","Brasil","Pará",NA,NA,"IAN142935",NA,"Rosa, NA",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:52:11-03","EAO","IAN","59122","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pires, JM; Black, GA","s.n.","1950","05",NA,"Southern America","Brasil","Maranhão",NA,NA,"IAN059122",NA,"Martins, PRP",NA,"Perto de Carolina, Rio Tocantins.",NA,NA,NA,NA,"2017","09","27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:52:11-03","EAO","IAN","84009","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Black, GA; Pires, JM","16611","1954","07","06","Southern America","Brasil","Maranhão",NA,NA,"IAN084009",NA,"Barros, M",NA,"Perizes Capoeira.",NA,NA,NA,NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:52:11-03","EAO","IAN","84009","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Black, GA; Pires, JM","16611","1954","07","06","Southern America","Brasil","Maranhão",NA,NA,"IAN084009",NA,"Barros, M","Perizes","Capoeira.",NA,NA,NA,NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:52:11-03","EAO","IAN","85066","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Black, GA; Klein, RM","17228","1954","10","25",NA,"Guiana Francesa",NA,NA,"Com Inflorescência gigante, laxissima.","IAN085066",NA,"Araújo, AC",NA,"Campo de Passoura. Pri pri (igapó).",NA,NA,NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:52:11-03","EAO","IAN","89371","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Black, GA","18439","1955","06","24","Southern America","Brasil","Ceará",NA,NA,"IAN089371",NA,"Nascimento, EAP","Barra do Ceará",NA,NA,NA,NA,NA,"2015","05","20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:52:11-03","EAO","IAN","96640","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Ule, EHG","8070","1909","07",NA,"Southern America","Brasil","Roraima",NA,NA,"IAN096640",NA,NA,NA,"Rio Surumú, campo da Sera do Mel.","-59.254167","0.737222",NA,NA,NA,NA,NA,"-59.254167","0.737222",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:52:11-03","EAO","IAN","96640","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Ule, EHG","8070","1909","07",NA,"Southern America","Brasil","Roraima",NA,NA,"IAN096640",NA,NA,NA,"Rio Surumú, campo da Sera do Mel.","-59.254167","0.737222",NA,NA,NA,NA,NA,"-59.254167","0.737222",NA,NA,NA,NA,NA,NA,NA
"43","2020-11-26 18:07:49-03","CPAN-UFMS","COR","15710","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","T.S.Amaral",NA,"2011","05","15",NA,"Brasil","Mato Grosso do Sul",NA,"Banco de sementes.; Com Flor: Verde",NA,NA,"V.J.Pott.","Corumbá","Pantanal, sub-região do Miranda-Abobral, Fazenda São Bento. Pantanal. Capão de mata.; ;.","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"44","2019-10-09 11:28:00-03","UFBA","ALCB","104080","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","Guedes, ML; Gomes, FS; Silveira, ER","19290a","2011","08","04","Southern America","Brasil","Piauí",NA,"Herbácea: ca. 40 cm. Folhas lineares. Inflorescência em panícula de espiguetas marrons.; Caatinga","ALCB011937","ALCB011937","Silva Filho, PJS","Piripiri",NA,"-41.453889","-4.005278",NA,NA,"2018",NA,NA,"-41.453889","-4.005278",NA,NA,NA,NA,NA,NA,NA
"45","2020-02-08 10:14:33-03","NBC","NL-BOTANY","U.1229062","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","Mexia YEJ",NA,"1931","04","18","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1229062 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1229062","NL-U1229062",NA,NA,"State of Minas Geraes. Corinto. Fazenda do Diamante; Campo Tiririca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
