especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_br,cat_ameaca_cncfloraweb
Cryptanthus leuzingerae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Cryptanthus lutherianus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Cryptanthus maritimus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cryptanthus minarum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cryptanthus odoratissimus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cryptanthus pseudoglaziovii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Cryptanthus pseudoscaposus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cryptanthus roberto-kautskyi,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Cryptanthus scaposus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cryptanthus whitmanii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Cryptanthus zonatus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Cryptocarya botelhensis,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Cryptocarya micrantha,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Ctenardisia speciosa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Ctenitis fenestralis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Ctenium brevispicatum,s.i.,LC,CR,CR,s.i.,s.i.,LC
Ctenium cirrhosum,s.i.,s.i.,s.i.,EN,s.i.,s.i.,DD
Ctenium cirrosum,s.i.,DD,EN,s.i.,s.i.,s.i.,DD
Cunila incana,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Cunila incana ,s.i.,EN,s.i.,s.i.,s.i.,s.i.,s.i.
Cupania castaneaefolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Cupania concolor,VU,s.i.,VU,VU,s.i.,VU,VU
Cupania furfuracea,VU,s.i.,VU,VU,s.i.,VU,VU
Cupania olivacea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Cuphea adenophylla,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Cuphea arenarioides,VU,s.i.,EN,EN,s.i.,VU,VU
Cuphea bahiensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cuphea cipoensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cuphea cuiabensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cuphea glaziovii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cuphea hatschbachii,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Cuphea lindmaniana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cuphea lutescens,s.i.,LC,VU,VU,s.i.,s.i.,LC
Cuphea melvilla,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Cuphea rubro-virens,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Cuphea teleandra,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Cuphea urbaniana,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Curculigo scorzonerifolia,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Curitiba prismatica ,s.i.,VU,s.i.,s.i.,s.i.,s.i.,s.i.
Curtia tenuifolia,s.i.,LC,CR,CR,s.i.,s.i.,LC
Cyanaeorchis arundinae,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Cyanocephalus apertiflorus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Cyanocephalus bombycinus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Cyanocephalus caprariifolius,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cyanocephalus delicatulus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cyanocephalus digitatus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cyanocephalus tagetifolius,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cyanocephalus viaticus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cyathea poeppigii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Cybianthus densicomus,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Cyclopogon dutrae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cycnoches pentadactylum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cyperus atlanticus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Cyperus friburgensis,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Cyperus giganteus,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Cyrtopodium blanchetii,s.i.,LC,VU,VU,s.i.,s.i.,LC
Cyrtopodium brandonianum,s.i.,LC,EX,EX,s.i.,s.i.,LC
Cyrtopodium caiapoense,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Cyrtopodium dusenii,s.i.,LC,VU,VU,s.i.,s.i.,LC
Cyrtopodium fowliei,s.i.,LC,EN,EN,s.i.,s.i.,LC
Cyrtopodium hatschbachii,EN,s.i.,EN,EN,s.i.,EN,EN
Cyrtopodium lamellaticallosum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Cyrtopodium latifolium,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Cyrtopodium linearifolium,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Cyrtopodium lissochiloides,VU,s.i.,EX,EX,s.i.,VU,VU
Cyrtopodium palmifrons,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Cyrtopodium paludicolum,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Cyrtopodium parviflorum,s.i.,LC,EX,EX,s.i.,s.i.,LC
Cyrtopodium poecilum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,s.i.
Cyrtopodium triste,VU,s.i.,VU,VU,s.i.,VU,VU
Dacryodes edilsonii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dahlstedtia castaneifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dahlstedtia dehiscens,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dahlstedtia muehlbergiana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dalbergia elegans,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Dalbergia hortensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dalbergia nigra,VU,s.i.,CR,CR,s.i.,VU,VU
Dalechampia glechomifolia,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dalechampia leandrii,s.i.,NT,s.i.,s.i.,s.i.,s.i.,NT
Dalechampia purpurata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dalechampia riparia,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dalechampia weddelliana,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Danthonia cirrata,EN,s.i.,CR,CR,s.i.,EN,EN
Dasycondylus dusenii,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Dasyphyllum lanceolatum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Davilla glaziovii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Davilla macrocarpa,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Declieuxia cordigera,s.i.,LC,EN,s.i.,s.i.,s.i.,LC
Declieuxia cordigera var. divergentiflora,s.i.,s.i.,s.i.,EN,s.i.,s.i.,s.i.
Declieuxia fruticosa,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Declieuxia oenanthoides,s.i.,LC,EN,EN,s.i.,s.i.,LC
Dendrophorbium catharinense,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Dendrophorbium paranense,EN,EN,s.i.,s.i.,s.i.,EN,EN
Dendrophorbium pluricephalum,LC,LC,s.i.,s.i.,s.i.,s.i.,LC
Deschampsia caespitosa,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Desmodium craspediferum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Desmodium procumbens,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Deuterocohnia meziana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Diandrolyra tatianae,EN,s.i.,EN,EN,s.i.,EN,EN
Dichaea anchorifera,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dichaea mosenii,VU,s.i.,VU,VU,s.i.,VU,VU
Dichorisandra acaulis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dichorisandra glaziovii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Dichorisandra leucophthalmos,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Dichorisandra neglecta,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dicksonia sellowiana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diclinanona matogrossensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dicliptera squarrosa,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dictyostega orobanchoides,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dicymbe heteroxylon,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dicypellium caryophyllaceum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Didymoglossum kapplerianum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dieffenbachia aglaonematifolia,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Digitaria corynotricha,s.i.,LC,EN,EN,s.i.,s.i.,LC
Digitaria neesiana,EN,s.i.,EN,EN,s.i.,EN,EN
Digomphia densicoma,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Dimerostemma annuum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dimerostemma arnottii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dimerostemma bahiense,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dimerostemma bishopii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dimerostemma episcopale,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dimerostemma grazielae,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Dimerostemma myrtifolium,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dimorphandra mediocris,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dimorphandra wilsonii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dioclea burkartii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dioscorea aesculifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dioscorea asperula,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Dioscorea campestris,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dioscorea grandiflora,s.i.,LC,VU,VU,s.i.,s.i.,LC
Dioscorea loefgrenii,VU,s.i.,VU,VU,s.i.,VU,VU
Dioscorea mantiqueirensis,CR,s.i.,EX,EX,s.i.,CR,CR
Dioscorea mollis,s.i.,LC,VU,VU,s.i.,s.i.,LC
Dioscorea perdicum,s.i.,NA,VU,s.i.,s.i.,s.i.,s.i.
Dioscorea plantaginifolia,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Dioscorea pseudomacrocapsa,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dioscorea rumicoides,s.i.,LC,VU,VU,s.i.,s.i.,LC
Dioscorea sanpaulensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dioscorea stegelmanniana,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dioscorea trilinguis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diospyros lasiocalyx,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Diphasium jussiaei,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diplopterys sepium,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diplusodon aggregatifolius,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diplusodon argyrophyllus,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Diplusodon ericoides,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Diplusodon glaziovii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Diplusodon gracilis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Diplusodon hatschbachii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Diplusodon kielmeyeroides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Diplusodon minasensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diplusodon orbicularis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Diplusodon ovatus,EN,s.i.,EN,EN,s.i.,EN,EN
Diplusodon panniculatus,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Diplusodon retroimbricatus,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Diplusodon vidalii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Diplusodon villosissimus,VU,s.i.,EN,EN,s.i.,VU,VU
Discaria americana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Disciphania hernandia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Discocactus bahiensis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Discocactus catingicola,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Discocactus ferricola,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Discocactus heptacanthus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Discocactus horstii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Discocactus pseudoinsignis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Discocactus zehntneri,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Discolobium psoraleifolium,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Disteganthus calatheoides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Disynaphia ericoides,EN,s.i.,EN,EN,s.i.,EN,EN
Disynaphia praeficta,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Disynaphia variolata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa arianeae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa auriflora,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Ditassa cipoensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa cordeiroana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa itambensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa laevis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa lagoensis,s.i.,LC,EX,EX,s.i.,s.i.,s.i.
Ditassa leonii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Ditassa longisepala,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa maricaensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa oberdanii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Doliocarpus glomeratus,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Doliocarpus lancifolius,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dorstenia alberti,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dorstenia brasiliensis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dorstenia cayapia,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Dorstenia conceptionis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dorstenia fischeri,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dorstenia hildegardis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dorstenia sucrei,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Doryopteris itatiaiensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Doryopteris paradoxa,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Doryopteris quinquelobata,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Doryopteris rediviva,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Doryopteris rosenstockii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Doryopteris rufa,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Doryopteris subsimplex,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Doryopteris tijucana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Doryopteris trilobata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Drepanolejeunea aculeata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Drosera graomogolensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dryadella auriculigera,CR,s.i.,EX,EX,CR,CR,CR
Dryadella gomes-ferreirae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dryadella kautskyi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dryadella lilliputiana,VU,s.i.,VU,VU,s.i.,VU,VU
Dryadella susanae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Duckeanthus grandiflorus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Duguetia dicholepidota,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Duguetia furfuracea,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Duguetia magnolioidea,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Duguetia restingae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Duguetia reticulata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Duguetia salicifolia,s.i.,LC,VU,VU,s.i.,s.i.,LC
Duguetia scottmorii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Duguetia sooretamae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dungsia harpophylla,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Dungsia kautskyi,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia agudensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia alba,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia brevifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia cabrerae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyckia choristaminea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia commixta,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia delicata,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia distachya,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia domfelicianensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia dusenii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia elisabethae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia fosteriana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyckia hatschbachii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia hebdingii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia ibicuiensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia ibiramensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyckia irmgardiae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia julianae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia maritima,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyckia minarum,s.i.,LC,VU,VU,s.i.,s.i.,LC
Dyckia monticola,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia polycladus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia pseudococcinea,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia rariflora,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyckia reitzii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyckia remotiflora,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyckia retroflexa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia rigida,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Dyckia ursina,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyschoriste lavandulacea,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyschoriste smithii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Ecclinusa bullata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Ecclinusa lancifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Echinocoryne echinocephala,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Echinodorus paniculatus,s.i.,LC,EX,EX,s.i.,s.i.,LC
Echinodorus rhombifolia,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Echinopsis calochlora,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Echinopsis oxygona,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eduandrea selloana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Egletes viscosa,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Eithea blumenavia,EN,s.i.,EN,EN,s.i.,EN,EN
Elachyptera coriacea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Elachyptera festiva,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Elaphoglossum acrocarpum,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Elaphoglossum amplissimum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Elaphoglossum beckeri,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Elaphoglossum herminieri,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Elaphoglossum jamesonii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Eleocharis radicans,s.i.,NE,s.i.,s.i.,s.i.,s.i.,s.i.
Eleocharis stenocarpa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Eleocharis urceolata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Eltroplectris kuhlmanniana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Eltroplectris schlechteriana,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Elvasia capixaba,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Elvasia kollmannii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Encholirium biflorum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Encholirium disjunctum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Encholirium gracile,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Encholirium heloisae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Encholirium horridum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Encholirium irwinii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Encholirium longiflorum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Encholirium luxor,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Encholirium pedicellatum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Encholirium scrutor,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Encholirium vogelii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Encyclia bragancae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Encyclia fowliei,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Enhydra sessilis,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Epidendrum addae,VU,s.i.,VU,VU,s.i.,VU,VU
Epidendrum caldense,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Epidendrum cauliflorum,s.i.,DD,EX,s.i.,s.i.,s.i.,DD
Epidendrum coronatum,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Epidendrum ecostatum,VU,s.i.,s.i.,VU,s.i.,VU,VU
Epidendrum filicaule,s.i.,LC,VU,VU,s.i.,s.i.,LC
Epidendrum geniculatum,s.i.,NA,VU,VU,s.i.,s.i.,NT|NT
Epidendrum henschenii,EN,s.i.,EN,EN,s.i.,EN,EN
Epidendrum hololeucum,s.i.,s.i.,s.i.,VU,s.i.,s.i.,NT|NT
Epidendrum infaustum,s.i.,s.i.,s.i.,EX,s.i.,s.i.,DD
Epidendrum kautskyi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Epidendrum parahybunense,VU,s.i.,VU,s.i.,s.i.,s.i.,VU
Epidendrum polyanthum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Epidendrum robustum,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Epidendrum saxatile,s.i.,LC,EX,EX,s.i.,s.i.,LC
Epidendrum zappii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eragrostis neesii,s.i.,LC,EN,EN,s.i.,s.i.,LC
Eremanthus argenteus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eremanthus brasiliensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Eremanthus elaeagnus,VU,s.i.,VU,VU,s.i.,s.i.,VU
Eremanthus leucodendron,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eremanthus polycephalus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Eriocaulon melanolepis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Eriochloa distachya,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Eriocnema acaulis,VU,EN,s.i.,s.i.,s.i.,EN,EN|VU
Eriope anamariae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eriope blanchetii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Eriope crassipes,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Eriope luetzelburgii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Eriope machrisae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eriope obovata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,s.i.
Eriosema glaziovii,s.i.,DD,VU,VU,s.i.,s.i.,DD
Eriosema platycarpon,s.i.,DD,VU,VU,s.i.,s.i.,DD
Eriotheca pubescens,s.i.,LC,VU,VU,s.i.,s.i.,LC
Erisma arietinum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Erisma lanceolatum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Erithalis insularis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Erycina pusilla,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Eryngium corallinum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Eryngium divaricatum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eryngium dorae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Eryngium dusenii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Eryngium ekmanii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Eryngium eurycephalum,s.i.,NT,s.i.,s.i.,s.i.,s.i.,NT
Eryngium falcifolium,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eryngium glaziovianum,s.i.,DD,EX,EX,s.i.,s.i.,DD
Eryngium koehneanum,VU,s.i.,EN,EN,s.i.,VU,VU
Eryngium ombrophilum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Eryngium ramboanum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Eryngium sanguisorba,s.i.,LC,EX,EX,s.i.,s.i.,LC
Eryngium scirpinum,EN,s.i.,EN,EN,s.i.,EN,EN
