especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncfloraweb,cat_ameaca_br
Cunila incana ,s.i.,EN,s.i.,s.i.,s.i.,s.i.,s.i.
Cupania castaneaefolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Cupania concolor,VU,s.i.,VU,VU,s.i.,VU,VU
Cupania furfuracea,VU,s.i.,VU,VU,s.i.,VU,VU
Cupania olivacea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Cuphea acinifolia,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cuphea adenophylla,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Cuphea arenarioides,VU,s.i.,EN,EN,s.i.,VU,VU
Cuphea bahiensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cuphea cipoensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cuphea cuiabensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cuphea glaziovii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Cuphea hatschbachii,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Cuphea linarioides,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cuphea lindmaniana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cuphea lutescens,s.i.,LC,VU,VU,s.i.,LC,s.i.
Cuphea melvilla,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Cuphea repens,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cuphea rubro-virens,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Cuphea teleandra,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Cuphea urbaniana,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Curculigo scorzonerifolia,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Curitiba prismatica ,s.i.,VU,s.i.,s.i.,s.i.,s.i.,s.i.
Curtia tenuifolia,s.i.,LC,CR,CR,s.i.,LC,s.i.
Cuscuta obtusiflora,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Cyanaeorchis arundinae,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Cyanocephalus apertiflorus,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Cyanocephalus bombycinus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Cyanocephalus caprariifolius,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cyanocephalus delicatulus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cyanocephalus digitatus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cyanocephalus tagetifolius,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cyanocephalus tenuifolius,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Cyanocephalus viaticus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cyathea corcovadensis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyathea glaziovii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyathea poeppigii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Cyathea pungens,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyathea uleana,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cybianthus densicomus,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Cyclopogon dutrae,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cycnoches pentadactylum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Cylindrocolea rhizantha,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cymbocarpa refracta,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyperus atlanticus,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Cyperus flavescens,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyperus friburgensis,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Cyperus giganteus,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Cyperus rotundus,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyrtopodium blanchetii,s.i.,LC,VU,VU,s.i.,LC,s.i.
Cyrtopodium brandonianum,s.i.,LC,EX,EX,s.i.,LC,s.i.
Cyrtopodium caiapoense,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Cyrtopodium dusenii,s.i.,LC,VU,VU,s.i.,LC,s.i.
Cyrtopodium flavum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyrtopodium fowliei,s.i.,LC,EN,EN,s.i.,LC,s.i.
Cyrtopodium gigas,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyrtopodium hatschbachii,EN,s.i.,EN,EN,s.i.,EN,EN
Cyrtopodium lamellaticallosum,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Cyrtopodium latifolium,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Cyrtopodium linearifolium,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Cyrtopodium lissochiloides,VU,s.i.,EX,EX,s.i.,VU,VU
Cyrtopodium pallidum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Cyrtopodium palmifrons,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Cyrtopodium paludicolum,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Cyrtopodium parviflorum,s.i.,LC,EX,EX,s.i.,LC,s.i.
Cyrtopodium poecilum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,s.i.
Cyrtopodium triste,VU,s.i.,VU,VU,s.i.,VU,VU
Dacryodes edilsonii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dahlstedtia castaneifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dahlstedtia dehiscens,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dahlstedtia muehlbergiana,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Dalbergia elegans,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Dalbergia hortensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dalbergia nigra,VU,s.i.,CR,CR,s.i.,VU,VU
Dalechampia glechomifolia,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Dalechampia leandrii,s.i.,NT,s.i.,s.i.,s.i.,NT,s.i.
Dalechampia purpurata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dalechampia riparia,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dalechampia weddelliana,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Danthonia cirrata,EN,s.i.,CR,CR,s.i.,EN,EN
Dasyanthina serrata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dasycondylus dusenii,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Dasycondylus resinosus,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dasyphyllum lanceolatum,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Dasyphyllum synacanthum,s.i.,s.i.,s.i.,s.i.,s.i.,DD,s.i.
Davilla glaziovii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Davilla macrocarpa,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Davilla nitida,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Declieuxia cordigera,s.i.,LC,EN,s.i.,s.i.,LC,s.i.
Declieuxia cordigera var. divergentiflora,s.i.,s.i.,s.i.,EN,s.i.,s.i.,s.i.
Declieuxia fruticosa,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Declieuxia oenanthoides,s.i.,LC,EN,EN,s.i.,LC,s.i.
Dendropanax cuneatus,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dendrophorbium catharinense,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Dendrophorbium paranense,EN,EN,s.i.,s.i.,s.i.,s.i.,EN
Dendrophorbium pluricephalum,LC,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Dendrophthora warmingii,s.i.,s.i.,s.i.,s.i.,s.i.,CR,s.i.
Deschampsia caespitosa,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Desmodium craspediferum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Desmodium procumbens,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Deuterocohnia meziana,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Diandrolyra tatianae,EN,s.i.,EN,EN,s.i.,EN,EN
Dichaea anchorifera,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Dichaea mosenii,VU,s.i.,VU,VU,s.i.,VU,VU
Dichanthelium aequivaginatum,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Dichanthelium surrectum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dichorisandra acaulis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dichorisandra glaziovii,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Dichorisandra leucophthalmos,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Dichorisandra neglecta,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dicksonia sellowiana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diclinanona matogrossensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dicliptera squarrosa,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Dictyostega orobanchoides,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Dicymbe heteroxylon,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dicypellium caryophyllaceum,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Didymoglossum kapplerianum,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Didymoglossum ovale,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dieffenbachia aglaonematifolia,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Digitaria corynotricha,s.i.,LC,EN,EN,s.i.,LC,s.i.
Digitaria neesiana,EN,s.i.,EN,EN,s.i.,EN,EN
Digomphia densicoma,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Dilodendron bipinnatum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dimerostemma annuum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dimerostemma arnottii,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Dimerostemma bahiense,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dimerostemma bishopii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dimerostemma episcopale,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dimerostemma grazielae,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Dimerostemma myrtifolium,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dimorphandra mediocris,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dimorphandra wilsonii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dioclea burkartii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Dioclea glabra,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Diodella sarmentosa,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dioscorea aesculifolia,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Dioscorea asperula,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Dioscorea campestris,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Dioscorea grandiflora,s.i.,LC,VU,VU,s.i.,LC,s.i.
Dioscorea kunthiana,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dioscorea loefgrenii,VU,s.i.,VU,VU,s.i.,s.i.,VU
Dioscorea mantiqueirensis,CR,s.i.,EX,EX,s.i.,s.i.,CR
Dioscorea mollis,s.i.,LC,VU,VU,s.i.,LC,s.i.
Dioscorea perdicum,s.i.,NA,VU,s.i.,s.i.,s.i.,s.i.
Dioscorea plantaginifolia,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Dioscorea pseudomacrocapsa,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dioscorea rumicoides,s.i.,LC,VU,VU,s.i.,LC,s.i.
Dioscorea sanpaulensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dioscorea stegelmanniana,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Dioscorea trilinguis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diospyros hispida,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Diospyros inconstans,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Diospyros lasiocalyx,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Diphasium jussiaei,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Diplopterys sepium,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Diplusodon aggregatifolius,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Diplusodon argyrophyllus,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Diplusodon ericoides,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Diplusodon glaziovii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Diplusodon glocimarii,s.i.,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Diplusodon gracilis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Diplusodon hatschbachii,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Diplusodon kielmeyeroides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Diplusodon minasensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Diplusodon orbicularis,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Diplusodon ovatus,EN,s.i.,EN,EN,s.i.,EN,EN
Diplusodon panniculatus,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Diplusodon retroimbricatus,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Diplusodon vidalii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Diplusodon villosissimus,VU,s.i.,EN,EN,s.i.,VU,VU
Dipteryx alata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Discaria americana,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Disciphania hernandia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Discocactus bahiensis,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Discocactus catingicola,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Discocactus ferricola,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Discocactus heptacanthus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Discocactus horstii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Discocactus pseudoinsignis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Discocactus zehntneri,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Discolobium psoraleifolium,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Disteganthus calatheoides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Disynaphia ericoides,EN,s.i.,EN,EN,s.i.,EN,EN
Disynaphia praeficta,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Disynaphia variolata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Ditassa arianeae,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Ditassa auriflora,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Ditassa cipoensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Ditassa cordeiroana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Ditassa itambensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Ditassa laevis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Ditassa lagoensis,s.i.,LC,EX,EX,s.i.,s.i.,s.i.
Ditassa leonii,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Ditassa longisepala,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Ditassa maricaensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Ditassa oberdanii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Doliocarpus glomeratus,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Doliocarpus lancifolius,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dorstenia alberti,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dorstenia arifolia,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dorstenia brasiliensis,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Dorstenia cayapia,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Dorstenia conceptionis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dorstenia fischeri,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dorstenia hildegardis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dorstenia sucrei,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Doryopteris crenulans,s.i.,s.i.,s.i.,s.i.,s.i.,DD,s.i.
Doryopteris itatiaiensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Doryopteris lomariacea,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Doryopteris paradoxa,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Doryopteris quinquelobata,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Doryopteris rediviva,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Doryopteris rosenstockii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Doryopteris rufa,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Doryopteris subsimplex,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Doryopteris tijucana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Doryopteris trilobata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Drepanolejeunea aculeata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Drimys brasiliensis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Drosera graomogolensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dryadella auriculigera,CR,s.i.,EX,EX,CR,CR,CR
Dryadella gomes-ferreirae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dryadella kautskyi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dryadella lilliputiana,VU,s.i.,VU,VU,s.i.,VU,VU
Dryadella susanae,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Duckeanthus grandiflorus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Duguetia dicholepidota,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Duguetia fufuracea,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Duguetia furfuracea,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Duguetia lanceolata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Duguetia magnolioidea,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Duguetia restingae,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Duguetia reticulata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Duguetia salicifolia,s.i.,LC,VU,VU,s.i.,LC,s.i.
Duguetia scottmorii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Duguetia sooretamae,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dungsia harpophylla,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Dungsia kautskyi,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyckia agudensis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyckia alba,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia brevifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia cabrerae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Dyckia choristaminea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia commixta,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia delicata,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyckia distachya,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyckia domfelicianensis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyckia dusenii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia elisabethae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia encholirioides,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Dyckia fosteriana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dyckia hatschbachii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyckia hebdingii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia ibicuiensis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyckia ibiramensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dyckia irmgardiae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia julianae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia maritima,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dyckia minarum,s.i.,LC,VU,VU,s.i.,LC,s.i.
Dyckia monticola,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyckia polycladus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia pseudococcinea,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Dyckia rariflora,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dyckia reitzii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dyckia remotiflora,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dyckia retroflexa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia rigida,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Dyckia tuberosa,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dyckia ursina,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyschoriste lavandulacea,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Dyschoriste smithii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Dyssochroma longipes,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dyssochroma viridiflora,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Dyssochroma viridiflorum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Ecclinusa bullata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Ecclinusa lancifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Echinocoryne echinocephala,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Echinodorus paniculatus,s.i.,LC,EX,EX,s.i.,LC,s.i.
Echinodorus rhombifolia,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Echinopsis calochlora,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Echinopsis oxygona,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Edmundoa lindenii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Eduandrea selloana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Egletes viscosa,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Eithea blumenavia,EN,s.i.,EN,EN,s.i.,EN,EN
Elachyptera coriacea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Elachyptera festiva,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Elachyptera micrantha,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum acrocarpum,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Elaphoglossum amplissimum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Elaphoglossum beckeri,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Elaphoglossum edwallii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum gayanum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum herminieri,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Elaphoglossum iguapense,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum insigne,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum itatiayense,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Elaphoglossum jamesonii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Elaphoglossum langsdorffii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum macahense,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum nigrescens,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum prestonii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum scolopendrifolium,s.i.,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Elaphoglossum strictum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum tamandarei,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Elaphoglossum tectum,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elaphoglossum wettsteinii,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Eleocharis bonariensis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Eleocharis loefgreniana,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Eleocharis plicarhachis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Eleocharis radicans,s.i.,NE,s.i.,s.i.,s.i.,s.i.,s.i.
Eleocharis stenocarpa,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Eleocharis urceolata,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Elephantopus riparius,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Elleanthus linifolius,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Eltroplectris calcarata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Eltroplectris kuhlmanniana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Eltroplectris schlechteriana,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Elvasia capixaba,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Elvasia kollmannii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Encholirium biflorum,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Encholirium disjunctum,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Encholirium gracile,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
