"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","dayIdentified","class","previousCatalogNumber"
"55","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Glaziou, AFM","5509",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in arboribus ad Tijuca",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Comm. Geogr.Geol.","2701",NA,NA,NA,"Southern America","Brazil","São Paulo","Habitat in prov. S. Paulo prope Synape",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Schwacke, CAW","6289?",NA,NA,NA,"Southern America","Brazil",NA,"in arboribus ad Serra da Caninaua",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Moura, JT de","320?",NA,NA,NA,"Southern America","Brazil","Minas Gerais","in arboribus ad Serra da Cayanna prov. Minas Geraes",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Schwacke, CAW","6289",NA,NA,NA,"Southern America","Brazil",NA,"in arboribus ad Serra da Caninaua",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Prescott","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"in Brasilia loco haud indicato",NA,"Floret Novembri - Junio",NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Schenck, JHR","1826",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in arboribus ad Corcovado",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Glaziou, AFM","5512?",NA,NA,NA,"Southern America","Brazil",NA,"in rupibus et in arboribus ad Serra do Tingua",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Gaudichaud Beaupré, C","383?",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in prov. Rio de Janeiro",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Riedel, L","74?",NA,NA,NA,"Southern America","Brazil",NA,"in arborum truncis prope Mandiocca",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Glaziou, AFM","5512",NA,NA,NA,"Southern America","Brazil",NA,"in rupibus et in arboribus ad Serra do Tingua",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Schenck, JHR","1826?",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in arboribus ad Corcovado",NA,NA,NA,"P03P5N0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2017-09-11 17:11:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Moura, JT de","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","prope Theresopolis",NA,NA,NA,"P03P5N0024","Teresópolis","-42.9656","-22.4122",NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2017-09-11 17:11:51-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","tenue","Epidendrum tenue","Lindl.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Habitat in arboribus ad Serra de Caraça prov. Minas Geraes",NA,"Floret Aprili",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2017-09-11 17:11:51-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","tenue","Epidendrum tenue","Lindl.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Habitat in arboribus ad Serra de Caraça prov. Minas Geraes",NA,"Floret Aprili",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2019-11-21 10:13:10-03","IBt","SP","14860","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.","Hoehne, FC","Hoehne, FC","s.n.","1925","08","29",NA,"Brasil","Minas Gerais","Serra do Garimpo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2019-11-21 10:13:10-03","IBt","SP","37515","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.","Hoehne, FC","Mello Barreto","1570","1935","07","12",NA,"Brasil","Minas Gerais","Fazenda da cachoeira. Mata",NA,NA,NA,NA,"Tombos","-42.0228004455566","-20.9046993255615",NA,"16749","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2019-11-21 10:13:10-03","IBt","SP","25563","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Spannagel, C","44",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Meio da Serra",NA,NA,NA,NA,"Petrópolis","-43.1786003112793","-22.5049991607666",NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2019-11-21 10:13:10-03","IBt","SP","373456","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.","Bocayuca, M","Bocayuva, M; Calvente, AM; Zaldini, CA","86","2003","10","17",NA,"Brasil","Rio de Janeiro","Parque Natural Municipal da Prainha, trilha depois do Cruzeiro do Sul",NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2019-11-21 10:13:10-03","IBt","SP","54178","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.","Hoehne, FC","Rosa, M","87","1946","11","07",NA,"Brasil","Rio de Janeiro","Tijuca, Bom Retiro",NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2019-11-21 10:13:10-03","IBt","SP","29332","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","filicaule","Epidendrum filicaule","(Sw.) Lindl.",NA,"Loefgren, A; Edwall, G","CGG2701","1894","10","04",NA,"Brasil","São Paulo","Porto da Ribeira de iguape, ao pé da pedreira.",NA,"Herb. epífita, fl. flava.","SP009518","SP009518","Iguape","-47.5499992370605","-24.7000007629395",NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
